ts, default broker, CrocodileAgent, COLDPower18, EWIIS3, Bunnie, total
359, 57514, 0, 0, 0, 0, 57514
360, 57514, 0, 0, 0, 0, 57514
361, 6929, 0, 0, 729, 49856, 57514
367, 6780, 140, 0, 210, 50384, 57514
373, 6493, 424, 0, 489, 50108, 57514
379, 6660, 313, 0, 419, 50122, 57514
385, 6720, 291, 0, 248, 50255, 57514
391, 6576, 221, 0, 535, 50182, 57514
397, 6585, 531, 0, 443, 49955, 57514
403, 6618, 2738, 0, 396, 47762, 57514
409, 6688, 8170, 0, 132, 42524, 57514
415, 6714, 11263, 0, 228, 39309, 57514
421, 6748, 14567, 0, 173, 36026, 57514
427, 6803, 18489, 0, 320, 31902, 57514
433, 6859, 21422, 0, 153, 29080, 57514
439, 6840, 21670, 0, 199, 28805, 57514
445, 6829, 21727, 0, 216, 28742, 57514
451, 6808, 21755, 0, 211, 28740, 57514
457, 6811, 21758, 0, 302, 28643, 57514
463, 6764, 21794, 0, 276, 28680, 57514
469, 6683, 21617, 0, 241, 28973, 57514
475, 6542, 20464, 0, 219, 30289, 57514
481, 6644, 19322, 0, 218, 31330, 57514
487, 6524, 17219, 0, 168, 33603, 57514
493, 6514, 13505, 0, 166, 37329, 57514
499, 6555, 10243, 0, 145, 40571, 57514
505, 6588, 8258, 0, 142, 42526, 57514
511, 6503, 6945, 0, 131, 43935, 57514
517, 6378, 5644, 0, 129, 45363, 57514
523, 6400, 5374, 0, 129, 45611, 57514
529, 6677, 3741, 0, 128, 46968, 57514
535, 6630, 3486, 0, 127, 47271, 57514
541, 6751, 2414, 0, 86, 48263, 57514
547, 6743, 1876, 0, 66, 48829, 57514
553, 6690, 1683, 0, 65, 49076, 57514
559, 6540, 1368, 0, 63, 49543, 57514
565, 6500, 1974, 0, 61, 48979, 57514
571, 6546, 3115, 0, 59, 47794, 57514
577, 6560, 8553, 0, 49, 42352, 57514
583, 6634, 11118, 0, 49, 39713, 57514
589, 6710, 16453, 0, 59, 34292, 57514
595, 6617, 18959, 0, 42, 31896, 57514
601, 6671, 21208, 0, 41, 29594, 57514
607, 6712, 21430, 0, 41, 29331, 57514
613, 6703, 21505, 0, 41, 29265, 57514
619, 6718, 21318, 0, 40, 29438, 57514
625, 6762, 21053, 0, 42, 29657, 57514
631, 6657, 20982, 0, 42, 29833, 57514
637, 6539, 20321, 0, 41, 30613, 57514
643, 6696, 19199, 0, 41, 31578, 57514
649, 6764, 16635, 0, 42, 34073, 57514
655, 6699, 14168, 0, 42, 36605, 57514
661, 6501, 11086, 0, 42, 39885, 57514
667, 6575, 8904, 0, 43, 41992, 57514
673, 6560, 7080, 0, 43, 43831, 57514
679, 6572, 5650, 0, 42, 45250, 57514
685, 6629, 3303, 0, 39, 47543, 57514
691, 6663, 2366, 0, 40, 48445, 57514
697, 6696, 1756, 0, 40, 49022, 57514
703, 6753, 1345, 0, 38, 49378, 57514
709, 6725, 969, 0, 39, 49781, 57514
715, 6686, 747, 0, 40, 50041, 57514
721, 6665, 408, 0, 38, 50403, 57514
727, 6612, 351, 0, 33, 50518, 57514
733, 6630, 280, 0, 32, 50572, 57514
739, 6776, 1268, 0, 32, 49438, 57514
745, 6605, 7292, 0, 34, 43583, 57514
751, 6679, 9788, 0, 33, 41014, 57514
757, 6596, 14526, 0, 32, 36360, 57514
763, 6490, 17469, 0, 32, 33523, 57514
769, 6482, 19296, 0, 32, 31704, 57514
775, 6726, 20046, 0, 31, 30711, 57514
781, 6775, 20009, 0, 32, 30698, 57514
787, 6832, 19897, 0, 33, 30752, 57514
793, 6826, 19883, 0, 33, 30772, 57514
799, 6688, 19956, 0, 33, 30837, 57514
805, 6691, 19823, 0, 32, 30968, 57514
811, 6313, 18988, 0, 32, 32181, 57514
817, 6375, 17221, 0, 32, 33886, 57514
823, 6382, 15888, 0, 33, 35211, 57514
829, 6021, 12222, 0, 34, 39237, 57514
835, 6106, 10190, 0, 35, 41183, 57514
841, 6446, 8678, 0, 36, 42354, 57514
847, 6528, 6137, 0, 36, 44813, 57514
853, 6585, 4686, 0, 35, 46208, 57514
859, 6781, 3229, 0, 35, 47469, 57514
865, 6757, 2464, 0, 35, 48258, 57514
871, 6719, 1930, 0, 34, 48831, 57514
877, 6374, 1769, 0, 35, 49336, 57514
883, 6448, 1257, 0, 35, 49774, 57514
889, 6504, 1115, 0, 36, 49859, 57514
895, 6581, 1007, 0, 33, 49893, 57514
901, 6682, 1773, 0, 32, 49027, 57514
907, 6556, 4075, 0, 34, 46849, 57514
913, 6538, 9266, 0, 34, 41676, 57514
919, 6647, 12252, 0, 33, 38582, 57514
925, 6505, 16448, 0, 32, 34529, 57514
931, 6545, 19672, 0, 32, 31265, 57514
937, 6653, 22196, 0, 32, 28633, 57514
943, 6720, 22170, 0, 33, 28591, 57514
949, 6820, 22004, 0, 31, 28659, 57514
955, 6839, 21887, 0, 30, 28758, 57514
961, 6757, 21918, 0, 34, 28805, 57514
967, 6682, 21553, 0, 34, 29245, 57514
973, 6550, 20932, 0, 34, 29998, 57514
979, 6563, 19775, 0, 33, 31143, 57514
985, 6654, 17276, 0, 33, 33551, 57514
991, 6564, 14685, 0, 34, 36231, 57514
997, 6664, 13792, 0, 34, 37024, 57514
1003, 6758, 10629, 0, 32, 40095, 57514
1009, 6699, 7662, 0, 32, 43121, 57514
1015, 6676, 6529, 0, 30, 44279, 57514
1021, 6655, 4405, 0, 31, 46423, 57514
1027, 6787, 3202, 0, 33, 47492, 57514
1033, 6727, 2488, 0, 31, 48268, 57514
1039, 6712, 2018, 0, 32, 48752, 57514
1045, 6697, 1487, 0, 34, 49296, 57514
1051, 6596, 1329, 0, 32, 49557, 57514
1057, 6585, 1207, 0, 31, 49691, 57514
1063, 6622, 1112, 0, 30, 49750, 57514
1069, 6758, 1353, 0, 29, 49374, 57514
1075, 6751, 1865, 0, 29, 48869, 57514
1081, 6793, 3044, 0, 28, 47649, 57514
1087, 6680, 4665, 0, 29, 46140, 57514
1093, 6782, 6058, 0, 30, 44644, 57514
1099, 6765, 6865, 0, 29, 43855, 57514
1105, 6640, 7981, 0, 29, 42864, 57514
1111, 6648, 8172, 0, 30, 42664, 57514
1117, 6558, 8139, 0, 31, 42786, 57514
1123, 6524, 7904, 0, 32, 43054, 57514
