ts, default broker, COLDPower18, EWIIS3, VidyutVanika, Bunnie, total
359, 57500, 0, 0, 0, 0, 57500
360, 57500, 0, 0, 0, 0, 57500
361, 3, 0, 389, 29038, 28070, 57500
367, 3, 0, 131, 29116, 28250, 57500
373, 2, 0, 80, 32620, 24798, 57500
379, 2, 0, 132, 34643, 22723, 57500
385, 2, 0, 184, 36074, 21240, 57500
391, 2, 0, 173, 36552, 20773, 57500
397, 2, 0, 183, 36559, 20756, 57500
403, 3, 0, 287, 36555, 20655, 57500
409, 0, 0, 339, 36555, 20606, 57500
415, 1, 0, 319, 36550, 20630, 57500
421, 2, 0, 274, 36488, 20736, 57500
427, 2, 0, 476, 36498, 20524, 57500
433, 4, 0, 428, 33252, 23816, 57500
439, 4, 0, 512, 28414, 28570, 57500
445, 4, 0, 569, 22367, 34560, 57500
451, 4, 0, 396, 20094, 37006, 57500
457, 3, 0, 403, 17558, 39536, 57500
463, 4, 0, 347, 15248, 41901, 57500
469, 5, 0, 283, 13180, 44032, 57500
475, 5, 0, 260, 11850, 45385, 57500
481, 4, 0, 203, 10364, 46929, 57500
487, 4, 0, 171, 9474, 47851, 57500
493, 2, 0, 139, 9279, 48080, 57500
499, 1, 0, 90, 8910, 48499, 57500
505, 0, 0, 58, 8814, 48628, 57500
511, 0, 0, 55, 9240, 48205, 57500
517, 0, 0, 24, 13728, 43748, 57500
523, 0, 0, 21, 16882, 40597, 57500
529, 1, 0, 17, 22747, 34735, 57500
535, 1, 0, 17, 25150, 32332, 57500
541, 0, 0, 15, 27215, 30270, 57500
547, 0, 0, 15, 29843, 27642, 57500
553, 1, 0, 13, 32005, 25481, 57500
559, 1, 0, 11, 31963, 25525, 57500
565, 1, 0, 11, 31871, 25617, 57500
571, 1, 0, 11, 31557, 25931, 57500
577, 2, 0, 11, 31524, 25963, 57500
583, 1, 0, 10, 31294, 26195, 57500
589, 0, 0, 11, 29933, 27556, 57500
595, 0, 0, 10, 28113, 29377, 57500
601, 0, 0, 12, 23918, 33570, 57500
607, 0, 0, 11, 21155, 36334, 57500
613, 0, 0, 11, 19495, 37994, 57500
619, 0, 0, 13, 17034, 40453, 57500
625, 0, 0, 12, 14671, 42817, 57500
631, 0, 0, 13, 12201, 45286, 57500
637, 0, 0, 12, 11155, 46333, 57500
643, 0, 0, 12, 10480, 47008, 57500
649, 1, 0, 12, 10291, 47196, 57500
655, 1, 0, 12, 9177, 48310, 57500
661, 0, 0, 13, 8730, 48757, 57500
667, 0, 0, 13, 8465, 49022, 57500
673, 0, 0, 12, 8094, 49394, 57500
679, 0, 0, 12, 8141, 49347, 57500
685, 0, 0, 13, 11246, 46241, 57500
691, 0, 0, 13, 12651, 44836, 57500
697, 1, 0, 11, 18837, 38651, 57500
703, 1, 0, 11, 20404, 37084, 57500
709, 1, 0, 11, 23257, 34231, 57500
715, 2, 0, 10, 25302, 32186, 57500
721, 2, 0, 9, 27135, 30354, 57500
727, 2, 0, 9, 27111, 30378, 57500
733, 1, 0, 9, 27144, 30346, 57500
739, 1, 0, 9, 26956, 30534, 57500
745, 1, 0, 10, 26863, 30626, 57500
751, 0, 0, 11, 26492, 30997, 57500
757, 0, 0, 11, 25672, 31817, 57500
763, 0, 0, 10, 24896, 32594, 57500
769, 0, 0, 10, 23435, 34055, 57500
775, 1, 0, 10, 20959, 36530, 57500
781, 1, 0, 10, 16993, 40496, 57500
787, 1, 0, 9, 14888, 42602, 57500
793, 0, 0, 11, 13047, 44442, 57500
799, 0, 0, 11, 11867, 45622, 57500
805, 0, 0, 11, 10594, 46895, 57500
811, 1, 0, 10, 10209, 47280, 57500
817, 1, 0, 10, 9804, 47685, 57500
823, 1, 0, 10, 9348, 48141, 57500
829, 1, 0, 10, 8566, 48923, 57500
835, 1, 0, 10, 8359, 49130, 57500
841, 2, 0, 9, 8079, 49410, 57500
847, 22, 0, 10, 8385, 49083, 57500
853, 27, 0, 11, 9827, 47635, 57500
859, 32, 0, 11, 12651, 44806, 57500
865, 6, 0, 11, 15821, 41662, 57500
871, 5, 0, 10, 19101, 38384, 57500
877, 1, 0, 10, 24134, 33355, 57500
883, 1, 0, 9, 29875, 27615, 57500
889, 1767, 0, 10, 29825, 25898, 57500
895, 2114, 0, 9, 30843, 24534, 57500
901, 2683, 0, 9, 33236, 21572, 57500
907, 2817, 0, 9, 37040, 17634, 57500
913, 2832, 0, 11, 34865, 19792, 57500
919, 2845, 0, 11, 14880, 39764, 57500
925, 2999, 0, 11, 12540, 41950, 57500
931, 3217, 0, 11, 18508, 35764, 57500
937, 3217, 0, 10, 24063, 30210, 57500
943, 3397, 0, 11, 25745, 28347, 57500
949, 3322, 0, 10, 29658, 24510, 57500
955, 3179, 0, 10, 31543, 22768, 57500
961, 3322, 0, 11, 31364, 22803, 57500
967, 3497, 0, 11, 32615, 21377, 57500
973, 3434, 0, 10, 34264, 19792, 57500
979, 3523, 0, 11, 34540, 19426, 57500
985, 3387, 0, 10, 34035, 20068, 57500
991, 3475, 0, 10, 7746, 46269, 57500
997, 3551, 0, 10, 9084, 44855, 57500
1003, 3399, 0, 10, 13346, 40745, 57500
1009, 3484, 0, 10, 16010, 37996, 57500
1015, 3455, 0, 11, 19014, 35020, 57500
1021, 3406, 0, 11, 23692, 30391, 57500
1027, 3536, 0, 11, 27012, 26941, 57500
1033, 3512, 0, 10, 27556, 26422, 57500
1039, 3525, 0, 10, 30852, 23113, 57500
1045, 3520, 0, 10, 32158, 21812, 57500
1051, 3549, 0, 11, 35974, 17966, 57500
1057, 3519, 0, 12, 34948, 19021, 57500
1063, 3242, 0, 11, 34979, 19268, 57500
1069, 3538, 0, 11, 37246, 16705, 57500
1075, 3648, 0, 12, 37693, 16147, 57500
1081, 3775, 0, 11, 35559, 18155, 57500
1087, 3721, 0, 11, 15339, 38429, 57500
1093, 3729, 0, 10, 15025, 38736, 57500
1099, 3738, 0, 10, 22775, 30977, 57500
1105, 3743, 0, 12, 28323, 25422, 57500
1111, 3679, 0, 12, 29353, 24456, 57500
1117, 3659, 0, 12, 29407, 24422, 57500
1123, 3771, 0, 11, 30728, 22990, 57500
1129, 3833, 0, 10, 31145, 22512, 57500
1135, 3458, 0, 9, 31128, 22905, 57500
1141, 3291, 0, 8, 31914, 22287, 57500
1147, 3475, 0, 8, 33867, 20150, 57500
1153, 3585, 0, 8, 34525, 19382, 57500
1159, 3495, 0, 9, 4625, 49371, 57500
1165, 3307, 0, 10, 7741, 46442, 57500
1171, 3248, 0, 10, 14272, 39970, 57500
1177, 3239, 0, 10, 18860, 35391, 57500
1183, 3303, 0, 10, 23569, 30618, 57500
1189, 3240, 0, 11, 26660, 27589, 57500
1195, 3073, 0, 11, 30726, 23690, 57500
1201, 3055, 0, 13, 31535, 22897, 57500
1207, 3088, 0, 11, 32668, 21733, 57500
1213, 3190, 0, 12, 33949, 20349, 57500
1219, 3276, 0, 11, 35250, 18963, 57500
1225, 3470, 0, 11, 33100, 20919, 57500
1231, 3503, 0, 11, 34583, 19403, 57500
1237, 3436, 0, 11, 34963, 19090, 57500
1243, 3581, 0, 11, 36146, 17762, 57500
1249, 3631, 0, 12, 34586, 19271, 57500
1255, 3499, 0, 12, 16061, 37928, 57500
1261, 3336, 0, 11, 15826, 38327, 57500
1267, 3466, 0, 10, 19847, 34177, 57500
1273, 3553, 0, 9, 21658, 32280, 57500
1279, 3595, 0, 10, 23171, 30724, 57500
1285, 3432, 0, 10, 24983, 29075, 57500
1291, 3556, 0, 9, 27445, 26490, 57500
1297, 3468, 0, 9, 27550, 26473, 57500
1303, 3466, 0, 9, 27032, 26993, 57500
1309, 3297, 0, 8, 28585, 25610, 57500
1315, 3457, 0, 8, 30478, 23557, 57500
1321, 3545, 0, 8, 30354, 23593, 57500
1327, 3472, 0, 9, 30865, 23154, 57500
1333, 3489, 0, 10, 31487, 22514, 57500
1339, 3446, 0, 9, 33037, 21008, 57500
1345, 3475, 0, 9, 32030, 21986, 57500
1351, 3580, 0, 10, 31162, 22748, 57500
1357, 3751, 0, 11, 32832, 20906, 57500
1363, 3849, 0, 11, 34002, 19638, 57500
1369, 3943, 0, 10, 32679, 20868, 57500
