ts, default broker, CrocodileAgent, COLDPower18, VidyutVanika, EWIIS3, total
359, 57501, 0, 0, 0, 0, 57501
360, 57501, 0, 0, 0, 0, 57501
361, 61, 2177, 0, 37029, 18234, 57501
367, 18, 2189, 0, 39422, 15872, 57501
373, 11, 2246, 0, 40298, 14946, 57501
379, 11, 2247, 0, 41740, 13503, 57501
385, 9, 2250, 0, 43614, 11628, 57501
391, 9, 2250, 0, 44711, 10531, 57501
397, 10, 2249, 0, 46271, 8971, 57501
403, 10, 2249, 0, 47173, 8069, 57501
409, 11, 2250, 0, 47572, 7668, 57501
415, 10, 2250, 0, 48522, 6719, 57501
421, 11, 2219, 0, 48945, 6326, 57501
427, 11, 2217, 0, 49222, 6051, 57501
433, 11, 1547, 0, 48997, 6946, 57501
439, 13, 1317, 0, 48084, 8087, 57501
445, 14, 803, 0, 47939, 8745, 57501
451, 15, 758, 0, 47071, 9657, 57501
457, 14, 709, 0, 48020, 8758, 57501
463, 12, 767, 0, 49976, 6746, 57501
469, 11, 737, 0, 50860, 5893, 57501
475, 10, 1090, 0, 52264, 4137, 57501
481, 10, 1901, 0, 52380, 3210, 57501
487, 10, 3601, 0, 51451, 2439, 57501
493, 10, 5362, 0, 50387, 1742, 57501
499, 10, 7656, 0, 48615, 1220, 57501
505, 10, 8522, 0, 47962, 1007, 57501
511, 9, 9011, 0, 47480, 1001, 57501
517, 9, 9882, 0, 46792, 818, 57501
523, 9, 10194, 0, 46560, 738, 57501
529, 9, 10380, 0, 46403, 709, 57501
535, 9, 10167, 0, 46616, 709, 57501
541, 27, 9987, 0, 46661, 826, 57501
547, 32, 9656, 0, 47150, 663, 57501
553, 14, 9252, 0, 47626, 609, 57501
559, 10, 8740, 0, 48154, 597, 57501
565, 11, 8279, 0, 48716, 495, 57501
571, 12, 7228, 0, 49769, 492, 57501
577, 10, 5577, 0, 51501, 413, 57501
583, 10, 4286, 0, 52811, 394, 57501
589, 10, 3148, 0, 53982, 361, 57501
595, 10, 2585, 0, 54552, 354, 57501
601, 10, 1374, 0, 55833, 284, 57501
607, 10, 1237, 0, 56013, 241, 57501
613, 10, 848, 0, 56482, 161, 57501
619, 9, 931, 0, 56401, 160, 57501
625, 8, 1147, 0, 56205, 141, 57501
631, 8, 1191, 0, 56161, 141, 57501
637, 8, 1295, 0, 56059, 139, 57501
643, 8, 1743, 0, 55613, 137, 57501
649, 8, 2312, 0, 55041, 140, 57501
