ts, default broker, COLDPower18, VidyutVanika, EWIIS3, AgentUDE, total
359, 57503, 0, 0, 0, 0, 57503
360, 57503, 0, 0, 0, 0, 57503
361, 7, 0, 11465, 1446, 44585, 57503
367, 9, 0, 11689, 630, 45175, 57503
373, 9, 0, 11898, 373, 45223, 57503
379, 9, 0, 11978, 257, 45259, 57503
385, 8, 0, 12004, 233, 45258, 57503
391, 8, 0, 12070, 164, 45261, 57503
397, 8, 0, 12078, 155, 45262, 57503
403, 8, 0, 53414, 601, 3480, 57503
409, 7, 0, 56654, 500, 342, 57503
415, 6, 0, 57026, 451, 20, 57503
421, 6, 0, 57106, 391, 0, 57503
427, 5, 0, 57094, 404, 0, 57503
433, 5, 0, 56807, 661, 30, 57503
439, 5, 0, 56552, 916, 30, 57503
445, 5, 0, 56030, 1407, 61, 57503
451, 5, 0, 55786, 1621, 91, 57503
457, 5, 0, 55925, 1483, 90, 57503
463, 5, 0, 56136, 1272, 90, 57503
469, 6, 0, 56326, 1081, 90, 57503
475, 5, 0, 56210, 932, 356, 57503
481, 5, 0, 56230, 911, 357, 57503
487, 6, 0, 56611, 883, 3, 57503
493, 7, 0, 56854, 639, 3, 57503
499, 8, 0, 56936, 556, 3, 57503
505, 6, 0, 56978, 516, 3, 57503
511, 5, 0, 56945, 406, 147, 57503
517, 5, 0, 56965, 386, 147, 57503
523, 5, 0, 57055, 326, 117, 57503
529, 5, 0, 57244, 220, 34, 57503
535, 5, 0, 57279, 186, 33, 57503
541, 6, 0, 57316, 148, 33, 57503
547, 7, 0, 57350, 112, 34, 57503
553, 6, 0, 57356, 107, 34, 57503
559, 6, 0, 57365, 99, 33, 57503
565, 6, 0, 57365, 99, 33, 57503
571, 6, 0, 57417, 77, 3, 57503
577, 6, 0, 57429, 65, 3, 57503
583, 6, 0, 57431, 63, 3, 57503
589, 7, 0, 57431, 62, 3, 57503
595, 6, 0, 57431, 63, 3, 57503
601, 7, 0, 57428, 64, 4, 57503
607, 7, 0, 57427, 66, 3, 57503
613, 2, 0, 57269, 75, 157, 57503
619, 2, 0, 57267, 77, 157, 57503
625, 4, 0, 57304, 68, 127, 57503
631, 3, 0, 57336, 66, 98, 57503
637, 3, 0, 57220, 62, 218, 57503
643, 3, 0, 57250, 62, 188, 57503
649, 2, 0, 57278, 64, 159, 57503
655, 4, 0, 57429, 62, 8, 57503
661, 21, 0, 57414, 61, 7, 57503
667, 24, 0, 57389, 62, 28, 57503
673, 28, 0, 57378, 63, 34, 57503
679, 14, 0, 57410, 63, 16, 57503
685, 9, 0, 57418, 62, 14, 57503
691, 8, 0, 57422, 64, 9, 57503
697, 5, 0, 57423, 68, 7, 57503
703, 4, 0, 57425, 68, 6, 57503
709, 4, 0, 57426, 66, 7, 57503
715, 5, 0, 57428, 64, 6, 57503
721, 5, 0, 57431, 61, 6, 57503
727, 4, 0, 57433, 60, 6, 57503
733, 5, 0, 57434, 58, 6, 57503
739, 0, 0, 57434, 61, 8, 57503
745, 0, 0, 57433, 62, 8, 57503
751, 0, 0, 57432, 62, 9, 57503
757, 0, 0, 57432, 62, 9, 57503
763, 0, 0, 56982, 63, 458, 57503
