ts, default broker, CrocodileAgent, EWIIS3, VidyutVanika, AgentUDE, total
359, 57510, 0, 0, 0, 0, 57510
360, 57510, 0, 0, 0, 0, 57510
361, 14, 841, 6623, 19537, 30495, 57510
367, 11, 941, 3868, 21083, 31607, 57510
373, 10, 962, 2300, 22545, 31693, 57510
379, 11, 1108, 1168, 23506, 31717, 57510
385, 12, 1322, 614, 23822, 31740, 57510
391, 12, 1341, 592, 23827, 31738, 57510
397, 11, 1342, 558, 23863, 31736, 57510
403, 10, 8991, 796, 45719, 1994, 57510
409, 9, 9413, 756, 47198, 134, 57510
415, 11, 9481, 674, 47342, 2, 57510
421, 10, 9504, 632, 47360, 4, 57510
427, 11, 9502, 616, 47377, 4, 57510
433, 11, 9424, 2776, 45248, 51, 57510
439, 11, 9174, 5183, 43087, 55, 57510
445, 3, 8945, 7869, 40532, 161, 57510
451, 0, 8750, 8822, 39744, 194, 57510
457, 1, 8642, 8752, 39830, 285, 57510
463, 1, 8501, 8120, 40632, 256, 57510
469, 1, 8408, 7550, 41295, 256, 57510
475, 1, 5994, 6896, 44246, 373, 57510
481, 0, 4703, 6658, 45506, 643, 57510
487, 0, 3032, 6284, 48165, 29, 57510
493, 1, 2171, 5745, 49475, 118, 57510
499, 1, 1684, 5415, 50293, 117, 57510
505, 1, 1175, 4336, 51879, 119, 57510
511, 1, 941, 3832, 52616, 120, 57510
517, 1, 732, 3524, 53135, 118, 57510
523, 1, 672, 3223, 53496, 118, 57510
529, 3, 644, 3031, 53802, 30, 57510
535, 0, 590, 2972, 53913, 35, 57510
541, 1, 696, 2746, 54033, 34, 57510
547, 1, 1106, 2326, 54040, 37, 57510
553, 0, 2203, 2129, 53142, 36, 57510
559, 1, 3098, 1828, 52545, 38, 57510
565, 2, 3591, 1557, 52321, 39, 57510
571, 3, 4362, 1464, 51641, 40, 57510
577, 2, 5195, 1026, 51247, 40, 57510
583, 0, 6413, 832, 50225, 40, 57510
589, 2, 6967, 826, 49554, 161, 57510
595, 1, 7022, 796, 49409, 282, 57510
601, 1, 6981, 797, 48909, 822, 57510
607, 0, 6940, 773, 48855, 942, 57510
613, 2, 6907, 748, 48891, 962, 57510
619, 1, 6664, 753, 48779, 1313, 57510
625, 4, 6310, 748, 48902, 1546, 57510
631, 3, 5914, 736, 49311, 1546, 57510
637, 3, 5348, 716, 49749, 1694, 57510
643, 2, 4877, 717, 50103, 1811, 57510
649, 1, 4405, 699, 50593, 1812, 57510
655, 2, 3280, 677, 53357, 194, 57510
661, 2, 1747, 671, 54274, 816, 57510
667, 0, 1299, 675, 54635, 901, 57510
673, 0, 1207, 678, 54726, 899, 57510
679, 1, 1011, 676, 54804, 1018, 57510
685, 1, 965, 671, 54503, 1370, 57510
691, 0, 1149, 665, 54209, 1487, 57510
697, 2, 1876, 690, 54455, 487, 57510
703, 15, 1959, 696, 54473, 367, 57510
709, 17, 1990, 699, 54447, 357, 57510
715, 24, 2347, 694, 54080, 365, 57510
721, 25, 3267, 661, 53159, 398, 57510
727, 17, 4853, 664, 51570, 406, 57510
733, 6, 6403, 660, 50081, 360, 57510
739, 1, 7463, 646, 49341, 59, 57510
745, 3, 8164, 642, 48651, 50, 57510
751, 1, 10085, 506, 46870, 48, 57510
757, 0, 10247, 505, 46498, 260, 57510
763, 0, 10047, 499, 46703, 261, 57510
769, 3, 9829, 493, 46651, 534, 57510
775, 0, 9552, 502, 46925, 531, 57510
781, 0, 8957, 507, 47749, 297, 57510
787, 1, 8719, 500, 47995, 295, 57510
793, 1, 8242, 477, 48515, 275, 57510
799, 1, 7887, 481, 48887, 254, 57510
805, 1, 7039, 459, 49758, 253, 57510
811, 0, 5859, 465, 50993, 193, 57510
817, 1, 4735, 462, 52013, 299, 57510
823, 0, 3344, 461, 53666, 39, 57510
829, 0, 2013, 462, 54753, 282, 57510
835, 1, 1429, 443, 55170, 467, 57510
841, 3, 1309, 442, 55214, 542, 57510
847, 1, 999, 445, 55642, 423, 57510
853, 1, 848, 446, 55822, 393, 57510
859, 1, 729, 447, 56002, 331, 57510
865, 1, 604, 327, 56571, 7, 57510
871, 1, 910, 323, 56246, 30, 57510
877, 1, 1035, 322, 56125, 27, 57510
883, 1, 1599, 320, 55563, 27, 57510
889, 1947, 1885, 317, 53331, 30, 57510
895, 2384, 2670, 298, 52128, 30, 57510
901, 2394, 3306, 302, 51478, 30, 57510
907, 2471, 3832, 301, 50876, 30, 57510
913, 2426, 4887, 279, 49785, 133, 57510
919, 2576, 5315, 276, 49210, 133, 57510
925, 2768, 5733, 275, 48601, 133, 57510
931, 2980, 5712, 274, 48410, 134, 57510
937, 3099, 5512, 278, 48486, 135, 57510
943, 3306, 5502, 279, 48162, 261, 57510
949, 3418, 5385, 289, 48356, 62, 57510
955, 3758, 4977, 289, 48425, 61, 57510
961, 3722, 4793, 286, 48506, 203, 57510
967, 3669, 3972, 266, 49401, 202, 57510
973, 3639, 3597, 265, 49773, 236, 57510
979, 3589, 3024, 263, 50398, 236, 57510
985, 3619, 2495, 264, 50867, 265, 57510
991, 3633, 2005, 266, 51577, 29, 57510
997, 3660, 1891, 267, 51662, 30, 57510
1003, 3555, 1449, 267, 52209, 30, 57510
1009, 3506, 940, 268, 52765, 31, 57510
1015, 3426, 910, 265, 52878, 31, 57510
1021, 3516, 666, 265, 52922, 141, 57510
1027, 3525, 429, 265, 53150, 141, 57510
1033, 3471, 643, 265, 52960, 171, 57510
1039, 3532, 858, 266, 52753, 101, 57510
1045, 3546, 1318, 259, 52313, 74, 57510
1051, 3533, 1676, 257, 51971, 73, 57510
1057, 3637, 3610, 236, 49954, 73, 57510
1063, 3551, 4140, 239, 49538, 42, 57510
1069, 3449, 4920, 239, 48861, 41, 57510
1075, 3335, 5434, 239, 48495, 7, 57510
1081, 3203, 6359, 242, 47696, 10, 57510
1087, 3187, 6795, 219, 47299, 10, 57510
1093, 3221, 6961, 218, 47100, 10, 57510
1099, 3257, 6966, 221, 47055, 11, 57510
1105, 3157, 7301, 219, 46821, 12, 57510
