ts, default broker, CrocodileAgent, VidyutVanika, AgentUDE, Bunnie, total
359, 57505, 0, 0, 0, 0, 57505
360, 57505, 0, 0, 0, 0, 57505
361, 3, 3678, 17538, 22918, 13368, 57505
367, 3, 3669, 17532, 22916, 13385, 57505
373, 1, 3806, 18199, 24460, 11039, 57505
379, 3, 3838, 18611, 25175, 9878, 57505
385, 13, 4022, 19024, 26385, 8061, 57505
391, 13, 4117, 19107, 27166, 7102, 57505
397, 24, 4110, 19101, 27599, 6671, 57505
403, 22, 4207, 19575, 1925, 31776, 57505
409, 21, 4238, 19581, 141, 33524, 57505
415, 15, 4242, 19587, 19, 33642, 57505
421, 19, 4198, 19596, 201, 33491, 57505
427, 20, 3865, 19598, 204, 33818, 57505
433, 12, 2808, 17425, 161, 37099, 57505
439, 6, 1955, 15328, 156, 40060, 57505
445, 1, 1798, 14132, 31, 41543, 57505
451, 2, 1475, 12629, 1, 43398, 57505
457, 20, 1046, 11057, 0, 45382, 57505
463, 26, 945, 10280, 14, 46240, 57505
469, 19, 692, 9755, 25, 47014, 57505
475, 21, 456, 9144, 23, 47861, 57505
481, 3, 355, 8657, 9, 48481, 57505
487, 2, 280, 8241, 7, 48975, 57505
493, 1, 207, 7858, 18, 49421, 57505
499, 1, 187, 7828, 18, 49471, 57505
505, 2, 223, 7652, 6, 49622, 57505
511, 0, 193, 8298, 4, 49010, 57505
517, 0, 599, 10670, 149, 46087, 57505
523, 1, 1529, 15408, 283, 40284, 57505
529, 2, 2884, 19337, 64, 35218, 57505
535, 1, 3316, 20053, 4, 34131, 57505
541, 2, 4018, 21956, 4, 31525, 57505
547, 0, 4622, 23795, 6, 29082, 57505
553, 0, 5240, 25501, 6, 26758, 57505
559, 1, 5460, 25759, 5, 26280, 57505
565, 1, 5571, 25725, 63, 26145, 57505
571, 1, 5520, 25650, 8, 26326, 57505
577, 1, 5477, 25628, 121, 26278, 57505
583, 1, 5297, 25337, 178, 26692, 57505
589, 1, 5240, 24694, 266, 27304, 57505
595, 1, 4970, 23209, 384, 28941, 57505
601, 1, 4464, 20593, 930, 31517, 57505
607, 1, 3414, 17572, 1062, 35456, 57505
613, 1, 2972, 15734, 65, 38733, 57505
619, 1, 2307, 14014, 4, 41179, 57505
625, 1, 1936, 12842, 3, 42723, 57505
631, 1, 1620, 11223, 3, 44658, 57505
637, 0, 1230, 10472, 4, 45799, 57505
643, 0, 1031, 9611, 4, 46859, 57505
649, 0, 684, 9319, 4, 47498, 57505
655, 1, 522, 8625, 4, 48353, 57505
661, 1, 333, 8123, 8, 49040, 57505
667, 3, 333, 7990, 6, 49173, 57505
673, 3, 263, 7870, 5, 49364, 57505
679, 19, 170, 7914, 301, 49101, 57505
685, 15, 462, 10240, 473, 46315, 57505
691, 8, 671, 13504, 461, 42861, 57505
697, 5, 1956, 17018, 102, 38424, 57505
703, 3, 2474, 18018, 5, 37005, 57505
709, 2, 2758, 19329, 5, 35411, 57505
715, 2, 3537, 22036, 5, 31925, 57505
721, 2, 4714, 23244, 4, 29541, 57505
727, 2, 4906, 23434, 3, 29160, 57505
733, 1, 4992, 23485, 78, 28949, 57505
739, 0, 4966, 23414, 4, 29121, 57505
745, 0, 4926, 23430, 77, 29072, 57505
751, 0, 4736, 23277, 77, 29415, 57505
757, 0, 4565, 22123, 77, 30740, 57505
763, 0, 4183, 21061, 78, 32183, 57505
769, 0, 3998, 19731, 90, 33686, 57505
775, 0, 3599, 18540, 90, 35276, 57505
781, 0, 2859, 16731, 15, 37900, 57505
787, 17, 2487, 15457, 15, 39529, 57505
793, 14, 1901, 13913, 31, 41646, 57505
799, 17, 1177, 11534, 50, 44727, 57505
805, 15, 683, 10214, 240, 46353, 57505
811, 13, 466, 9373, 383, 47270, 57505
817, 6, 420, 9248, 373, 47458, 57505
823, 2, 325, 9061, 67, 48050, 57505
829, 2, 257, 8770, 7, 48469, 57505
835, 1, 252, 8511, 6, 48735, 57505
841, 1, 272, 8164, 7, 49061, 57505
847, 1, 221, 8400, 7, 48876, 57505
853, 2, 759, 10650, 8, 46086, 57505
859, 2, 1121, 13102, 7, 43273, 57505
865, 2, 1952, 16963, 4, 38584, 57505
871, 1, 2576, 19885, 4, 35039, 57505
877, 1, 3642, 25184, 36, 28642, 57505
883, 0, 3792, 25520, 35, 28158, 57505
889, 1, 3759, 31157, 3, 22585, 57505
895, 1, 3756, 35090, 2, 18656, 57505
901, 1, 3711, 38509, 2, 15282, 57505
907, 2, 3460, 41891, 0, 12152, 57505
913, 1949, 3504, 35658, 79, 16315, 57505
919, 2112, 3539, 17217, 210, 34427, 57505
925, 3240, 3485, 16930, 247, 33603, 57505
