ts, default broker, CrocodileAgent, SPOT, EWIIS3, AgentUDE, total
359, 57511, 0, 0, 0, 0, 57511
360, 57511, 0, 0, 0, 0, 57511
361, 6731, 1166, 93, 1726, 47795, 57511
367, 6768, 1277, 95, 762, 48609, 57511
373, 6602, 1480, 94, 549, 48786, 57511
379, 6739, 1357, 94, 506, 48815, 57511
385, 6676, 1484, 94, 444, 48813, 57511
391, 6740, 1498, 94, 337, 48842, 57511
397, 6760, 1506, 93, 248, 48904, 57511
403, 6794, 43369, 94, 2551, 4703, 57511
409, 6853, 49809, 93, 463, 293, 57511
415, 6892, 50077, 93, 439, 10, 57511
421, 6836, 50195, 95, 374, 11, 57511
427, 6852, 50177, 96, 345, 41, 57511
433, 6900, 49969, 94, 507, 41, 57511
439, 6730, 49882, 93, 765, 41, 57511
445, 6731, 49754, 93, 863, 70, 57511
451, 6565, 49707, 94, 1044, 101, 57511
457, 6623, 49607, 93, 1088, 100, 57511
463, 6653, 49516, 94, 1068, 180, 57511
469, 6621, 49551, 93, 1004, 242, 57511
475, 6569, 44525, 961, 1001, 4455, 57511
481, 6561, 40205, 693, 931, 9121, 57511
487, 6535, 33557, 3897, 1145, 12377, 57511
493, 6648, 26969, 4674, 1235, 17985, 57511
499, 6755, 20260, 6421, 1191, 22884, 57511
505, 6717, 14506, 8073, 1077, 27138, 57511
511, 6766, 12222, 8507, 1028, 28988, 57511
517, 6793, 10464, 8849, 1007, 30398, 57511
523, 6828, 9959, 9099, 883, 30742, 57511
529, 6788, 23088, 8743, 749, 18143, 57511
535, 6769, 25281, 5079, 491, 19891, 57511
541, 6720, 27445, 3089, 277, 19980, 57511
547, 6753, 29791, 1217, 206, 19544, 57511
553, 6750, 30842, 296, 143, 19480, 57511
559, 6730, 32158, 110, 142, 18371, 57511
565, 6786, 32299, 90, 85, 18251, 57511
571, 6798, 49775, 90, 62, 786, 57511
577, 6769, 50588, 90, 56, 8, 57511
583, 6736, 50618, 90, 58, 9, 57511
589, 6700, 50625, 90, 56, 40, 57511
595, 6704, 50526, 148, 63, 70, 57511
601, 6769, 49328, 749, 131, 534, 57511
607, 6705, 47942, 1474, 77, 1313, 57511
613, 6735, 45249, 3879, 79, 1569, 57511
619, 6649, 41862, 5144, 79, 3777, 57511
625, 6743, 35448, 9221, 72, 6027, 57511
631, 6648, 32540, 10790, 71, 7462, 57511
637, 6626, 29522, 12671, 71, 8621, 57511
643, 6648, 23392, 15762, 71, 11638, 57511
649, 6713, 16052, 20336, 155, 14255, 57511
655, 6720, 14290, 25073, 208, 11220, 57511
661, 6780, 12130, 25976, 210, 12415, 57511
667, 6844, 8661, 27126, 173, 14707, 57511
673, 6906, 7168, 26841, 126, 16470, 57511
679, 6853, 7125, 26695, 94, 16744, 57511
685, 6883, 7122, 24988, 94, 18424, 57511
691, 6911, 10587, 21039, 79, 18895, 57511
697, 6883, 22799, 19252, 83, 8494, 57511
703, 6871, 26610, 14864, 75, 9091, 57511
709, 6851, 31917, 10732, 58, 7953, 57511
715, 6723, 37837, 7145, 50, 5756, 57511
721, 6687, 41586, 5043, 50, 4145, 57511
727, 6740, 44758, 3482, 46, 2485, 57511
733, 6758, 46312, 2471, 45, 1925, 57511
739, 6761, 49028, 1631, 43, 48, 57511
745, 6845, 49237, 1310, 42, 77, 57511
751, 6907, 49504, 1000, 53, 47, 57511
757, 6777, 49773, 871, 41, 49, 57511
763, 6788, 49543, 811, 47, 322, 57511
769, 6783, 46243, 1758, 54, 2673, 57511
775, 6785, 44554, 2403, 56, 3713, 57511
781, 6841, 39211, 3617, 137, 7705, 57511
787, 6821, 35807, 4299, 135, 10449, 57511
793, 6868, 31637, 3092, 179, 15735, 57511
799, 6788, 24561, 4936, 454, 20772, 57511
805, 6859, 21907, 5398, 471, 22876, 57511
811, 6846, 17881, 6181, 302, 26301, 57511
817, 6753, 12850, 7041, 243, 30624, 57511
823, 6785, 10820, 10085, 715, 29106, 57511
829, 6612, 9708, 10182, 494, 30515, 57511
835, 6679, 8113, 9866, 342, 32511, 57511
841, 6729, 6713, 9384, 284, 34401, 57511
847, 6820, 5643, 8782, 286, 35980, 57511
853, 6869, 4970, 7966, 226, 37480, 57511
859, 6843, 5216, 7507, 154, 37791, 57511
865, 6750, 35064, 6458, 102, 9137, 57511
871, 6729, 36808, 4710, 68, 9196, 57511
877, 6822, 37942, 3648, 63, 9036, 57511
883, 6817, 39162, 2770, 59, 8703, 57511
889, 6791, 39908, 2240, 57, 8515, 57511
895, 6735, 41696, 1572, 54, 7454, 57511
901, 6763, 42522, 1161, 51, 7014, 57511
907, 6819, 49651, 959, 49, 33, 57511
913, 6839, 49713, 878, 48, 33, 57511
919, 6791, 50011, 628, 47, 34, 57511
925, 6797, 50110, 519, 48, 37, 57511
931, 6860, 49928, 535, 59, 129, 57511
937, 6830, 48802, 1222, 61, 596, 57511
943, 6879, 47226, 2063, 65, 1278, 57511
949, 6881, 45000, 4145, 76, 1409, 57511
955, 6841, 40230, 7469, 79, 2892, 57511
961, 6825, 35404, 10709, 140, 4433, 57511
967, 6792, 30073, 13485, 284, 6877, 57511
973, 6787, 26377, 15690, 184, 8473, 57511
979, 6739, 24892, 16570, 323, 8987, 57511
985, 6644, 20998, 19154, 329, 10386, 57511
991, 6740, 17248, 27226, 604, 5693, 57511
997, 6899, 15814, 28240, 476, 6082, 57511
1003, 6948, 13230, 29884, 424, 7025, 57511
1009, 6935, 11252, 31229, 359, 7736, 57511
1015, 6968, 11140, 30958, 288, 8157, 57511
1021, 6866, 12151, 29733, 261, 8500, 57511
1027, 6792, 15087, 26956, 162, 8514, 57511
1033, 6854, 27743, 22410, 157, 347, 57511
1039, 6814, 31937, 18257, 155, 348, 57511
1045, 6742, 35850, 14444, 128, 347, 57511
1051, 6805, 39481, 10803, 125, 297, 57511
