ts, default broker, SPOT, EWIIS3, VidyutVanika, Bunnie, total
359, 57517, 0, 0, 0, 0, 57517
360, 57517, 0, 0, 0, 0, 57517
361, 7, 151, 271, 26328, 30760, 57517
367, 4, 155, 151, 26396, 30811, 57517
373, 7, 248, 133, 29858, 27271, 57517
379, 6, 330, 182, 32132, 24867, 57517
385, 6, 3, 115, 33894, 23499, 57517
391, 5, 4, 116, 34109, 23283, 57517
397, 3, 3, 122, 34163, 23226, 57517
403, 2, 3, 178, 34160, 23174, 57517
409, 2, 3, 245, 34228, 23039, 57517
415, 3, 3, 231, 34225, 23055, 57517
421, 3, 3, 193, 34300, 23018, 57517
427, 1, 2, 182, 34300, 23032, 57517
433, 0, 3, 129, 30206, 27179, 57517
439, 0, 3, 123, 28404, 28987, 57517
445, 0, 4, 208, 23483, 33822, 57517
451, 1, 3, 180, 20096, 37237, 57517
457, 1, 3, 177, 17637, 39699, 57517
463, 1, 3, 140, 14783, 42590, 57517
469, 1, 4, 120, 13569, 43823, 57517
475, 1, 3, 116, 12020, 45377, 57517
481, 1, 3, 113, 11075, 46325, 57517
487, 2, 2, 109, 9961, 47443, 57517
493, 2, 1, 107, 8821, 48586, 57517
499, 2, 13, 105, 8915, 48482, 57517
505, 1, 14, 104, 8589, 48809, 57517
511, 1, 158, 102, 8404, 48852, 57517
517, 1, 158, 77, 11284, 45997, 57517
523, 1, 149, 67, 12703, 44597, 57517
529, 1, 149, 65, 16165, 41137, 57517
535, 2, 149, 51, 18202, 39113, 57517
541, 2, 149, 42, 21136, 36188, 57517
547, 2, 149, 41, 25211, 32114, 57517
553, 2, 117, 39, 26656, 30703, 57517
559, 2, 92, 37, 26820, 30566, 57517
565, 2, 93, 38, 26969, 30415, 57517
571, 1, 62, 38, 26673, 30743, 57517
577, 1, 32, 38, 26294, 31152, 57517
583, 1, 33, 28, 26263, 31192, 57517
589, 0, 33, 29, 25797, 31658, 57517
595, 0, 5, 26, 23870, 33616, 57517
601, 1, 5, 25, 23056, 34430, 57517
607, 1, 6, 25, 21051, 36434, 57517
613, 1, 36, 24, 19014, 38442, 57517
619, 1, 35, 24, 15368, 42089, 57517
625, 1, 35, 23, 14082, 43376, 57517
631, 2, 36, 22, 12623, 44834, 57517
637, 2, 35, 22, 10736, 46722, 57517
643, 2, 34, 23, 10032, 47426, 57517
649, 1, 35, 24, 9899, 47558, 57517
655, 1, 34, 24, 9152, 48306, 57517
661, 1, 33, 25, 9078, 48380, 57517
667, 1, 32, 24, 8740, 48720, 57517
673, 1, 3, 23, 8675, 48815, 57517
679, 1, 4, 24, 8510, 48978, 57517
685, 1, 4, 24, 10105, 47383, 57517
691, 1, 5, 23, 13091, 44397, 57517
697, 1, 5, 24, 15744, 41743, 57517
703, 1, 3, 23, 18915, 38575, 57517
709, 1, 4, 22, 20257, 37233, 57517
715, 1, 4, 23, 22733, 34756, 57517
721, 1, 5, 21, 23659, 33831, 57517
727, 2, 4, 23, 23729, 33759, 57517
733, 2, 5, 22, 23472, 34016, 57517
739, 3, 5, 22, 23316, 34171, 57517
745, 3, 4, 23, 23200, 34287, 57517
751, 2, 2, 24, 23081, 34408, 57517
757, 3, 2, 22, 22669, 34821, 57517
