ts, default broker, SPOT, COLDPower18, VidyutVanika, EWIIS3, total
359, 57518, 0, 0, 0, 0, 57518
360, 57518, 0, 0, 0, 0, 57518
361, 17, 1412, 0, 51529, 4560, 57518
367, 17, 1410, 0, 53713, 2378, 57518
373, 16, 1407, 0, 54504, 1591, 57518
379, 15, 1438, 0, 54839, 1226, 57518
385, 15, 125, 0, 56213, 1165, 57518
391, 15, 125, 0, 56544, 834, 57518
397, 12, 155, 0, 56563, 788, 57518
403, 12, 155, 0, 56624, 727, 57518
409, 12, 6, 0, 56837, 663, 57518
415, 12, 5, 0, 56928, 573, 57518
421, 12, 6, 0, 57002, 498, 57518
427, 12, 6, 0, 57059, 441, 57518
433, 12, 7, 0, 57145, 354, 57518
439, 12, 8, 0, 57026, 472, 57518
445, 11, 8, 0, 57060, 439, 57518
451, 11, 7, 0, 57085, 415, 57518
457, 11, 6, 0, 57128, 373, 57518
463, 11, 6, 0, 57191, 310, 57518
469, 11, 6, 0, 57202, 299, 57518
475, 11, 7, 0, 57242, 258, 57518
481, 10, 4, 0, 57265, 239, 57518
487, 11, 5, 0, 57264, 238, 57518
493, 13, 154, 0, 57153, 198, 57518
499, 14, 156, 0, 57152, 196, 57518
505, 12, 155, 0, 57153, 198, 57518
511, 12, 152, 0, 57177, 177, 57518
517, 12, 152, 0, 57178, 176, 57518
523, 12, 153, 0, 57029, 324, 57518
529, 11, 153, 0, 57063, 291, 57518
535, 10, 124, 0, 57098, 286, 57518
541, 11, 36, 0, 57245, 226, 57518
547, 11, 36, 0, 57246, 225, 57518
553, 11, 35, 0, 57278, 194, 57518
559, 10, 7, 0, 57337, 164, 57518
565, 10, 5, 0, 57339, 164, 57518
571, 11, 6, 0, 57336, 165, 57518
577, 11, 5, 0, 57337, 165, 57518
583, 12, 5, 0, 57334, 167, 57518
589, 11, 4, 0, 57336, 167, 57518
595, 12, 7, 0, 57337, 162, 57518
601, 12, 7, 0, 57340, 159, 57518
607, 11, 5, 0, 57354, 148, 57518
613, 12, 4, 0, 57354, 148, 57518
619, 11, 4, 0, 57364, 139, 57518
625, 11, 5, 0, 57365, 137, 57518
631, 11, 5, 0, 57368, 134, 57518
637, 12, 5, 0, 57371, 130, 57518
643, 12, 5, 0, 57371, 130, 57518
649, 11, 6, 0, 57367, 134, 57518
655, 11, 7, 0, 57362, 138, 57518
661, 11, 306, 0, 56910, 291, 57518
667, 12, 308, 0, 56968, 230, 57518
