ts, default broker, CrocodileAgent, SPOT, COLDPower18, VidyutVanika, total
359, 57511, 0, 0, 0, 0, 57511
360, 57511, 0, 0, 0, 0, 57511
361, 12, 13143, 5, 0, 44351, 57511
367, 8, 13151, 4, 0, 44348, 57511
373, 10, 13162, 5, 0, 44334, 57511
379, 10, 13160, 6, 0, 44335, 57511
385, 10, 13160, 4, 0, 44337, 57511
391, 7, 13161, 5, 0, 44338, 57511
397, 10, 13151, 5, 0, 44345, 57511
403, 10, 13148, 5, 0, 44348, 57511
409, 8, 13144, 5, 0, 44354, 57511
415, 8, 13142, 5, 0, 44356, 57511
421, 11, 13141, 6, 0, 44353, 57511
427, 9, 13140, 6, 0, 44356, 57511
433, 8, 11606, 6, 0, 45891, 57511
439, 7, 10503, 8, 0, 46993, 57511
445, 7, 8166, 7, 0, 49331, 57511
451, 8, 5844, 5, 0, 51654, 57511
457, 8, 4915, 36, 0, 52552, 57511
463, 6, 3868, 37, 0, 53600, 57511
469, 9, 2820, 34, 0, 54648, 57511
475, 7, 2034, 36, 0, 55434, 57511
481, 6, 1836, 34, 0, 55635, 57511
487, 6, 1288, 37, 0, 56180, 57511
493, 8, 851, 138, 0, 56514, 57511
499, 9, 1066, 242, 0, 56194, 57511
505, 9, 1188, 4, 0, 56310, 57511
511, 7, 1038, 4, 0, 56462, 57511
517, 9, 1006, 3, 0, 56493, 57511
523, 7, 1237, 4, 0, 56263, 57511
529, 7, 1592, 3, 0, 55909, 57511
535, 8, 3459, 7, 0, 54037, 57511
541, 5, 3894, 7, 0, 53605, 57511
547, 6, 4632, 7, 0, 52866, 57511
553, 9, 6279, 4, 0, 51219, 57511
559, 7, 6652, 4, 0, 50848, 57511
565, 8, 6586, 3, 0, 50914, 57511
571, 9, 6648, 4, 0, 50850, 57511
577, 8, 6671, 3, 0, 50829, 57511
583, 10, 6466, 5, 0, 51030, 57511
589, 12, 6407, 136, 0, 50956, 57511
595, 11, 6121, 163, 0, 51216, 57511
601, 12, 5939, 4, 0, 51556, 57511
607, 12, 5415, 5, 0, 52079, 57511
613, 9, 4426, 5, 0, 53071, 57511
619, 9, 3824, 4, 0, 53674, 57511
625, 10, 2764, 5, 0, 54732, 57511
631, 11, 1991, 3, 0, 55506, 57511
637, 11, 1619, 4, 0, 55877, 57511
643, 13, 1090, 3, 0, 56405, 57511
649, 10, 752, 5, 0, 56744, 57511
655, 8, 597, 6, 0, 56900, 57511
661, 8, 366, 7, 0, 57130, 57511
667, 8, 309, 10, 0, 57184, 57511
673, 8, 317, 6, 0, 57180, 57511
679, 9, 375, 8, 0, 57119, 57511
685, 10, 632, 6, 0, 56863, 57511
691, 9, 1259, 6, 0, 56237, 57511
697, 9, 1862, 5, 0, 55635, 57511
703, 8, 2245, 2, 0, 55256, 57511
709, 7, 2698, 3, 0, 54803, 57511
715, 8, 3114, 3, 0, 54386, 57511
721, 8, 4087, 2, 0, 53414, 57511
727, 7, 5847, 4, 0, 51653, 57511
733, 7, 6078, 6, 0, 51420, 57511
739, 9, 6322, 6, 0, 51174, 57511
745, 8, 6323, 6, 0, 51174, 57511
751, 9, 6332, 7, 0, 51163, 57511
757, 9, 6185, 9, 0, 51308, 57511
763, 10, 5870, 8, 0, 51623, 57511
769, 9, 5490, 6, 0, 52006, 57511
775, 9, 5196, 8, 0, 52298, 57511
781, 10, 4737, 7, 0, 52757, 57511
787, 8, 4408, 6, 0, 53089, 57511
793, 9, 3970, 3, 0, 53529, 57511
799, 7, 3015, 4, 0, 54485, 57511
805, 9, 1981, 5, 0, 55516, 57511
811, 9, 1600, 5, 0, 55897, 57511
817, 7, 1294, 5, 0, 56205, 57511
823, 6, 1134, 6, 0, 56365, 57511
829, 8, 928, 5, 0, 56570, 57511
835, 9, 717, 5, 0, 56780, 57511
841, 8, 1048, 5, 0, 56450, 57511
847, 8, 1067, 5, 0, 56431, 57511
853, 8, 1344, 4, 0, 56155, 57511
859, 9, 1783, 4, 0, 55715, 57511
865, 6, 2351, 5, 0, 55149, 57511
871, 3, 2307, 5, 0, 55196, 57511
877, 2, 2288, 5, 0, 55216, 57511
883, 4, 2455, 4, 0, 55048, 57511
889, 2, 2636, 57, 0, 54816, 57511
895, 2, 2617, 71, 0, 54821, 57511
901, 3, 2337, 82, 0, 55089, 57511
907, 4, 2242, 88, 0, 55177, 57511
913, 2107, 2060, 93, 0, 53251, 57511
919, 2314, 2048, 93, 0, 53056, 57511
925, 2316, 2830, 452, 0, 51913, 57511
931, 3296, 2741, 452, 0, 51022, 57511
937, 3446, 2404, 451, 0, 51210, 57511
943, 3370, 2193, 411, 0, 51537, 57511
949, 3424, 1840, 412, 0, 51835, 57511
955, 3402, 1760, 411, 0, 51938, 57511
961, 3382, 1615, 412, 0, 52102, 57511
967, 3434, 1388, 297, 0, 52392, 57511
973, 3302, 1212, 216, 0, 52781, 57511
979, 3419, 1089, 186, 0, 52817, 57511
985, 3402, 1167, 166, 0, 52776, 57511
991, 3364, 1168, 167, 0, 52812, 57511
997, 3388, 1284, 167, 0, 52672, 57511
1003, 3343, 1171, 166, 0, 52831, 57511
1009, 3525, 990, 136, 0, 52860, 57511
1015, 3275, 934, 138, 0, 53164, 57511
1021, 3133, 1406, 141, 0, 52831, 57511
1027, 3206, 2353, 141, 0, 51811, 57511
1033, 3198, 4922, 121, 0, 49270, 57511
1039, 3249, 5510, 119, 0, 48633, 57511
1045, 3364, 5777, 117, 0, 48253, 57511
1051, 3517, 6398, 97, 0, 47499, 57511
1057, 3588, 7313, 96, 0, 46514, 57511
1063, 3619, 7387, 97, 0, 46408, 57511
1069, 3741, 7231, 96, 0, 46443, 57511
1075, 3656, 7249, 93, 0, 46513, 57511
1081, 3542, 7196, 93, 0, 46680, 57511
1087, 3590, 7128, 93, 0, 46700, 57511
1093, 3715, 7320, 149, 0, 46327, 57511
