ts, default broker, COLDPower18, EWIIS3, AgentUDE, Bunnie, total
359, 57513, 0, 0, 0, 0, 57513
360, 57513, 0, 0, 0, 0, 57513
361, 6888, 0, 381, 24947, 25297, 57513
367, 6881, 0, 164, 25058, 25410, 57513
373, 6722, 0, 130, 29491, 21170, 57513
379, 6733, 0, 68, 32089, 18623, 57513
385, 6810, 0, 122, 33680, 16901, 57513
391, 6880, 0, 120, 34857, 15656, 57513
397, 6928, 0, 71, 36258, 14256, 57513
403, 6935, 0, 381, 10104, 40093, 57513
409, 6982, 0, 271, 8332, 41928, 57513
415, 6975, 0, 204, 9709, 40625, 57513
421, 7010, 0, 247, 12039, 38217, 57513
427, 7014, 0, 274, 14177, 36048, 57513
433, 6953, 0, 199, 16151, 34210, 57513
439, 6986, 0, 150, 18423, 31954, 57513
445, 6876, 0, 259, 12790, 37588, 57513
451, 6855, 0, 191, 14656, 35811, 57513
457, 6890, 0, 168, 16133, 34322, 57513
463, 6922, 0, 144, 18282, 32165, 57513
469, 6939, 0, 112, 19971, 30491, 57513
475, 6941, 0, 109, 21480, 28983, 57513
481, 6957, 0, 52, 24142, 26362, 57513
487, 6927, 0, 47, 10321, 40218, 57513
493, 6934, 0, 45, 12364, 38170, 57513
499, 6809, 0, 45, 13003, 37656, 57513
505, 6864, 0, 44, 15592, 35013, 57513
511, 6931, 0, 44, 17482, 33056, 57513
517, 6786, 0, 44, 20191, 30492, 57513
523, 6767, 0, 43, 21836, 28867, 57513
529, 6782, 0, 41, 10389, 40301, 57513
535, 6797, 0, 40, 11447, 39229, 57513
541, 6813, 0, 40, 13380, 37280, 57513
547, 6866, 0, 39, 15948, 34660, 57513
553, 6825, 0, 30, 18750, 31908, 57513
559, 6831, 0, 28, 19887, 30767, 57513
565, 6628, 0, 28, 23358, 27499, 57513
571, 6638, 0, 28, 22973, 27874, 57513
577, 6588, 0, 28, 25893, 25004, 57513
583, 6715, 0, 28, 29207, 21563, 57513
589, 6818, 0, 17, 32975, 17703, 57513
595, 6874, 0, 17, 35307, 15315, 57513
601, 6869, 0, 16, 39049, 11579, 57513
607, 6857, 0, 17, 40578, 10061, 57513
613, 6914, 0, 17, 28656, 21926, 57513
619, 6926, 0, 17, 29182, 21388, 57513
625, 6923, 0, 16, 29168, 21406, 57513
631, 6920, 0, 18, 29642, 20933, 57513
637, 6852, 0, 18, 31286, 19357, 57513
643, 6874, 0, 18, 32399, 18222, 57513
649, 6780, 0, 19, 33447, 17267, 57513
655, 6848, 0, 20, 19834, 30811, 57513
661, 6748, 0, 20, 21414, 29331, 57513
667, 6777, 0, 20, 22473, 28243, 57513
673, 6845, 0, 20, 24766, 25882, 57513
679, 6888, 0, 18, 26334, 24273, 57513
685, 6820, 0, 17, 28175, 22501, 57513
691, 6825, 0, 15, 29756, 20917, 57513
697, 6845, 0, 12, 18281, 32375, 57513
703, 6877, 0, 13, 19596, 31027, 57513
709, 6842, 0, 13, 21725, 28933, 57513
715, 6844, 0, 14, 22220, 28435, 57513
721, 6838, 0, 16, 25264, 25395, 57513
727, 6757, 0, 16, 27192, 23548, 57513
733, 6767, 0, 16, 29334, 21396, 57513
739, 6739, 0, 16, 26602, 24156, 57513
745, 6797, 0, 16, 28542, 22158, 57513
751, 6815, 0, 16, 31052, 19630, 57513
757, 6870, 0, 15, 35184, 15444, 57513
763, 6873, 0, 15, 39095, 11530, 57513
769, 6919, 0, 15, 41202, 9377, 57513
775, 6898, 0, 14, 41496, 9105, 57513
781, 6823, 0, 17, 34845, 15828, 57513
787, 6909, 0, 18, 35819, 14767, 57513
793, 6923, 0, 18, 37534, 13038, 57513
799, 6853, 0, 17, 38106, 12537, 57513
805, 6867, 0, 18, 40822, 9806, 57513
811, 6870, 0, 17, 41619, 9007, 57513
817, 6847, 0, 16, 42519, 8131, 57513
823, 6874, 0, 18, 17250, 33371, 57513
829, 6791, 0, 17, 17399, 33306, 57513
835, 6803, 0, 17, 18084, 32609, 57513
841, 6849, 0, 17, 20633, 30014, 57513
847, 6869, 0, 15, 21415, 29214, 57513
853, 6858, 0, 14, 23186, 27455, 57513
859, 6880, 0, 15, 25151, 25467, 57513
865, 6911, 0, 16, 13259, 37327, 57513
871, 6892, 0, 16, 14622, 35983, 57513
877, 6900, 0, 17, 19014, 31582, 57513
883, 6976, 0, 15, 20487, 30035, 57513
889, 6900, 0, 15, 21812, 28786, 57513
895, 6854, 0, 15, 23585, 27059, 57513
901, 6625, 0, 15, 24584, 26289, 57513
907, 6642, 0, 18, 23162, 27691, 57513
913, 6730, 0, 17, 30109, 20657, 57513
919, 6862, 0, 15, 34430, 16206, 57513
925, 6881, 0, 15, 39576, 11041, 57513
931, 6884, 0, 16, 42239, 8374, 57513
937, 6871, 0, 15, 44149, 6478, 57513
943, 6776, 0, 16, 44537, 6184, 57513
949, 6859, 0, 16, 12772, 37866, 57513
955, 6826, 0, 16, 12882, 37789, 57513
961, 6799, 0, 16, 13627, 37071, 57513
967, 6848, 0, 19, 14708, 35938, 57513
973, 6781, 0, 18, 15694, 35020, 57513
979, 6689, 0, 18, 16561, 34245, 57513
985, 6784, 0, 19, 17504, 33206, 57513
991, 6748, 0, 20, 1586, 49159, 57513
997, 6832, 0, 19, 1806, 48856, 57513
1003, 6863, 0, 17, 2539, 48094, 57513
1009, 6884, 0, 19, 2775, 47835, 57513
1015, 6947, 0, 19, 3060, 47487, 57513
1021, 6935, 0, 19, 3482, 47077, 57513
1027, 6929, 0, 18, 4045, 46521, 57513
1033, 6944, 0, 18, 1173, 49378, 57513
1039, 6953, 0, 18, 1957, 48585, 57513
1045, 6841, 0, 17, 3539, 47116, 57513
1051, 6776, 0, 15, 3679, 47043, 57513
1057, 6759, 0, 15, 5014, 45725, 57513
1063, 6811, 0, 15, 5370, 45317, 57513
1069, 6886, 0, 15, 5998, 44614, 57513
1075, 6916, 0, 15, 1246, 49336, 57513
1081, 6953, 0, 17, 1557, 48986, 57513
1087, 6905, 0, 16, 1854, 48738, 57513
1093, 6883, 0, 14, 2188, 48428, 57513
1099, 6904, 0, 14, 2768, 47827, 57513
1105, 6947, 0, 14, 3354, 47198, 57513
1111, 6879, 0, 13, 3913, 46708, 57513
1117, 6926, 0, 16, 667, 49904, 57513
1123, 6960, 0, 19, 952, 49582, 57513
1129, 6938, 0, 19, 2084, 48472, 57513
1135, 6928, 0, 20, 2671, 47894, 57513
1141, 6925, 0, 19, 3285, 47284, 57513
1147, 6925, 0, 16, 3433, 47139, 57513
1153, 6916, 0, 17, 3859, 46721, 57513
1159, 6902, 0, 17, 122, 50472, 57513
1165, 6964, 0, 16, 627, 49906, 57513
1171, 6982, 0, 18, 1319, 49194, 57513
1177, 6962, 0, 19, 1465, 49067, 57513
1183, 6973, 0, 19, 1603, 48918, 57513
1189, 6960, 0, 19, 1955, 48579, 57513
1195, 6975, 0, 17, 2099, 48422, 57513
1201, 6989, 0, 17, 242, 50265, 57513
1207, 7012, 0, 17, 249, 50235, 57513
1213, 6933, 0, 18, 711, 49851, 57513
1219, 6901, 0, 19, 721, 49872, 57513
1225, 6855, 0, 20, 875, 49763, 57513
1231, 6835, 0, 20, 978, 49680, 57513
1237, 6895, 0, 20, 1075, 49523, 57513
1243, 6955, 0, 20, 434, 50104, 57513
1249, 6952, 0, 18, 582, 49961, 57513
1255, 6975, 0, 19, 1169, 49350, 57513
1261, 6994, 0, 18, 1612, 48889, 57513
1267, 6896, 0, 17, 1759, 48841, 57513
1273, 6858, 0, 17, 2343, 48295, 57513
1279, 6932, 0, 16, 2767, 47798, 57513
1285, 6925, 0, 17, 2235, 48336, 57513
1291, 6861, 0, 14, 3091, 47547, 57513
1297, 6952, 0, 14, 3737, 46810, 57513
1303, 6965, 0, 14, 4624, 45910, 57513
1309, 6935, 0, 13, 4976, 45589, 57513
1315, 6937, 0, 14, 6822, 43740, 57513
1321, 6929, 0, 15, 7782, 42787, 57513
1327, 6969, 0, 15, 1409, 49120, 57513
1333, 7012, 0, 16, 2380, 48105, 57513
1339, 7016, 0, 16, 2757, 47724, 57513
1345, 6984, 0, 16, 2853, 47660, 57513
1351, 7000, 0, 16, 3152, 47345, 57513
1357, 6946, 0, 15, 3618, 46934, 57513
1363, 6841, 0, 16, 4221, 46435, 57513
1369, 6855, 0, 16, 3494, 47148, 57513
1375, 6913, 0, 16, 5268, 45316, 57513
1381, 6826, 0, 17, 6674, 43996, 57513
1387, 6774, 0, 17, 7444, 43278, 57513
1393, 6844, 0, 17, 9722, 40930, 57513
1399, 6845, 0, 18, 10952, 39698, 57513
1405, 6907, 0, 19, 11740, 38847, 57513
1411, 6956, 0, 20, 437, 50100, 57513
1417, 6941, 0, 19, 442, 50111, 57513
1423, 6985, 0, 19, 543, 49966, 57513
1429, 6947, 0, 19, 895, 49652, 57513
1435, 6895, 0, 18, 990, 49610, 57513
1441, 6828, 0, 16, 1183, 49486, 57513
1447, 6832, 0, 16, 1489, 49176, 57513
1453, 6885, 0, 18, 1415, 49195, 57513
1459, 6903, 0, 17, 2000, 48593, 57513
1465, 6934, 0, 15, 2533, 48031, 57513
1471, 6909, 0, 15, 2977, 47612, 57513
1477, 6981, 0, 13, 3542, 46977, 57513
1483, 6978, 0, 15, 4935, 45585, 57513
1489, 6939, 0, 15, 6275, 44284, 57513
1495, 6965, 0, 15, 353, 50180, 57513
1501, 6701, 0, 15, 696, 50101, 57513
1507, 6674, 0, 16, 847, 49976, 57513
1513, 6732, 0, 16, 1433, 49332, 57513
1519, 6791, 0, 16, 1585, 49121, 57513
1525, 6862, 0, 15, 1581, 49055, 57513
1531, 6886, 0, 14, 1679, 48934, 57513
1537, 6871, 0, 17, 189, 50436, 57513
1543, 6851, 0, 17, 194, 50451, 57513
1549, 6879, 0, 17, 196, 50421, 57513
1555, 6854, 0, 18, 198, 50443, 57513
1561, 6861, 0, 17, 352, 50283, 57513
1567, 6883, 0, 17, 653, 49960, 57513
1573, 6844, 0, 16, 1147, 49506, 57513
