ts, default broker, CrocodileAgent, EWIIS3, AgentUDE, Bunnie, total
359, 57509, 0, 0, 0, 0, 57509
360, 57509, 0, 0, 0, 0, 57509
361, 6894, 150, 60, 33787, 16618, 57509
367, 6965, 57, 42, 33816, 16629, 57509
373, 7017, 19, 42, 37830, 12601, 57509
379, 6964, 41, 72, 39437, 10995, 57509
385, 6940, 41, 63, 40744, 9721, 57509
391, 6872, 70, 65, 41291, 9211, 57509
397, 6738, 220, 99, 42366, 8086, 57509
403, 6753, 182, 326, 458, 49790, 57509
409, 6603, 273, 173, 379, 50081, 57509
415, 6595, 318, 319, 359, 49918, 57509
421, 6676, 253, 281, 433, 49866, 57509
427, 6645, 287, 255, 627, 49695, 57509
433, 6632, 255, 158, 601, 49863, 57509
439, 6655, 199, 155, 562, 49938, 57509
445, 6784, 136, 236, 55, 50298, 57509
451, 6812, 307, 270, 34, 50086, 57509
457, 6799, 457, 589, 183, 49481, 57509
463, 6814, 806, 144, 181, 49564, 57509
469, 6879, 1487, 97, 435, 48611, 57509
475, 6786, 3964, 55, 437, 46267, 57509
481, 6748, 10003, 51, 540, 40167, 57509
487, 6756, 11334, 48, 332, 39039, 57509
493, 6769, 12711, 46, 332, 37651, 57509
499, 6864, 14117, 47, 333, 36148, 57509
505, 6868, 15091, 49, 396, 35105, 57509
511, 6802, 15602, 48, 396, 34661, 57509
517, 6724, 15874, 36, 452, 34423, 57509
523, 6616, 15983, 37, 451, 34422, 57509
529, 6686, 15827, 39, 389, 34568, 57509
535, 6575, 15776, 39, 390, 34729, 57509
541, 5889, 15789, 37, 443, 35351, 57509
547, 6172, 14079, 36, 262, 36960, 57509
553, 6334, 10836, 36, 256, 40047, 57509
559, 6366, 7599, 34, 118, 43392, 57509
565, 6582, 6884, 35, 89, 43919, 57509
571, 6643, 4972, 33, 4, 45857, 57509
577, 6620, 3051, 31, 126, 47681, 57509
583, 6729, 2181, 31, 224, 48344, 57509
589, 6722, 1619, 31, 301, 48836, 57509
595, 6597, 1382, 28, 402, 49100, 57509
601, 6628, 953, 30, 546, 49352, 57509
607, 6625, 840, 30, 496, 49518, 57509
613, 6770, 614, 20, 619, 49486, 57509
619, 6740, 522, 20, 588, 49639, 57509
625, 6698, 443, 20, 570, 49778, 57509
631, 6741, 356, 19, 541, 49852, 57509
637, 6586, 739, 20, 494, 49670, 57509
643, 6524, 1609, 20, 406, 48950, 57509
649, 6665, 3152, 18, 322, 47352, 57509
655, 6619, 4427, 19, 3, 46441, 57509
661, 6353, 6933, 19, 3, 44201, 57509
667, 6325, 7727, 18, 4, 43435, 57509
673, 6391, 8710, 18, 4, 42386, 57509
679, 6503, 8965, 19, 6, 42016, 57509
685, 6697, 8773, 19, 6, 42014, 57509
691, 6760, 8596, 20, 6, 42127, 57509
697, 6604, 8647, 20, 6, 42232, 57509
703, 6616, 8648, 21, 5, 42219, 57509
709, 6646, 8452, 20, 5, 42386, 57509
715, 6742, 7661, 30, 4, 43072, 57509
721, 6728, 6717, 28, 35, 44001, 57509
727, 6689, 5812, 19, 35, 44954, 57509
733, 6741, 5196, 19, 35, 45518, 57509
739, 6733, 4767, 19, 34, 45956, 57509
745, 6779, 3904, 20, 34, 46772, 57509
751, 6717, 2602, 22, 34, 48134, 57509
757, 6746, 2034, 19, 35, 48675, 57509
763, 6746, 1439, 20, 22, 49282, 57509
769, 6718, 983, 16, 33, 49759, 57509
775, 6798, 826, 16, 17, 49852, 57509
781, 6589, 694, 17, 8, 50201, 57509
787, 6732, 523, 17, 7, 50230, 57509
793, 6719, 428, 17, 7, 50338, 57509
799, 6720, 445, 15, 6, 50323, 57509
805, 6621, 564, 15, 5, 50304, 57509
811, 6570, 1411, 14, 5, 49509, 57509
817, 6642, 2534, 14, 5, 48314, 57509
823, 6670, 3096, 15, 5, 47723, 57509
829, 6660, 6183, 15, 4, 44647, 57509
835, 6713, 7283, 18, 3, 43492, 57509
841, 6821, 8091, 17, 5, 42575, 57509
847, 6883, 8486, 16, 6, 42118, 57509
853, 6833, 8506, 16, 4, 42150, 57509
859, 6753, 8520, 17, 117, 42102, 57509
865, 6676, 8570, 16, 119, 42128, 57509
871, 6571, 8535, 17, 119, 42267, 57509
877, 6666, 8427, 17, 120, 42279, 57509
883, 6592, 7673, 18, 120, 43106, 57509
889, 6607, 7200, 19, 119, 43564, 57509
895, 6678, 6605, 20, 149, 44057, 57509
901, 6476, 5161, 20, 118, 45734, 57509
907, 6074, 4519, 19, 65, 46832, 57509
913, 6251, 3328, 19, 35, 47876, 57509
919, 6288, 686, 17, 37, 50481, 57509
925, 6477, 275, 19, 34, 50704, 57509
931, 6617, 226, 18, 182, 50466, 57509
937, 6525, 347, 18, 152, 50467, 57509
943, 6625, 232, 19, 168, 50465, 57509
949, 6615, 223, 18, 175, 50478, 57509
955, 6645, 243, 16, 322, 50283, 57509
961, 6709, 296, 13, 309, 50182, 57509
967, 6679, 308, 11, 304, 50207, 57509
973, 6482, 916, 11, 450, 49650, 57509
979, 6479, 2290, 13, 299, 48428, 57509
985, 6601, 7302, 13, 299, 43294, 57509
991, 6703, 12133, 12, 300, 38361, 57509
997, 6792, 17795, 13, 239, 32670, 57509
1003, 6862, 20411, 14, 240, 29982, 57509
1009, 6836, 22611, 13, 250, 27799, 57509
1015, 6753, 22758, 15, 239, 27744, 57509
1021, 6544, 22895, 17, 208, 27845, 57509
1027, 6604, 22839, 19, 207, 27840, 57509
1033, 6607, 22625, 19, 207, 28051, 57509
1039, 6636, 22374, 14, 153, 28332, 57509
1045, 5758, 22640, 13, 122, 28976, 57509
1051, 5588, 21880, 14, 122, 29905, 57509
1057, 5853, 20692, 16, 106, 30842, 57509
1063, 6240, 16135, 14, 104, 35016, 57509
1069, 6502, 13093, 16, 71, 37827, 57509
1075, 6565, 2672, 16, 9, 48247, 57509
1081, 6611, 2149, 17, 5, 48727, 57509
1087, 6625, 1364, 18, 4, 49498, 57509
1093, 6243, 1249, 19, 4, 49994, 57509
1099, 6118, 1108, 19, 4, 50260, 57509
1105, 6158, 1113, 18, 6, 50214, 57509
1111, 6328, 849, 16, 7, 50309, 57509
1117, 6292, 701, 15, 7, 50494, 57509
1123, 6236, 654, 17, 4, 50598, 57509
1129, 6300, 553, 17, 4, 50635, 57509
1135, 6309, 480, 17, 4, 50699, 57509
1141, 5844, 851, 17, 4, 50793, 57509
1147, 6079, 1249, 16, 5, 50160, 57509
1153, 6088, 1779, 14, 5, 49623, 57509
1159, 6232, 3473, 14, 5, 47785, 57509
1165, 6511, 4541, 15, 4, 46438, 57509
1171, 6590, 5641, 15, 4, 45259, 57509
1177, 6591, 7557, 16, 6, 43339, 57509
1183, 6661, 7712, 19, 6, 43111, 57509
1189, 6779, 7638, 18, 6, 43068, 57509
1195, 6825, 7595, 18, 5, 43066, 57509
1201, 6850, 7526, 18, 125, 42990, 57509
1207, 6812, 7567, 18, 5, 43107, 57509
1213, 6801, 7440, 17, 5, 43246, 57509
1219, 6697, 7044, 17, 5, 43746, 57509
1225, 6683, 6573, 20, 5, 44228, 57509
1231, 6620, 5803, 19, 6, 45061, 57509
1237, 6678, 5043, 20, 5, 45763, 57509
1243, 6706, 4621, 22, 7, 46153, 57509
1249, 6729, 3891, 21, 11, 46857, 57509
1255, 6681, 2872, 18, 13, 47925, 57509
1261, 6570, 2246, 16, 14, 48663, 57509
1267, 6431, 1584, 15, 17, 49462, 57509
1273, 6582, 1217, 14, 16, 49680, 57509
1279, 6586, 849, 13, 17, 50044, 57509
1285, 6269, 891, 14, 5, 50330, 57509
1291, 6281, 705, 16, 151, 50356, 57509
1297, 6323, 620, 17, 162, 50387, 57509
1303, 6493, 428, 16, 311, 50261, 57509
1309, 6719, 597, 16, 313, 49864, 57509
1315, 6720, 2454, 15, 303, 48017, 57509
1321, 6749, 3659, 15, 303, 46783, 57509
1327, 6571, 5062, 18, 4, 45854, 57509
1333, 6649, 6284, 16, 5, 44555, 57509
1339, 6712, 7505, 14, 6, 43272, 57509
1345, 6690, 7870, 13, 6, 42930, 57509
1351, 6627, 8188, 14, 6, 42674, 57509
1357, 6398, 8311, 16, 7, 42777, 57509
1363, 6441, 8263, 17, 7, 42781, 57509
1369, 6478, 8286, 15, 7, 42723, 57509
1375, 6667, 8119, 17, 5, 42701, 57509
1381, 6266, 8221, 18, 4, 43000, 57509
1387, 6267, 6947, 19, 3, 44273, 57509
1393, 6409, 5763, 18, 3, 45316, 57509
1399, 6552, 4209, 21, 3, 46724, 57509
1405, 6712, 3492, 20, 3, 47282, 57509
1411, 6787, 659, 20, 271, 49772, 57509
1417, 6742, 491, 18, 272, 49986, 57509
1423, 6742, 211, 18, 272, 50266, 57509
