ts, default broker, CrocodileAgent, VidyutVanika, EWIIS3, Bunnie, total
359, 57506, 0, 0, 0, 0, 57506
360, 57506, 0, 0, 0, 0, 57506
361, 2, 6, 7244, 132, 50122, 57506
367, 3, 5, 7243, 123, 50132, 57506
373, 4, 3, 7243, 519, 49737, 57506
379, 3, 4, 7243, 178, 50078, 57506
385, 3, 3, 7538, 298, 49664, 57506
391, 2, 3, 7538, 203, 49760, 57506
397, 3, 4, 7549, 174, 49776, 57506
403, 3, 5, 7550, 206, 49742, 57506
409, 3, 6, 7833, 169, 49495, 57506
415, 3, 5, 7832, 160, 49506, 57506
421, 3, 4, 8124, 175, 49200, 57506
427, 2, 4, 8124, 181, 49195, 57506
433, 2, 5, 8268, 190, 49041, 57506
439, 3, 4, 8268, 784, 48447, 57506
445, 4, 1, 8238, 708, 48555, 57506
451, 3, 1, 8349, 711, 48442, 57506
457, 2, 1, 8175, 436, 48892, 57506
463, 2, 0, 8428, 349, 48727, 57506
469, 2, 0, 10141, 288, 47075, 57506
475, 2, 102, 11621, 213, 45568, 57506
481, 2, 1044, 14734, 150, 41576, 57506
487, 1, 1605, 16401, 149, 39350, 57506
493, 1, 1710, 18335, 115, 37345, 57506
499, 1, 2399, 19832, 82, 35192, 57506
505, 2, 3315, 21290, 81, 32818, 57506
511, 2, 3561, 21893, 75, 31975, 57506
517, 3, 3555, 21765, 64, 32119, 57506
523, 4, 3553, 21443, 59, 32447, 57506
529, 3, 3554, 21351, 57, 32541, 57506
535, 2, 3554, 21256, 48, 32646, 57506
541, 1, 3522, 20393, 51, 33539, 57506
547, 1, 3522, 19991, 50, 33942, 57506
553, 1, 3143, 18839, 50, 35473, 57506
559, 1, 2715, 17608, 50, 37132, 57506
565, 1, 2565, 16193, 49, 38698, 57506
571, 1, 2275, 14981, 49, 40200, 57506
577, 1, 1430, 12831, 48, 43196, 57506
583, 1, 731, 10319, 47, 46408, 57506
589, 1, 381, 9417, 47, 47660, 57506
595, 1, 221, 8893, 48, 48343, 57506
601, 1, 171, 8583, 47, 48704, 57506
607, 2, 150, 8356, 48, 48950, 57506
613, 3, 130, 7916, 47, 49410, 57506
619, 1, 111, 7737, 48, 49609, 57506
625, 1, 51, 7510, 48, 49896, 57506
631, 1, 31, 8158, 48, 49268, 57506
637, 2, 30, 10111, 48, 47315, 57506
643, 1, 307, 12797, 38, 44363, 57506
649, 1, 1161, 15908, 38, 40398, 57506
655, 1, 2016, 18310, 38, 37141, 57506
661, 1, 3619, 20499, 38, 33349, 57506
667, 2, 4387, 22932, 37, 30148, 57506
673, 2, 4901, 23959, 39, 28605, 57506
679, 2, 5223, 24326, 38, 27917, 57506
685, 2, 5254, 24602, 37, 27611, 57506
691, 2, 5253, 24630, 36, 27585, 57506
697, 2, 5251, 24638, 36, 27579, 57506
703, 2, 5219, 24638, 36, 27611, 57506
709, 2, 5189, 23540, 35, 28740, 57506
715, 1, 4843, 22552, 25, 30085, 57506
721, 2, 4028, 20291, 23, 33162, 57506
727, 2, 3181, 19410, 23, 34890, 57506
733, 2, 1652, 18315, 23, 37514, 57506
739, 2, 904, 16874, 25, 39701, 57506
