ts, default broker, EWIIS3, VidyutVanika, AgentUDE, Bunnie, total
359, 57505, 0, 0, 0, 0, 57505
360, 57505, 0, 0, 0, 0, 57505
361, 3, 35, 14254, 24296, 18917, 57505
367, 3, 31, 14248, 24302, 18921, 57505
373, 1, 23, 14529, 28127, 14825, 57505
379, 1, 20, 14528, 30315, 12641, 57505
385, 1, 39, 14527, 31971, 10967, 57505
391, 1, 41, 14527, 32785, 10151, 57505
397, 1, 42, 14527, 33629, 9306, 57505
403, 1, 165, 14527, 17279, 25533, 57505
409, 1, 155, 14557, 17447, 25345, 57505
415, 1, 242, 14556, 18358, 24348, 57505
421, 2, 194, 14557, 19303, 23449, 57505
427, 1, 152, 14557, 19842, 22953, 57505
433, 1, 157, 12872, 21434, 23041, 57505
439, 1, 128, 11327, 22186, 23863, 57505
445, 2, 126, 9730, 16534, 31113, 57505
451, 2, 122, 9015, 19397, 28969, 57505
457, 1, 103, 8474, 22108, 26819, 57505
463, 1, 59, 7945, 24414, 25086, 57505
469, 0, 57, 7755, 24750, 24943, 57505
475, 1, 59, 7684, 26670, 23091, 57505
481, 1, 24, 7694, 28239, 21547, 57505
487, 2, 21, 8486, 7033, 41963, 57505
493, 2, 19, 9612, 7749, 40123, 57505
499, 2, 19, 10591, 8408, 38485, 57505
505, 3, 18, 10855, 9029, 37600, 57505
511, 3, 18, 12988, 9615, 34881, 57505
517, 3, 18, 16131, 10613, 30740, 57505
523, 3, 18, 17796, 11632, 28056, 57505
529, 5, 14, 21983, 673, 34830, 57505
535, 5, 13, 22101, 725, 34661, 57505
541, 5, 11, 21935, 1438, 34116, 57505
547, 4, 7, 21887, 1614, 33993, 57505
553, 28, 7, 21776, 1584, 34110, 57505
559, 23, 9, 21480, 1837, 34156, 57505
565, 19, 8, 21215, 1944, 34319, 57505
571, 18, 11, 20617, 245, 36614, 57505
577, 19, 11, 20345, 234, 36896, 57505
583, 8, 10, 18885, 222, 38380, 57505
589, 6, 10, 18087, 349, 39053, 57505
595, 3, 12, 15749, 703, 41038, 57505
601, 2, 12, 12526, 1025, 43940, 57505
607, 2, 11, 10871, 1142, 45479, 57505
613, 1, 13, 10288, 154, 47049, 57505
619, 1, 12, 9447, 115, 47930, 57505
625, 1, 11, 8912, 252, 48329, 57505
631, 1, 11, 8481, 272, 48740, 57505
637, 1, 11, 8494, 222, 48777, 57505
643, 1, 11, 8167, 155, 49171, 57505
649, 1, 12, 7875, 328, 49289, 57505
655, 1, 12, 8887, 6, 48599, 57505
661, 1, 11, 12949, 250, 44294, 57505
667, 1, 11, 16911, 992, 39590, 57505
673, 1, 13, 19368, 1124, 36999, 57505
679, 0, 12, 21434, 957, 35102, 57505
685, 0, 12, 25826, 964, 30703, 57505
691, 1, 10, 28167, 939, 28388, 57505
697, 1, 11, 29427, 3, 28063, 57505
703, 2, 11, 29589, 35, 27868, 57505
709, 1, 12, 29376, 36, 28080, 57505
715, 2, 11, 29433, 247, 27812, 57505
721, 2, 10, 29403, 257, 27833, 57505
727, 0, 12, 29030, 227, 28236, 57505
733, 0, 12, 28114, 227, 29152, 57505
739, 0, 13, 25273, 316, 31903, 57505
745, 1, 13, 21793, 653, 35045, 57505
751, 1, 12, 19836, 682, 36974, 57505
757, 1, 10, 18003, 849, 38642, 57505
763, 2, 11, 16456, 990, 40046, 57505
769, 2, 11, 13797, 1042, 42653, 57505
775, 2, 11, 12117, 1092, 44283, 57505
781, 2, 11, 10027, 420, 47045, 57505
787, 2, 11, 9567, 1004, 46921, 57505
793, 1, 12, 9228, 1571, 46693, 57505
799, 1, 12, 8608, 1916, 46968, 57505
805, 1, 12, 8415, 2144, 46933, 57505
811, 1, 10, 8294, 2502, 46698, 57505
817, 0, 12, 8169, 2323, 47001, 57505
823, 1, 11, 8026, 55, 49412, 57505
829, 1, 9, 10514, 387, 46594, 57505
835, 1, 11, 13411, 938, 43144, 57505
841, 1, 13, 18274, 1306, 37911, 57505
847, 1, 11, 20733, 1431, 35329, 57505
853, 1, 12, 22301, 1524, 33667, 57505
859, 1, 12, 23327, 1610, 32555, 57505
865, 3, 11, 27661, 401, 29429, 57505
871, 1, 13, 29836, 401, 27254, 57505
877, 1, 11, 33623, 402, 23468, 57505
883, 1, 11, 34845, 373, 22275, 57505
889, 3, 9, 35844, 394, 21255, 57505
895, 2, 10, 23993, 437, 33063, 57505
901, 2, 11, 25922, 535, 31035, 57505
907, 2, 11, 30278, 82, 27132, 57505
913, 2, 11, 30766, 109, 26617, 57505
919, 2, 11, 16090, 469, 40933, 57505
925, 3, 9, 14030, 764, 42699, 57505
931, 3, 9, 16658, 854, 39981, 57505
