ts, default broker, COLDPower18, VidyutVanika, AgentUDE, Bunnie, total
359, 57506, 0, 0, 0, 0, 57506
360, 57506, 0, 0, 0, 0, 57506
361, 7, 0, 7500, 25222, 24777, 57506
367, 5, 0, 7501, 25223, 24777, 57506
373, 6, 0, 7501, 28482, 21517, 57506
379, 6, 0, 7501, 31482, 18517, 57506
385, 4, 0, 7502, 33352, 16648, 57506
391, 4, 0, 7552, 35316, 14634, 57506
397, 4, 0, 7834, 36132, 13536, 57506
403, 6, 0, 18559, 2901, 36040, 57506
409, 4, 0, 20300, 126, 37076, 57506
415, 5, 0, 22148, 6, 35347, 57506
421, 5, 0, 24141, 3, 33357, 57506
427, 5, 0, 25007, 5, 32489, 57506
433, 5, 0, 27342, 7, 30152, 57506
439, 4, 0, 27483, 8, 30011, 57506
445, 4, 0, 27490, 7, 30005, 57506
451, 2, 0, 27343, 7, 30154, 57506
457, 4, 0, 27258, 6, 30238, 57506
463, 6, 0, 27198, 4, 30298, 57506
469, 5, 0, 27066, 4, 30431, 57506
475, 4, 0, 23414, 5, 34083, 57506
481, 6, 0, 21396, 6, 36098, 57506
487, 5, 0, 19484, 6, 38011, 57506
493, 9, 0, 16477, 4, 41016, 57506
499, 8, 0, 14564, 5, 42929, 57506
505, 7, 0, 13461, 9, 44029, 57506
511, 4, 0, 12083, 11, 45408, 57506
517, 3, 0, 10582, 11, 46910, 57506
523, 2, 0, 9323, 13, 48168, 57506
529, 6, 0, 9083, 153, 48264, 57506
535, 4, 0, 8473, 154, 48875, 57506
541, 3, 0, 7992, 153, 49358, 57506
547, 6, 0, 7889, 153, 49458, 57506
553, 5, 0, 7850, 446, 49205, 57506
559, 3, 0, 8342, 446, 48715, 57506
565, 3, 0, 10161, 418, 46924, 57506
571, 7, 0, 12837, 5, 44657, 57506
577, 4, 0, 16125, 7, 41370, 57506
583, 3, 0, 17956, 8, 39539, 57506
589, 2, 0, 19290, 8, 38206, 57506
595, 2, 0, 22459, 9, 35036, 57506
601, 2, 0, 24971, 10, 32523, 57506
607, 3, 0, 25792, 9, 31702, 57506
613, 4, 0, 25747, 9, 31746, 57506
619, 3, 0, 25623, 8, 31872, 57506
625, 3, 0, 25503, 9, 31991, 57506
631, 3, 0, 25398, 9, 32096, 57506
637, 3, 0, 24049, 9, 33445, 57506
643, 1, 0, 22695, 11, 34799, 57506
649, 3, 0, 21376, 10, 36117, 57506
655, 2, 0, 19893, 9, 37602, 57506
661, 2, 0, 19017, 10, 38477, 57506
667, 4, 0, 17002, 10, 40490, 57506
673, 2, 0, 15564, 11, 41929, 57506
679, 2, 0, 12778, 11, 44715, 57506
685, 2, 0, 11149, 10, 46345, 57506
691, 2, 0, 10090, 9, 47405, 57506
697, 2, 0, 9636, 7, 47861, 57506
703, 2, 0, 9355, 7, 48142, 57506
709, 3, 0, 8764, 8, 48731, 57506
715, 3, 0, 8375, 8, 49120, 57506
721, 5, 0, 8528, 8, 48965, 57506
727, 8, 0, 8401, 7, 49090, 57506
733, 7, 0, 9818, 7, 47674, 57506
739, 7, 0, 11553, 7, 45939, 57506
745, 6, 0, 14943, 8, 42549, 57506
