ts, default broker, SPOT, COLDPower18, EWIIS3, Bunnie, total
359, 57510, 0, 0, 0, 0, 57510
360, 57510, 0, 0, 0, 0, 57510
361, 6891, 0, 0, 170, 50449, 57510
367, 6805, 86, 0, 174, 50445, 57510
373, 6781, 345, 0, 168, 50216, 57510
379, 6798, 348, 0, 146, 50218, 57510
385, 6888, 243, 0, 146, 50233, 57510
391, 6889, 243, 0, 131, 50247, 57510
397, 6938, 243, 0, 248, 50081, 57510
403, 6938, 253, 0, 308, 50011, 57510
409, 6870, 253, 0, 306, 50081, 57510
415, 6895, 254, 0, 291, 50070, 57510
421, 6882, 252, 0, 286, 50090, 57510
427, 6869, 242, 0, 282, 50117, 57510
433, 6819, 213, 0, 242, 50236, 57510
439, 6897, 213, 0, 318, 50082, 57510
445, 6923, 213, 0, 314, 50060, 57510
451, 6890, 183, 0, 515, 49922, 57510
457, 6889, 95, 0, 421, 50105, 57510
463, 6867, 193, 0, 348, 50102, 57510
469, 6914, 193, 0, 317, 50086, 57510
475, 6937, 193, 0, 291, 50089, 57510
481, 6936, 193, 0, 212, 50169, 57510
487, 6934, 202, 0, 189, 50185, 57510
493, 6914, 192, 0, 156, 50248, 57510
499, 6846, 341, 0, 115, 50208, 57510
505, 6861, 323, 0, 113, 50213, 57510
511, 6828, 483, 0, 111, 50088, 57510
517, 6877, 463, 0, 109, 50061, 57510
523, 6892, 444, 0, 102, 50072, 57510
529, 6899, 95, 0, 104, 50412, 57510
535, 6907, 244, 0, 102, 50257, 57510
541, 6903, 244, 0, 100, 50263, 57510
547, 6930, 245, 0, 80, 50255, 57510
553, 6882, 246, 0, 78, 50304, 57510
559, 6903, 245, 0, 82, 50280, 57510
565, 6931, 243, 0, 83, 50253, 57510
571, 6914, 243, 0, 83, 50270, 57510
577, 6922, 213, 0, 81, 50294, 57510
583, 6942, 189, 0, 79, 50300, 57510
589, 6963, 157, 0, 80, 50310, 57510
595, 6970, 98, 0, 78, 50364, 57510
601, 6991, 98, 0, 78, 50343, 57510
607, 6963, 99, 0, 68, 50380, 57510
613, 6971, 98, 0, 66, 50375, 57510
619, 6956, 96, 0, 66, 50392, 57510
625, 6960, 95, 0, 63, 50392, 57510
631, 6900, 96, 0, 53, 50461, 57510
637, 6939, 96, 0, 54, 50421, 57510
643, 6900, 99, 0, 49, 50462, 57510
649, 6866, 101, 0, 46, 50497, 57510
655, 6868, 101, 0, 44, 50497, 57510
661, 6883, 101, 0, 44, 50482, 57510
667, 6891, 96, 0, 47, 50476, 57510
673, 6878, 98, 0, 46, 50488, 57510
679, 6817, 99, 0, 45, 50549, 57510
685, 6793, 99, 0, 46, 50572, 57510
691, 6773, 109, 0, 47, 50581, 57510
697, 6825, 105, 0, 48, 50532, 57510
703, 6833, 106, 0, 48, 50523, 57510
709, 6774, 95, 0, 48, 50593, 57510
715, 6839, 95, 0, 49, 50527, 57510
721, 6840, 95, 0, 49, 50526, 57510
727, 6780, 95, 0, 49, 50586, 57510
733, 6811, 95, 0, 49, 50555, 57510
739, 6833, 96, 0, 49, 50532, 57510
745, 6869, 98, 0, 47, 50496, 57510
751, 6748, 98, 0, 45, 50619, 57510
757, 6826, 97, 0, 44, 50543, 57510
763, 6839, 97, 0, 44, 50530, 57510
769, 6752, 96, 0, 44, 50618, 57510
775, 6733, 99, 0, 44, 50634, 57510
781, 6691, 100, 0, 43, 50676, 57510
787, 6650, 102, 0, 42, 50716, 57510
793, 6720, 93, 0, 47, 50650, 57510
799, 6732, 94, 0, 44, 50640, 57510
805, 6810, 94, 0, 43, 50563, 57510
811, 6805, 93, 0, 43, 50569, 57510
817, 6875, 93, 0, 42, 50500, 57510
823, 6885, 93, 0, 41, 50491, 57510
829, 6864, 93, 0, 41, 50512, 57510
835, 6866, 93, 0, 40, 50511, 57510
841, 6833, 93, 0, 39, 50545, 57510
847, 6765, 93, 0, 39, 50613, 57510
853, 6879, 95, 0, 39, 50497, 57510
859, 6913, 95, 0, 39, 50463, 57510
865, 6905, 93, 0, 40, 50472, 57510
871, 6910, 93, 0, 43, 50464, 57510
877, 6917, 96, 0, 42, 50455, 57510
883, 6918, 96, 0, 41, 50455, 57510
889, 6838, 107, 0, 39, 50526, 57510
895, 6751, 106, 0, 40, 50613, 57510
901, 6786, 96, 0, 40, 50588, 57510
907, 6705, 100, 0, 40, 50665, 57510
913, 6642, 94, 0, 41, 50733, 57510
919, 6712, 93, 0, 42, 50663, 57510
925, 6651, 93, 0, 42, 50724, 57510
931, 6708, 94, 0, 41, 50667, 57510
937, 6730, 93, 0, 44, 50643, 57510
943, 6806, 94, 0, 46, 50564, 57510
949, 6753, 94, 0, 45, 50618, 57510
955, 6795, 94, 0, 44, 50577, 57510
961, 6729, 93, 0, 46, 50642, 57510
967, 6780, 93, 0, 46, 50591, 57510
973, 6837, 95, 0, 44, 50534, 57510
979, 6873, 95, 0, 31, 50511, 57510
985, 6856, 94, 0, 32, 50528, 57510
991, 6754, 94, 0, 33, 50629, 57510
997, 6737, 95, 0, 32, 50646, 57510
1003, 6760, 95, 0, 31, 50624, 57510
1009, 6761, 96, 0, 31, 50622, 57510
1015, 6852, 95, 0, 32, 50531, 57510
1021, 6901, 105, 0, 33, 50471, 57510
1027, 6924, 96, 0, 30, 50460, 57510
1033, 6863, 93, 0, 31, 50523, 57510
1039, 6850, 93, 0, 32, 50535, 57510
1045, 6813, 94, 0, 29, 50574, 57510
1051, 6800, 93, 0, 29, 50588, 57510
1057, 6815, 93, 0, 29, 50573, 57510
1063, 6871, 93, 0, 21, 50525, 57510
1069, 6861, 93, 0, 22, 50534, 57510
1075, 6835, 94, 0, 21, 50560, 57510
1081, 6864, 95, 0, 21, 50530, 57510
1087, 6801, 95, 0, 19, 50595, 57510
1093, 6811, 95, 0, 18, 50586, 57510
1099, 6821, 95, 0, 19, 50575, 57510
1105, 6792, 93, 0, 19, 50606, 57510
1111, 6790, 93, 0, 19, 50608, 57510
1117, 6770, 93, 0, 17, 50630, 57510
1123, 6839, 94, 0, 19, 50558, 57510
