ts, default broker, CrocodileAgent, SPOT, COLDPower18, Bunnie, total
359, 57508, 0, 0, 0, 0, 57508
360, 57508, 0, 0, 0, 0, 57508
361, 6795, 8672, 96, 0, 41945, 57508
367, 6635, 8804, 99, 0, 41970, 57508
373, 6079, 12611, 221, 0, 38597, 57508
379, 6271, 16067, 331, 0, 34839, 57508
385, 6368, 17375, 93, 0, 33672, 57508
391, 6417, 17575, 93, 0, 33423, 57508
397, 6562, 17446, 94, 0, 33406, 57508
403, 6582, 17400, 94, 0, 33432, 57508
409, 6622, 17372, 94, 0, 33420, 57508
415, 6486, 17455, 96, 0, 33471, 57508
421, 6627, 17387, 95, 0, 33399, 57508
427, 6687, 17321, 94, 0, 33406, 57508
433, 6669, 15297, 94, 0, 35448, 57508
439, 6423, 13544, 95, 0, 37446, 57508
445, 6402, 11537, 95, 0, 39474, 57508
451, 6393, 8059, 129, 0, 42927, 57508
457, 6510, 7031, 128, 0, 43839, 57508
463, 6530, 5422, 130, 0, 45426, 57508
469, 6674, 4283, 128, 0, 46423, 57508
475, 6685, 3238, 128, 0, 47457, 57508
481, 6708, 3071, 137, 0, 47592, 57508
487, 6717, 2295, 137, 0, 48359, 57508
493, 6663, 1729, 138, 0, 48978, 57508
499, 6645, 1307, 139, 0, 49417, 57508
505, 6647, 894, 109, 0, 49858, 57508
511, 6713, 664, 94, 0, 50037, 57508
517, 6650, 862, 96, 0, 49900, 57508
523, 6555, 1022, 95, 0, 49836, 57508
529, 6526, 2337, 96, 0, 48549, 57508
535, 6571, 3307, 97, 0, 47533, 57508
541, 6616, 5111, 97, 0, 45684, 57508
547, 6566, 6060, 94, 0, 44788, 57508
553, 6497, 6812, 94, 0, 44105, 57508
559, 6488, 6968, 94, 0, 43958, 57508
565, 6527, 6856, 95, 0, 44030, 57508
571, 6555, 6763, 95, 0, 44095, 57508
577, 6576, 6723, 95, 0, 44114, 57508
583, 6610, 6589, 96, 0, 44213, 57508
589, 6868, 6250, 96, 0, 44294, 57508
595, 6875, 6108, 97, 0, 44428, 57508
601, 6822, 5403, 97, 0, 45186, 57508
607, 6832, 4758, 97, 0, 45821, 57508
