ts, default broker, SPOT, COLDPower18, EWIIS3, AgentUDE, total
359, 57516, 0, 0, 0, 0, 57516
360, 57516, 0, 0, 0, 0, 57516
361, 7019, 1918, 0, 3791, 44788, 57516
367, 7019, 1949, 0, 2200, 46348, 57516
373, 7018, 1951, 0, 1413, 47134, 57516
379, 7019, 1941, 0, 1090, 47466, 57516
385, 7017, 176, 0, 1150, 49173, 57516
391, 7033, 145, 0, 937, 49401, 57516
397, 7036, 150, 0, 868, 49462, 57516
403, 7046, 4455, 0, 43264, 2751, 57516
409, 7042, 5009, 0, 42125, 3340, 57516
415, 7039, 5432, 0, 41769, 3276, 57516
421, 7045, 5756, 0, 41351, 3364, 57516
427, 7054, 6188, 0, 40905, 3369, 57516
433, 7042, 7132, 0, 39750, 3592, 57516
439, 7044, 7589, 0, 39271, 3612, 57516
445, 7043, 6855, 0, 41668, 1950, 57516
451, 7036, 6454, 0, 41478, 2548, 57516
457, 7038, 5845, 0, 40119, 4514, 57516
463, 7019, 6504, 0, 37846, 6147, 57516
469, 7017, 6034, 0, 36824, 7641, 57516
475, 7014, 5941, 0, 34253, 10308, 57516
481, 7011, 6046, 0, 32314, 12145, 57516
487, 7022, 14566, 0, 31961, 3967, 57516
493, 7021, 15064, 0, 31170, 4261, 57516
499, 7021, 15562, 0, 30355, 4578, 57516
505, 7020, 16131, 0, 29454, 4911, 57516
511, 7020, 16668, 0, 28571, 5257, 57516
517, 7020, 17200, 0, 27832, 5464, 57516
523, 7019, 18446, 0, 25809, 6242, 57516
529, 7023, 24067, 0, 25339, 1087, 57516
535, 7020, 24854, 0, 24577, 1065, 57516
541, 7022, 26367, 0, 22794, 1333, 57516
547, 7022, 26976, 0, 22187, 1331, 57516
553, 7019, 27414, 0, 21615, 1468, 57516
559, 7019, 28432, 0, 20509, 1556, 57516
565, 7018, 28974, 0, 19704, 1820, 57516
571, 7021, 31656, 0, 18652, 187, 57516
577, 7019, 33696, 0, 16471, 330, 57516
583, 7019, 35484, 0, 14595, 418, 57516
589, 7018, 37300, 0, 12530, 668, 57516
595, 7018, 37763, 0, 11915, 820, 57516
601, 7019, 40374, 0, 9302, 821, 57516
607, 7018, 40752, 0, 8827, 919, 57516
613, 7028, 41878, 0, 8544, 66, 57516
619, 7028, 42587, 0, 7834, 67, 57516
625, 7025, 42663, 0, 7762, 66, 57516
631, 7026, 42802, 0, 7624, 64, 57516
637, 7025, 42731, 0, 7554, 206, 57516
643, 7024, 42756, 0, 7553, 183, 57516
649, 7024, 42744, 0, 7451, 297, 57516
655, 7021, 42862, 0, 7597, 36, 57516
661, 7018, 42893, 0, 7475, 130, 57516
667, 7017, 42779, 0, 7443, 277, 57516
673, 7016, 42623, 0, 7440, 437, 57516
679, 7016, 42537, 0, 7380, 583, 57516
685, 7015, 42103, 0, 7377, 1021, 57516
691, 7012, 41867, 0, 7375, 1262, 57516
697, 7021, 42821, 0, 7376, 298, 57516
703, 7020, 42755, 0, 7375, 366, 57516
709, 7019, 42356, 0, 7347, 794, 57516
715, 7018, 41937, 0, 7344, 1217, 57516
721, 7018, 40971, 0, 7343, 2184, 57516
727, 7043, 40813, 0, 7342, 2318, 57516
733, 7039, 40399, 0, 7339, 2739, 57516
739, 7039, 42645, 0, 7506, 326, 57516
745, 7037, 42689, 0, 7460, 330, 57516
751, 7035, 42772, 0, 7399, 310, 57516
757, 7025, 42825, 0, 7366, 300, 57516
763, 7022, 42894, 0, 7306, 294, 57516
769, 7021, 42829, 0, 7235, 431, 57516
775, 7022, 42693, 0, 7236, 565, 57516
781, 7020, 42593, 0, 7240, 663, 57516
787, 7019, 42190, 0, 7318, 989, 57516
793, 7016, 41903, 0, 7291, 1306, 57516
799, 7015, 41956, 0, 7231, 1314, 57516
805, 7015, 41309, 0, 7168, 2024, 57516
811, 7013, 41359, 0, 7132, 2012, 57516
817, 7013, 41002, 0, 7064, 2437, 57516
823, 7021, 43401, 0, 7035, 59, 57516
829, 7022, 43182, 0, 6841, 471, 57516
835, 7021, 43172, 0, 6719, 604, 57516
841, 7022, 43149, 0, 6439, 906, 57516
847, 7023, 43043, 0, 6408, 1042, 57516
853, 7023, 43071, 0, 6379, 1043, 57516
859, 7024, 42835, 0, 6482, 1175, 57516
865, 7024, 42764, 0, 6485, 1243, 57516
871, 7024, 42810, 0, 6444, 1238, 57516
877, 7023, 42471, 0, 6419, 1603, 57516
883, 7022, 41780, 0, 6341, 2373, 57516
889, 7020, 41222, 0, 6450, 2824, 57516
895, 7021, 41642, 0, 6389, 2464, 57516
901, 7022, 41693, 0, 6290, 2511, 57516
907, 7021, 42166, 0, 5247, 3082, 57516
913, 7020, 42342, 0, 3191, 4963, 57516
