ts, default broker, SPOT, COLDPower18, VidyutVanika, AgentUDE, total
359, 57519, 0, 0, 0, 0, 57519
360, 57519, 0, 0, 0, 0, 57519
361, 17, 0, 0, 12295, 45207, 57519
367, 21, 0, 0, 12292, 45206, 57519
373, 18, 28, 0, 12283, 45190, 57519
379, 16, 24, 0, 12282, 45197, 57519
385, 17, 21, 0, 12288, 45193, 57519
391, 16, 21, 0, 12299, 45183, 57519
397, 13, 15, 0, 12313, 45178, 57519
403, 20, 8747, 0, 45912, 2840, 57519
409, 17, 9418, 0, 47803, 281, 57519
415, 16, 9409, 0, 47930, 164, 57519
421, 18, 9419, 0, 47922, 160, 57519
427, 16, 9426, 0, 47915, 162, 57519
433, 14, 9940, 0, 47400, 165, 57519
439, 14, 10244, 0, 47097, 164, 57519
445, 13, 6350, 0, 50989, 167, 57519
451, 15, 3746, 0, 53658, 100, 57519
457, 16, 202, 0, 57200, 101, 57519
463, 15, 50, 0, 57355, 99, 57519
469, 20, 0, 0, 57400, 99, 57519
475, 12, 0, 0, 57405, 102, 57519
481, 14, 0, 0, 57430, 75, 57519
487, 18, 0, 0, 57463, 38, 57519
493, 16, 0, 0, 57461, 42, 57519
499, 19, 0, 0, 57460, 40, 57519
505, 18, 0, 0, 57461, 40, 57519
511, 22, 0, 0, 57461, 36, 57519
517, 16, 0, 0, 57459, 44, 57519
523, 17, 0, 0, 57459, 43, 57519
529, 5, 0, 0, 56366, 1148, 57519
535, 4, 0, 0, 55975, 1540, 57519
541, 6, 0, 0, 53471, 4042, 57519
547, 5, 0, 0, 53011, 4503, 57519
553, 5, 0, 0, 52692, 4822, 57519
559, 6, 0, 0, 53132, 4381, 57519
565, 6, 0, 0, 53270, 4243, 57519
571, 10, 0, 0, 56827, 682, 57519
577, 5, 0, 0, 57159, 355, 57519
583, 10, 0, 0, 57187, 322, 57519
589, 8, 0, 0, 57247, 264, 57519
595, 8, 0, 0, 56885, 626, 57519
601, 8, 0, 0, 56817, 694, 57519
607, 10, 0, 0, 56747, 762, 57519
613, 15, 0, 0, 57428, 76, 57519
619, 17, 0, 0, 57427, 75, 57519
625, 14, 0, 0, 57461, 44, 57519
631, 17, 0, 0, 57459, 43, 57519
637, 14, 0, 0, 57459, 46, 57519
643, 14, 0, 0, 57458, 47, 57519
649, 13, 0, 0, 57457, 49, 57519
655, 20, 0, 0, 57457, 42, 57519
661, 21, 0, 0, 57460, 38, 57519
667, 19, 0, 0, 57464, 36, 57519
673, 18, 0, 0, 57458, 43, 57519
679, 15, 0, 0, 57462, 42, 57519
685, 20, 0, 0, 57459, 40, 57519
691, 16, 0, 0, 57463, 40, 57519
697, 13, 0, 0, 57459, 47, 57519
703, 16, 0, 0, 57458, 45, 57519
709, 9, 0, 0, 57460, 50, 57519
715, 9, 0, 0, 57456, 54, 57519
721, 10, 0, 0, 57458, 51, 57519
727, 11, 0, 0, 57458, 50, 57519
733, 11, 0, 0, 57458, 50, 57519
739, 14, 0, 0, 57459, 46, 57519
745, 13, 0, 0, 57460, 46, 57519
751, 14, 0, 0, 57460, 45, 57519
757, 16, 0, 0, 57462, 41, 57519
763, 17, 0, 0, 57461, 41, 57519
769, 17, 0, 0, 57460, 42, 57519
775, 18, 0, 0, 57458, 43, 57519
781, 14, 0, 0, 57461, 44, 57519
787, 15, 0, 0, 57460, 44, 57519
793, 10, 0, 0, 57460, 49, 57519
799, 11, 0, 0, 57461, 47, 57519
