ts, default broker, CrocodileAgent, SPOT, VidyutVanika, AgentUDE, total
359, 57493, 0, 0, 0, 0, 57493
360, 57493, 0, 0, 0, 0, 57493
361, 35, 353, 7169, 12203, 37733, 57493
367, 29, 349, 7181, 12198, 37736, 57493
373, 27, 345, 7175, 12206, 37740, 57493
379, 28, 353, 7171, 12200, 37741, 57493
385, 17, 337, 7176, 12233, 37730, 57493
391, 11, 338, 7176, 12245, 37723, 57493
397, 11, 337, 7172, 12244, 37729, 57493
403, 5, 442, 10286, 21872, 24888, 57493
409, 22, 452, 9788, 22843, 24388, 57493
415, 18, 457, 9053, 23070, 24895, 57493
421, 18, 455, 7869, 23629, 25522, 57493
427, 20, 454, 7296, 23837, 25886, 57493
433, 9, 415, 6969, 23843, 26257, 57493
439, 7, 292, 6829, 23516, 26849, 57493
445, 13, 233, 11524, 28563, 17160, 57493
451, 13, 264, 11051, 29245, 16920, 57493
457, 11, 385, 9691, 29757, 17649, 57493
463, 11, 415, 9021, 30327, 17719, 57493
469, 11, 487, 7497, 31830, 17668, 57493
475, 11, 901, 7129, 32041, 17411, 57493
481, 12, 1622, 6591, 32213, 17055, 57493
487, 3, 6325, 5194, 44335, 1636, 57493
493, 4, 6792, 4500, 45665, 532, 57493
499, 4, 7463, 3272, 46212, 542, 57493
505, 3, 8538, 227, 48008, 717, 57493
511, 4, 9055, 227, 47383, 824, 57493
517, 4, 9450, 359, 46352, 1328, 57493
523, 4, 9398, 568, 44190, 3333, 57493
529, 3, 9540, 843, 42254, 4853, 57493
535, 3, 9506, 1075, 40571, 6338, 57493
541, 4, 9394, 1194, 37020, 9881, 57493
547, 4, 9197, 1544, 34252, 12496, 57493
553, 3, 8922, 385, 33633, 14550, 57493
559, 2, 7622, 482, 33311, 16076, 57493
565, 1, 6253, 733, 31797, 18709, 57493
571, 2, 5463, 2108, 40096, 9824, 57493
577, 2, 4243, 2224, 40466, 10558, 57493
583, 2, 3662, 2350, 40331, 11148, 57493
589, 0, 3082, 2503, 39827, 12081, 57493
595, 0, 2402, 2704, 39542, 12845, 57493
601, 1, 1873, 2862, 38826, 13931, 57493
607, 2, 1377, 2731, 38485, 14898, 57493
613, 1, 1077, 3045, 42864, 10506, 57493
619, 1, 749, 2808, 43241, 10694, 57493
625, 2, 851, 436, 44779, 11425, 57493
631, 18, 788, 437, 45446, 10804, 57493
637, 17, 892, 448, 45775, 10361, 57493
643, 9, 1314, 448, 46466, 9256, 57493
649, 6, 2455, 103, 46509, 8420, 57493
655, 3, 5677, 113, 51063, 637, 57493
661, 2, 6349, 113, 50802, 227, 57493
667, 3, 6826, 112, 50275, 277, 57493
673, 2, 7828, 191, 49223, 249, 57493
679, 1, 8753, 186, 48334, 219, 57493
685, 2, 9163, 277, 47667, 384, 57493
691, 4, 9054, 422, 47127, 886, 57493
697, 6, 9042, 1272, 44148, 3025, 57493
703, 5, 9000, 1426, 43139, 3923, 57493
709, 5, 8849, 2954, 37655, 8030, 57493
715, 2, 8528, 3156, 36054, 9753, 57493
721, 1, 7988, 675, 37041, 11788, 57493
727, 2, 6515, 734, 37922, 12320, 57493
733, 2, 5653, 852, 37452, 13534, 57493
739, 16, 4739, 1756, 47511, 3471, 57493
745, 17, 4253, 2174, 47949, 3100, 57493
751, 12, 3529, 2313, 48602, 3037, 57493
757, 13, 2268, 2543, 49526, 3143, 57493
763, 3, 1193, 2410, 50345, 3542, 57493
769, 1, 1077, 2473, 50130, 3812, 57493
775, 2, 686, 2421, 50473, 3911, 57493
781, 1, 691, 2110, 50610, 4081, 57493
787, 0, 642, 1862, 50326, 4663, 57493
793, 1, 690, 1459, 49987, 5356, 57493
799, 1, 516, 1074, 50363, 5539, 57493
805, 1, 759, 620, 51283, 4830, 57493
811, 1, 1223, 478, 51308, 4483, 57493
817, 3, 2176, 466, 50834, 4014, 57493
823, 2, 4029, 361, 52475, 626, 57493
829, 2, 5482, 289, 51528, 192, 57493
835, 3, 7033, 192, 49989, 276, 57493
841, 3, 7954, 162, 49037, 337, 57493
847, 4, 8794, 143, 48126, 426, 57493
853, 3, 9192, 152, 47330, 816, 57493
859, 3, 9346, 319, 44704, 3121, 57493
865, 3, 9157, 235, 47723, 375, 57493
871, 2, 8846, 224, 48309, 112, 57493
877, 1, 8961, 2085, 33844, 12602, 57493
883, 1, 8448, 2138, 34819, 12087, 57493
889, 2243, 8325, 2236, 32224, 12465, 57493
895, 2351, 7446, 2285, 32721, 12690, 57493
901, 2716, 6329, 2493, 31422, 14533, 57493
907, 2910, 5733, 2782, 42234, 3834, 57493
913, 3024, 4184, 2840, 44027, 3418, 57493
919, 3056, 3126, 2360, 45005, 3946, 57493
925, 3198, 2590, 2039, 45434, 4232, 57493
931, 3137, 2153, 1816, 45857, 4530, 57493
937, 3229, 1846, 388, 46501, 5529, 57493
943, 3283, 1435, 387, 46610, 5778, 57493
949, 3192, 1201, 536, 51021, 1543, 57493
955, 3227, 1075, 661, 51058, 1472, 57493
961, 3280, 1654, 846, 49436, 2277, 57493
967, 3332, 1889, 876, 48874, 2522, 57493
973, 3207, 1854, 870, 49299, 2263, 57493
979, 3108, 2289, 777, 49653, 1666, 57493
985, 3402, 2786, 110, 49705, 1490, 57493
991, 3594, 3919, 110, 49652, 218, 57493
997, 3587, 4673, 110, 48962, 161, 57493
1003, 3566, 4952, 111, 48763, 101, 57493
1009, 3602, 5751, 111, 47924, 105, 57493
1015, 3639, 6250, 111, 47384, 109, 57493
1021, 3523, 6081, 143, 47424, 322, 57493
1027, 3495, 5874, 174, 47064, 886, 57493
1033, 3277, 5751, 370, 44067, 4028, 57493
1039, 3339, 5747, 695, 37936, 9776, 57493
1045, 3312, 5427, 968, 31172, 16614, 57493
1051, 3620, 4824, 1206, 29524, 18319, 57493
1057, 3681, 4429, 1270, 28795, 19318, 57493
1063, 3707, 3972, 1401, 28914, 19499, 57493
1069, 3792, 3371, 1473, 26956, 21901, 57493
1075, 3521, 2722, 1717, 41074, 8459, 57493
1081, 3646, 2020, 302, 42173, 9352, 57493
1087, 3412, 1833, 304, 42635, 9309, 57493
1093, 3390, 1304, 273, 42548, 9978, 57493
1099, 3300, 955, 281, 42415, 10542, 57493
1105, 3364, 825, 307, 41025, 11972, 57493
1111, 3434, 629, 360, 40541, 12529, 57493
1117, 3369, 678, 459, 51422, 1565, 57493
1123, 3330, 730, 489, 51046, 1898, 57493
1129, 3292, 1078, 581, 49970, 2572, 57493
1135, 3315, 1067, 562, 49937, 2612, 57493
1141, 3565, 1344, 478, 49662, 2444, 57493
1147, 3650, 1763, 423, 49373, 2284, 57493
1153, 3696, 3056, 406, 48180, 2155, 57493
1159, 3606, 3970, 322, 49525, 70, 57493
1165, 3655, 4308, 326, 49195, 9, 57493
1171, 3667, 4580, 270, 48958, 18, 57493
1177, 3483, 5233, 241, 48516, 20, 57493
1183, 3382, 5852, 249, 47990, 20, 57493
1189, 3541, 6073, 200, 47586, 93, 57493
1195, 3519, 5924, 338, 47512, 200, 57493
1201, 3375, 5948, 304, 45410, 2456, 57493
1207, 3443, 5891, 360, 38426, 9373, 57493
1213, 3625, 5756, 445, 30963, 16704, 57493
1219, 3455, 5551, 534, 30711, 17242, 57493
1225, 3536, 4763, 493, 30143, 18558, 57493
1231, 3669, 3676, 619, 29796, 19733, 57493
1237, 3642, 3379, 695, 25724, 24053, 57493
1243, 3499, 2823, 969, 45590, 4612, 57493
1249, 2445, 2447, 990, 47530, 4081, 57493
1255, 1857, 1855, 1029, 48513, 4239, 57493
1261, 1273, 1416, 961, 49427, 4416, 57493
1267, 902, 907, 809, 50080, 4795, 57493
1273, 2477, 756, 921, 46638, 6701, 57493
1279, 2927, 586, 864, 45803, 7313, 57493
1285, 3096, 617, 820, 49386, 3574, 57493
1291, 3127, 694, 647, 48330, 4695, 57493
1297, 3045, 1000, 809, 45499, 7140, 57493
1303, 3164, 1224, 717, 45877, 6511, 57493
1309, 3160, 1282, 655, 46500, 5896, 57493
1315, 2975, 1962, 543, 47338, 4675, 57493
1321, 3179, 3141, 456, 47131, 3586, 57493
1327, 3114, 4422, 374, 49173, 410, 57493
1333, 3108, 4932, 353, 48999, 101, 57493
1339, 3091, 5543, 300, 48405, 154, 57493
1345, 3059, 5838, 100, 48337, 159, 57493
1351, 3049, 6222, 100, 47931, 191, 57493
1357, 3315, 6465, 172, 47177, 364, 57493
1363, 3266, 6512, 172, 47071, 472, 57493
1369, 3265, 6364, 259, 43315, 4290, 57493
1375, 3399, 6154, 523, 38315, 9102, 57493
1381, 3407, 6012, 769, 30282, 17023, 57493
1387, 3442, 5590, 830, 29720, 17911, 57493
1393, 3348, 5211, 932, 29063, 18939, 57493
1399, 3378, 4604, 921, 29967, 18623, 57493
1405, 3397, 4058, 951, 30198, 18889, 57493
1411, 3184, 3486, 1280, 41934, 7609, 57493
1417, 3133, 2806, 284, 42275, 8995, 57493
1423, 3039, 2179, 404, 43499, 8372, 57493
1429, 3171, 1493, 515, 43847, 8467, 57493
1435, 3072, 1087, 681, 44478, 8175, 57493
1441, 3285, 780, 712, 43695, 9021, 57493
1447, 3356, 619, 776, 44460, 8282, 57493
1453, 3273, 585, 895, 49519, 3221, 57493
1459, 3314, 557, 902, 49313, 3407, 57493
1465, 3178, 926, 838, 47703, 4848, 57493
1471, 3338, 978, 746, 47347, 5084, 57493
1477, 3335, 1104, 599, 47736, 4719, 57493
1483, 3361, 1409, 505, 47651, 4567, 57493
1489, 3273, 1519, 91, 48202, 4408, 57493
1495, 3401, 3125, 94, 50651, 222, 57493
1501, 3427, 3797, 95, 50132, 42, 57493
1507, 3517, 4184, 96, 49653, 43, 57493
1513, 3405, 5522, 97, 48417, 52, 57493
1519, 3451, 5953, 95, 47939, 55, 57493
1525, 3509, 6157, 94, 47679, 54, 57493
1531, 3340, 6243, 129, 47052, 729, 57493
1537, 3270, 6160, 242, 46639, 1182, 57493
1543, 3472, 6228, 869, 43645, 3279, 57493
1549, 3640, 6253, 1054, 42173, 4373, 57493
1555, 3609, 5953, 1136, 41459, 5336, 57493
1561, 3509, 5597, 1461, 40285, 6641, 57493
1567, 3769, 5089, 1538, 40315, 6782, 57493
1573, 3686, 4430, 1803, 40031, 7543, 57493
1579, 2609, 3631, 2017, 45853, 3383, 57493
1585, 3158, 3108, 1861, 45837, 3529, 57493
1591, 3423, 2608, 1700, 46439, 3323, 57493
1597, 3359, 1856, 1771, 47341, 3166, 57493
1603, 3352, 1613, 1696, 47568, 3264, 57493
1609, 3323, 1302, 1643, 46997, 4228, 57493
1615, 3307, 1193, 1659, 47254, 4080, 57493
1621, 3145, 1333, 1480, 48969, 2566, 57493
1627, 3160, 972, 1162, 48456, 3743, 57493
1633, 3437, 980, 1139, 46426, 5511, 57493
1639, 3406, 952, 1025, 46725, 5385, 57493
1645, 3466, 794, 922, 47038, 5273, 57493
1651, 3479, 1156, 661, 47334, 4863, 57493
1657, 3408, 2460, 572, 46492, 4561, 57493
1663, 3474, 4483, 442, 48635, 459, 57493
1669, 3380, 6139, 277, 47391, 306, 57493
1675, 3379, 6549, 278, 47010, 277, 57493
1681, 3304, 8000, 257, 45652, 280, 57493
1687, 3439, 8425, 257, 45080, 292, 57493
1693, 3382, 8588, 258, 44676, 589, 57493
1699, 3612, 8539, 620, 42630, 2092, 57493
1705, 3635, 8432, 912, 38506, 6008, 57493
