ts, default broker, CrocodileAgent, COLDPower18, AgentUDE, Bunnie, total
359, 57517, 0, 0, 0, 0, 57517
360, 57517, 0, 0, 0, 0, 57517
361, 6680, 3109, 0, 24024, 23704, 57517
367, 6619, 3152, 0, 24038, 23708, 57517
373, 6632, 3122, 0, 27701, 20062, 57517
379, 6614, 3105, 0, 30831, 16967, 57517
385, 6667, 3045, 0, 32400, 15405, 57517
391, 6717, 3018, 0, 34324, 13458, 57517
397, 6653, 3088, 0, 35264, 12512, 57517
403, 6602, 3032, 0, 2265, 45618, 57517
409, 6680, 3013, 0, 270, 47554, 57517
415, 6555, 3056, 0, 108, 47798, 57517
421, 6443, 3070, 0, 80, 47924, 57517
427, 6360, 3046, 0, 75, 48036, 57517
433, 6396, 536, 0, 108, 50477, 57517
439, 6617, 185, 0, 113, 50602, 57517
445, 6774, 143, 0, 308, 50292, 57517
451, 6790, 161, 0, 873, 49693, 57517
457, 6809, 172, 0, 1463, 49073, 57517
463, 6752, 225, 0, 2186, 48354, 57517
469, 6629, 306, 0, 2740, 47842, 57517
475, 6633, 323, 0, 3291, 47270, 57517
481, 6667, 238, 0, 3836, 46776, 57517
487, 6697, 289, 0, 3516, 47015, 57517
493, 6716, 456, 0, 5048, 45297, 57517
499, 6664, 2898, 0, 6265, 41690, 57517
505, 6737, 7434, 0, 7522, 35824, 57517
511, 6750, 10232, 0, 8295, 32240, 57517
517, 6731, 15273, 0, 9650, 25863, 57517
523, 6731, 16775, 0, 10292, 23719, 57517
529, 6790, 19453, 0, 2336, 28938, 57517
535, 6732, 19896, 0, 1624, 29265, 57517
541, 6675, 19938, 0, 2212, 28692, 57517
547, 6591, 20022, 0, 2439, 28465, 57517
553, 6561, 20002, 0, 2807, 28147, 57517
559, 6562, 19871, 0, 2947, 28137, 57517
565, 6558, 19739, 0, 3823, 27397, 57517
571, 6683, 19141, 0, 2667, 29026, 57517
577, 6637, 16620, 0, 5271, 28989, 57517
583, 6646, 14926, 0, 6890, 29055, 57517
589, 6602, 12228, 0, 9066, 29621, 57517
595, 6687, 10209, 0, 10296, 30325, 57517
601, 6683, 7718, 0, 12299, 30817, 57517
607, 6689, 5811, 0, 13198, 31819, 57517
613, 6752, 708, 0, 4887, 45170, 57517
619, 6728, 238, 0, 4805, 45746, 57517
625, 6858, 88, 0, 6264, 44307, 57517
631, 6802, 154, 0, 7111, 43450, 57517
637, 6783, 120, 0, 9270, 41344, 57517
643, 6835, 109, 0, 9781, 40792, 57517
649, 6672, 261, 0, 10536, 40048, 57517
655, 6590, 420, 0, 999, 49508, 57517
661, 6384, 787, 0, 453, 49893, 57517
667, 6415, 2059, 0, 372, 48671, 57517
673, 6434, 5676, 0, 578, 44829, 57517
679, 6483, 8752, 0, 708, 41574, 57517
685, 6608, 13075, 0, 556, 37278, 57517
691, 6645, 17266, 0, 378, 33228, 57517
697, 6628, 19470, 0, 72, 31347, 57517
703, 6613, 20154, 0, 195, 30555, 57517
709, 6649, 20079, 0, 272, 30517, 57517
715, 6572, 20094, 0, 273, 30578, 57517
721, 6576, 20191, 0, 501, 30249, 57517
727, 6665, 20062, 0, 580, 30210, 57517
733, 6752, 19737, 0, 582, 30446, 57517
