ts, default broker, COLDPower18, VidyutVanika, EWIIS3, Bunnie, total
359, 57511, 0, 0, 0, 0, 57511
360, 57511, 0, 0, 0, 0, 57511
361, 4, 0, 23012, 252, 34243, 57511
367, 4, 0, 23010, 162, 34335, 57511
373, 7, 0, 23255, 132, 34117, 57511
379, 6, 0, 23257, 110, 34138, 57511
385, 5, 0, 23288, 130, 34088, 57511
391, 4, 0, 23287, 137, 34083, 57511
397, 4, 0, 23287, 124, 34096, 57511
403, 3, 0, 23287, 142, 34079, 57511
409, 3, 0, 23290, 91, 34127, 57511
415, 3, 0, 23377, 106, 34025, 57511
421, 4, 0, 23377, 90, 34040, 57511
427, 3, 0, 23377, 101, 34030, 57511
433, 3, 0, 20031, 203, 37274, 57511
439, 3, 0, 16737, 173, 40598, 57511
445, 3, 0, 13756, 154, 43598, 57511
451, 3, 0, 12327, 118, 45063, 57511
457, 2, 0, 11535, 139, 45835, 57511
463, 1, 0, 10196, 98, 47216, 57511
469, 0, 0, 9356, 95, 48060, 57511
475, 0, 0, 9166, 92, 48253, 57511
481, 1, 0, 8955, 89, 48466, 57511
487, 1, 0, 8635, 88, 48787, 57511
493, 2, 0, 11974, 56, 45479, 57511
499, 3, 0, 13407, 51, 44050, 57511
505, 2, 0, 15409, 50, 42050, 57511
511, 2, 0, 18520, 46, 38943, 57511
517, 2, 0, 20123, 46, 37340, 57511
523, 2, 0, 22948, 44, 34517, 57511
529, 2, 0, 25190, 23, 32296, 57511
535, 12, 0, 25474, 12, 32013, 57511
541, 20, 0, 25332, 11, 32148, 57511
547, 20, 0, 25146, 11, 32334, 57511
553, 24, 0, 25012, 10, 32465, 57511
559, 31, 0, 24702, 10, 32768, 57511
565, 32, 0, 23618, 11, 33850, 57511
571, 36, 0, 22319, 10, 35146, 57511
577, 5, 0, 20575, 11, 36920, 57511
583, 4, 0, 19422, 10, 38075, 57511
589, 3, 0, 17664, 10, 39834, 57511
595, 4, 0, 15832, 10, 41665, 57511
601, 4, 0, 13053, 9, 44445, 57511
607, 4, 0, 11334, 10, 46163, 57511
613, 3, 0, 10639, 12, 46857, 57511
619, 3, 0, 9479, 10, 48019, 57511
625, 3, 0, 8877, 9, 48622, 57511
631, 3, 0, 8259, 9, 49240, 57511
637, 2, 0, 8357, 10, 49142, 57511
643, 2, 0, 8196, 11, 49302, 57511
649, 1, 0, 8399, 11, 49100, 57511
655, 0, 0, 8369, 12, 49130, 57511
661, 0, 0, 10440, 13, 47058, 57511
667, 0, 0, 10954, 12, 46545, 57511
673, 0, 0, 14637, 13, 42861, 57511
679, 0, 0, 16386, 12, 41113, 57511
685, 1, 0, 17182, 11, 40317, 57511
691, 1, 0, 19422, 10, 38078, 57511
697, 1, 0, 20791, 11, 36708, 57511
703, 1, 0, 21247, 10, 36253, 57511
709, 1, 0, 21209, 9, 36292, 57511
715, 1, 0, 20855, 10, 36645, 57511
721, 2, 0, 20449, 9, 37051, 57511
727, 2, 0, 20209, 9, 37291, 57511
733, 2, 0, 19641, 9, 37859, 57511
739, 2, 0, 18984, 10, 38515, 57511
745, 3, 0, 17986, 10, 39512, 57511
751, 4, 0, 16365, 10, 41132, 57511
757, 4, 0, 15499, 10, 41998, 57511
763, 4, 0, 13113, 10, 44384, 57511
769, 5, 0, 12255, 9, 45242, 57511
775, 3, 0, 11175, 11, 46322, 57511
781, 3, 0, 10080, 10, 47418, 57511
787, 3, 0, 9714, 10, 47784, 57511
793, 2, 0, 9302, 11, 48196, 57511
799, 1, 0, 8942, 12, 48556, 57511
805, 1, 0, 8582, 11, 48917, 57511
811, 2, 0, 8347, 10, 49152, 57511
817, 1, 0, 8417, 10, 49083, 57511
823, 2, 0, 8342, 10, 49157, 57511
829, 1, 0, 10126, 11, 47373, 57511
835, 1, 0, 13428, 10, 44072, 57511
841, 1, 0, 18629, 10, 38871, 57511
847, 1, 0, 19192, 10, 38308, 57511
853, 1, 0, 23441, 11, 34058, 57511
859, 1, 0, 25366, 11, 32133, 57511
865, 1, 0, 27811, 11, 29688, 57511
871, 2, 0, 30084, 10, 27415, 57511
877, 2, 0, 35714, 10, 21785, 57511
883, 2, 0, 37802, 10, 19697, 57511
889, 2117, 0, 36701, 9, 18684, 57511
895, 2287, 0, 22620, 9, 32595, 57511
901, 2749, 0, 24947, 9, 29806, 57511
907, 2976, 0, 30672, 8, 23855, 57511
913, 3086, 0, 33094, 8, 21323, 57511
919, 3302, 0, 34448, 9, 19752, 57511
925, 3402, 0, 35084, 7, 19018, 57511
931, 3600, 0, 37227, 7, 16677, 57511
937, 3625, 0, 36046, 8, 17832, 57511
943, 3350, 0, 35699, 9, 18453, 57511
949, 3272, 0, 37745, 9, 16485, 57511
955, 3384, 0, 38833, 9, 15285, 57511
961, 3264, 0, 36404, 9, 17834, 57511
967, 3182, 0, 36028, 9, 18292, 57511
973, 3089, 0, 37157, 7, 17258, 57511
979, 3468, 0, 36626, 8, 17409, 57511
985, 3311, 0, 31627, 11, 22562, 57511
991, 3205, 0, 6856, 10, 47440, 57511
997, 3628, 0, 10712, 11, 43160, 57511
1003, 3501, 0, 16361, 11, 37638, 57511
1009, 3585, 0, 21308, 11, 32607, 57511
1015, 3589, 0, 19582, 12, 34328, 57511
1021, 3481, 0, 23995, 11, 30024, 57511
1027, 3501, 0, 32575, 11, 21424, 57511
1033, 3453, 0, 34215, 11, 19832, 57511
1039, 3378, 0, 36015, 11, 18107, 57511
1045, 3299, 0, 37352, 10, 16850, 57511
1051, 3324, 0, 40136, 11, 14040, 57511
1057, 3320, 0, 38040, 10, 16141, 57511
1063, 3349, 0, 22985, 10, 31167, 57511
1069, 3362, 0, 25115, 11, 29023, 57511
1075, 3528, 0, 28411, 10, 25562, 57511
1081, 3681, 0, 30524, 12, 23294, 57511
1087, 3672, 0, 30482, 11, 23346, 57511
