ts, default broker, CrocodileAgent, EWIIS3, VidyutVanika, Bunnie, total
359, 57516, 0, 0, 0, 0, 57516
360, 57516, 0, 0, 0, 0, 57516
361, 3, 2, 235, 7394, 49882, 57516
367, 1, 6, 130, 7395, 49984, 57516
373, 1, 4, 72, 7395, 50044, 57516
379, 1, 5, 82, 7690, 49738, 57516
385, 3, 5, 65, 7690, 49753, 57516
391, 3, 3, 72, 7690, 49748, 57516
397, 3, 2, 255, 8379, 48877, 57516
403, 3, 1, 372, 8377, 48763, 57516
409, 3, 1, 322, 8377, 48813, 57516
415, 3, 1, 286, 8378, 48848, 57516
421, 4, 1, 280, 8377, 48854, 57516
427, 3, 1, 358, 8531, 48623, 57516
433, 3, 143, 221, 8755, 48394, 57516
439, 3, 284, 200, 8985, 48044, 57516
445, 3, 701, 195, 11229, 45388, 57516
451, 1, 836, 152, 11835, 44692, 57516
457, 1, 1703, 136, 14249, 41427, 57516
463, 1, 2370, 71, 15836, 39238, 57516
469, 1, 2774, 69, 19143, 35529, 57516
475, 1, 3708, 58, 20719, 33030, 57516
481, 1, 4471, 44, 22767, 30233, 57516
487, 0, 4504, 44, 22708, 30260, 57516
493, 1, 4603, 43, 22506, 30363, 57516
499, 1, 4570, 43, 22077, 30825, 57516
505, 1, 4458, 43, 21876, 31138, 57516
511, 1, 4305, 42, 21499, 31669, 57516
517, 0, 4311, 42, 20596, 32567, 57516
523, 0, 3870, 42, 19985, 33619, 57516
529, 0, 3521, 41, 19054, 34900, 57516
535, 0, 2830, 42, 17847, 36797, 57516
541, 0, 1840, 43, 14541, 41092, 57516
547, 0, 1699, 43, 13722, 42052, 57516
553, 0, 1350, 42, 12406, 43718, 57516
559, 0, 980, 42, 11409, 45085, 57516
565, 0, 660, 42, 10769, 46045, 57516
571, 0, 519, 41, 10260, 46696, 57516
577, 2, 410, 38, 10017, 47049, 57516
583, 2, 370, 38, 9467, 47639, 57516
589, 2, 319, 39, 8973, 48183, 57516
595, 1, 157, 40, 8548, 48770, 57516
601, 1, 143, 39, 8250, 49083, 57516
607, 2, 83, 38, 8491, 48902, 57516
613, 1, 52, 40, 10944, 46479, 57516
619, 1, 998, 40, 14010, 42467, 57516
625, 0, 2046, 42, 15881, 39547, 57516
631, 0, 3065, 39, 18150, 36262, 57516
637, 0, 3900, 36, 20771, 32809, 57516
643, 0, 5179, 35, 23562, 28740, 57516
649, 2, 5863, 25, 25294, 26332, 57516
655, 11, 6113, 25, 25671, 25696, 57516
661, 17, 6119, 25, 25642, 25713, 57516
667, 22, 6129, 24, 25346, 25995, 57516
673, 19, 6127, 25, 25131, 26214, 57516
679, 19, 6046, 24, 24845, 26582, 57516
685, 20, 5973, 24, 24303, 27196, 57516
691, 20, 5176, 23, 22621, 29676, 57516
697, 4, 4452, 23, 21040, 31997, 57516
703, 3, 3770, 22, 18695, 35026, 57516
709, 3, 3177, 24, 17109, 37203, 57516
715, 2, 2442, 24, 15242, 39806, 57516
721, 2, 1663, 23, 12797, 43031, 57516
727, 2, 1482, 23, 12030, 43979, 57516
733, 2, 833, 24, 10732, 45925, 57516
739, 2, 472, 24, 9388, 47630, 57516
745, 3, 351, 23, 9058, 48081, 57516
751, 3, 231, 23, 8931, 48328, 57516
757, 2, 152, 23, 8226, 49113, 57516
763, 2, 216, 23, 8198, 49077, 57516
769, 2, 217, 22, 7868, 49407, 57516
775, 2, 217, 22, 7896, 49379, 57516
781, 2, 333, 23, 9607, 47551, 57516
787, 3, 882, 21, 13464, 43146, 57516
793, 3, 2854, 23, 17938, 36698, 57516
799, 2, 3787, 24, 19537, 34166, 57516
805, 2, 5140, 23, 21878, 30473, 57516
811, 2, 5609, 21, 22912, 28972, 57516
817, 2, 5865, 21, 23575, 28053, 57516
823, 2, 5991, 21, 24049, 27453, 57516
829, 3, 6060, 21, 24311, 27121, 57516
835, 3, 5969, 20, 24248, 27276, 57516
841, 4, 5746, 18, 23897, 27851, 57516
847, 2, 5364, 20, 23866, 28264, 57516
853, 3, 5092, 21, 23338, 29062, 57516
859, 3, 4321, 22, 21753, 31417, 57516
865, 3, 3266, 22, 27856, 26369, 57516
871, 3, 2578, 21, 31475, 23439, 57516
877, 4, 2129, 20, 36221, 19142, 57516
883, 5, 1588, 20, 38127, 17776, 57516
889, 2302, 1224, 18, 30157, 23815, 57516
895, 2820, 909, 20, 24965, 28802, 57516
901, 2968, 673, 20, 26617, 27238, 57516
907, 3061, 434, 20, 30003, 23998, 57516
913, 3101, 436, 19, 26784, 27176, 57516
919, 3155, 341, 20, 5662, 48338, 57516
925, 3155, 307, 21, 8713, 45320, 57516
931, 3152, 218, 22, 16059, 38065, 57516
937, 3215, 204, 23, 15696, 38378, 57516
