ts, default broker, CrocodileAgent, COLDPower18, VidyutVanika, Bunnie, total
359, 57505, 0, 0, 0, 0, 57505
360, 57505, 0, 0, 0, 0, 57505
361, 4, 5275, 0, 18709, 33517, 57505
367, 8, 5269, 0, 18710, 33518, 57505
373, 7, 5263, 0, 18960, 33275, 57505
379, 7, 5262, 0, 19245, 32991, 57505
385, 5, 5263, 0, 19339, 32898, 57505
391, 6, 5259, 0, 19342, 32898, 57505
397, 6, 5257, 0, 19341, 32901, 57505
403, 3, 5207, 0, 19435, 32860, 57505
409, 6, 5187, 0, 19436, 32876, 57505
415, 7, 5035, 0, 19529, 32934, 57505
421, 5, 4987, 0, 19620, 32893, 57505
427, 3, 4905, 0, 19989, 32608, 57505
433, 4, 3892, 0, 9974, 43635, 57505
439, 6, 2577, 0, 8777, 46145, 57505
445, 8, 1946, 0, 8478, 47073, 57505
451, 8, 1555, 0, 8311, 47631, 57505
457, 8, 1006, 0, 7916, 48575, 57505
463, 6, 877, 0, 7889, 48733, 57505
469, 5, 629, 0, 7921, 48950, 57505
475, 7, 446, 0, 7752, 49300, 57505
481, 5, 428, 0, 7832, 49240, 57505
487, 17, 378, 0, 9215, 47895, 57505
493, 25, 744, 0, 18548, 38188, 57505
499, 28, 1132, 0, 24535, 31810, 57505
505, 26, 3920, 0, 31665, 21894, 57505
511, 26, 5872, 0, 35500, 16107, 57505
517, 8, 7132, 0, 39331, 11034, 57505
523, 3, 7855, 0, 41738, 7909, 57505
529, 4, 8256, 0, 42853, 6392, 57505
535, 6, 8328, 0, 42713, 6458, 57505
541, 6, 8352, 0, 42432, 6715, 57505
547, 1, 8256, 0, 42381, 6867, 57505
553, 8, 8219, 0, 42256, 7022, 57505
559, 2, 8151, 0, 40949, 8403, 57505
565, 6, 7998, 0, 32132, 17369, 57505
571, 7, 7361, 0, 26060, 24077, 57505
577, 3, 6304, 0, 19314, 31884, 57505
583, 5, 4712, 0, 15262, 37526, 57505
589, 4, 3834, 0, 11115, 42552, 57505
595, 2, 2850, 0, 8696, 45957, 57505
601, 3, 2019, 0, 7339, 48144, 57505
607, 4, 1646, 0, 7679, 48176, 57505
613, 3, 1110, 0, 7877, 48515, 57505
619, 9, 839, 0, 7988, 48669, 57505
625, 4, 432, 0, 8200, 48869, 57505
631, 5, 411, 0, 8283, 48806, 57505
637, 3, 340, 0, 8509, 48653, 57505
643, 4, 340, 0, 8877, 48284, 57505
649, 5, 260, 0, 8957, 48283, 57505
655, 2, 373, 0, 9876, 47254, 57505
661, 5, 479, 0, 16695, 40326, 57505
667, 5, 1729, 0, 22464, 33307, 57505
673, 5, 4849, 0, 30061, 22590, 57505
679, 3, 6527, 0, 32966, 18009, 57505
685, 4, 8116, 0, 37474, 11911, 57505
691, 5, 9013, 0, 39648, 8839, 57505
697, 8, 9801, 0, 40863, 6833, 57505
703, 4, 9849, 0, 40404, 7248, 57505
709, 8, 9696, 0, 39645, 8156, 57505
715, 7, 9676, 0, 39162, 8660, 57505
721, 5, 9679, 0, 39081, 8740, 57505
727, 3, 9584, 0, 38196, 9722, 57505
733, 5, 9415, 0, 31679, 16406, 57505
739, 3, 8856, 0, 26022, 22624, 57505
745, 5, 7783, 0, 18732, 30985, 57505
751, 6, 6321, 0, 15429, 35749, 57505
757, 7, 4342, 0, 11066, 42090, 57505
763, 7, 3381, 0, 8676, 45441, 57505
769, 4, 2425, 0, 7567, 47509, 57505
775, 6, 1771, 0, 7255, 48473, 57505
781, 8, 1159, 0, 7411, 48927, 57505
787, 3, 1051, 0, 7591, 48860, 57505
793, 7, 776, 0, 7774, 48948, 57505
799, 7, 594, 0, 7671, 49233, 57505
805, 7, 480, 0, 8295, 48723, 57505
811, 2, 388, 0, 8841, 48274, 57505
817, 2, 473, 0, 8808, 48222, 57505
823, 5, 562, 0, 10132, 46806, 57505
829, 6, 949, 0, 17807, 38743, 57505
835, 7, 2681, 0, 24200, 30617, 57505
841, 8, 4695, 0, 30461, 22341, 57505
847, 7, 6236, 0, 33998, 17264, 57505
853, 6, 7594, 0, 38197, 11708, 57505
859, 9, 8183, 0, 39889, 9424, 57505
865, 7, 8086, 0, 48129, 1283, 57505
871, 5, 8053, 0, 49066, 381, 57505
877, 6, 8010, 0, 49315, 174, 57505
883, 6, 7969, 0, 49157, 373, 57505
889, 3, 7856, 0, 49050, 596, 57505
895, 4, 7794, 0, 48514, 1193, 57505
901, 5, 6920, 0, 48910, 1670, 57505
907, 8, 5907, 0, 49813, 1777, 57505
913, 1881, 5154, 0, 42933, 7537, 57505
919, 2205, 4402, 0, 34818, 16080, 57505
925, 2736, 3427, 0, 31304, 20038, 57505
