ts, default broker, CrocodileAgent, SPOT, EWIIS3, Bunnie, total
359, 57508, 0, 0, 0, 0, 57508
360, 57508, 0, 0, 0, 0, 57508
361, 6653, 250, 93, 257, 50255, 57508
367, 6601, 308, 94, 129, 50376, 57508
373, 6814, 152, 94, 153, 50295, 57508
379, 6734, 163, 243, 126, 50242, 57508
385, 6621, 263, 93, 104, 50427, 57508
391, 6645, 214, 94, 113, 50442, 57508
397, 6518, 297, 94, 110, 50489, 57508
403, 6392, 301, 93, 126, 50596, 57508
409, 6506, 268, 49, 261, 50424, 57508
415, 6585, 197, 35, 186, 50505, 57508
421, 6465, 558, 79, 207, 50199, 57508
427, 6471, 1240, 237, 166, 49394, 57508
433, 6508, 3202, 269, 122, 47407, 57508
439, 6552, 4289, 270, 243, 46154, 57508
445, 6641, 7027, 213, 356, 43271, 57508
451, 6705, 8014, 215, 358, 42216, 57508
457, 6669, 10220, 184, 290, 40145, 57508
463, 6676, 10903, 124, 198, 39607, 57508
469, 6744, 10955, 125, 156, 39528, 57508
475, 6821, 10908, 124, 156, 39499, 57508
481, 6742, 10915, 124, 153, 39574, 57508
487, 6658, 10853, 93, 123, 39781, 57508
493, 6469, 10234, 93, 123, 40589, 57508
499, 6526, 9620, 94, 122, 41146, 57508
505, 6591, 8441, 94, 73, 42309, 57508
511, 6642, 7929, 93, 73, 42771, 57508
517, 6654, 6550, 95, 70, 44139, 57508
523, 6608, 5778, 93, 71, 44958, 57508
529, 6625, 4808, 93, 72, 45910, 57508
535, 6610, 2985, 94, 72, 47747, 57508
541, 6517, 1958, 93, 70, 48870, 57508
547, 6488, 1526, 93, 69, 49332, 57508
553, 6625, 879, 95, 72, 49837, 57508
559, 6521, 736, 93, 75, 50083, 57508
565, 6507, 578, 93, 56, 50274, 57508
571, 6518, 503, 93, 41, 50353, 57508
577, 6465, 326, 51, 44, 50622, 57508
583, 6500, 620, 42, 44, 50302, 57508
589, 6622, 1371, 183, 42, 49290, 57508
595, 6661, 2514, 188, 42, 48103, 57508
601, 6700, 3862, 187, 39, 46720, 57508
607, 6472, 4849, 203, 37, 45947, 57508
