ts, default broker, CrocodileAgent, SPOT, COLDPower18, EWIIS3, total
359, 57511, 0, 0, 0, 0, 57511
360, 57511, 0, 0, 0, 0, 57511
361, 6815, 528, 18213, 0, 31955, 57511
367, 6919, 504, 20484, 0, 29604, 57511
373, 6610, 808, 22188, 0, 27905, 57511
379, 6625, 792, 23457, 0, 26637, 57511
385, 6693, 724, 25303, 0, 24791, 57511
391, 6736, 777, 25888, 0, 24110, 57511
397, 6828, 735, 26571, 0, 23377, 57511
403, 6768, 796, 25615, 0, 24332, 57511
409, 6831, 729, 24955, 0, 24996, 57511
415, 6823, 788, 24584, 0, 25316, 57511
421, 6769, 839, 23387, 0, 26516, 57511
427, 6727, 1726, 21925, 0, 27133, 57511
433, 6790, 5619, 19954, 0, 25148, 57511
439, 6856, 10608, 16000, 0, 24047, 57511
445, 6843, 17738, 12544, 0, 20386, 57511
451, 6878, 25206, 9042, 0, 16385, 57511
457, 6703, 32584, 6693, 0, 11531, 57511
463, 6742, 36631, 4816, 0, 9322, 57511
469, 6800, 39718, 3660, 0, 7333, 57511
475, 6689, 43140, 2652, 0, 5030, 57511
481, 6722, 46340, 180, 0, 4269, 57511
487, 6747, 47816, 182, 0, 2766, 57511
493, 6791, 48265, 189, 0, 2266, 57511
499, 6911, 48250, 253, 0, 2097, 57511
505, 6853, 46856, 1818, 0, 1984, 57511
511, 6828, 45267, 3490, 0, 1926, 57511
517, 6882, 42069, 6713, 0, 1847, 57511
523, 6907, 35919, 12813, 0, 1872, 57511
529, 6882, 32097, 16875, 0, 1657, 57511
535, 6878, 27940, 20916, 0, 1777, 57511
541, 6912, 20880, 28094, 0, 1625, 57511
547, 6798, 19179, 29941, 0, 1593, 57511
553, 6837, 14152, 34991, 0, 1531, 57511
559, 6731, 10073, 39199, 0, 1508, 57511
565, 6577, 6987, 42520, 0, 1427, 57511
571, 6633, 5504, 44028, 0, 1346, 57511
577, 6632, 4660, 44981, 0, 1238, 57511
583, 6647, 3950, 45700, 0, 1214, 57511
589, 6638, 3336, 46361, 0, 1176, 57511
595, 6652, 4178, 45503, 0, 1178, 57511
601, 6666, 8252, 41465, 0, 1128, 57511
607, 6742, 14502, 35218, 0, 1049, 57511
613, 6774, 23793, 25923, 0, 1021, 57511
619, 6747, 30500, 19460, 0, 804, 57511
625, 6733, 35286, 14692, 0, 800, 57511
631, 6819, 38455, 11530, 0, 707, 57511
637, 6800, 41341, 8728, 0, 642, 57511
643, 6838, 44422, 5704, 0, 547, 57511
649, 6785, 46117, 4155, 0, 454, 57511
655, 6813, 47140, 3186, 0, 372, 57511
661, 6767, 47630, 2737, 0, 377, 57511
667, 6787, 47641, 2707, 0, 376, 57511
673, 6824, 46818, 3491, 0, 378, 57511
679, 6874, 45813, 4478, 0, 346, 57511
685, 6511, 42969, 7688, 0, 343, 57511
691, 6431, 35820, 14916, 0, 344, 57511
697, 6550, 31341, 19278, 0, 342, 57511
703, 6492, 23834, 26841, 0, 344, 57511
709, 6658, 20493, 30019, 0, 341, 57511
715, 6665, 16322, 34066, 0, 458, 57511
721, 6753, 13627, 36673, 0, 458, 57511
727, 6782, 10671, 39529, 0, 529, 57511
733, 6729, 9214, 41157, 0, 411, 57511
739, 6655, 6489, 43933, 0, 434, 57511
745, 6730, 5353, 44993, 0, 435, 57511
751, 6689, 5298, 45118, 0, 406, 57511
757, 6724, 5808, 44606, 0, 373, 57511
763, 6782, 6724, 43630, 0, 375, 57511
769, 6807, 8854, 41475, 0, 375, 57511
775, 6813, 16157, 34196, 0, 345, 57511
781, 6862, 24253, 26053, 0, 343, 57511
787, 6809, 31757, 18603, 0, 342, 57511
793, 6755, 38613, 11830, 0, 313, 57511
799, 6831, 39811, 10553, 0, 316, 57511
805, 6852, 43221, 7125, 0, 313, 57511
811, 6832, 44886, 5502, 0, 291, 57511
817, 6786, 46388, 4051, 0, 286, 57511
823, 6791, 47374, 3051, 0, 295, 57511
829, 6739, 47904, 2594, 0, 274, 57511
835, 6757, 47940, 2539, 0, 275, 57511
841, 6555, 47441, 3248, 0, 267, 57511
847, 6529, 46064, 4654, 0, 264, 57511
853, 6714, 40140, 10397, 0, 260, 57511
859, 6735, 34437, 16077, 0, 262, 57511
865, 6771, 27912, 22492, 0, 336, 57511
871, 6843, 24938, 25466, 0, 264, 57511
877, 6858, 20269, 30120, 0, 264, 57511
883, 6859, 16371, 34018, 0, 263, 57511
889, 6855, 14609, 35795, 0, 252, 57511
895, 6770, 11292, 39195, 0, 254, 57511
901, 6763, 10177, 40315, 0, 256, 57511
907, 6715, 7815, 42727, 0, 254, 57511
913, 6756, 6544, 43956, 0, 255, 57511
919, 6695, 6466, 44094, 0, 256, 57511
925, 6638, 7389, 43092, 0, 392, 57511
931, 6704, 8484, 41977, 0, 346, 57511
937, 6742, 11716, 38710, 0, 343, 57511
943, 6690, 17142, 33396, 0, 283, 57511
949, 6745, 30765, 19746, 0, 255, 57511
955, 6804, 35777, 14679, 0, 251, 57511
961, 6721, 38664, 11879, 0, 247, 57511
967, 6706, 41016, 9543, 0, 246, 57511
973, 6513, 44817, 5938, 0, 243, 57511
979, 6432, 46001, 4837, 0, 241, 57511
985, 6616, 46791, 3865, 0, 239, 57511
991, 6720, 47233, 3319, 0, 239, 57511
997, 6825, 47596, 2849, 0, 241, 57511
1003, 6789, 47520, 2957, 0, 245, 57511
1009, 6686, 46695, 3882, 0, 248, 57511
1015, 6696, 45273, 5292, 0, 250, 57511
1021, 6745, 40340, 10174, 0, 252, 57511
1027, 6932, 35230, 15099, 0, 250, 57511
1033, 6884, 30708, 19590, 0, 329, 57511
1039, 6931, 25654, 24557, 0, 369, 57511
1045, 6973, 22978, 27190, 0, 370, 57511
1051, 7001, 20378, 29761, 0, 371, 57511
1057, 6933, 16329, 33935, 0, 314, 57511
1063, 6850, 13820, 36555, 0, 286, 57511
