ts, default broker, SPOT, EWIIS3, AgentUDE, Bunnie, total
359, 57519, 0, 0, 0, 0, 57519
360, 57519, 0, 0, 0, 0, 57519
361, 6862, 246, 8, 31469, 18934, 57519
367, 6974, 246, 13, 31467, 18819, 57519
373, 6976, 245, 15, 35388, 14895, 57519
379, 6923, 298, 15, 38179, 12104, 57519
385, 6902, 93, 12, 39585, 10927, 57519
391, 6896, 94, 13, 40640, 9876, 57519
397, 6842, 93, 14, 41920, 8650, 57519
403, 6849, 215, 20, 5307, 45128, 57519
409, 6871, 218, 15, 5393, 45022, 57519
415, 6900, 229, 14, 5674, 44702, 57519
421, 6921, 217, 15, 6940, 43426, 57519
427, 6935, 217, 15, 6938, 43414, 57519
433, 6929, 217, 13, 6944, 43416, 57519
439, 6809, 217, 15, 7308, 43170, 57519
445, 6718, 157, 17, 4425, 46202, 57519
451, 6773, 125, 16, 5654, 44951, 57519
457, 6789, 125, 20, 6519, 44066, 57519
463, 6811, 124, 19, 6883, 43682, 57519
469, 6649, 94, 15, 8459, 42302, 57519
475, 6565, 93, 12, 8634, 42215, 57519
481, 6601, 91, 11, 8697, 42119, 57519
487, 6645, 92, 12, 508, 50262, 57519
493, 6721, 91, 13, 753, 49941, 57519
499, 6903, 91, 12, 1043, 49470, 57519
505, 6856, 90, 13, 1347, 49213, 57519
511, 6905, 91, 13, 1349, 49161, 57519
517, 6920, 95, 11, 1707, 48786, 57519
523, 6900, 93, 10, 2058, 48458, 57519
529, 6874, 191, 11, 1779, 48664, 57519
535, 6882, 188, 12, 2096, 48341, 57519
541, 6787, 188, 11, 2712, 47821, 57519
547, 6828, 328, 12, 4155, 46196, 57519
553, 6857, 120, 10, 5550, 44982, 57519
559, 6842, 130, 10, 6357, 44180, 57519
565, 6869, 132, 9, 6394, 44115, 57519
571, 6843, 192, 7, 1029, 49448, 57519
577, 6844, 192, 8, 1549, 48926, 57519
583, 6889, 183, 9, 1658, 48780, 57519
589, 6891, 326, 9, 2157, 48136, 57519
595, 6924, 326, 10, 2754, 47505, 57519
601, 6845, 296, 9, 2891, 47478, 57519
607, 6817, 296, 10, 2894, 47502, 57519
613, 6887, 265, 10, 255, 50102, 57519
619, 6894, 402, 10, 440, 49773, 57519
625, 6832, 401, 12, 497, 49777, 57519
631, 6827, 348, 12, 634, 49698, 57519
637, 6801, 403, 13, 1027, 49275, 57519
643, 6770, 373, 12, 903, 49461, 57519
649, 6841, 90, 11, 752, 49825, 57519
655, 6884, 90, 11, 18, 50516, 57519
661, 6919, 90, 8, 25, 50477, 57519
667, 6939, 92, 9, 36, 50443, 57519
673, 6886, 92, 8, 183, 50350, 57519
679, 6887, 94, 8, 284, 50246, 57519
685, 6798, 94, 8, 274, 50345, 57519
691, 6831, 92, 11, 276, 50309, 57519
697, 6832, 93, 15, 149, 50430, 57519
703, 6814, 93, 15, 162, 50435, 57519
709, 6754, 93, 14, 302, 50356, 57519
715, 6801, 93, 13, 511, 50101, 57519
721, 6815, 92, 13, 658, 49941, 57519
727, 6768, 93, 12, 557, 50089, 57519
733, 6830, 92, 14, 815, 49768, 57519
739, 6879, 92, 13, 3, 50532, 57519
745, 6853, 91, 12, 447, 50116, 57519
751, 6881, 91, 12, 388, 50147, 57519
757, 6862, 92, 13, 205, 50347, 57519
763, 6849, 92, 12, 174, 50392, 57519
769, 6889, 102, 12, 68, 50448, 57519
775, 6917, 103, 12, 150, 50337, 57519
