ts, default broker, SPOT, COLDPower18, AgentUDE, Bunnie, total
359, 57511, 0, 0, 0, 0, 57511
360, 57511, 0, 0, 0, 0, 57511
361, 6934, 0, 0, 28328, 22249, 57511
367, 6700, 77, 0, 28327, 22407, 57511
373, 6800, 93, 0, 32414, 18204, 57511
379, 6870, 94, 0, 34430, 16117, 57511
385, 6860, 96, 0, 36513, 14042, 57511
391, 6895, 96, 0, 37332, 13188, 57511
397, 6943, 95, 0, 38771, 11702, 57511
403, 6914, 95, 0, 2893, 47609, 57511
409, 6899, 94, 0, 336, 50182, 57511
415, 6865, 96, 0, 190, 50360, 57511
421, 6723, 97, 0, 280, 50411, 57511
427, 6757, 98, 0, 262, 50394, 57511
433, 6780, 95, 0, 261, 50375, 57511
439, 6831, 96, 0, 258, 50326, 57511
445, 6789, 96, 0, 6, 50620, 57511
451, 6787, 96, 0, 12, 50616, 57511
457, 6830, 94, 0, 12, 50575, 57511
463, 6858, 95, 0, 12, 50546, 57511
469, 6907, 93, 0, 12, 50499, 57511
475, 6917, 97, 0, 5, 50492, 57511
481, 6922, 92, 0, 15, 50482, 57511
487, 6933, 94, 0, 14, 50470, 57511
493, 6710, 92, 0, 14, 50695, 57511
499, 6724, 91, 0, 13, 50683, 57511
505, 6761, 91, 0, 14, 50645, 57511
511, 6828, 92, 0, 14, 50577, 57511
517, 6858, 94, 0, 16, 50543, 57511
523, 6860, 94, 0, 15, 50542, 57511
529, 6924, 95, 0, 12, 50480, 57511
535, 6944, 92, 0, 16, 50459, 57511
541, 6907, 92, 0, 17, 50495, 57511
547, 6856, 93, 0, 16, 50546, 57511
553, 6847, 92, 0, 15, 50557, 57511
559, 6840, 92, 0, 26, 50553, 57511
565, 6803, 92, 0, 22, 50594, 57511
571, 6852, 93, 0, 13, 50553, 57511
577, 6849, 92, 0, 29, 50541, 57511
583, 6892, 92, 0, 12, 50515, 57511
589, 6864, 92, 0, 24, 50531, 57511
595, 6894, 91, 0, 27, 50499, 57511
601, 6895, 93, 0, 23, 50500, 57511
607, 6911, 94, 0, 20, 50486, 57511
613, 6599, 92, 0, 14, 50806, 57511
619, 6508, 96, 0, 11, 50896, 57511
625, 6673, 97, 0, 13, 50728, 57511
631, 6721, 97, 0, 9, 50684, 57511
637, 6690, 91, 0, 24, 50706, 57511
643, 6758, 92, 0, 21, 50640, 57511
649, 6839, 96, 0, 22, 50554, 57511
655, 6754, 96, 0, 15, 50646, 57511
661, 6820, 91, 0, 14, 50586, 57511
667, 6844, 94, 0, 16, 50557, 57511
673, 6797, 92, 0, 18, 50604, 57511
679, 6834, 93, 0, 15, 50569, 57511
685, 6887, 91, 0, 166, 50367, 57511
691, 6867, 93, 0, 176, 50375, 57511
697, 6860, 95, 0, 43, 50513, 57511
703, 6846, 96, 0, 7, 50562, 57511
709, 6868, 97, 0, 8, 50538, 57511
715, 6872, 95, 0, 8, 50536, 57511
721, 6922, 95, 0, 6, 50488, 57511
727, 6933, 92, 0, 6, 50480, 57511
733, 6728, 92, 0, 8, 50683, 57511
739, 6637, 92, 0, 13, 50769, 57511
745, 6841, 90, 0, 16, 50564, 57511
751, 6893, 91, 0, 15, 50512, 57511
757, 6936, 92, 0, 13, 50470, 57511
763, 6899, 92, 0, 15, 50505, 57511
769, 6929, 91, 0, 13, 50478, 57511
775, 6951, 91, 0, 13, 50456, 57511
781, 6829, 94, 0, 159, 50429, 57511
787, 6849, 95, 0, 99, 50468, 57511
793, 6886, 93, 0, 99, 50433, 57511
799, 6885, 95, 0, 68, 50463, 57511
805, 6929, 92, 0, 459, 50031, 57511
811, 6895, 93, 0, 370, 50153, 57511
817, 6924, 95, 0, 427, 50065, 57511
823, 6898, 91, 0, 40, 50482, 57511
829, 6850, 94, 0, 9, 50558, 57511
835, 6894, 93, 0, 12, 50512, 57511
841, 6877, 96, 0, 9, 50529, 57511
847, 6855, 94, 0, 10, 50552, 57511
853, 6846, 92, 0, 166, 50407, 57511
859, 6766, 94, 0, 162, 50489, 57511
865, 6831, 91, 0, 12, 50577, 57511
871, 6886, 92, 0, 11, 50522, 57511
877, 6927, 92, 0, 15, 50477, 57511
883, 6916, 91, 0, 11, 50493, 57511
889, 6915, 91, 0, 14, 50491, 57511
895, 6968, 91, 0, 12, 50440, 57511
901, 6422, 90, 0, 17, 50982, 57511
907, 6537, 93, 0, 8, 50873, 57511
913, 6654, 95, 0, 7, 50755, 57511
919, 6770, 57, 0, 8, 50676, 57511
925, 6829, 39, 0, 40, 50603, 57511
931, 6828, 40, 0, 41, 50602, 57511
937, 6862, 40, 0, 41, 50568, 57511
943, 6942, 33, 0, 40, 50496, 57511
949, 6847, 35, 0, 36, 50593, 57511
955, 6899, 29, 0, 36, 50547, 57511
961, 6918, 52, 0, 18, 50523, 57511
967, 6824, 60, 0, 16, 50611, 57511
973, 6622, 65, 0, 10, 50814, 57511
979, 6689, 66, 0, 7, 50749, 57511
985, 6709, 68, 0, 8, 50726, 57511
991, 6735, 65, 0, 13, 50698, 57511
997, 6773, 80, 0, 11, 50647, 57511
1003, 6802, 90, 0, 10, 50609, 57511
1009, 6735, 89, 0, 9, 50678, 57511
1015, 6789, 86, 0, 11, 50625, 57511
1021, 6873, 63, 0, 15, 50560, 57511
1027, 6888, 48, 0, 26, 50549, 57511
1033, 6869, 37, 0, 27, 50578, 57511
1039, 6909, 42, 0, 40, 50520, 57511
1045, 6879, 61, 0, 23, 50548, 57511
1051, 6881, 79, 0, 13, 50538, 57511
1057, 6898, 89, 0, 13, 50511, 57511
1063, 6921, 92, 0, 11, 50487, 57511
1069, 6800, 242, 0, 12, 50457, 57511
1075, 6823, 213, 0, 10, 50465, 57511
1081, 6785, 214, 0, 9, 50503, 57511
1087, 6758, 183, 0, 9, 50561, 57511
1093, 6806, 182, 0, 6, 50517, 57511
