ts, default broker, SPOT, VidyutVanika, EWIIS3, Bunnie, total
359, 57513, 0, 0, 0, 0, 57513
360, 57513, 0, 0, 0, 0, 57513
361, 6, 304, 8256, 345, 48602, 57513
367, 3, 304, 8291, 153, 48762, 57513
373, 3, 447, 12444, 151, 44468, 57513
379, 2, 448, 15393, 155, 41515, 57513
385, 4, 5, 17337, 129, 40038, 57513
391, 4, 4, 18924, 125, 38456, 57513
397, 4, 5, 20911, 119, 36474, 57513
403, 4, 5, 22706, 118, 34680, 57513
409, 4, 3, 23226, 115, 34165, 57513
415, 4, 3, 23775, 109, 33622, 57513
421, 4, 3, 23770, 200, 33536, 57513
427, 3, 3, 23763, 176, 33568, 57513
433, 5, 2, 23458, 150, 33898, 57513
439, 4, 2, 23293, 146, 34068, 57513
445, 4, 3, 21511, 160, 35835, 57513
451, 4, 3, 19898, 162, 37446, 57513
457, 4, 3, 18349, 137, 39020, 57513
463, 3, 3, 16101, 133, 41273, 57513
469, 3, 2, 14833, 130, 42545, 57513
475, 2, 2, 13352, 130, 44027, 57513
481, 1, 2, 12162, 107, 45241, 57513
487, 0, 3, 11580, 104, 45826, 57513
493, 0, 2, 9970, 100, 47441, 57513
499, 0, 3, 9593, 77, 47840, 57513
505, 0, 2, 8784, 67, 48660, 57513
511, 1, 2, 8618, 64, 48828, 57513
517, 2, 2, 8519, 59, 48931, 57513
523, 2, 3, 8310, 60, 49138, 57513
529, 2, 32, 7991, 57, 49431, 57513
535, 2, 33, 7922, 55, 49501, 57513
541, 2, 32, 10460, 54, 46965, 57513
547, 2, 33, 12238, 52, 45188, 57513
553, 2, 34, 15747, 50, 41680, 57513
559, 3, 34, 17026, 47, 40403, 57513
565, 1, 34, 22453, 48, 34977, 57513
571, 1, 4, 23165, 47, 34296, 57513
577, 3, 4, 24719, 43, 32744, 57513
583, 3, 4, 25274, 43, 32189, 57513
589, 3, 3, 25052, 43, 32412, 57513
595, 3, 3, 25067, 42, 32398, 57513
601, 4, 2, 24761, 42, 32704, 57513
607, 5, 1, 24689, 42, 32776, 57513
613, 3, 120, 23904, 43, 33443, 57513
619, 3, 120, 22423, 42, 34925, 57513
625, 3, 3, 20766, 43, 36698, 57513
631, 1, 3, 19325, 35, 38149, 57513
637, 2, 3, 18065, 34, 39409, 57513
643, 2, 2, 15711, 34, 41764, 57513
649, 1, 0, 14144, 36, 43332, 57513
655, 1, 1, 12662, 36, 44813, 57513
661, 1, 2, 11120, 35, 46355, 57513
667, 1, 3, 10100, 34, 47375, 57513
673, 1, 4, 9368, 32, 48108, 57513
679, 0, 4, 8903, 29, 48577, 57513
685, 2, 4, 8534, 28, 48945, 57513
691, 1, 3, 8293, 29, 49187, 57513
697, 1, 3, 8566, 29, 48914, 57513
703, 1, 2, 8376, 28, 49106, 57513
709, 1, 2, 9951, 27, 47532, 57513
715, 1, 4, 12487, 28, 44993, 57513
721, 0, 3, 14997, 28, 42485, 57513
727, 0, 3, 17097, 28, 40385, 57513
733, 0, 3, 20251, 29, 37230, 57513
739, 0, 3, 22687, 27, 34796, 57513
745, 0, 2, 23659, 16, 33836, 57513
751, 1, 3, 23710, 16, 33783, 57513
757, 1, 2, 23700, 16, 33794, 57513
763, 1, 2, 23402, 17, 34091, 57513
769, 1, 3, 23357, 17, 34135, 57513
775, 1, 3, 23260, 15, 34234, 57513
781, 1, 3, 22575, 16, 34918, 57513
787, 1, 5, 21510, 14, 35983, 57513
793, 1, 3, 21301, 15, 36193, 57513
799, 1, 4, 18719, 15, 38774, 57513
805, 1, 3, 16297, 10, 41202, 57513
811, 1, 3, 14040, 9, 43460, 57513
817, 1, 1, 12939, 9, 44563, 57513
823, 1, 2, 11478, 8, 46024, 57513
829, 0, 2, 11050, 8, 46453, 57513
835, 1, 3, 10029, 9, 47471, 57513
841, 1, 1, 9530, 10, 47971, 57513
847, 1, 2, 8983, 9, 48518, 57513
853, 1, 3, 8726, 8, 48775, 57513
859, 1, 6, 8530, 10, 48966, 57513
865, 1, 2, 19534, 11, 37965, 57513
871, 0, 2, 32173, 11, 25327, 57513
877, 1, 2, 36230, 11, 21269, 57513
883, 1, 4, 40585, 9, 16914, 57513
889, 2030, 94, 36456, 12, 18921, 57513
895, 2298, 93, 36769, 15, 18338, 57513
901, 2647, 93, 39038, 14, 15721, 57513
907, 2987, 93, 40427, 14, 13992, 57513
913, 2997, 93, 38543, 13, 15867, 57513
919, 3064, 93, 36189, 12, 18155, 57513
925, 3084, 93, 37673, 12, 16651, 57513
931, 3319, 93, 37691, 12, 16398, 57513
937, 3266, 94, 38039, 13, 16101, 57513
943, 3379, 95, 13717, 13, 40309, 57513
949, 3547, 95, 15757, 13, 38101, 57513
955, 3557, 94, 20281, 15, 33566, 57513
961, 3506, 93, 22955, 15, 30944, 57513
967, 3633, 94, 25961, 14, 27811, 57513
973, 3757, 94, 10128, 15, 43519, 57513
979, 3615, 94, 12523, 13, 41268, 57513
985, 3565, 94, 16360, 13, 37481, 57513
991, 3442, 94, 19567, 13, 34397, 57513
997, 3354, 93, 22975, 12, 31079, 57513
1003, 3486, 93, 25073, 13, 28848, 57513
1009, 3626, 93, 22872, 14, 30908, 57513
1015, 3577, 93, 5500, 14, 48329, 57513
1021, 3618, 93, 9402, 14, 44386, 57513
1027, 3590, 93, 18663, 13, 35154, 57513
1033, 3466, 144, 17654, 13, 36236, 57513
1039, 3351, 144, 23146, 13, 30859, 57513
1045, 3255, 144, 14443, 15, 39656, 57513
1051, 3119, 144, 19244, 14, 34992, 57513
1057, 3124, 145, 23750, 13, 30481, 57513
1063, 3099, 145, 27454, 12, 26803, 57513
1069, 3016, 145, 29559, 11, 24782, 57513
1075, 3101, 145, 32574, 10, 21683, 57513
1081, 3210, 124, 33215, 11, 20953, 57513
1087, 3134, 124, 34988, 13, 19254, 57513
1093, 3114, 94, 35577, 13, 18715, 57513
1099, 3202, 94, 37087, 13, 17117, 57513
1105, 3332, 93, 35566, 13, 18509, 57513
1111, 3330, 93, 35404, 12, 18674, 57513
1117, 3246, 93, 18027, 12, 36135, 57513
1123, 3286, 93, 19616, 12, 34506, 57513
1129, 3335, 123, 23709, 11, 30335, 57513
1135, 3460, 124, 26065, 11, 27853, 57513
1141, 3408, 123, 28454, 12, 25516, 57513
1147, 3409, 190, 31177, 13, 22724, 57513
1153, 3397, 190, 30614, 13, 23299, 57513
1159, 3408, 190, 29023, 13, 24879, 57513
1165, 3522, 190, 30079, 12, 23710, 57513
1171, 3440, 161, 31656, 11, 22245, 57513
1177, 3474, 162, 29701, 10, 24166, 57513
1183, 3401, 160, 5368, 13, 48571, 57513
1189, 3374, 130, 8383, 12, 45614, 57513
1195, 3362, 93, 15938, 12, 38108, 57513
1201, 3478, 93, 16574, 13, 37355, 57513
1207, 3299, 93, 20165, 12, 33944, 57513
1213, 3447, 93, 25733, 10, 28230, 57513
1219, 3494, 93, 28916, 11, 24999, 57513
1225, 3600, 93, 31157, 12, 22651, 57513
1231, 3552, 93, 32050, 13, 21805, 57513
1237, 3337, 93, 36279, 14, 17790, 57513
1243, 3148, 93, 38593, 14, 15665, 57513
1249, 3148, 93, 38075, 15, 16182, 57513
1255, 3170, 93, 36679, 15, 17556, 57513
1261, 3232, 93, 37557, 15, 16616, 57513
1267, 3340, 93, 38485, 15, 15580, 57513
1273, 3365, 93, 37387, 15, 16653, 57513
1279, 3400, 149, 17064, 14, 36886, 57513
1285, 3283, 149, 16404, 14, 37663, 57513
1291, 3226, 148, 20751, 14, 33374, 57513
1297, 3335, 148, 24352, 14, 29664, 57513
1303, 3550, 148, 26112, 15, 27688, 57513
1309, 3645, 148, 30532, 15, 23173, 57513
1315, 3694, 149, 33620, 14, 20036, 57513
1321, 3624, 150, 32904, 14, 20821, 57513
1327, 3580, 150, 32225, 13, 21545, 57513
1333, 3662, 94, 33966, 12, 19779, 57513
1339, 3575, 94, 35056, 12, 18776, 57513
1345, 3795, 96, 33131, 11, 20480, 57513
1351, 3741, 95, 4994, 12, 48671, 57513
1357, 3512, 96, 9557, 11, 44337, 57513
1363, 3438, 96, 18414, 11, 35554, 57513
1369, 3454, 95, 22883, 12, 31069, 57513
1375, 3529, 94, 26623, 12, 27255, 57513
1381, 3437, 94, 15986, 11, 37985, 57513
1387, 3363, 94, 17171, 12, 36873, 57513
1393, 3569, 94, 23323, 12, 30515, 57513
1399, 3541, 94, 26088, 14, 27776, 57513
1405, 3500, 94, 30368, 15, 23536, 57513
1411, 3579, 94, 33881, 12, 19947, 57513
1417, 3614, 93, 34399, 14, 19393, 57513
1423, 3316, 93, 35485, 12, 18607, 57513
1429, 3342, 93, 37263, 13, 16802, 57513
1435, 3437, 93, 38001, 13, 15969, 57513
1441, 3441, 93, 37204, 14, 16761, 57513
1447, 3527, 95, 23702, 12, 30177, 57513
1453, 3560, 95, 24582, 13, 29263, 57513
1459, 3721, 95, 25650, 12, 28035, 57513
1465, 3544, 95, 28498, 12, 25364, 57513
1471, 3434, 94, 29839, 12, 24134, 57513
1477, 3470, 94, 32341, 9, 21599, 57513
1483, 3499, 96, 33184, 10, 20724, 57513
1489, 3499, 95, 31639, 11, 22269, 57513
1495, 3349, 96, 31097, 11, 22960, 57513
1501, 3392, 95, 30928, 12, 23086, 57513
1507, 3486, 95, 31816, 13, 22103, 57513
1513, 3480, 95, 31104, 13, 22821, 57513
1519, 3345, 168, 6403, 14, 47583, 57513
1525, 3443, 168, 11152, 14, 42736, 57513
1531, 3400, 168, 16946, 13, 36986, 57513
1537, 3048, 168, 20163, 13, 34121, 57513
1543, 3314, 169, 6083, 13, 47934, 57513
1549, 3314, 169, 7479, 13, 46538, 57513
1555, 3233, 169, 13231, 11, 40869, 57513
1561, 3311, 170, 17796, 10, 36226, 57513
1567, 3299, 169, 22160, 10, 31875, 57513
1573, 3240, 155, 27599, 9, 26510, 57513
1579, 3178, 153, 29997, 11, 24174, 57513
1585, 3414, 93, 28491, 10, 25505, 57513
