ts, default broker, SPOT, COLDPower18, EWIIS3, VidyutVanika, total
359, 57501, 0, 0, 0, 0, 57501
360, 57501, 0, 0, 0, 0, 57501
361, 21, 12916, 0, 13648, 30916, 57501
367, 15, 13716, 0, 10285, 33485, 57501
373, 17, 14208, 0, 8926, 34350, 57501
379, 17, 14385, 0, 8152, 34947, 57501
385, 15, 14779, 0, 7102, 35605, 57501
391, 14, 14899, 0, 6554, 36034, 57501
397, 13, 15035, 0, 6055, 36398, 57501
403, 12, 13530, 0, 6790, 37169, 57501
409, 12, 10239, 0, 6974, 40276, 57501
415, 12, 8128, 0, 6810, 42551, 57501
421, 12, 6228, 0, 5357, 45904, 57501
427, 11, 4228, 0, 3977, 49285, 57501
433, 12, 72, 0, 3170, 54247, 57501
439, 11, 74, 0, 2523, 54893, 57501
445, 11, 73, 0, 2141, 55276, 57501
451, 11, 71, 0, 1964, 55455, 57501
457, 11, 71, 0, 1608, 55811, 57501
463, 10, 73, 0, 1357, 56061, 57501
469, 10, 73, 0, 1146, 56272, 57501
475, 10, 324, 0, 1106, 56061, 57501
481, 11, 859, 0, 943, 55688, 57501
487, 9, 1382, 0, 931, 55179, 57501
493, 9, 2490, 0, 868, 54134, 57501
499, 9, 2965, 0, 828, 53699, 57501
505, 9, 3126, 0, 626, 53740, 57501
511, 9, 3124, 0, 565, 53803, 57501
517, 8, 3719, 0, 506, 53268, 57501
523, 9, 3679, 0, 453, 53360, 57501
529, 9, 3832, 0, 454, 53206, 57501
535, 10, 3672, 0, 390, 53429, 57501
541, 10, 3300, 0, 369, 53822, 57501
547, 10, 2955, 0, 360, 54176, 57501
553, 10, 2801, 0, 338, 54352, 57501
559, 10, 2424, 0, 339, 54728, 57501
565, 10, 2299, 0, 339, 54853, 57501
571, 10, 1885, 0, 337, 55269, 57501
577, 12, 1509, 0, 336, 55644, 57501
583, 34, 1182, 0, 335, 55950, 57501
589, 32, 1035, 0, 336, 56098, 57501
595, 35, 948, 0, 335, 56183, 57501
601, 28, 852, 0, 334, 56287, 57501
607, 32, 582, 0, 331, 56556, 57501
613, 15, 514, 0, 331, 56641, 57501
619, 12, 391, 0, 320, 56778, 57501
625, 11, 233, 0, 318, 56939, 57501
631, 10, 182, 0, 317, 56992, 57501
637, 10, 319, 0, 316, 56856, 57501
643, 10, 726, 0, 295, 56470, 57501
649, 9, 1609, 0, 297, 55586, 57501
655, 9, 2405, 0, 298, 54789, 57501
