ts, default broker, SPOT, COLDPower18, VidyutVanika, Bunnie, total
359, 57507, 0, 0, 0, 0, 57507
360, 57507, 0, 0, 0, 0, 57507
361, 8, 160, 0, 7496, 49843, 57507
367, 7, 158, 0, 7501, 49841, 57507
373, 8, 157, 0, 7499, 49843, 57507
379, 8, 157, 0, 7609, 49733, 57507
385, 12, 3, 0, 7607, 49885, 57507
391, 9, 5, 0, 7767, 49726, 57507
397, 8, 6, 0, 7755, 49738, 57507
403, 7, 6, 0, 7754, 49740, 57507
409, 6, 5, 0, 8196, 49300, 57507
415, 5, 5, 0, 8342, 49155, 57507
421, 4, 8, 0, 10963, 46532, 57507
427, 4, 11, 0, 13893, 43599, 57507
433, 8, 9, 0, 17697, 39793, 57507
439, 7, 13, 0, 19382, 38105, 57507
445, 7, 12, 0, 20430, 37058, 57507
451, 7, 14, 0, 21845, 35641, 57507
457, 6, 12, 0, 23260, 34229, 57507
463, 6, 11, 0, 23591, 33899, 57507
469, 7, 9, 0, 23512, 33979, 57507
475, 3, 11, 0, 23518, 33975, 57507
481, 3, 13, 0, 22966, 34525, 57507
487, 5, 10, 0, 22802, 34690, 57507
493, 7, 7, 0, 21941, 35552, 57507
499, 8, 6, 0, 20325, 37168, 57507
505, 5, 6, 0, 18550, 38946, 57507
511, 6, 5, 0, 16311, 41185, 57507
517, 6, 4, 0, 15362, 42135, 57507
523, 7, 5, 0, 13784, 43711, 57507
529, 6, 5, 0, 11740, 45756, 57507
535, 7, 5, 0, 11124, 46371, 57507
541, 6, 5, 0, 9258, 48238, 57507
547, 6, 5, 0, 8818, 48678, 57507
553, 7, 5, 0, 8311, 49184, 57507
559, 4, 6, 0, 8032, 49465, 57507
565, 2, 6, 0, 7842, 49657, 57507
571, 3, 6, 0, 7994, 49504, 57507
577, 5, 7, 0, 8033, 49462, 57507
583, 6, 6, 0, 8187, 49308, 57507
589, 6, 3, 0, 10350, 47148, 57507
595, 4, 6, 0, 11953, 45544, 57507
601, 3, 6, 0, 13737, 43761, 57507
607, 5, 4, 0, 17250, 40248, 57507
613, 5, 6, 0, 20323, 37173, 57507
619, 5, 6, 0, 23183, 34313, 57507
625, 8, 6, 0, 24479, 33014, 57507
631, 8, 7, 0, 24535, 32957, 57507
637, 6, 9, 0, 24413, 33079, 57507
643, 7, 9, 0, 24408, 33083, 57507
649, 7, 10, 0, 24187, 33303, 57507
655, 8, 9, 0, 24104, 33386, 57507
661, 5, 9, 0, 23893, 33600, 57507
667, 7, 7, 0, 22530, 34963, 57507
673, 9, 2, 0, 21503, 35993, 57507
679, 10, 4, 0, 19195, 38298, 57507
685, 11, 4, 0, 17824, 39668, 57507
691, 11, 5, 0, 15383, 42108, 57507
697, 12, 4, 0, 13008, 44483, 57507
703, 12, 6, 0, 11288, 46201, 57507
709, 10, 8, 0, 10537, 46952, 57507
715, 11, 7, 0, 9833, 47656, 57507
721, 10, 7, 0, 9193, 48297, 57507
727, 10, 7, 0, 8683, 48807, 57507
733, 8, 7, 0, 8772, 48720, 57507
739, 7, 7, 0, 8574, 48919, 57507
745, 6, 7, 0, 8287, 49207, 57507
751, 8, 4, 0, 8181, 49314, 57507
