ts, default broker, CrocodileAgent, SPOT, EWIIS3, VidyutVanika, total
359, 57512, 0, 0, 0, 0, 57512
360, 57512, 0, 0, 0, 0, 57512
361, 9, 5, 20564, 11605, 25329, 57512
367, 8, 4, 22271, 7622, 27607, 57512
373, 6, 5, 23576, 5535, 28390, 57512
379, 7, 6, 23984, 4766, 28749, 57512
385, 6, 5, 24496, 3873, 29132, 57512
391, 7, 2, 24916, 3225, 29362, 57512
397, 5, 4, 25095, 2876, 29532, 57512
403, 5, 5, 24115, 3204, 30183, 57512
409, 7, 4, 23348, 3118, 31035, 57512
415, 7, 4, 22778, 2909, 31814, 57512
421, 7, 4, 22152, 2892, 32457, 57512
427, 6, 33, 20681, 3224, 33568, 57512
433, 6, 243, 20233, 3717, 33313, 57512
439, 6, 320, 18674, 3335, 35177, 57512
445, 6, 473, 14825, 2677, 39531, 57512
451, 6, 1188, 10645, 1902, 43771, 57512
457, 7, 2043, 8808, 1546, 45108, 57512
463, 7, 2540, 6998, 1260, 46707, 57512
469, 6, 3918, 5191, 1124, 47273, 57512
475, 5, 5111, 3951, 867, 47578, 57512
481, 5, 7211, 172, 755, 49369, 57512
487, 6, 7420, 178, 741, 49167, 57512
493, 5, 7554, 456, 677, 48820, 57512
499, 7, 7523, 1857, 630, 47495, 57512
505, 9, 7987, 2249, 627, 46640, 57512
511, 9, 8105, 4050, 623, 44725, 57512
517, 10, 8058, 8337, 600, 40507, 57512
523, 8, 7791, 8830, 539, 40344, 57512
529, 9, 7736, 9031, 489, 40247, 57512
535, 9, 7092, 9550, 428, 40433, 57512
541, 8, 6483, 9935, 428, 40658, 57512
547, 7, 5570, 10042, 410, 41483, 57512
553, 7, 4237, 10212, 372, 42684, 57512
559, 7, 3894, 9642, 355, 43614, 57512
565, 7, 3596, 9004, 333, 44572, 57512
571, 7, 2736, 7728, 330, 46711, 57512
577, 7, 2066, 6909, 297, 48233, 57512
583, 6, 1723, 6114, 294, 49375, 57512
589, 6, 1354, 5541, 294, 50317, 57512
595, 6, 1075, 5024, 274, 51133, 57512
601, 6, 1142, 4617, 271, 51476, 57512
607, 6, 910, 3955, 261, 52380, 57512
613, 6, 1010, 3349, 238, 52909, 57512
619, 8, 1595, 2433, 235, 53241, 57512
625, 5, 2777, 174, 232, 54324, 57512
631, 5, 3253, 286, 227, 53741, 57512
637, 5, 4689, 289, 219, 52310, 57512
643, 5, 4983, 404, 217, 51903, 57512
649, 5, 5506, 410, 198, 51393, 57512
655, 6, 6821, 408, 158, 50119, 57512
661, 7, 7140, 493, 159, 49713, 57512
667, 7, 6901, 3576, 166, 46862, 57512
673, 6, 7060, 4486, 163, 45797, 57512
679, 7, 6895, 7250, 159, 43201, 57512
685, 8, 6925, 9217, 155, 41207, 57512
691, 8, 6596, 10418, 155, 40335, 57512
697, 6, 6004, 11154, 158, 40190, 57512
703, 6, 5454, 11745, 158, 40149, 57512
709, 6, 4933, 11657, 159, 40757, 57512
715, 6, 4463, 11802, 145, 41096, 57512
721, 7, 4141, 11827, 147, 41390, 57512
727, 7, 3439, 11233, 144, 42689, 57512
733, 7, 2440, 10703, 143, 44219, 57512
739, 7, 1751, 9796, 140, 45818, 57512
745, 7, 1228, 8717, 141, 47419, 57512
751, 8, 1143, 8185, 139, 48037, 57512
757, 7, 835, 7418, 140, 49112, 57512
763, 7, 1149, 6831, 140, 49385, 57512
769, 8, 1491, 5920, 143, 49950, 57512
775, 7, 1405, 5107, 142, 50851, 57512
781, 6, 1598, 3863, 143, 51902, 57512
787, 6, 1900, 3280, 139, 52187, 57512
