ts, default broker, CrocodileAgent, COLDPower18, EWIIS3, AgentUDE, total
359, 57512, 0, 0, 0, 0, 57512
360, 57512, 0, 0, 0, 0, 57512
361, 7108, 0, 0, 2642, 47762, 57512
367, 6894, 220, 0, 1149, 49249, 57512
373, 6933, 177, 0, 599, 49803, 57512
379, 6909, 202, 0, 455, 49946, 57512
385, 6905, 203, 0, 404, 50000, 57512
391, 6899, 210, 0, 342, 50061, 57512
397, 6701, 408, 0, 311, 50092, 57512
403, 6779, 42791, 0, 3801, 4141, 57512
409, 6813, 47689, 0, 2813, 197, 57512
415, 6854, 48376, 0, 2275, 7, 57512
421, 6963, 48781, 0, 1762, 6, 57512
427, 7003, 49080, 0, 1424, 5, 57512
433, 6977, 49236, 0, 1293, 6, 57512
439, 6952, 49489, 0, 1067, 4, 57512
445, 6964, 49465, 0, 1077, 6, 57512
451, 6912, 49508, 0, 1086, 6, 57512
457, 6910, 49505, 0, 1080, 17, 57512
463, 6801, 49616, 0, 1046, 49, 57512
469, 6720, 49696, 0, 1016, 80, 57512
475, 6750, 38848, 0, 1800, 10114, 57512
481, 6642, 33621, 0, 1872, 15377, 57512
487, 6664, 31117, 0, 4444, 15287, 57512
493, 6768, 24072, 0, 3746, 22926, 57512
499, 6806, 19103, 0, 3230, 28373, 57512
505, 6816, 14968, 0, 2499, 33229, 57512
511, 6876, 12518, 0, 2351, 35767, 57512
517, 6852, 11003, 0, 2204, 37453, 57512
523, 6911, 9436, 0, 2008, 39157, 57512
529, 6871, 16661, 0, 3376, 30604, 57512
535, 6913, 16694, 0, 2682, 31223, 57512
541, 6952, 16685, 0, 2390, 31485, 57512
547, 6899, 17102, 0, 1937, 31574, 57512
553, 6880, 17444, 0, 1583, 31605, 57512
559, 6893, 17575, 0, 1440, 31604, 57512
565, 6847, 17838, 0, 1171, 31656, 57512
571, 6838, 49733, 0, 928, 13, 57512
577, 6832, 49881, 0, 786, 13, 57512
583, 6855, 49889, 0, 755, 13, 57512
589, 6779, 50049, 0, 657, 27, 57512
595, 6798, 50202, 0, 486, 26, 57512
601, 6759, 50283, 0, 436, 34, 57512
607, 6813, 50266, 0, 393, 40, 57512
613, 6702, 50422, 0, 354, 34, 57512
619, 6769, 50338, 0, 372, 33, 57512
625, 6898, 49837, 0, 485, 292, 57512
631, 6941, 49656, 0, 575, 340, 57512
637, 7005, 48908, 0, 874, 725, 57512
643, 6767, 44679, 0, 3584, 2482, 57512
649, 6781, 40443, 0, 3318, 6970, 57512
655, 6845, 40678, 0, 8062, 1927, 57512
661, 6849, 38857, 0, 7808, 3998, 57512
667, 6917, 38193, 0, 7255, 5147, 57512
673, 6873, 38376, 0, 5156, 7107, 57512
679, 6821, 38141, 0, 5122, 7428, 57512
685, 6865, 37046, 0, 4379, 9222, 57512
691, 6907, 36307, 0, 4195, 10103, 57512
697, 6820, 37574, 0, 3730, 9388, 57512
703, 6784, 38053, 0, 3125, 9550, 57512
709, 6835, 38388, 0, 2542, 9747, 57512
715, 6902, 38692, 0, 2235, 9683, 57512
721, 6871, 39817, 0, 1530, 9294, 57512
727, 6868, 40542, 0, 1348, 8754, 57512
733, 6878, 41714, 0, 1147, 7773, 57512
739, 6841, 49664, 0, 1004, 3, 57512
745, 6877, 49763, 0, 869, 3, 57512
751, 6872, 49995, 0, 640, 5, 57512
757, 6693, 50314, 0, 501, 4, 57512
763, 6546, 50512, 0, 448, 6, 57512
769, 6674, 50455, 0, 380, 3, 57512
775, 6732, 50435, 0, 341, 4, 57512
781, 6882, 50318, 0, 309, 3, 57512
