ts, default broker, CrocodileAgent, COLDPower18, EWIIS3, VidyutVanika, total
359, 57514, 0, 0, 0, 0, 57514
360, 57514, 0, 0, 0, 0, 57514
361, 16, 156, 0, 22694, 34648, 57514
367, 15, 160, 0, 17955, 39384, 57514
373, 15, 157, 0, 16237, 41105, 57514
379, 13, 153, 0, 14237, 43111, 57514
385, 14, 182, 0, 12869, 44449, 57514
391, 14, 182, 0, 12338, 44980, 57514
397, 14, 183, 0, 11647, 45670, 57514
403, 14, 184, 0, 10733, 46583, 57514
409, 14, 184, 0, 9614, 47702, 57514
415, 13, 215, 0, 9014, 48272, 57514
421, 11, 247, 0, 8296, 48960, 57514
427, 10, 306, 0, 7340, 49858, 57514
433, 9, 896, 0, 7061, 49548, 57514
439, 11, 984, 0, 6382, 50137, 57514
445, 10, 983, 0, 5976, 50545, 57514
451, 11, 1085, 0, 5380, 51038, 57514
457, 11, 1662, 0, 5197, 50644, 57514
463, 12, 2797, 0, 4440, 50265, 57514
469, 12, 4067, 0, 3583, 49852, 57514
475, 12, 4964, 0, 2894, 49644, 57514
481, 11, 6104, 0, 2468, 48931, 57514
487, 12, 6867, 0, 1847, 48788, 57514
493, 13, 7166, 0, 1174, 49161, 57514
499, 11, 7043, 0, 1115, 49345, 57514
505, 12, 6982, 0, 891, 49629, 57514
511, 10, 6803, 0, 884, 49817, 57514
517, 11, 6664, 0, 705, 50134, 57514
523, 10, 6606, 0, 673, 50225, 57514
529, 11, 6302, 0, 670, 50531, 57514
535, 11, 5974, 0, 626, 50903, 57514
541, 12, 4810, 0, 586, 52106, 57514
547, 10, 4312, 0, 526, 52666, 57514
553, 11, 3483, 0, 444, 53576, 57514
559, 11, 2771, 0, 382, 54350, 57514
565, 12, 2014, 0, 378, 55110, 57514
571, 12, 1609, 0, 356, 55537, 57514
577, 12, 996, 0, 358, 56148, 57514
583, 11, 554, 0, 321, 56628, 57514
589, 10, 506, 0, 319, 56679, 57514
595, 9, 460, 0, 321, 56724, 57514
601, 9, 321, 0, 320, 56864, 57514
607, 8, 300, 0, 323, 56883, 57514
613, 8, 897, 0, 301, 56308, 57514
619, 8, 1907, 0, 285, 55314, 57514
625, 7, 2800, 0, 282, 54425, 57514
631, 7, 3761, 0, 280, 53466, 57514
637, 7, 5122, 0, 256, 52129, 57514
643, 7, 5736, 0, 254, 51517, 57514
649, 7, 6171, 0, 250, 51086, 57514
655, 8, 6858, 0, 248, 50400, 57514
661, 9, 7441, 0, 245, 49819, 57514
667, 10, 7532, 0, 243, 49729, 57514
673, 10, 7844, 0, 244, 49416, 57514
679, 10, 8039, 0, 243, 49222, 57514
685, 11, 7971, 0, 248, 49284, 57514
691, 12, 7701, 0, 242, 49559, 57514
697, 10, 6898, 0, 235, 50371, 57514
703, 11, 5818, 0, 234, 51451, 57514
709, 11, 5018, 0, 228, 52257, 57514
715, 9, 4130, 0, 228, 53147, 57514
721, 9, 3971, 0, 221, 53313, 57514
727, 9, 3188, 0, 222, 54095, 57514
733, 9, 2749, 0, 221, 54535, 57514
739, 8, 2066, 0, 225, 55215, 57514
745, 8, 1737, 0, 225, 55544, 57514
751, 8, 1277, 0, 224, 56005, 57514
757, 8, 843, 0, 226, 56437, 57514
763, 9, 932, 0, 224, 56349, 57514
769, 9, 889, 0, 220, 56396, 57514
775, 9, 797, 0, 222, 56486, 57514
781, 9, 994, 0, 224, 56287, 57514
787, 9, 1051, 0, 222, 56232, 57514
793, 10, 2373, 0, 218, 54913, 57514
799, 10, 3987, 0, 220, 53297, 57514
805, 10, 4309, 0, 217, 52978, 57514
811, 9, 4384, 0, 217, 52904, 57514
817, 9, 5154, 0, 216, 52135, 57514
823, 8, 5261, 0, 218, 52027, 57514
829, 9, 5297, 0, 221, 51987, 57514
835, 10, 6121, 0, 209, 51174, 57514
841, 10, 5967, 0, 212, 51325, 57514
847, 12, 5890, 0, 209, 51403, 57514
853, 12, 5645, 0, 213, 51644, 57514
859, 11, 5478, 0, 218, 51807, 57514
865, 10, 5338, 0, 168, 51998, 57514
871, 9, 4268, 0, 150, 53087, 57514
877, 12, 3467, 0, 153, 53882, 57514
883, 9, 3066, 0, 134, 54305, 57514
889, 2410, 2487, 0, 130, 52487, 57514
895, 2534, 2152, 0, 130, 52698, 57514
901, 2768, 1642, 0, 109, 52995, 57514
907, 2833, 1237, 0, 98, 53346, 57514
913, 3732, 659, 0, 95, 53028, 57514
919, 3845, 488, 0, 80, 53101, 57514
925, 3758, 533, 0, 78, 53145, 57514
931, 3763, 309, 0, 78, 53364, 57514
937, 3536, 248, 0, 71, 53659, 57514
943, 3226, 233, 0, 73, 53982, 57514
949, 2966, 284, 0, 68, 54196, 57514
955, 3031, 431, 0, 61, 53991, 57514
961, 2339, 2596, 0, 62, 52517, 57514
967, 1381, 3199, 0, 65, 52869, 57514
973, 899, 3948, 0, 64, 52603, 57514
979, 753, 4503, 0, 64, 52194, 57514
985, 2259, 6128, 0, 63, 49064, 57514
991, 2327, 6373, 0, 63, 48751, 57514
997, 2939, 6369, 0, 65, 48141, 57514
1003, 3004, 6333, 0, 62, 48115, 57514
1009, 3018, 6376, 0, 64, 48056, 57514
1015, 3336, 6737, 0, 73, 47368, 57514
1021, 3444, 6875, 0, 80, 47115, 57514
1027, 3605, 6791, 0, 69, 47049, 57514
1033, 3570, 6206, 0, 66, 47672, 57514
1039, 3361, 5680, 0, 69, 48404, 57514
1045, 3385, 5515, 0, 73, 48541, 57514
1051, 3494, 4434, 0, 73, 49513, 57514
1057, 3497, 3742, 0, 72, 50203, 57514
1063, 3443, 2991, 0, 69, 51011, 57514
1069, 3498, 2244, 0, 70, 51702, 57514
1075, 3634, 1742, 0, 64, 52074, 57514
1081, 3551, 1156, 0, 67, 52740, 57514
1087, 3673, 1052, 0, 63, 52726, 57514
1093, 3532, 853, 0, 61, 53068, 57514
1099, 3664, 616, 0, 63, 53171, 57514
1105, 3655, 620, 0, 62, 53177, 57514
1111, 3576, 643, 0, 66, 53229, 57514
1117, 3555, 1008, 0, 67, 52884, 57514
1123, 3487, 2322, 0, 66, 51639, 57514
1129, 3580, 3826, 0, 68, 50040, 57514
1135, 3629, 4502, 0, 68, 49315, 57514
1141, 3602, 5085, 0, 69, 48758, 57514
1147, 3416, 5504, 0, 68, 48526, 57514
