ts, default broker, COLDPower18, EWIIS3, VidyutVanika, AgentUDE, total
359, 57508, 0, 0, 0, 0, 57508
360, 57508, 0, 0, 0, 0, 57508
361, 15, 0, 3158, 16485, 37850, 57508
367, 10, 0, 477, 17514, 39507, 57508
373, 10, 0, 181, 17763, 39554, 57508
379, 8, 0, 183, 17764, 39553, 57508
385, 11, 0, 169, 17773, 39555, 57508
391, 9, 0, 161, 17781, 39557, 57508
397, 8, 0, 149, 17798, 39553, 57508
403, 7, 0, 476, 54223, 2802, 57508
409, 5, 0, 178, 56599, 726, 57508
415, 7, 0, 163, 56671, 667, 57508
421, 5, 0, 177, 56660, 666, 57508
427, 7, 0, 181, 56653, 667, 57508
433, 5, 0, 551, 55715, 1237, 57508
439, 5, 0, 1714, 53117, 2672, 57508
445, 5, 0, 3786, 52318, 1399, 57508
451, 7, 0, 3805, 52086, 1610, 57508
457, 6, 0, 3484, 52066, 1952, 57508
463, 6, 0, 2992, 52527, 1983, 57508
469, 6, 0, 2630, 52678, 2194, 57508
475, 6, 0, 2238, 52674, 2590, 57508
481, 7, 0, 1945, 52018, 3538, 57508
487, 4, 0, 976, 49213, 7315, 57508
493, 4, 0, 661, 44946, 11897, 57508
499, 5, 0, 468, 40685, 16350, 57508
505, 4, 0, 253, 38151, 19100, 57508
511, 4, 0, 159, 35659, 21686, 57508
517, 3, 0, 158, 32880, 24467, 57508
523, 2, 0, 139, 30888, 26479, 57508
529, 3, 0, 135, 39429, 17941, 57508
535, 3, 0, 130, 39185, 18190, 57508
541, 2, 0, 104, 39211, 18191, 57508
547, 4, 0, 91, 39224, 18189, 57508
553, 3, 0, 80, 39232, 18193, 57508
559, 3, 0, 75, 39237, 18193, 57508
565, 4, 0, 72, 39201, 18231, 57508
571, 4, 0, 73, 56227, 1204, 57508
577, 3, 0, 74, 56864, 567, 57508
583, 3, 0, 73, 56856, 576, 57508
589, 4, 0, 70, 56184, 1250, 57508
595, 4, 0, 71, 54403, 3030, 57508
601, 4, 0, 63, 51560, 5881, 57508
607, 3, 0, 63, 50337, 7105, 57508
613, 3, 0, 66, 49366, 8073, 57508
