ts, default broker, CrocodileAgent, COLDPower18, VidyutVanika, AgentUDE, total
359, 57511, 0, 0, 0, 0, 57511
360, 57511, 0, 0, 0, 0, 57511
361, 16, 0, 0, 25657, 31838, 57511
367, 15, 37, 0, 25660, 31799, 57511
373, 12, 44, 0, 25680, 31775, 57511
379, 14, 50, 0, 25675, 31772, 57511
385, 14, 60, 0, 25669, 31768, 57511
391, 16, 63, 0, 25665, 31767, 57511
397, 15, 59, 0, 25671, 31766, 57511
403, 7, 6931, 0, 44890, 5683, 57511
409, 3, 7401, 0, 46161, 3946, 57511
415, 5, 7453, 0, 46232, 3821, 57511
421, 3, 7450, 0, 46222, 3836, 57511
427, 3, 7449, 0, 46190, 3869, 57511
433, 4, 7483, 0, 31443, 18581, 57511
439, 4, 7500, 0, 28954, 21053, 57511
445, 2, 7516, 0, 28207, 21786, 57511
451, 2, 7520, 0, 27937, 22052, 57511
457, 2, 7531, 0, 27836, 22142, 57511
463, 3, 7516, 0, 27870, 22122, 57511
469, 2, 7477, 0, 27876, 22156, 57511
475, 4, 1162, 0, 16415, 39930, 57511
481, 6, 254, 0, 10393, 46858, 57511
487, 5, 219, 0, 13252, 44035, 57511
493, 4, 189, 0, 11644, 45674, 57511
499, 1, 188, 0, 10893, 46429, 57511
505, 4, 191, 0, 10343, 46973, 57511
511, 5, 194, 0, 10200, 47112, 57511
517, 4, 199, 0, 10121, 47187, 57511
523, 4, 190, 0, 10129, 47188, 57511
529, 16, 3488, 0, 41640, 12367, 57511
535, 17, 3730, 0, 45161, 8603, 57511
541, 16, 3720, 0, 45386, 8389, 57511
547, 15, 3764, 0, 45489, 8243, 57511
553, 19, 3782, 0, 45503, 8207, 57511
559, 14, 3983, 0, 45367, 8147, 57511
565, 15, 4123, 0, 45237, 8136, 57511
571, 3, 6144, 0, 50130, 1234, 57511
577, 2, 6419, 0, 50209, 881, 57511
583, 6, 6464, 0, 50021, 1020, 57511
589, 8, 6492, 0, 49579, 1432, 57511
595, 7, 6466, 0, 48280, 2758, 57511
601, 2, 3498, 0, 22301, 31710, 57511
607, 2, 3077, 0, 15443, 38989, 57511
613, 16, 3127, 0, 22214, 32154, 57511
619, 15, 3011, 0, 23620, 30865, 57511
625, 14, 2971, 0, 23779, 30747, 57511
631, 15, 2763, 0, 23981, 30752, 57511
637, 17, 2616, 0, 24060, 30818, 57511
643, 16, 743, 0, 25350, 31402, 57511
649, 18, 365, 0, 25466, 31662, 57511
655, 18, 277, 0, 51302, 5914, 57511
661, 16, 233, 0, 52663, 4599, 57511
667, 13, 238, 0, 52736, 4524, 57511
673, 15, 229, 0, 52329, 4938, 57511
679, 13, 246, 0, 52127, 5125, 57511
685, 13, 239, 0, 51719, 5540, 57511
691, 12, 343, 0, 50635, 6521, 57511
697, 15, 762, 0, 52288, 4446, 57511
703, 7, 776, 0, 52204, 4524, 57511
709, 7, 850, 0, 52141, 4513, 57511
715, 8, 1112, 0, 51883, 4508, 57511
721, 6, 2489, 0, 50459, 4557, 57511
727, 7, 6021, 0, 46798, 4685, 57511
733, 10, 8394, 0, 44213, 4894, 57511
739, 16, 11611, 0, 45301, 583, 57511
745, 15, 14039, 0, 43076, 381, 57511
751, 16, 15960, 0, 41179, 356, 57511
757, 15, 16364, 0, 38917, 2215, 57511
763, 15, 16614, 0, 33567, 7315, 57511
769, 17, 16319, 0, 26045, 15130, 57511
775, 15, 16115, 0, 21850, 19531, 57511
781, 17, 16001, 0, 23855, 17638, 57511
787, 11, 15718, 0, 24027, 17755, 57511
793, 11, 14394, 0, 24397, 18709, 57511
799, 12, 11028, 0, 27106, 19365, 57511
805, 12, 8595, 0, 28400, 20504, 57511
811, 13, 5413, 0, 30743, 21342, 57511
817, 14, 2797, 0, 31626, 23074, 57511
823, 15, 885, 0, 53623, 2988, 57511
829, 18, 427, 0, 55590, 1476, 57511
835, 14, 114, 0, 55780, 1603, 57511
841, 14, 127, 0, 55519, 1851, 57511
847, 12, 119, 0, 55429, 1951, 57511
853, 16, 124, 0, 54963, 2408, 57511
859, 16, 228, 0, 54743, 2524, 57511
865, 4, 161, 0, 57127, 219, 57511
871, 28, 557, 0, 56753, 173, 57511
877, 30, 590, 0, 56693, 198, 57511
883, 15, 613, 0, 56682, 201, 57511
889, 23, 674, 0, 56617, 197, 57511
895, 26, 806, 0, 56481, 198, 57511
901, 12, 898, 0, 56422, 179, 57511
907, 8, 1091, 0, 56281, 131, 57511
913, 6, 1328, 0, 55904, 273, 57511
919, 5, 1334, 0, 55736, 436, 57511
925, 4, 1325, 0, 55492, 690, 57511
931, 6, 1257, 0, 55378, 870, 57511
937, 5, 1235, 0, 55191, 1080, 57511
943, 5, 1087, 0, 55165, 1254, 57511
949, 19, 929, 0, 12186, 44377, 57511
955, 4, 746, 0, 12468, 44293, 57511
961, 3, 694, 0, 12489, 44325, 57511
967, 1, 647, 0, 12548, 44315, 57511
973, 3, 584, 0, 12589, 44335, 57511
979, 3, 534, 0, 12636, 44338, 57511
985, 2, 129, 0, 13017, 44363, 57511
991, 2, 72, 0, 53394, 4043, 57511
997, 0, 73, 0, 56076, 1362, 57511
1003, 5, 71, 0, 55576, 1859, 57511
1009, 2, 71, 0, 55143, 2295, 57511
1015, 6, 70, 0, 54539, 2896, 57511
1021, 4, 48, 0, 53778, 3681, 57511
1027, 1, 48, 0, 53385, 4077, 57511
1033, 3, 44, 0, 56917, 547, 57511
1039, 14, 366, 0, 16763, 40368, 57511
1045, 11, 401, 0, 15850, 41249, 57511
1051, 4, 399, 0, 15886, 41222, 57511
1057, 4, 396, 0, 15900, 41211, 57511
1063, 3, 387, 0, 15937, 41184, 57511
1069, 1, 383, 0, 15941, 41186, 57511
1075, 2, 1131, 0, 55098, 1280, 57511
1081, 3, 1225, 0, 54607, 1676, 57511
1087, 4, 1317, 0, 54477, 1713, 57511
