ts, default broker, CrocodileAgent, SPOT, AgentUDE, Bunnie, total
359, 57499, 0, 0, 0, 0, 57499
360, 57499, 0, 0, 0, 0, 57499
361, 6758, 216, 0, 31659, 18866, 57499
367, 6595, 248, 83, 31653, 18920, 57499
373, 6682, 233, 91, 34569, 15924, 57499
379, 6597, 259, 94, 36535, 14014, 57499
385, 6583, 288, 94, 38072, 12462, 57499
391, 6623, 292, 94, 38650, 11840, 57499
397, 6440, 352, 94, 39295, 11318, 57499
403, 6339, 475, 93, 20752, 29840, 57499
409, 6406, 411, 93, 21277, 29312, 57499
415, 6420, 412, 93, 23110, 27464, 57499
421, 6228, 498, 93, 24918, 25762, 57499
427, 6369, 388, 94, 27306, 23342, 57499
433, 6429, 333, 93, 28872, 21772, 57499
439, 6514, 278, 93, 30410, 20204, 57499
445, 6722, 520, 93, 12012, 38152, 57499
451, 6745, 982, 93, 12985, 36694, 57499
457, 6635, 3260, 94, 13976, 33534, 57499
463, 6727, 4051, 97, 15401, 31223, 57499
469, 6622, 4908, 96, 16911, 28962, 57499
475, 6607, 5431, 94, 17856, 27511, 57499
481, 6613, 6004, 93, 19240, 25549, 57499
487, 6338, 7579, 92, 2959, 40531, 57499
493, 6078, 7859, 91, 3543, 39928, 57499
499, 6095, 7787, 91, 4866, 38660, 57499
505, 6054, 7742, 91, 5467, 38145, 57499
511, 6478, 6837, 91, 5889, 38204, 57499
517, 6542, 6408, 91, 6616, 37842, 57499
523, 6587, 5802, 91, 7285, 37734, 57499
529, 6632, 4505, 151, 1356, 44855, 57499
535, 6651, 3250, 151, 1773, 45674, 57499
541, 6777, 2793, 151, 1868, 45910, 57499
547, 6785, 1990, 151, 3178, 45395, 57499
553, 6723, 1835, 92, 3634, 45215, 57499
559, 6785, 1543, 92, 3760, 45319, 57499
565, 6774, 1261, 92, 4658, 44714, 57499
571, 6765, 800, 92, 4969, 44873, 57499
577, 6794, 544, 92, 7499, 42570, 57499
583, 6825, 444, 93, 8422, 41715, 57499
589, 6820, 350, 92, 10551, 39686, 57499
595, 6850, 218, 91, 11457, 38883, 57499
601, 6710, 395, 90, 12622, 37682, 57499
607, 6636, 377, 90, 14035, 36361, 57499
613, 6176, 906, 120, 2303, 47994, 57499
619, 5766, 1583, 120, 1865, 48165, 57499
625, 6202, 3544, 90, 2754, 44909, 57499
631, 6338, 5207, 90, 2880, 42984, 57499
637, 6639, 8247, 208, 3243, 39162, 57499
643, 6663, 8651, 178, 3332, 38675, 57499
649, 6591, 10131, 151, 3815, 36811, 57499
655, 6506, 10673, 151, 277, 39892, 57499
661, 6280, 10683, 151, 686, 39699, 57499
667, 6262, 10641, 151, 669, 39776, 57499
673, 6289, 10662, 150, 994, 39404, 57499
679, 6446, 10365, 150, 964, 39574, 57499
685, 6559, 10047, 90, 1002, 39801, 57499
691, 6638, 9211, 90, 1142, 40418, 57499
697, 6647, 6458, 90, 3051, 41253, 57499
703, 6524, 4043, 92, 4131, 42709, 57499
709, 6428, 1894, 93, 7661, 41423, 57499
715, 6509, 1257, 91, 9634, 40008, 57499
721, 6604, 636, 92, 11778, 38389, 57499
727, 6485, 367, 90, 13462, 37095, 57499
733, 6733, 183, 90, 15511, 34982, 57499
739, 6717, 154, 90, 2346, 48192, 57499
745, 6695, 185, 90, 2582, 47947, 57499
751, 6768, 147, 90, 2559, 47935, 57499
757, 6660, 184, 90, 2870, 47695, 57499
763, 6735, 178, 90, 3058, 47438, 57499
769, 6712, 242, 91, 3505, 46949, 57499
775, 6702, 277, 91, 3698, 46731, 57499
781, 6619, 552, 91, 1859, 48378, 57499
787, 6574, 896, 93, 2099, 47837, 57499
793, 6580, 2778, 93, 3097, 44951, 57499
799, 6634, 3889, 92, 2837, 44047, 57499
805, 6426, 6300, 93, 3059, 41621, 57499
811, 6272, 8086, 95, 3750, 39296, 57499
817, 6431, 9484, 94, 4351, 37139, 57499
823, 6501, 10581, 91, 3158, 37168, 57499
829, 6488, 10642, 94, 7138, 33137, 57499
835, 6480, 10586, 176, 9849, 30408, 57499
841, 6451, 10268, 123, 10663, 29994, 57499
847, 6542, 9032, 123, 9893, 31909, 57499
853, 6654, 7828, 121, 12995, 29901, 57499
859, 6714, 4448, 92, 16190, 30055, 57499
865, 6775, 3947, 93, 3175, 43509, 57499
871, 6773, 2999, 92, 3320, 44315, 57499
877, 6900, 2528, 91, 4054, 43926, 57499
883, 6832, 2565, 92, 4191, 43819, 57499
889, 6902, 2234, 93, 4691, 43579, 57499
895, 6725, 1628, 94, 5009, 44043, 57499
901, 6720, 1445, 94, 5233, 44007, 57499
907, 6761, 1032, 93, 1252, 48361, 57499
913, 6747, 971, 92, 909, 48780, 57499
919, 6630, 892, 92, 1052, 48833, 57499
925, 6667, 565, 92, 1373, 48802, 57499
931, 6700, 417, 92, 1619, 48671, 57499
937, 6692, 382, 92, 1902, 48431, 57499
943, 6635, 431, 36, 2048, 48349, 57499
949, 6623, 657, 34, 198, 49987, 57499
955, 6538, 771, 30, 455, 49705, 57499
961, 6580, 4515, 54, 731, 45619, 57499
967, 6579, 5758, 60, 861, 44241, 57499
973, 6575, 8097, 64, 985, 41778, 57499
979, 6652, 9444, 65, 979, 40359, 57499
985, 6607, 10359, 65, 1289, 39179, 57499
991, 6649, 10481, 88, 164, 40117, 57499
997, 6633, 10512, 90, 150, 40114, 57499
1003, 6643, 10419, 92, 253, 40092, 57499
1009, 6558, 10451, 91, 474, 39925, 57499
1015, 6523, 10463, 92, 586, 39835, 57499
1021, 6542, 10197, 92, 892, 39776, 57499
1027, 6645, 9593, 92, 1216, 39953, 57499
1033, 6647, 7762, 91, 638, 42361, 57499
1039, 6717, 6221, 91, 794, 43676, 57499
1045, 6792, 5676, 91, 1034, 43906, 57499
1051, 6757, 4066, 91, 1570, 45015, 57499
1057, 6753, 2621, 91, 2265, 45769, 57499
1063, 6688, 1703, 91, 2584, 46433, 57499
1069, 6436, 1663, 91, 2809, 46500, 57499
1075, 6623, 1122, 92, 914, 48748, 57499
1081, 6601, 827, 93, 2472, 47506, 57499
1087, 6589, 752, 92, 2469, 47597, 57499
1093, 6468, 780, 91, 2760, 47400, 57499
1099, 6316, 594, 91, 3494, 47004, 57499
1105, 6312, 400, 92, 4156, 46539, 57499
1111, 6482, 371, 91, 4166, 46389, 57499
1117, 6693, 688, 91, 930, 49097, 57499
1123, 6725, 891, 92, 653, 49138, 57499
1129, 6759, 3819, 92, 1234, 45595, 57499
1135, 6652, 5015, 92, 1376, 44364, 57499
1141, 6703, 6193, 93, 1956, 42554, 57499
1147, 6783, 8242, 93, 2222, 40159, 57499
1153, 6758, 8923, 94, 2790, 38934, 57499
1159, 6582, 9204, 93, 489, 41131, 57499
1165, 6564, 9467, 95, 1617, 39756, 57499
1171, 6669, 9388, 92, 2024, 39326, 57499
1177, 6597, 9374, 92, 2557, 38879, 57499
1183, 6676, 9323, 92, 3048, 38360, 57499
1189, 6633, 9011, 92, 3538, 38225, 57499
1195, 6556, 8870, 92, 4410, 37571, 57499
1201, 6524, 7880, 91, 720, 42284, 57499
1207, 6567, 6679, 91, 555, 43607, 57499
1213, 6419, 6126, 91, 911, 43952, 57499
1219, 6445, 4498, 91, 1306, 45159, 57499
1225, 6557, 3073, 92, 1460, 46317, 57499
1231, 6633, 2659, 91, 1499, 46617, 57499
1237, 6645, 1800, 91, 2411, 46552, 57499
1243, 6569, 1412, 92, 1326, 48100, 57499
1249, 6669, 824, 92, 2131, 47783, 57499
1255, 6730, 671, 93, 2985, 47020, 57499
1261, 6444, 515, 93, 4203, 46244, 57499
1267, 6206, 660, 92, 4824, 45717, 57499
1273, 6318, 476, 91, 5405, 45209, 57499
1279, 6401, 376, 92, 6170, 44460, 57499
1285, 6406, 597, 92, 1924, 48480, 57499
1291, 6478, 1354, 92, 2021, 47554, 57499
1297, 6456, 3579, 93, 3071, 44300, 57499
1303, 6489, 4420, 93, 3321, 43176, 57499
1309, 6625, 4618, 91, 3312, 42853, 57499
1315, 6691, 5512, 91, 3825, 41380, 57499
1321, 6623, 6346, 91, 4071, 40368, 57499
1327, 6626, 7284, 91, 941, 42557, 57499
1333, 6578, 7553, 90, 944, 42334, 57499
1339, 6634, 7479, 91, 1235, 42060, 57499
1345, 6696, 7396, 93, 1374, 41940, 57499
1351, 6691, 7359, 93, 1960, 41396, 57499
1357, 6788, 7082, 94, 2281, 41254, 57499
1363, 6749, 6545, 94, 2519, 41592, 57499
1369, 6826, 5625, 94, 1004, 43950, 57499
1375, 6657, 4627, 95, 1393, 44727, 57499
1381, 5962, 4054, 95, 2150, 45238, 57499
1387, 6038, 3423, 95, 2533, 45410, 57499
1393, 6214, 3198, 96, 2685, 45306, 57499
1399, 6458, 2376, 95, 2883, 45687, 57499
1405, 6607, 1403, 222, 3520, 45747, 57499
1411, 6774, 862, 220, 573, 49070, 57499
1417, 6716, 758, 220, 838, 48967, 57499
1423, 6702, 595, 221, 1268, 48713, 57499
1429, 6660, 569, 219, 1266, 48785, 57499
1435, 6623, 513, 220, 1271, 48872, 57499
1441, 6523, 482, 219, 1402, 48873, 57499
1447, 6587, 475, 189, 1642, 48606, 57499
1453, 6764, 744, 189, 575, 49227, 57499
1459, 6703, 1565, 129, 401, 48701, 57499
1465, 6734, 2710, 128, 542, 47385, 57499
1471, 6784, 3506, 91, 735, 46383, 57499
1477, 6703, 5668, 73, 782, 44273, 57499
1483, 6739, 6816, 62, 1480, 42402, 57499
1489, 6743, 7045, 86, 1588, 42037, 57499
1495, 6748, 7399, 110, 203, 43039, 57499
1501, 6596, 7591, 87, 180, 43045, 57499
1507, 6701, 7466, 93, 545, 42694, 57499
1513, 6675, 7397, 93, 547, 42787, 57499
1519, 6727, 7372, 92, 543, 42765, 57499
1525, 6716, 7165, 92, 654, 42872, 57499
1531, 6738, 6244, 92, 803, 43622, 57499
1537, 6688, 5450, 93, 170, 45098, 57499
1543, 6716, 5146, 94, 171, 45372, 57499
1549, 6646, 4176, 93, 433, 46151, 57499
1555, 6631, 3573, 92, 434, 46769, 57499
1561, 6577, 2252, 91, 485, 48094, 57499
1567, 6637, 2014, 92, 617, 48139, 57499
1573, 6638, 1518, 90, 995, 48258, 57499
1579, 6532, 1023, 91, 189, 49664, 57499
1585, 6646, 894, 92, 572, 49295, 57499
1591, 6643, 633, 92, 574, 49557, 57499
1597, 6739, 615, 92, 668, 49385, 57499
1603, 6750, 479, 92, 943, 49235, 57499
1609, 6782, 422, 91, 1092, 49112, 57499
1615, 6754, 395, 92, 1090, 49168, 57499
1621, 6772, 351, 93, 571, 49712, 57499
1627, 6755, 699, 93, 606, 49346, 57499
1633, 6632, 2651, 92, 1063, 47061, 57499
1639, 6760, 3057, 92, 1199, 46391, 57499
