ts, default broker, CrocodileAgent, SPOT, COLDPower18, AgentUDE, total
359, 57511, 0, 0, 0, 0, 57511
360, 57511, 0, 0, 0, 0, 57511
361, 7111, 0, 0, 0, 50400, 57511
367, 6918, 245, 84, 0, 50264, 57511
373, 6910, 260, 93, 0, 50248, 57511
379, 6779, 409, 98, 0, 50225, 57511
385, 6817, 371, 95, 0, 50228, 57511
391, 6797, 393, 96, 0, 50225, 57511
397, 6823, 360, 95, 0, 50233, 57511
403, 6856, 44680, 5562, 0, 413, 57511
409, 6834, 44690, 5573, 0, 414, 57511
415, 6773, 44746, 5573, 0, 419, 57511
421, 6815, 44698, 5580, 0, 418, 57511
427, 6849, 44652, 5592, 0, 418, 57511
433, 6863, 44634, 5595, 0, 419, 57511
439, 6845, 44652, 5593, 0, 421, 57511
445, 6844, 45083, 5517, 0, 67, 57511
451, 6838, 45331, 5276, 0, 66, 57511
457, 6729, 45868, 4818, 0, 96, 57511
463, 6816, 46030, 4568, 0, 97, 57511
469, 6861, 46104, 4419, 0, 127, 57511
475, 6793, 40798, 9824, 0, 96, 57511
481, 6912, 33628, 16761, 0, 210, 57511
487, 6808, 33935, 16758, 0, 10, 57511
493, 6677, 34614, 16208, 0, 12, 57511
499, 6703, 36010, 14785, 0, 13, 57511
505, 6667, 37457, 13372, 0, 15, 57511
511, 6702, 38088, 12705, 0, 16, 57511
517, 6746, 43180, 7568, 0, 17, 57511
523, 6758, 49863, 873, 0, 17, 57511
529, 6715, 50615, 162, 0, 19, 57511
535, 6691, 50708, 92, 0, 20, 57511
541, 6682, 50718, 91, 0, 20, 57511
547, 6718, 50681, 91, 0, 21, 57511
553, 6790, 50597, 96, 0, 28, 57511
559, 6798, 50589, 94, 0, 30, 57511
565, 6762, 50624, 97, 0, 28, 57511
571, 6758, 50338, 385, 0, 30, 57511
577, 6742, 48175, 2273, 0, 321, 57511
583, 6755, 46416, 3818, 0, 522, 57511
589, 6738, 40013, 9030, 0, 1730, 57511
595, 6819, 33989, 14577, 0, 2126, 57511
601, 6869, 30872, 17676, 0, 2094, 57511
607, 6894, 27705, 20478, 0, 2434, 57511
613, 6891, 24106, 25325, 0, 1189, 57511
619, 6859, 18392, 31237, 0, 1023, 57511
625, 6788, 13589, 35645, 0, 1489, 57511
631, 6830, 10122, 38281, 0, 2278, 57511
637, 6854, 9378, 38208, 0, 3071, 57511
643, 6802, 7304, 40254, 0, 3151, 57511
649, 6840, 6657, 40297, 0, 3717, 57511
655, 6812, 9245, 33427, 0, 8027, 57511
661, 6877, 12845, 27027, 0, 10762, 57511
667, 6828, 27061, 17731, 0, 5891, 57511
673, 6726, 39325, 8538, 0, 2922, 57511
679, 6769, 45366, 4061, 0, 1315, 57511
685, 6723, 49024, 1517, 0, 247, 57511
691, 6679, 50613, 178, 0, 41, 57511
697, 6676, 50701, 93, 0, 41, 57511
703, 6730, 50650, 91, 0, 40, 57511
709, 6726, 50652, 92, 0, 41, 57511
715, 6798, 50580, 90, 0, 43, 57511
721, 6790, 50589, 92, 0, 40, 57511
727, 6735, 50642, 93, 0, 41, 57511
733, 6702, 50652, 116, 0, 41, 57511
739, 6808, 50132, 529, 0, 42, 57511
745, 6798, 48554, 1927, 0, 232, 57511
751, 6734, 46268, 4007, 0, 502, 57511
757, 6852, 37167, 11309, 0, 2183, 57511
763, 6764, 19405, 27409, 0, 3933, 57511
769, 6675, 8990, 36330, 0, 5516, 57511
775, 6742, 5706, 38992, 0, 6071, 57511
781, 6755, 5704, 43364, 0, 1688, 57511
787, 6742, 5437, 44002, 0, 1330, 57511
793, 6692, 5230, 44016, 0, 1573, 57511
799, 6814, 5007, 43739, 0, 1951, 57511
805, 6628, 6260, 41203, 0, 3420, 57511
811, 6720, 7052, 39410, 0, 4329, 57511
817, 6654, 8103, 37271, 0, 5483, 57511
823, 6739, 15238, 31832, 0, 3702, 57511
829, 6729, 25993, 20719, 0, 4070, 57511
835, 6794, 37889, 8563, 0, 4265, 57511
841, 6744, 44470, 2034, 0, 4263, 57511
847, 6769, 46114, 331, 0, 4297, 57511
853, 6773, 46368, 96, 0, 4274, 57511
859, 6797, 46966, 92, 0, 3656, 57511
865, 6812, 50403, 93, 0, 203, 57511
871, 6773, 50594, 93, 0, 51, 57511
877, 6821, 50547, 92, 0, 51, 57511
883, 6808, 50562, 92, 0, 49, 57511
889, 6788, 50582, 91, 0, 50, 57511
895, 6837, 50482, 90, 0, 102, 57511
901, 6760, 50552, 95, 0, 104, 57511
907, 6706, 50147, 314, 0, 344, 57511
913, 6757, 47386, 2922, 0, 446, 57511
919, 6726, 44322, 4788, 0, 1675, 57511
925, 6696, 35765, 11545, 0, 3505, 57511
931, 6672, 21152, 25094, 0, 4593, 57511
937, 6706, 8135, 35766, 0, 6904, 57511
943, 6729, 4409, 39423, 0, 6950, 57511
949, 6746, 2942, 42966, 0, 4857, 57511
955, 6739, 1825, 43524, 0, 5423, 57511
961, 6801, 1168, 42981, 0, 6561, 57511
967, 6859, 1241, 40592, 0, 8819, 57511
973, 6628, 1640, 38196, 0, 11047, 57511
979, 6671, 1499, 35476, 0, 13865, 57511
985, 6673, 2610, 30557, 0, 17671, 57511
991, 6602, 16242, 29275, 0, 5392, 57511
997, 6717, 24814, 21684, 0, 4296, 57511
1003, 6692, 37212, 9296, 0, 4311, 57511
1009, 6708, 43243, 3223, 0, 4337, 57511
1015, 6660, 44788, 1723, 0, 4340, 57511
1021, 6778, 44811, 1602, 0, 4320, 57511
1027, 6829, 45006, 1578, 0, 4098, 57511
1033, 6723, 50148, 307, 0, 333, 57511
1039, 6724, 50616, 124, 0, 47, 57511
1045, 6723, 50678, 93, 0, 17, 57511
1051, 6661, 50744, 94, 0, 12, 57511
1057, 6680, 50724, 95, 0, 12, 57511
1063, 6762, 50638, 97, 0, 14, 57511
