ts, default broker, CrocodileAgent, SPOT, VidyutVanika, Bunnie, total
359, 57507, 0, 0, 0, 0, 57507
360, 57507, 0, 0, 0, 0, 57507
361, 64, 0, 0, 20953, 36490, 57507
367, 31, 21, 27, 20940, 36488, 57507
373, 20, 137, 33, 21111, 36206, 57507
379, 18, 129, 35, 21327, 35998, 57507
385, 6, 118, 37, 21462, 35884, 57507
391, 5, 120, 37, 21466, 35879, 57507
397, 4, 87, 36, 21469, 35911, 57507
403, 4, 85, 35, 21472, 35911, 57507
409, 4, 85, 34, 21472, 35912, 57507
415, 3, 86, 29, 21583, 35806, 57507
421, 5, 87, 24, 21693, 35698, 57507
427, 4, 87, 124, 21699, 35593, 57507
433, 3, 87, 122, 20404, 36891, 57507
439, 5, 84, 120, 18133, 39165, 57507
445, 15, 69, 115, 16011, 41297, 57507
451, 15, 55, 135, 13977, 43325, 57507
457, 19, 55, 142, 12795, 44496, 57507
463, 20, 48, 141, 12366, 44932, 57507
469, 8, 38, 89, 10664, 46708, 57507
475, 8, 37, 98, 9807, 47557, 57507
481, 6, 38, 86, 9581, 47796, 57507
487, 5, 39, 70, 9417, 47976, 57507
493, 4, 40, 68, 11047, 46348, 57507
499, 5, 272, 60, 12990, 44180, 57507
505, 5, 982, 26, 16274, 40220, 57507
511, 5, 1672, 23, 16909, 38898, 57507
517, 6, 2543, 0, 18320, 36638, 57507
523, 6, 2978, 0, 19502, 35021, 57507
529, 5, 3896, 0, 21767, 31839, 57507
535, 6, 4007, 0, 21805, 31689, 57507
541, 6, 4118, 0, 21320, 32063, 57507
547, 5, 4065, 0, 20950, 32487, 57507
553, 3, 3977, 0, 20403, 33124, 57507
559, 4, 3944, 0, 20161, 33398, 57507
565, 4, 3883, 0, 19609, 34011, 57507
571, 5, 3843, 0, 18998, 34661, 57507
577, 5, 3767, 0, 18408, 35327, 57507
583, 5, 3528, 0, 17476, 36498, 57507
589, 4, 3006, 0, 15864, 38633, 57507
595, 4, 2268, 0, 13574, 41661, 57507
601, 3, 1751, 0, 12207, 43546, 57507
607, 3, 1044, 0, 10449, 46011, 57507
613, 3, 644, 0, 9487, 47373, 57507
619, 2, 555, 0, 9288, 47662, 57507
625, 3, 425, 0, 8585, 48494, 57507
631, 4, 254, 0, 8194, 49055, 57507
637, 5, 141, 0, 7963, 49398, 57507
643, 5, 90, 0, 7818, 49594, 57507
649, 6, 68, 0, 7656, 49777, 57507
655, 8, 67, 0, 7761, 49671, 57507
661, 10, 216, 0, 10993, 46288, 57507
667, 10, 459, 0, 14969, 42069, 57507
673, 7, 1914, 0, 18108, 37478, 57507
679, 7, 2510, 0, 21018, 33972, 57507
685, 7, 3107, 0, 23108, 31285, 57507
691, 7, 3958, 0, 24611, 28931, 57507
697, 7, 4655, 0, 25996, 26849, 57507
703, 7, 4860, 0, 26230, 26410, 57507
709, 7, 4854, 0, 26511, 26135, 57507
715, 7, 4824, 0, 26444, 26232, 57507
721, 9, 4794, 0, 26348, 26356, 57507
727, 9, 4753, 0, 26239, 26506, 57507
733, 7, 4672, 0, 25048, 27780, 57507
739, 7, 4352, 0, 23098, 30050, 57507
745, 5, 4084, 0, 21909, 31509, 57507
