ts, default broker, SPOT, EWIIS3, VidyutVanika, AgentUDE, total
359, 57508, 0, 0, 0, 0, 57508
360, 57508, 0, 0, 0, 0, 57508
361, 13, 0, 894, 48083, 8518, 57508
367, 10, 53, 566, 48300, 8579, 57508
373, 10, 62, 492, 48332, 8612, 57508
379, 10, 55, 481, 48328, 8634, 57508
385, 10, 2, 455, 48326, 8715, 57508
391, 10, 2, 433, 48327, 8736, 57508
397, 10, 3, 385, 48324, 8786, 57508
403, 13, 1145, 5330, 50825, 195, 57508
409, 12, 1205, 4366, 51730, 195, 57508
415, 12, 1203, 4076, 52022, 195, 57508
421, 12, 1233, 3487, 52581, 195, 57508
427, 12, 1233, 3018, 53020, 225, 57508
433, 13, 1614, 4519, 51138, 224, 57508
439, 13, 1840, 4916, 50515, 224, 57508
445, 11, 1476, 8456, 47169, 396, 57508
451, 11, 1184, 9670, 46305, 338, 57508
457, 10, 1639, 11591, 43930, 338, 57508
463, 9, 2050, 7152, 47859, 438, 57508
469, 9, 2550, 5168, 49288, 493, 57508
475, 8, 2763, 4067, 50195, 475, 57508
481, 8, 2146, 2174, 52534, 646, 57508
487, 10, 2252, 1840, 53370, 36, 57508
493, 10, 2163, 1431, 53867, 37, 57508
499, 10, 1975, 1251, 54235, 37, 57508
505, 10, 1730, 1178, 54552, 38, 57508
511, 10, 1401, 1093, 54966, 38, 57508
517, 10, 1272, 1067, 55121, 38, 57508
523, 10, 991, 971, 55527, 9, 57508
529, 10, 783, 818, 55754, 143, 57508
535, 8, 584, 715, 56079, 122, 57508
541, 7, 516, 703, 55895, 387, 57508
547, 5, 569, 684, 55465, 785, 57508
553, 6, 2103, 684, 53392, 1323, 57508
559, 6, 2817, 686, 51522, 2477, 57508
565, 4, 4138, 686, 48730, 3950, 57508
571, 3, 4637, 684, 49171, 3013, 57508
577, 3, 4940, 683, 47494, 4388, 57508
583, 3, 5024, 659, 46450, 5372, 57508
589, 3, 5091, 577, 45103, 6734, 57508
595, 2, 5009, 559, 44303, 7635, 57508
601, 1, 4462, 517, 43548, 8980, 57508
607, 0, 3897, 517, 42634, 10460, 57508
