ts, default broker, SPOT, VidyutVanika, AgentUDE, Bunnie, total
359, 57502, 0, 0, 0, 0, 57502
360, 57502, 0, 0, 0, 0, 57502
361, 1, 10, 7568, 27999, 21924, 57502
367, 1, 6, 7572, 28010, 21913, 57502
373, 1, 7, 8703, 30183, 18608, 57502
379, 2, 6, 9667, 31813, 16014, 57502
385, 3, 4, 10357, 33153, 13985, 57502
391, 4, 5, 11047, 33971, 12475, 57502
397, 4, 6, 11221, 34249, 12022, 57502
403, 5, 5, 23432, 4999, 29061, 57502
409, 2, 5, 24847, 2661, 29987, 57502
415, 3, 4, 25530, 2591, 29374, 57502
421, 3, 3, 25846, 2580, 29070, 57502
427, 4, 4, 25935, 3022, 28537, 57502
433, 4, 4, 25869, 3394, 28231, 57502
439, 4, 6, 25646, 3627, 28219, 57502
445, 4, 5, 25378, 1190, 30925, 57502
451, 4, 5, 24996, 1526, 30971, 57502
457, 2, 4, 24196, 1844, 31456, 57502
463, 1, 6, 23365, 2004, 32126, 57502
469, 1, 4, 22894, 2414, 32189, 57502
475, 3, 98, 18169, 4628, 34604, 57502
481, 2, 97, 15232, 5574, 36597, 57502
487, 2, 97, 13215, 2306, 41882, 57502
493, 2, 97, 12297, 3242, 41864, 57502
499, 4, 96, 10766, 4198, 42438, 57502
505, 4, 67, 9936, 5607, 41888, 57502
511, 5, 68, 9074, 6270, 42085, 57502
517, 3, 2, 8476, 6814, 42207, 57502
523, 2, 2, 8316, 7407, 41775, 57502
529, 4, 3, 8068, 2308, 47119, 57502
535, 3, 3, 8286, 2344, 46866, 57502
541, 3, 3, 10919, 3093, 43484, 57502
547, 2, 4, 12240, 3220, 42036, 57502
553, 2, 4, 14448, 4324, 38724, 57502
559, 3, 4, 15559, 4630, 37306, 57502
565, 1, 3, 17055, 5073, 35370, 57502
571, 3, 4, 20006, 1967, 35522, 57502
577, 3, 1, 21455, 2745, 33298, 57502
583, 1, 2, 21674, 2976, 32849, 57502
589, 1, 2, 21584, 3959, 31956, 57502
595, 1, 2, 21463, 4515, 31521, 57502
601, 2, 0, 21333, 5244, 30923, 57502
607, 3, 1, 20936, 5890, 30672, 57502
613, 3, 1, 20233, 5394, 31871, 57502
619, 3, 2, 19161, 7187, 31149, 57502
625, 5, 0, 17891, 9262, 30344, 57502
631, 5, 1, 16388, 11651, 29457, 57502
637, 6, 1, 15313, 13739, 28443, 57502
643, 6, 1, 13802, 15927, 27766, 57502
649, 7, 1, 12265, 17302, 27927, 57502
655, 8, 1, 11301, 334, 45858, 57502
661, 7, 2, 10706, 448, 46339, 57502
667, 5, 5, 9793, 695, 47004, 57502
673, 4, 8, 9370, 786, 47334, 57502
679, 3, 8, 8989, 795, 47707, 57502
685, 3, 10, 8532, 796, 48161, 57502
691, 2, 7, 8412, 959, 48122, 57502
697, 4, 5, 8406, 194, 48893, 57502
703, 4, 5, 8691, 485, 48317, 57502
709, 5, 5, 10553, 787, 46152, 57502
715, 5, 6, 12196, 789, 44506, 57502
