ts, default broker, CrocodileAgent, Bunnie, total
359, 57509, 0, 0, 57509
360, 57509, 0, 0, 57509
361, 6691, 9824, 40994, 57509
367, 6787, 9723, 40999, 57509
373, 6885, 9754, 40870, 57509
379, 6907, 9724, 40878, 57509
385, 6829, 9659, 41021, 57509
391, 6869, 9530, 41110, 57509
397, 6926, 9406, 41177, 57509
403, 6887, 9264, 41358, 57509
409, 6900, 8699, 41910, 57509
415, 6639, 8275, 42595, 57509
421, 6562, 8097, 42850, 57509
427, 6704, 7343, 43462, 57509
433, 6661, 5723, 45125, 57509
439, 6711, 3938, 46860, 57509
445, 6579, 2961, 47969, 57509
451, 6541, 2436, 48532, 57509
457, 6543, 1781, 49185, 57509
463, 6487, 1410, 49612, 57509
469, 6547, 1021, 49941, 57509
475, 6553, 845, 50111, 57509
481, 6458, 704, 50347, 57509
487, 6565, 470, 50474, 57509
493, 6617, 837, 50055, 57509
499, 6714, 3556, 47239, 57509
505, 6769, 8958, 41782, 57509
511, 6633, 13242, 37634, 57509
517, 6715, 18589, 32205, 57509
523, 6757, 20885, 29867, 57509
529, 6787, 23630, 27092, 57509
535, 6663, 24456, 26390, 57509
541, 6689, 24589, 26231, 57509
547, 6782, 24532, 26195, 57509
553, 6803, 24510, 26196, 57509
559, 6834, 24374, 26301, 57509
565, 6767, 23975, 26767, 57509
571, 6550, 23025, 27934, 57509
577, 6593, 20288, 30628, 57509
583, 6552, 18311, 32646, 57509
589, 6586, 13439, 37484, 57509
595, 6662, 11475, 39372, 57509
601, 6752, 9319, 41438, 57509
607, 6696, 8908, 41905, 57509
613, 6614, 5393, 45502, 57509
619, 6754, 3954, 46801, 57509
625, 6699, 3168, 47642, 57509
631, 6775, 2506, 48228, 57509
637, 6651, 1680, 49178, 57509
643, 6555, 1575, 49379, 57509
649, 6595, 1252, 49662, 57509
655, 6591, 918, 50000, 57509
661, 6678, 1233, 49598, 57509
667, 6693, 2556, 48260, 57509
673, 6714, 7472, 43323, 57509
679, 6682, 9394, 41433, 57509
685, 6698, 13401, 37410, 57509
691, 6676, 15633, 35200, 57509
697, 6734, 17163, 33612, 57509
703, 6743, 17599, 33167, 57509
709, 6823, 17402, 33284, 57509
715, 6830, 17329, 33350, 57509
721, 6776, 17323, 33410, 57509
727, 6709, 17281, 33519, 57509
733, 6674, 17162, 33673, 57509
739, 6683, 16620, 34206, 57509
745, 6611, 15191, 35707, 57509
751, 6598, 13835, 37076, 57509
757, 6774, 11529, 39206, 57509
763, 6716, 9225, 41568, 57509
769, 6696, 8159, 42654, 57509
775, 6741, 5806, 44962, 57509
781, 6534, 5451, 45524, 57509
787, 6585, 4163, 46761, 57509
793, 6499, 3731, 47279, 57509
799, 6503, 2726, 48280, 57509
805, 5887, 2269, 49353, 57509
811, 6189, 1655, 49665, 57509
817, 6269, 1114, 50126, 57509
823, 6427, 1103, 49979, 57509
829, 6623, 1390, 49496, 57509
835, 6658, 4034, 46817, 57509
841, 6737, 9447, 41325, 57509
847, 6648, 11517, 39344, 57509
853, 6663, 13985, 36861, 57509
859, 6514, 17039, 33956, 57509
865, 6635, 19117, 31757, 57509
871, 6504, 19462, 31543, 57509
877, 6552, 19369, 31588, 57509
883, 6588, 19315, 31606, 57509
889, 6546, 19174, 31789, 57509
895, 6585, 19059, 31865, 57509
901, 6544, 18839, 32126, 57509
907, 6428, 17614, 33467, 57509
913, 6572, 15032, 35905, 57509
919, 6636, 14042, 36831, 57509
925, 6610, 13186, 37713, 57509
931, 6652, 10926, 39931, 57509
937, 6633, 7712, 43164, 57509
943, 6635, 5703, 45171, 57509
949, 6703, 4478, 46328, 57509
955, 6545, 3577, 47387, 57509
961, 6621, 2533, 48355, 57509
967, 6710, 2257, 48542, 57509
973, 6518, 1604, 49387, 57509
979, 6427, 1287, 49795, 57509
985, 6486, 1553, 49470, 57509
991, 6513, 1250, 49746, 57509
997, 6161, 1864, 49484, 57509
1003, 6251, 3851, 47407, 57509
1009, 6378, 10698, 40433, 57509
1015, 6482, 14618, 36409, 57509
1021, 6533, 19114, 31862, 57509
1027, 6224, 22252, 29033, 57509
1033, 6291, 24744, 26474, 57509
1039, 6212, 25008, 26289, 57509
1045, 6468, 24910, 26131, 57509
1051, 6542, 24777, 26190, 57509
1057, 6397, 24498, 26614, 57509
1063, 6385, 24287, 26837, 57509
1069, 6280, 24279, 26950, 57509
1075, 6234, 23201, 28074, 57509
1081, 6267, 21554, 29688, 57509
1087, 6385, 18840, 32284, 57509
1093, 6030, 15411, 36068, 57509
1099, 6127, 12072, 39310, 57509
1105, 6163, 7762, 43584, 57509
1111, 6397, 6077, 45035, 57509
1117, 6566, 3580, 47363, 57509
1123, 6656, 2923, 47930, 57509
1129, 6650, 2582, 48277, 57509
1135, 6744, 2086, 48679, 57509
1141, 6717, 2028, 48764, 57509
1147, 6681, 1686, 49142, 57509
1153, 6603, 1208, 49698, 57509
1159, 6685, 1059, 49765, 57509
1165, 6649, 2305, 48555, 57509
1171, 6535, 4023, 46951, 57509
1177, 6554, 9224, 41731, 57509
1183, 6572, 11670, 39267, 57509
1189, 6454, 16408, 34647, 57509
1195, 6542, 18666, 32301, 57509
1201, 6512, 21433, 29564, 57509
1207, 6617, 21415, 29477, 57509
