ts, default broker, EWIIS3, AgentUDE, total
359, 57504, 0, 0, 57504
360, 57504, 0, 0, 57504
361, 7124, 1452, 48928, 57504
367, 7121, 715, 49668, 57504
373, 7119, 489, 49896, 57504
379, 7119, 360, 50025, 57504
385, 7116, 272, 50116, 57504
391, 7115, 227, 50162, 57504
397, 7115, 229, 50160, 57504
403, 7112, 10357, 40035, 57504
409, 7108, 8530, 41866, 57504
415, 7105, 7728, 42671, 57504
421, 7101, 6628, 43775, 57504
427, 7102, 6409, 43993, 57504
433, 7100, 5177, 45227, 57504
439, 7100, 4648, 45756, 57504
445, 7102, 8953, 41449, 57504
451, 7101, 6921, 43482, 57504
457, 7101, 5488, 44915, 57504
463, 7100, 4754, 45650, 57504
469, 7100, 2983, 47421, 57504
475, 7099, 2388, 48017, 57504
481, 7100, 2156, 48248, 57504
487, 7098, 1670, 48736, 57504
493, 7098, 1281, 49125, 57504
499, 7098, 887, 49519, 57504
505, 7098, 757, 49649, 57504
511, 7098, 555, 49851, 57504
517, 7097, 495, 49912, 57504
523, 7095, 378, 50031, 57504
529, 7093, 179, 50232, 57504
535, 7092, 159, 50253, 57504
541, 7092, 160, 50252, 57504
547, 7091, 157, 50256, 57504
553, 7091, 159, 50254, 57504
559, 7091, 159, 50254, 57504
565, 7092, 147, 50265, 57504
571, 7110, 137, 50257, 57504
577, 7111, 136, 50257, 57504
583, 7110, 134, 50260, 57504
589, 7110, 134, 50260, 57504
595, 7110, 134, 50260, 57504
601, 7110, 134, 50260, 57504
607, 7109, 135, 50260, 57504
613, 7110, 135, 50259, 57504
619, 7109, 131, 50264, 57504
625, 7109, 130, 50265, 57504
631, 7107, 128, 50269, 57504
637, 7107, 126, 50271, 57504
643, 7107, 121, 50276, 57504
649, 7108, 120, 50276, 57504
655, 7106, 116, 50282, 57504
661, 7104, 116, 50284, 57504
667, 7101, 117, 50286, 57504
673, 7100, 117, 50287, 57504
679, 7096, 117, 50291, 57504
685, 7096, 117, 50291, 57504
691, 7095, 116, 50293, 57504
697, 7096, 116, 50292, 57504
703, 7096, 116, 50292, 57504
709, 7095, 115, 50294, 57504
715, 7096, 114, 50294, 57504
721, 7096, 115, 50293, 57504
727, 7096, 115, 50293, 57504
733, 7096, 114, 50294, 57504
739, 7096, 114, 50294, 57504
745, 7095, 114, 50295, 57504
751, 7093, 115, 50296, 57504
757, 7093, 114, 50297, 57504
763, 7092, 110, 50302, 57504
769, 7092, 110, 50302, 57504
775, 7092, 101, 50311, 57504
781, 7069, 101, 50334, 57504
787, 7056, 100, 50348, 57504
793, 7068, 97, 50339, 57504
799, 7072, 96, 50336, 57504
805, 7080, 92, 50332, 57504
811, 7084, 91, 50329, 57504
817, 7085, 92, 50327, 57504
823, 7100, 96, 50308, 57504
829, 7100, 95, 50309, 57504
835, 7099, 95, 50310, 57504
841, 7099, 95, 50310, 57504
847, 7098, 97, 50309, 57504
853, 7099, 96, 50309, 57504
859, 7099, 96, 50309, 57504
865, 7115, 96, 50293, 57504
871, 7115, 96, 50293, 57504
877, 7115, 96, 50293, 57504
883, 7116, 95, 50293, 57504
889, 7115, 96, 50293, 57504
895, 7116, 95, 50293, 57504
901, 7115, 95, 50294, 57504
907, 7114, 90, 50300, 57504
913, 7112, 90, 50302, 57504
919, 7112, 90, 50302, 57504
925, 7112, 90, 50302, 57504
931, 7111, 90, 50303, 57504
937, 7110, 91, 50303, 57504
943, 7109, 91, 50304, 57504
949, 7108, 90, 50306, 57504
955, 7108, 91, 50305, 57504
961, 7107, 90, 50307, 57504
967, 7106, 79, 50319, 57504
973, 7106, 79, 50319, 57504
979, 7106, 80, 50318, 57504
985, 7106, 78, 50320, 57504
991, 7106, 76, 50322, 57504
997, 7106, 75, 50323, 57504
1003, 7105, 76, 50323, 57504
1009, 7104, 77, 50323, 57504
1015, 7103, 78, 50323, 57504
1021, 7103, 79, 50322, 57504
1027, 7103, 78, 50323, 57504
1033, 7111, 79, 50314, 57504
1039, 7110, 79, 50315, 57504
1045, 7110, 78, 50316, 57504
1051, 7111, 75, 50318, 57504
1057, 7111, 74, 50319, 57504
1063, 7111, 74, 50319, 57504
1069, 7109, 75, 50320, 57504
1075, 7110, 76, 50318, 57504
1081, 7107, 76, 50321, 57504
1087, 7106, 75, 50323, 57504
1093, 7101, 77, 50326, 57504
1099, 7101, 77, 50326, 57504
1105, 7100, 76, 50328, 57504
1111, 7100, 76, 50328, 57504
1117, 7115, 226, 50163, 57504
1123, 7115, 200, 50189, 57504
1129, 7117, 198, 50189, 57504
1135, 7117, 107, 50280, 57504
1141, 7117, 108, 50279, 57504
1147, 7116, 107, 50281, 57504
1153, 7115, 75, 50314, 57504
1159, 7122, 223, 50159, 57504
1165, 7121, 224, 50159, 57504
1171, 7120, 224, 50160, 57504
1177, 7121, 163, 50220, 57504
1183, 7121, 163, 50220, 57504
1189, 7121, 163, 50220, 57504
1195, 7121, 163, 50220, 57504
1201, 7118, 108, 50278, 57504
1207, 7118, 105, 50281, 57504
1213, 7117, 106, 50281, 57504
1219, 7117, 105, 50282, 57504
1225, 7116, 107, 50281, 57504
1231, 7114, 107, 50283, 57504
1237, 7113, 107, 50284, 57504
1243, 7119, 106, 50279, 57504
1249, 7119, 107, 50278, 57504
1255, 7118, 108, 50278, 57504
1261, 7117, 107, 50280, 57504
1267, 7116, 105, 50283, 57504
1273, 7114, 105, 50285, 57504
1279, 7114, 107, 50283, 57504
1285, 7114, 83, 50307, 57504
1291, 7113, 82, 50309, 57504
1297, 7113, 82, 50309, 57504
1303, 7113, 77, 50314, 57504
1309, 7086, 77, 50341, 57504
1315, 7077, 76, 50351, 57504
1321, 7093, 75, 50336, 57504
1327, 7102, 77, 50325, 57504
1333, 7108, 79, 50317, 57504
1339, 7114, 76, 50314, 57504
1345, 7114, 75, 50315, 57504
1351, 7115, 77, 50312, 57504
1357, 7114, 76, 50314, 57504
1363, 7114, 75, 50315, 57504
1369, 7114, 73, 50317, 57504
1375, 7113, 73, 50318, 57504
1381, 7114, 74, 50316, 57504
1387, 7114, 73, 50317, 57504
1393, 7114, 73, 50317, 57504
1399, 7114, 74, 50316, 57504
1405, 7114, 76, 50314, 57504
1411, 7115, 76, 50313, 57504
1417, 7114, 76, 50314, 57504
1423, 7114, 75, 50315, 57504
1429, 7114, 75, 50315, 57504
1435, 7114, 74, 50316, 57504
1441, 7113, 72, 50319, 57504
1447, 7113, 72, 50319, 57504
1453, 7115, 78, 50311, 57504
1459, 7115, 75, 50314, 57504
1465, 7114, 77, 50313, 57504
1471, 7113, 75, 50316, 57504
1477, 7113, 74, 50317, 57504
1483, 7113, 74, 50317, 57504
1489, 7113, 73, 50318, 57504
1495, 7115, 71, 50318, 57504
1501, 7115, 71, 50318, 57504
1507, 7114, 71, 50319, 57504
1513, 7114, 71, 50319, 57504
1519, 7114, 71, 50319, 57504
1525, 7114, 71, 50319, 57504
1531, 7115, 70, 50319, 57504
1537, 7114, 71, 50319, 57504
1543, 7114, 70, 50320, 57504
1549, 7112, 72, 50320, 57504
1555, 7113, 71, 50320, 57504
1561, 7112, 72, 50320, 57504
1567, 7112, 72, 50320, 57504
1573, 7114, 70, 50320, 57504
1579, 7115, 69, 50320, 57504
1585, 7114, 70, 50320, 57504
1591, 7114, 70, 50320, 57504
1597, 7114, 70, 50320, 57504
1603, 7114, 69, 50321, 57504
1609, 7113, 71, 50320, 57504
1615, 7113, 70, 50321, 57504
1621, 7117, 73, 50314, 57504
1627, 7117, 71, 50316, 57504
1633, 7117, 73, 50314, 57504
1639, 7118, 73, 50313, 57504
1645, 7118, 71, 50315, 57504
1651, 7117, 70, 50317, 57504
1657, 7117, 69, 50318, 57504
1663, 7116, 69, 50319, 57504
1669, 7116, 68, 50320, 57504
1675, 7115, 68, 50321, 57504
1681, 7112, 70, 50322, 57504
1687, 7112, 70, 50322, 57504
1693, 7112, 71, 50321, 57504
1699, 7112, 71, 50321, 57504
1705, 7100, 68, 50336, 57504
1711, 7097, 70, 50337, 57504
1717, 7098, 68, 50338, 57504
1723, 7098, 67, 50339, 57504
1729, 7098, 66, 50340, 57504
1735, 7098, 68, 50338, 57504
1741, 7097, 67, 50340, 57504
1747, 7115, 69, 50320, 57504
1753, 7116, 68, 50320, 57504
1759, 7116, 68, 50320, 57504
1765, 7116, 68, 50320, 57504
1771, 7115, 69, 50320, 57504
1777, 7116, 68, 50320, 57504
1783, 7116, 68, 50320, 57504
1789, 7118, 218, 50168, 57504
1795, 7118, 157, 50229, 57504
