ts, default broker, CrocodileAgent, VidyutVanika, total
359, 57524, 0, 0, 57524
360, 57524, 0, 0, 57524
361, 10, 3782, 53732, 57524
367, 11, 3783, 53730, 57524
373, 10, 3782, 53732, 57524
379, 8, 3785, 53731, 57524
385, 9, 3786, 53729, 57524
391, 11, 3790, 53723, 57524
397, 8, 3796, 53720, 57524
403, 9, 3800, 53715, 57524
409, 9, 3800, 53715, 57524
415, 8, 3806, 53710, 57524
421, 9, 3797, 53718, 57524
427, 8, 3797, 53719, 57524
433, 8, 2806, 54710, 57524
439, 8, 2519, 54997, 57524
445, 6, 2098, 55420, 57524
451, 7, 1515, 56002, 57524
457, 7, 1456, 56061, 57524
463, 7, 1198, 56319, 57524
469, 6, 750, 56768, 57524
475, 5, 690, 56829, 57524
481, 5, 475, 57044, 57524
487, 7, 374, 57143, 57524
493, 5, 325, 57194, 57524
499, 6, 293, 57225, 57524
505, 6, 201, 57317, 57524
511, 5, 202, 57317, 57524
517, 4, 168, 57352, 57524
523, 4, 315, 57205, 57524
529, 5, 315, 57204, 57524
535, 14, 490, 57020, 57524
541, 31, 648, 56845, 57524
547, 39, 1124, 56361, 57524
553, 33, 1529, 55962, 57524
559, 38, 2069, 55417, 57524
565, 13, 2997, 54514, 57524
571, 6, 4240, 53278, 57524
577, 6, 5610, 51908, 57524
583, 8, 6422, 51094, 57524
589, 9, 6790, 50725, 57524
595, 9, 6800, 50715, 57524
601, 8, 6934, 50582, 57524
607, 8, 7312, 50204, 57524
613, 10, 7504, 50010, 57524
619, 10, 7197, 50317, 57524
625, 10, 6825, 50689, 57524
631, 9, 6598, 50917, 57524
637, 9, 5906, 51609, 57524
643, 8, 5618, 51898, 57524
649, 8, 4648, 52868, 57524
655, 8, 3722, 53794, 57524
661, 10, 3200, 54314, 57524
667, 10, 2750, 54764, 57524
673, 8, 2162, 55354, 57524
679, 7, 1766, 55751, 57524
685, 7, 1528, 55989, 57524
691, 8, 1469, 56047, 57524
697, 8, 1178, 56338, 57524
703, 10, 935, 56579, 57524
709, 8, 1227, 56289, 57524
715, 8, 1572, 55944, 57524
721, 9, 2665, 54850, 57524
727, 10, 3546, 53968, 57524
733, 10, 4074, 53440, 57524
739, 10, 4572, 52942, 57524
745, 5, 5672, 51847, 57524
751, 7, 6952, 50565, 57524
757, 6, 6944, 50574, 57524
763, 7, 7035, 50482, 57524
769, 5, 6975, 50544, 57524
775, 5, 6833, 50686, 57524
781, 5, 6823, 50696, 57524
787, 6, 6447, 51071, 57524
793, 7, 5701, 51816, 57524
799, 10, 5051, 52463, 57524
