ts, default broker, SPOT, EWIIS3, total
359, 57510, 0, 0, 57510
360, 57510, 0, 0, 57510
361, 7035, 246, 50229, 57510
367, 7034, 247, 50229, 57510
373, 7032, 246, 50232, 57510
379, 7031, 247, 50232, 57510
385, 7032, 95, 50383, 57510
391, 7032, 95, 50383, 57510
397, 7032, 95, 50383, 57510
403, 7032, 95, 50383, 57510
409, 7032, 245, 50233, 57510
415, 7034, 245, 50231, 57510
421, 7035, 246, 50229, 57510
427, 7033, 246, 50231, 57510
433, 7033, 246, 50231, 57510
439, 7032, 246, 50232, 57510
445, 7031, 246, 50233, 57510
451, 7030, 217, 50263, 57510
457, 7028, 94, 50388, 57510
463, 7028, 94, 50388, 57510
469, 7028, 94, 50388, 57510
475, 7029, 94, 50387, 57510
481, 7029, 194, 50287, 57510
487, 7029, 194, 50287, 57510
493, 7029, 194, 50287, 57510
499, 7029, 195, 50286, 57510
505, 7028, 236, 50246, 57510
511, 7028, 256, 50226, 57510
517, 7028, 276, 50206, 57510
523, 7028, 276, 50206, 57510
529, 7028, 445, 50037, 57510
535, 7028, 446, 50036, 57510
541, 7028, 447, 50035, 57510
547, 7028, 447, 50035, 57510
553, 7030, 447, 50033, 57510
559, 7029, 448, 50033, 57510
565, 7028, 447, 50035, 57510
571, 7028, 546, 49936, 57510
577, 7028, 546, 49936, 57510
583, 7028, 694, 49788, 57510
589, 7028, 1434, 49048, 57510
595, 7028, 1722, 48760, 57510
601, 7028, 1722, 48760, 57510
607, 7028, 1723, 48759, 57510
613, 7028, 2152, 48330, 57510
619, 7028, 2112, 48370, 57510
625, 7028, 1933, 48549, 57510
631, 7029, 1933, 48548, 57510
637, 7029, 2125, 48356, 57510
643, 7030, 2125, 48355, 57510
649, 7029, 1939, 48542, 57510
655, 7028, 1939, 48543, 57510
661, 7029, 2058, 48423, 57510
667, 7029, 2065, 48416, 57510
673, 7029, 1945, 48536, 57510
679, 7029, 1946, 48535, 57510
685, 7027, 1997, 48486, 57510
691, 7027, 2076, 48407, 57510
697, 7028, 2023, 48459, 57510
703, 7029, 2143, 48338, 57510
709, 7029, 2295, 48186, 57510
715, 7029, 2325, 48156, 57510
721, 7027, 1933, 48550, 57510
