ts, default broker, CrocodileAgent, EWIIS3, total
359, 57508, 0, 0, 57508
360, 57508, 0, 0, 57508
361, 6969, 204, 50335, 57508
367, 7050, 447, 50011, 57508
373, 6700, 2278, 48530, 57508
379, 6677, 5368, 45463, 57508
385, 6789, 15613, 35106, 57508
391, 6814, 18402, 32292, 57508
397, 6799, 25304, 25405, 57508
403, 6939, 33321, 17248, 57508
409, 6919, 40132, 10457, 57508
415, 6888, 43177, 7443, 57508
421, 6870, 45363, 5275, 57508
427, 6885, 46561, 4062, 57508
433, 6940, 47494, 3074, 57508
439, 6927, 47859, 2722, 57508
445, 6974, 47869, 2665, 57508
451, 6920, 47516, 3072, 57508
457, 6982, 44173, 6353, 57508
463, 6971, 44206, 6331, 57508
469, 6802, 44392, 6314, 57508
475, 6799, 44269, 6440, 57508
481, 6810, 44180, 6518, 57508
487, 6815, 43299, 7394, 57508
493, 6835, 43309, 7364, 57508
499, 6853, 42103, 8552, 57508
505, 6816, 42436, 8256, 57508
511, 6875, 40990, 9643, 57508
517, 6855, 41183, 9470, 57508
523, 6910, 40690, 9908, 57508
529, 6946, 41746, 8816, 57508
535, 6890, 42445, 8173, 57508
541, 6755, 43796, 6957, 57508
547, 6771, 45166, 5571, 57508
553, 6754, 46038, 4716, 57508
559, 6801, 46772, 3935, 57508
565, 6795, 47278, 3435, 57508
571, 6799, 47793, 2916, 57508
577, 6836, 48094, 2578, 57508
583, 6913, 48274, 2321, 57508
589, 6926, 48660, 1922, 57508
595, 6893, 48983, 1632, 57508
601, 6881, 49089, 1538, 57508
607, 6801, 49180, 1527, 57508
613, 6842, 49227, 1439, 57508
619, 6867, 49307, 1334, 57508
625, 6827, 49373, 1308, 57508
631, 6892, 49329, 1287, 57508
637, 6897, 49239, 1372, 57508
643, 6826, 48922, 1760, 57508
649, 6857, 49011, 1640, 57508
655, 6879, 48418, 2211, 57508
661, 6699, 48421, 2388, 57508
667, 6678, 48419, 2411, 57508
673, 6698, 48731, 2079, 57508
679, 6662, 48432, 2414, 57508
685, 6313, 48896, 2299, 57508
691, 6430, 48032, 3046, 57508
697, 6666, 48229, 2613, 57508
703, 6821, 47944, 2743, 57508
709, 6950, 48295, 2263, 57508
715, 6875, 48803, 1830, 57508
721, 6841, 48816, 1851, 57508
727, 6725, 49023, 1760, 57508
733, 6741, 49246, 1521, 57508
739, 6742, 49363, 1403, 57508
745, 6770, 49680, 1058, 57508
751, 6776, 49907, 825, 57508
757, 6812, 50000, 696, 57508
763, 6840, 50022, 646, 57508
769, 6932, 50120, 456, 57508
775, 6933, 50206, 369, 57508
781, 6946, 50216, 346, 57508
787, 6914, 50239, 355, 57508
793, 6957, 50043, 508, 57508
799, 6976, 49751, 781, 57508
805, 6984, 49404, 1120, 57508
811, 6907, 49016, 1585, 57508
817, 6971, 48446, 2091, 57508
823, 6877, 47684, 2947, 57508
829, 6914, 47251, 3343, 57508
835, 6919, 45907, 4682, 57508
841, 6967, 46056, 4485, 57508
847, 7000, 45777, 4731, 57508
853, 6982, 45763, 4763, 57508
859, 6981, 45093, 5434, 57508
865, 6981, 44940, 5587, 57508
871, 6990, 45357, 5161, 57508
877, 6997, 45952, 4559, 57508
883, 6997, 47226, 3285, 57508
889, 6978, 47929, 2601, 57508
895, 6924, 48993, 1591, 57508
901, 6926, 49311, 1271, 57508
907, 6925, 49656, 927, 57508
913, 6870, 49846, 792, 57508
919, 6827, 50085, 596, 57508
925, 6891, 50181, 436, 57508
931, 6948, 50177, 383, 57508
937, 6975, 50150, 383, 57508
943, 6914, 50316, 278, 57508
949, 6893, 50358, 257, 57508
955, 6885, 50360, 263, 57508
961, 6896, 50341, 271, 57508
967, 6940, 49870, 698, 57508
973, 6774, 50070, 664, 57508
979, 6693, 48099, 2716, 57508
985, 6697, 48103, 2708, 57508
991, 6789, 47193, 3526, 57508
997, 6819, 47779, 2910, 57508
1003, 6729, 46072, 4707, 57508
1009, 6895, 46968, 3645, 57508
1015, 6837, 45995, 4676, 57508
1021, 6952, 46137, 4419, 57508
1027, 7002, 45935, 4571, 57508
1033, 6988, 46457, 4063, 57508
1039, 7009, 46708, 3791, 57508
1045, 6862, 47737, 2909, 57508
1051, 6874, 47762, 2872, 57508
1057, 6862, 48429, 2217, 57508
1063, 6942, 48723, 1843, 57508
1069, 6894, 49016, 1598, 57508
1075, 6889, 49482, 1137, 57508
1081, 6879, 50009, 620, 57508
1087, 6808, 50139, 561, 57508
1093, 6860, 50226, 422, 57508
1099, 6873, 50302, 333, 57508
1105, 6876, 50355, 277, 57508
1111, 6833, 50402, 273, 57508
1117, 6904, 50327, 277, 57508
1123, 6906, 50338, 264, 57508
1129, 6879, 50373, 256, 57508
1135, 6873, 50236, 399, 57508
1141, 6870, 50000, 638, 57508
1147, 6784, 49672, 1052, 57508
1153, 6807, 49292, 1409, 57508
1159, 6820, 47674, 3014, 57508
1165, 6850, 47629, 3029, 57508
1171, 6863, 46539, 4106, 57508
1177, 6901, 46358, 4249, 57508
1183, 6915, 45107, 5486, 57508
1189, 6929, 45829, 4750, 57508
1195, 6901, 44692, 5915, 57508
1201, 6929, 45477, 5102, 57508
1207, 6928, 46101, 4479, 57508
1213, 6836, 47288, 3384, 57508
1219, 6827, 48379, 2302, 57508
1225, 6783, 48887, 1838, 57508
1231, 6810, 49450, 1248, 57508
1237, 6840, 49608, 1060, 57508
1243, 6798, 49925, 785, 57508
1249, 6841, 50107, 560, 57508
1255, 6890, 50210, 408, 57508
1261, 6857, 50326, 325, 57508
1267, 6840, 50394, 274, 57508
1273, 6879, 50386, 243, 57508
1279, 6888, 50368, 252, 57508
1285, 6856, 50411, 241, 57508
1291, 6844, 50435, 229, 57508
1297, 6882, 50386, 240, 57508
1303, 6848, 50012, 648, 57508
1309, 6806, 50061, 641, 57508
1315, 6839, 48399, 2270, 57508
1321, 6910, 47155, 3443, 57508
1327, 6797, 43621, 7090, 57508
1333, 6900, 44118, 6490, 57508
1339, 6894, 42020, 8594, 57508
1345, 6801, 42622, 8085, 57508
1351, 6792, 41579, 9137, 57508
1357, 6788, 43118, 7602, 57508
1363, 6801, 41665, 9042, 57508
1369, 6839, 43217, 7452, 57508
1375, 6914, 43952, 6642, 57508
1381, 6822, 45651, 5035, 57508
1387, 6905, 46096, 4507, 57508
1393, 6887, 48196, 2425, 57508
1399, 6892, 48734, 1882, 57508
1405, 6775, 49493, 1240, 57508
1411, 6862, 49866, 780, 57508
1417, 6836, 50101, 571, 57508
1423, 6848, 50158, 502, 57508
1429, 6804, 50256, 448, 57508
1435, 6860, 50259, 389, 57508
1441, 6786, 50346, 376, 57508
1447, 6856, 50336, 316, 57508
1453, 6924, 50254, 330, 57508
1459, 6972, 50215, 321, 57508
1465, 6973, 50235, 300, 57508
1471, 6843, 50143, 522, 57508
1477, 6928, 49611, 969, 57508
1483, 6851, 46238, 4419, 57508
1489, 6825, 46811, 3872, 57508
1495, 6823, 42943, 7742, 57508
1501, 6748, 42005, 8755, 57508
1507, 6580, 37970, 12958, 57508
1513, 6662, 38719, 12127, 57508
1519, 6712, 37101, 13695, 57508
1525, 6826, 36845, 13837, 57508
1531, 6963, 34345, 16200, 57508
1537, 6884, 35213, 15411, 57508
1543, 6900, 35683, 14925, 57508
1549, 6840, 41232, 9436, 57508
1555, 6868, 43962, 6678, 57508
1561, 6873, 46192, 4443, 57508
1567, 6856, 47820, 2832, 57508
1573, 6889, 48594, 2025, 57508
1579, 6908, 48933, 1667, 57508
1585, 6829, 49305, 1374, 57508
1591, 6846, 49831, 831, 57508
1597, 6860, 50052, 596, 57508
1603, 6766, 50249, 493, 57508
1609, 6744, 50344, 420, 57508
1615, 6650, 50491, 367, 57508
1621, 6203, 50815, 490, 57508
1627, 6452, 50617, 439, 57508
1633, 6687, 49919, 902, 57508
1639, 6742, 49739, 1027, 57508
1645, 6910, 49365, 1233, 57508
1651, 6919, 47457, 3132, 57508
1657, 6883, 45847, 4778, 57508
1663, 6869, 45609, 5030, 57508
1669, 6605, 45396, 5507, 57508
1675, 6607, 45073, 5828, 57508
1681, 6606, 45424, 5478, 57508
