ts, default broker, CrocodileAgent, COLDPower18, total
359, 57523, 0, 0, 57523
360, 57523, 0, 0, 57523
361, 57523, 0, 0, 57523
367, 8205, 49318, 0, 57523
373, 7056, 50467, 0, 57523
379, 7004, 50519, 0, 57523
385, 6952, 50571, 0, 57523
391, 7013, 50510, 0, 57523
397, 6966, 50557, 0, 57523
403, 6964, 50559, 0, 57523
409, 6948, 50575, 0, 57523
415, 6954, 50569, 0, 57523
421, 7009, 50514, 0, 57523
427, 6952, 50571, 0, 57523
433, 6945, 50578, 0, 57523
439, 6938, 50585, 0, 57523
445, 6690, 50833, 0, 57523
451, 6742, 50781, 0, 57523
457, 6713, 50810, 0, 57523
463, 6850, 50673, 0, 57523
469, 6885, 50638, 0, 57523
475, 6946, 50577, 0, 57523
481, 6823, 50700, 0, 57523
487, 6842, 50681, 0, 57523
493, 6748, 50775, 0, 57523
499, 6722, 50801, 0, 57523
505, 6706, 50817, 0, 57523
511, 6681, 50842, 0, 57523
517, 6739, 50784, 0, 57523
523, 6702, 50821, 0, 57523
529, 6755, 50768, 0, 57523
535, 6793, 50730, 0, 57523
541, 6884, 50639, 0, 57523
547, 6901, 50622, 0, 57523
553, 6948, 50575, 0, 57523
559, 6943, 50580, 0, 57523
565, 6841, 50682, 0, 57523
571, 6633, 50890, 0, 57523
577, 6757, 50766, 0, 57523
583, 6860, 50663, 0, 57523
589, 6923, 50600, 0, 57523
595, 6982, 50541, 0, 57523
601, 6919, 50604, 0, 57523
607, 6949, 50574, 0, 57523
613, 6961, 50562, 0, 57523
619, 7007, 50516, 0, 57523
625, 7021, 50502, 0, 57523
631, 6982, 50541, 0, 57523
637, 6867, 50656, 0, 57523
643, 6890, 50633, 0, 57523
649, 6877, 50646, 0, 57523
655, 6882, 50641, 0, 57523
661, 6933, 50590, 0, 57523
667, 6851, 50672, 0, 57523
673, 6767, 50756, 0, 57523
679, 6765, 50758, 0, 57523
685, 6786, 50737, 0, 57523
691, 6903, 50620, 0, 57523
697, 6889, 50634, 0, 57523
703, 6905, 50618, 0, 57523
709, 6972, 50551, 0, 57523
715, 6891, 50632, 0, 57523
721, 6912, 50611, 0, 57523
727, 6977, 50546, 0, 57523
733, 6990, 50533, 0, 57523
739, 6886, 50637, 0, 57523
745, 6921, 50602, 0, 57523
751, 6940, 50583, 0, 57523
757, 6707, 50816, 0, 57523
763, 6794, 50729, 0, 57523
769, 6785, 50738, 0, 57523
775, 6798, 50725, 0, 57523
781, 6839, 50684, 0, 57523
787, 6847, 50676, 0, 57523
793, 6774, 50749, 0, 57523
799, 6779, 50744, 0, 57523
805, 6802, 50721, 0, 57523
811, 6581, 50942, 0, 57523
817, 6625, 50898, 0, 57523
823, 6767, 50756, 0, 57523
829, 6812, 50711, 0, 57523
835, 6792, 50731, 0, 57523
841, 6844, 50679, 0, 57523
847, 6740, 50783, 0, 57523
853, 6734, 50789, 0, 57523
859, 6809, 50714, 0, 57523
865, 6896, 50627, 0, 57523
871, 6883, 50640, 0, 57523
877, 6889, 50634, 0, 57523
883, 6918, 50605, 0, 57523
889, 6933, 50590, 0, 57523
895, 6964, 50559, 0, 57523
901, 6838, 50685, 0, 57523
907, 6920, 50603, 0, 57523
913, 6957, 50566, 0, 57523
919, 6753, 50770, 0, 57523
925, 6746, 50777, 0, 57523
931, 6768, 50755, 0, 57523
937, 6806, 50717, 0, 57523
943, 6846, 50677, 0, 57523
949, 6756, 50767, 0, 57523
955, 6790, 50733, 0, 57523
961, 6847, 50676, 0, 57523
967, 6881, 50642, 0, 57523
973, 6869, 50654, 0, 57523
979, 6889, 50634, 0, 57523
985, 6860, 50663, 0, 57523
991, 6871, 50652, 0, 57523
997, 6890, 50633, 0, 57523
1003, 6853, 50670, 0, 57523
1009, 6905, 50618, 0, 57523
1015, 6886, 50637, 0, 57523
1021, 6932, 50591, 0, 57523
1027, 6861, 50662, 0, 57523
1033, 6846, 50677, 0, 57523
1039, 6853, 50670, 0, 57523
1045, 6865, 50658, 0, 57523
1051, 6885, 50638, 0, 57523
1057, 6870, 50653, 0, 57523
1063, 6861, 50662, 0, 57523
1069, 6878, 50645, 0, 57523
1075, 6825, 50698, 0, 57523
1081, 6851, 50672, 0, 57523
1087, 6801, 50722, 0, 57523
1093, 6845, 50678, 0, 57523
1099, 6901, 50622, 0, 57523
1105, 6944, 50579, 0, 57523
1111, 6933, 50590, 0, 57523
1117, 6981, 50542, 0, 57523
1123, 6933, 50590, 0, 57523
1129, 6910, 50613, 0, 57523
1135, 6908, 50615, 0, 57523
1141, 6872, 50651, 0, 57523
1147, 6876, 50647, 0, 57523
1153, 6843, 50680, 0, 57523
1159, 6845, 50678, 0, 57523
1165, 6841, 50682, 0, 57523
1171, 6849, 50674, 0, 57523
1177, 6705, 50818, 0, 57523
1183, 6824, 50699, 0, 57523
1189, 6807, 50716, 0, 57523
1195, 6760, 50763, 0, 57523
1201, 6825, 50698, 0, 57523
1207, 6882, 50641, 0, 57523
1213, 6976, 50547, 0, 57523
1219, 6918, 50605, 0, 57523
1225, 6975, 50548, 0, 57523
1231, 6921, 50602, 0, 57523
1237, 6931, 50592, 0, 57523
1243, 6873, 50650, 0, 57523
1249, 6904, 50619, 0, 57523
1255, 6897, 50626, 0, 57523
1261, 6901, 50622, 0, 57523
1267, 6915, 50608, 0, 57523
1273, 6961, 50562, 0, 57523
1279, 6924, 50599, 0, 57523
1285, 6999, 50524, 0, 57523
1291, 6923, 50600, 0, 57523
1297, 6964, 50559, 0, 57523
1303, 6963, 50560, 0, 57523
1309, 6951, 50572, 0, 57523
1315, 6971, 50552, 0, 57523
1321, 6967, 50556, 0, 57523
1327, 6951, 50572, 0, 57523
1333, 6970, 50553, 0, 57523
1339, 6932, 50591, 0, 57523
1345, 6948, 50575, 0, 57523
1351, 6903, 50620, 0, 57523
1357, 6841, 50682, 0, 57523
1363, 6852, 50671, 0, 57523
1369, 6930, 50593, 0, 57523
1375, 6855, 50668, 0, 57523
1381, 6867, 50656, 0, 57523
1387, 6841, 50682, 0, 57523
1393, 6823, 50700, 0, 57523
1399, 6854, 50669, 0, 57523
1405, 6792, 50731, 0, 57523
1411, 6791, 50732, 0, 57523
1417, 6762, 50761, 0, 57523
1423, 6786, 50737, 0, 57523
1429, 6825, 50698, 0, 57523
1435, 6845, 50678, 0, 57523
1441, 6812, 50711, 0, 57523
1447, 6838, 50685, 0, 57523
1453, 6821, 50702, 0, 57523
1459, 6933, 50590, 0, 57523
1465, 6851, 50672, 0, 57523
1471, 6828, 50695, 0, 57523
1477, 6829, 50694, 0, 57523
1483, 6882, 50641, 0, 57523
1489, 6790, 50733, 0, 57523
1495, 6889, 50634, 0, 57523
1501, 6857, 50666, 0, 57523
1507, 6825, 50698, 0, 57523
1513, 6812, 50711, 0, 57523
1519, 6909, 50614, 0, 57523
1525, 6854, 50669, 0, 57523
1531, 6915, 50608, 0, 57523
1537, 6872, 50651, 0, 57523
1543, 6925, 50598, 0, 57523
1549, 6858, 50665, 0, 57523
1555, 6889, 50634, 0, 57523
1561, 6924, 50599, 0, 57523
1567, 6892, 50631, 0, 57523
1573, 6789, 50734, 0, 57523
1579, 6852, 50671, 0, 57523
1585, 6801, 50722, 0, 57523
1591, 6788, 50735, 0, 57523
1597, 6841, 50682, 0, 57523
1603, 6829, 50694, 0, 57523
1609, 6830, 50693, 0, 57523
1615, 6823, 50700, 0, 57523
1621, 6913, 50610, 0, 57523
1627, 6942, 50581, 0, 57523
1633, 6857, 50666, 0, 57523
1639, 6855, 50668, 0, 57523
1645, 6785, 50738, 0, 57523
1651, 6790, 50733, 0, 57523
1657, 6795, 50728, 0, 57523
1663, 6823, 50700, 0, 57523
1669, 6792, 50731, 0, 57523
1675, 6795, 50728, 0, 57523
1681, 6876, 50647, 0, 57523
1687, 6910, 50613, 0, 57523
1693, 6821, 50702, 0, 57523
1699, 6782, 50741, 0, 57523
1705, 6814, 50709, 0, 57523
1711, 6836, 50687, 0, 57523
