ts, default broker, COLDPower18, AgentUDE, total
359, 57518, 0, 0, 57518
360, 57518, 0, 0, 57518
361, 13540, 0, 43978, 57518
367, 10921, 0, 46597, 57518
373, 9621, 0, 47897, 57518
379, 9117, 0, 48401, 57518
385, 8649, 0, 48869, 57518
391, 8477, 0, 49041, 57518
397, 8221, 0, 49297, 57518
403, 8142, 0, 49376, 57518
409, 7497, 0, 50021, 57518
415, 7709, 0, 49809, 57518
421, 7450, 0, 50068, 57518
427, 7684, 0, 49834, 57518
433, 7400, 0, 50118, 57518
439, 7350, 0, 50168, 57518
445, 9356, 0, 48162, 57518
451, 9036, 0, 48482, 57518
457, 8452, 0, 49066, 57518
463, 8150, 0, 49368, 57518
469, 7995, 0, 49523, 57518
475, 7871, 0, 49647, 57518
481, 7782, 0, 49736, 57518
487, 31052, 0, 26466, 57518
493, 17001, 0, 40517, 57518
499, 11682, 0, 45836, 57518
505, 8733, 0, 48785, 57518
511, 8080, 0, 49438, 57518
517, 7851, 0, 49667, 57518
523, 7613, 0, 49905, 57518
529, 16508, 0, 41010, 57518
535, 15682, 0, 41836, 57518
541, 11374, 0, 46144, 57518
547, 9262, 0, 48256, 57518
553, 8031, 0, 49487, 57518
559, 7756, 0, 49762, 57518
565, 7564, 0, 49954, 57518
571, 51477, 0, 6041, 57518
577, 52662, 0, 4856, 57518
583, 53240, 0, 4278, 57518
589, 52424, 0, 5094, 57518
595, 52602, 0, 4916, 57518
601, 49978, 0, 7540, 57518
607, 50867, 0, 6651, 57518
613, 14977, 0, 42541, 57518
619, 8774, 0, 48744, 57518
625, 7394, 0, 50124, 57518
631, 7230, 0, 50288, 57518
637, 7225, 0, 50293, 57518
643, 7220, 0, 50298, 57518
649, 7212, 0, 50306, 57518
655, 14948, 0, 42570, 57518
661, 11352, 0, 46166, 57518
667, 11187, 0, 46331, 57518
673, 9996, 0, 47522, 57518
679, 9195, 0, 48323, 57518
685, 8573, 0, 48945, 57518
