ts, default broker, EWIIS3, VidyutVanika, total
359, 57503, 0, 0, 57503
360, 57503, 0, 0, 57503
361, 21, 702, 56780, 57503
367, 19, 476, 57008, 57503
373, 18, 356, 57129, 57503
379, 19, 281, 57203, 57503
385, 19, 280, 57204, 57503
391, 19, 262, 57222, 57503
397, 18, 275, 57210, 57503
403, 18, 258, 57227, 57503
409, 17, 274, 57212, 57503
415, 17, 258, 57228, 57503
421, 16, 257, 57230, 57503
427, 15, 257, 57231, 57503
433, 15, 1534, 55954, 57503
439, 15, 2171, 55317, 57503
445, 15, 5544, 51944, 57503
451, 15, 8257, 49231, 57503
457, 15, 10018, 47470, 57503
463, 16, 8656, 48831, 57503
469, 15, 7627, 49861, 57503
475, 12, 7476, 50015, 57503
481, 13, 7182, 50308, 57503
487, 11, 7141, 50351, 57503
493, 11, 7110, 50382, 57503
499, 11, 6999, 50493, 57503
505, 11, 6849, 50643, 57503
511, 11, 6517, 50975, 57503
517, 13, 5253, 52237, 57503
523, 13, 4158, 53332, 57503
529, 15, 3600, 53888, 57503
535, 15, 2694, 54794, 57503
541, 14, 2130, 55359, 57503
547, 15, 1454, 56034, 57503
553, 15, 1114, 56374, 57503
559, 15, 772, 56716, 57503
565, 16, 670, 56817, 57503
571, 15, 650, 56838, 57503
577, 15, 629, 56859, 57503
583, 16, 633, 56854, 57503
589, 16, 641, 56846, 57503
595, 17, 606, 56880, 57503
601, 16, 585, 56902, 57503
607, 16, 511, 56976, 57503
613, 15, 469, 57019, 57503
619, 15, 407, 57081, 57503
625, 14, 327, 57162, 57503
631, 13, 308, 57182, 57503
637, 12, 291, 57200, 57503
643, 12, 270, 57221, 57503
649, 12, 250, 57241, 57503
655, 13, 248, 57242, 57503
661, 13, 228, 57262, 57503
667, 13, 229, 57261, 57503
673, 12, 229, 57262, 57503
679, 13, 231, 57259, 57503
685, 12, 196, 57295, 57503
691, 11, 196, 57296, 57503
697, 11, 195, 57297, 57503
703, 12, 134, 57357, 57503
709, 12, 131, 57360, 57503
715, 12, 130, 57361, 57503
721, 12, 128, 57363, 57503
