ts, default broker, COLDPower18, VidyutVanika, total
359, 57508, 0, 0, 57508
360, 57508, 0, 0, 57508
361, 55, 0, 57453, 57508
367, 52, 0, 57456, 57508
373, 53, 0, 57455, 57508
379, 51, 0, 57457, 57508
385, 52, 0, 57456, 57508
391, 50, 0, 57458, 57508
397, 48, 0, 57460, 57508
403, 49, 0, 57459, 57508
409, 51, 0, 57457, 57508
415, 52, 0, 57456, 57508
421, 49, 0, 57459, 57508
427, 46, 0, 57462, 57508
433, 45, 0, 57463, 57508
439, 44, 0, 57464, 57508
445, 44, 0, 57464, 57508
451, 45, 0, 57463, 57508
457, 46, 0, 57462, 57508
463, 45, 0, 57463, 57508
469, 49, 0, 57459, 57508
475, 49, 0, 57459, 57508
481, 47, 0, 57461, 57508
487, 49, 0, 57459, 57508
493, 49, 0, 57459, 57508
499, 45, 0, 57463, 57508
505, 47, 0, 57461, 57508
511, 46, 0, 57462, 57508
517, 46, 0, 57462, 57508
523, 46, 0, 57462, 57508
529, 47, 0, 57461, 57508
535, 45, 0, 57463, 57508
541, 44, 0, 57464, 57508
547, 46, 0, 57462, 57508
553, 45, 0, 57463, 57508
559, 45, 0, 57463, 57508
565, 44, 0, 57464, 57508
571, 43, 0, 57465, 57508
577, 44, 0, 57464, 57508
583, 44, 0, 57464, 57508
589, 46, 0, 57462, 57508
595, 48, 0, 57460, 57508
601, 47, 0, 57461, 57508
607, 44, 0, 57464, 57508
613, 46, 0, 57462, 57508
619, 48, 0, 57460, 57508
625, 47, 0, 57461, 57508
631, 47, 0, 57461, 57508
637, 47, 0, 57461, 57508
643, 47, 0, 57461, 57508
649, 47, 0, 57461, 57508
655, 47, 0, 57461, 57508
661, 48, 0, 57460, 57508
667, 49, 0, 57459, 57508
673, 45, 0, 57463, 57508
679, 44, 0, 57464, 57508
685, 44, 0, 57464, 57508
691, 44, 0, 57464, 57508
697, 46, 0, 57462, 57508
703, 43, 0, 57465, 57508
709, 45, 0, 57463, 57508
715, 44, 0, 57464, 57508
721, 43, 0, 57465, 57508
727, 44, 0, 57464, 57508
733, 49, 0, 57459, 57508
739, 47, 0, 57461, 57508
745, 64, 0, 57444, 57508
751, 76, 0, 57432, 57508
757, 48, 0, 57460, 57508
763, 47, 0, 57461, 57508
769, 44, 0, 57464, 57508
775, 45, 0, 57463, 57508
781, 46, 0, 57462, 57508
787, 46, 0, 57462, 57508
793, 48, 0, 57460, 57508
799, 49, 0, 57459, 57508
805, 49, 0, 57459, 57508
811, 48, 0, 57460, 57508
817, 50, 0, 57458, 57508
823, 47, 0, 57461, 57508
829, 47, 0, 57461, 57508
835, 45, 0, 57463, 57508
841, 46, 0, 57462, 57508
847, 44, 0, 57464, 57508
853, 43, 0, 57465, 57508
859, 45, 0, 57463, 57508
865, 36, 0, 57472, 57508
871, 34, 0, 57474, 57508
877, 42, 0, 57466, 57508
883, 40, 0, 57468, 57508
889, 31, 0, 57477, 57508
895, 34, 0, 57474, 57508
901, 33, 0, 57475, 57508
907, 34, 0, 57474, 57508
913, 64, 0, 57444, 57508
919, 69, 0, 57439, 57508
925, 82, 0, 57426, 57508
931, 86, 0, 57422, 57508
937, 76, 0, 57432, 57508
943, 43, 0, 57465, 57508
949, 37, 0, 57471, 57508
955, 33, 0, 57475, 57508
961, 55, 0, 57453, 57508
967, 65, 0, 57443, 57508
973, 80, 0, 57428, 57508
979, 75, 0, 57433, 57508
985, 77, 0, 57431, 57508
991, 80, 0, 57428, 57508
997, 95, 0, 57413, 57508
1003, 81, 0, 57427, 57508
1009, 40, 0, 57468, 57508
1015, 34, 0, 57474, 57508
1021, 35, 0, 57473, 57508
1027, 38, 0, 57470, 57508
1033, 65, 0, 57443, 57508
1039, 70, 0, 57438, 57508
1045, 71, 0, 57437, 57508
1051, 75, 0, 57433, 57508
1057, 36, 0, 57472, 57508
1063, 34, 0, 57474, 57508
1069, 33, 0, 57475, 57508
1075, 32, 0, 57476, 57508
1081, 31, 0, 57477, 57508
1087, 31, 0, 57477, 57508
1093, 34, 0, 57474, 57508
1099, 34, 0, 57474, 57508
1105, 31, 0, 57477, 57508
1111, 33, 0, 57475, 57508
1117, 33, 0, 57475, 57508
1123, 32, 0, 57476, 57508
1129, 33, 0, 57475, 57508
1135, 37, 0, 57471, 57508
1141, 38, 0, 57470, 57508
1147, 40, 0, 57468, 57508
1153, 35, 0, 57473, 57508
1159, 45, 0, 57463, 57508
1165, 46, 0, 57462, 57508
1171, 35, 0, 57473, 57508
1177, 32, 0, 57476, 57508
1183, 33, 0, 57475, 57508
1189, 47, 0, 57461, 57508
1195, 35, 0, 57473, 57508
1201, 45, 0, 57463, 57508
1207, 45, 0, 57463, 57508
1213, 46, 0, 57462, 57508
1219, 49, 0, 57459, 57508
1225, 47, 0, 57461, 57508
1231, 47, 0, 57461, 57508
1237, 45, 0, 57463, 57508
1243, 46, 0, 57462, 57508
1249, 48, 0, 57460, 57508
1255, 70, 0, 57438, 57508
1261, 73, 0, 57435, 57508
1267, 54, 0, 57454, 57508
1273, 50, 0, 57458, 57508
1279, 47, 0, 57461, 57508
1285, 43, 0, 57465, 57508
1291, 47, 0, 57461, 57508
1297, 45, 0, 57463, 57508
1303, 46, 0, 57462, 57508
1309, 45, 0, 57463, 57508
1315, 44, 0, 57464, 57508
1321, 44, 0, 57464, 57508
1327, 45, 0, 57463, 57508
1333, 44, 0, 57464, 57508
1339, 43, 0, 57465, 57508
1345, 46, 0, 57462, 57508
1351, 46, 0, 57462, 57508
1357, 43, 0, 57465, 57508
1363, 68, 0, 57440, 57508
1369, 77, 0, 57431, 57508
1375, 85, 0, 57423, 57508
1381, 85, 0, 57423, 57508
1387, 49, 0, 57459, 57508
1393, 44, 0, 57464, 57508
1399, 46, 0, 57462, 57508
1405, 44, 0, 57464, 57508
1411, 48, 0, 57460, 57508
1417, 47, 0, 57461, 57508
1423, 47, 0, 57461, 57508
1429, 49, 0, 57459, 57508
1435, 46, 0, 57462, 57508
1441, 47, 0, 57461, 57508
1447, 48, 0, 57460, 57508
1453, 46, 0, 57462, 57508
1459, 48, 0, 57460, 57508
1465, 48, 0, 57460, 57508
1471, 47, 0, 57461, 57508
1477, 49, 0, 57459, 57508
1483, 48, 0, 57460, 57508
1489, 48, 0, 57460, 57508
1495, 47, 0, 57461, 57508
1501, 48, 0, 57460, 57508
1507, 48, 0, 57460, 57508
1513, 46, 0, 57462, 57508
1519, 45, 0, 57463, 57508
1525, 45, 0, 57463, 57508
1531, 44, 0, 57464, 57508
1537, 46, 0, 57462, 57508
1543, 45, 0, 57463, 57508
1549, 44, 0, 57464, 57508
1555, 46, 0, 57462, 57508
1561, 46, 0, 57462, 57508
1567, 44, 0, 57464, 57508
1573, 42, 0, 57466, 57508
1579, 43, 0, 57465, 57508
1585, 44, 0, 57464, 57508
1591, 47, 0, 57461, 57508
1597, 48, 0, 57460, 57508
1603, 46, 0, 57462, 57508
1609, 47, 0, 57461, 57508
1615, 45, 0, 57463, 57508
1621, 46, 0, 57462, 57508
1627, 44, 0, 57464, 57508
1633, 46, 0, 57462, 57508
1639, 47, 0, 57461, 57508
1645, 48, 0, 57460, 57508
1651, 46, 0, 57462, 57508
1657, 48, 0, 57460, 57508
1663, 45, 0, 57463, 57508
1669, 48, 0, 57460, 57508
1675, 48, 0, 57460, 57508
1681, 47, 0, 57461, 57508
