ts, default broker, VidyutVanika, AgentUDE, total
359, 57514, 0, 0, 57514
360, 57514, 0, 0, 57514
361, 26, 18432, 39056, 57514
367, 29, 18422, 39063, 57514
373, 23, 18420, 39071, 57514
379, 22, 18421, 39071, 57514
385, 24, 18425, 39065, 57514
391, 23, 18425, 39066, 57514
397, 23, 18428, 39063, 57514
403, 9, 25055, 32450, 57514
409, 5, 25355, 32154, 57514
415, 4, 25363, 32147, 57514
421, 6, 25360, 32148, 57514
427, 10, 25360, 32144, 57514
433, 10, 20445, 37059, 57514
439, 8, 18171, 39335, 57514
445, 11, 19401, 38102, 57514
451, 9, 19130, 38375, 57514
457, 9, 18877, 38628, 57514
463, 7, 18892, 38615, 57514
469, 7, 19422, 38085, 57514
475, 8, 22469, 35037, 57514
481, 9, 24611, 32894, 57514
487, 10, 25443, 32061, 57514
493, 12, 23580, 33922, 57514
499, 11, 21857, 35646, 57514
505, 8, 21294, 36212, 57514
511, 9, 19925, 37580, 57514
517, 7, 18599, 38908, 57514
523, 7, 18254, 39253, 57514
529, 8, 17715, 39791, 57514
535, 8, 16793, 40713, 57514
541, 9, 16187, 41318, 57514
547, 10, 14838, 42666, 57514
553, 10, 13713, 43791, 57514
559, 13, 12595, 44906, 57514
565, 12, 11364, 46138, 57514
571, 11, 11842, 45661, 57514
577, 11, 11420, 46083, 57514
583, 10, 10511, 46993, 57514
589, 11, 9781, 47722, 57514
595, 10, 9366, 48138, 57514
601, 8, 8988, 48518, 57514
607, 8, 8897, 48609, 57514
613, 6, 8711, 48797, 57514
619, 7, 8597, 48910, 57514
625, 7, 8436, 49071, 57514
631, 11, 8292, 49211, 57514
637, 9, 8099, 49406, 57514
643, 7, 7934, 49573, 57514
649, 8, 7909, 49597, 57514
655, 18, 51176, 6320, 57514
661, 19, 51206, 6289, 57514
667, 17, 51238, 6259, 57514
673, 15, 51241, 6258, 57514
679, 15, 51259, 6240, 57514
685, 15, 51249, 6250, 57514
691, 13, 51133, 6368, 57514
697, 9, 50977, 6528, 57514
703, 6, 50894, 6614, 57514
709, 5, 50770, 6739, 57514
715, 4, 50682, 6828, 57514
721, 6, 50661, 6847, 57514
727, 5, 42262, 15247, 57514
733, 7, 37172, 20335, 57514
739, 10, 32688, 24816, 57514
745, 9, 23120, 34385, 57514
751, 10, 20153, 37351, 57514
757, 10, 18287, 39217, 57514
763, 10, 17539, 39965, 57514
769, 9, 16200, 41305, 57514
775, 5, 15218, 42291, 57514
781, 11, 10960, 46543, 57514
787, 5, 8405, 49104, 57514
793, 4, 7429, 50081, 57514
799, 7, 7490, 50017, 57514
805, 6, 7470, 50038, 57514
811, 3, 7507, 50004, 57514
817, 5, 7651, 49858, 57514
823, 9, 42717, 14788, 57514
829, 8, 47451, 10055, 57514
835, 6, 49025, 8483, 57514
841, 7, 50604, 6903, 57514
847, 8, 51313, 6193, 57514
853, 6, 51602, 5906, 57514
859, 7, 51564, 5943, 57514
865, 13, 57010, 491, 57514
871, 9, 57401, 104, 57514
877, 10, 57401, 103, 57514
883, 8, 57403, 103, 57514
889, 7, 57401, 106, 57514
895, 6, 57402, 106, 57514
901, 6, 57433, 75, 57514
907, 11, 19332, 38171, 57514
913, 9, 10100, 47405, 57514
919, 7, 8170, 49337, 57514
925, 4, 7791, 49719, 57514
931, 6, 7975, 49533, 57514
937, 111, 7240, 50163, 57514
943, 108, 6990, 50416, 57514
949, 113, 7928, 49473, 57514
955, 84, 25230, 32200, 57514
961, 74, 10623, 46817, 57514
967, 66, 11175, 46273, 57514
973, 47, 16362, 41105, 57514
979, 32, 24262, 33220, 57514
985, 18, 33098, 24398, 57514
991, 4, 48935, 8575, 57514
997, 6, 48973, 8535, 57514
1003, 7, 49035, 8472, 57514
1009, 7, 49023, 8484, 57514
1015, 7, 49021, 8486, 57514
1021, 9, 48787, 8718, 57514
1027, 10, 48652, 8852, 57514
1033, 7, 45698, 11809, 57514
1039, 8, 44908, 12598, 57514
1045, 5, 40272, 17237, 57514
1051, 4, 32529, 24981, 57514
1057, 6, 28825, 28683, 57514
1063, 6, 22169, 35339, 57514
1069, 7, 19152, 38355, 57514
1075, 7, 15940, 41567, 57514
1081, 9, 14688, 42817, 57514
1087, 9, 12850, 44655, 57514
1093, 10, 11958, 45546, 57514
1099, 9, 10706, 46799, 57514
1105, 2130, 8654, 46730, 57514
1111, 2651, 8187, 46676, 57514
1117, 2817, 5775, 48922, 57514
1123, 3233, 6562, 47719, 57514
1129, 3368, 6044, 48102, 57514
1135, 3505, 5660, 48349, 57514
1141, 3751, 5328, 48435, 57514
1147, 3803, 4985, 48726, 57514
1153, 3936, 4529, 49049, 57514
1159, 3911, 27062, 26541, 57514
1165, 3739, 26514, 27261, 57514
1171, 3739, 24684, 29091, 57514
1177, 3692, 21176, 32646, 57514
1183, 3677, 19553, 34284, 57514
1189, 3592, 18465, 35457, 57514
1195, 3490, 18073, 35951, 57514
1201, 3475, 5436, 48603, 57514
1207, 3467, 3970, 50077, 57514
1213, 3668, 3585, 50261, 57514
1219, 3464, 3789, 50261, 57514
1225, 3473, 3779, 50262, 57514
1231, 3388, 3869, 50257, 57514
1237, 3331, 3893, 50290, 57514
1243, 3451, 5405, 48658, 57514
1249, 3475, 5461, 48578, 57514
1255, 3553, 5402, 48559, 57514
1261, 3503, 5451, 48560, 57514
1267, 3391, 5534, 48589, 57514
1273, 3472, 5423, 48619, 57514
1279, 3274, 5589, 48651, 57514
1285, 3583, 6798, 47133, 57514
1291, 3546, 7135, 46833, 57514
1297, 3685, 7027, 46802, 57514
1303, 3594, 7390, 46530, 57514
1309, 3561, 8045, 45908, 57514
1315, 3464, 10909, 43141, 57514
1321, 3532, 12164, 41818, 57514
1327, 3552, 36162, 17800, 57514
1333, 3537, 37554, 16423, 57514
1339, 3493, 37834, 16187, 57514
1345, 3574, 37667, 16273, 57514
1351, 3820, 37340, 16354, 57514
1357, 3701, 37095, 16718, 57514
1363, 3661, 36247, 17606, 57514
1369, 3605, 35743, 18166, 57514
1375, 3568, 35063, 18883, 57514
1381, 3596, 34315, 19603, 57514
1387, 3357, 33502, 20655, 57514
1393, 3193, 32652, 21669, 57514
1399, 3434, 24264, 29816, 57514
1405, 3408, 21049, 33057, 57514
1411, 3526, 18753, 35235, 57514
1417, 3679, 16542, 37293, 57514
1423, 3601, 14021, 39892, 57514
1429, 3639, 12291, 41584, 57514
1435, 3483, 10348, 43683, 57514
1441, 3583, 8864, 45067, 57514
1447, 3398, 8295, 45821, 57514
1453, 3545, 16236, 37733, 57514
1459, 3624, 15920, 37970, 57514
1465, 3415, 15809, 38290, 57514
1471, 3554, 15575, 38385, 57514
1477, 3644, 15436, 38434, 57514
1483, 3543, 15516, 38455, 57514
1489, 3621, 15445, 38448, 57514
1495, 3634, 46191, 7689, 57514
1501, 3600, 46881, 7033, 57514
1507, 3510, 47639, 6365, 57514
1513, 3501, 48316, 5697, 57514
1519, 3510, 48924, 5080, 57514
1525, 3590, 48120, 5804, 57514
1531, 3462, 46353, 7699, 57514
1537, 3611, 43860, 10043, 57514
1543, 3643, 42200, 11671, 57514
1549, 3541, 40980, 12993, 57514
1555, 3662, 39560, 14292, 57514
1561, 3370, 39261, 14883, 57514
1567, 3513, 32728, 21273, 57514
1573, 3440, 29383, 24691, 57514
1579, 3557, 31017, 22940, 57514
1585, 3626, 30090, 23798, 57514
1591, 3617, 29869, 24028, 57514
1597, 3546, 27923, 26045, 57514
1603, 3598, 28408, 25508, 57514
1609, 3705, 27569, 26240, 57514
1615, 3631, 26415, 27468, 57514
1621, 3674, 29842, 23998, 57514
1627, 3734, 27753, 26027, 57514
1633, 3556, 26338, 27620, 57514
1639, 3485, 25996, 28033, 57514
1645, 3405, 25941, 28168, 57514
1651, 3512, 25692, 28310, 57514
1657, 3473, 25710, 28331, 57514
1663, 3324, 50738, 3452, 57514
1669, 3409, 50722, 3383, 57514
1675, 3446, 51193, 2875, 57514
1681, 3503, 51639, 2372, 57514
1687, 3486, 51722, 2306, 57514
1693, 3359, 50500, 3655, 57514
1699, 3632, 48691, 5191, 57514
1705, 3640, 42516, 11358, 57514
1711, 3562, 41294, 12658, 57514
1717, 3664, 36906, 16944, 57514
1723, 3493, 35243, 18778, 57514
1729, 3508, 34601, 19405, 57514
1735, 3451, 24926, 29137, 57514
1741, 3506, 19716, 34292, 57514
1747, 3534, 18538, 35442, 57514
1753, 3468, 17259, 36787, 57514
1759, 3467, 14941, 39106, 57514
1765, 3535, 12757, 41222, 57514
1771, 3519, 11536, 42459, 57514
1777, 3643, 10215, 43656, 57514
1783, 3562, 8955, 44997, 57514
1789, 3699, 5550, 48265, 57514
1795, 3740, 4038, 49736, 57514
1801, 3690, 3730, 50094, 57514
1807, 3661, 3661, 50192, 57514
1813, 3766, 3537, 50211, 57514
1819, 3814, 3459, 50241, 57514
1825, 3675, 3602, 50237, 57514
1831, 3432, 30327, 23755, 57514
1837, 3414, 32381, 21719, 57514
1843, 3517, 32537, 21460, 57514
1849, 3790, 32247, 21477, 57514
1855, 3862, 32219, 21433, 57514
1861, 3766, 32203, 21545, 57514
1867, 3628, 32352, 21534, 57514
1873, 3468, 32766, 21280, 57514
1879, 3518, 32712, 21284, 57514
1885, 3722, 32507, 21285, 57514
