ts, default broker, EWIIS3, Bunnie, total
359, 57507, 0, 0, 57507
360, 57507, 0, 0, 57507
361, 6931, 180, 50396, 57507
367, 6897, 101, 50509, 57507
373, 6919, 90, 50498, 57507
379, 6903, 90, 50514, 57507
385, 6875, 83, 50549, 57507
391, 6898, 69, 50540, 57507
397, 6940, 59, 50508, 57507
403, 6966, 72, 50469, 57507
409, 6972, 69, 50466, 57507
415, 6996, 215, 50296, 57507
421, 7017, 157, 50333, 57507
427, 6944, 81, 50482, 57507
433, 6955, 76, 50476, 57507
439, 6836, 47, 50624, 57507
445, 6931, 63, 50513, 57507
451, 6966, 365, 50176, 57507
457, 6932, 260, 50315, 57507
463, 6929, 163, 50415, 57507
469, 6881, 159, 50467, 57507
475, 6841, 159, 50507, 57507
481, 6811, 128, 50568, 57507
487, 6843, 96, 50568, 57507
493, 6892, 94, 50521, 57507
499, 6908, 63, 50536, 57507
505, 6950, 61, 50496, 57507
511, 6914, 27, 50566, 57507
517, 6812, 26, 50669, 57507
523, 6708, 25, 50774, 57507
529, 6772, 25, 50710, 57507
535, 6724, 26, 50757, 57507
541, 6494, 25, 50988, 57507
547, 6611, 25, 50871, 57507
553, 6686, 25, 50796, 57507
559, 6747, 25, 50735, 57507
565, 6843, 24, 50640, 57507
571, 6869, 25, 50613, 57507
577, 6853, 25, 50629, 57507
583, 6792, 17, 50698, 57507
589, 6762, 17, 50728, 57507
595, 6863, 15, 50629, 57507
601, 6868, 15, 50624, 57507
607, 6933, 15, 50559, 57507
613, 6945, 14, 50548, 57507
619, 6875, 14, 50618, 57507
625, 6810, 16, 50681, 57507
631, 6848, 16, 50643, 57507
637, 6900, 17, 50590, 57507
643, 6962, 16, 50529, 57507
649, 6891, 15, 50601, 57507
655, 6869, 14, 50624, 57507
661, 6887, 14, 50606, 57507
667, 6904, 14, 50589, 57507
673, 6966, 14, 50527, 57507
679, 6915, 15, 50577, 57507
685, 6864, 16, 50627, 57507
691, 6921, 16, 50570, 57507
697, 6963, 16, 50528, 57507
703, 6913, 15, 50579, 57507
709, 6942, 15, 50550, 57507
715, 6982, 12, 50513, 57507
721, 6963, 15, 50529, 57507
727, 6879, 15, 50613, 57507
733, 6864, 15, 50628, 57507
739, 6860, 16, 50631, 57507
745, 6870, 16, 50621, 57507
751, 6843, 16, 50648, 57507
757, 6863, 16, 50628, 57507
763, 6727, 18, 50762, 57507
769, 6829, 18, 50660, 57507
775, 6820, 18, 50669, 57507
781, 6839, 15, 50653, 57507
787, 6838, 14, 50655, 57507
793, 6922, 13, 50572, 57507
799, 6940, 14, 50553, 57507
805, 6952, 14, 50541, 57507
811, 6978, 15, 50514, 57507
817, 6980, 15, 50512, 57507
823, 6960, 14, 50533, 57507
829, 6968, 14, 50525, 57507
835, 6878, 12, 50617, 57507
841, 6883, 14, 50610, 57507
847, 6914, 14, 50579, 57507
853, 6844, 15, 50648, 57507
859, 6881, 14, 50612, 57507
865, 6869, 15, 50623, 57507
871, 6910, 15, 50582, 57507
877, 6650, 15, 50842, 57507
883, 6640, 16, 50851, 57507
889, 6711, 15, 50781, 57507
895, 6772, 16, 50719, 57507
901, 6776, 16, 50715, 57507
907, 6799, 14, 50694, 57507
913, 6831, 14, 50662, 57507
919, 6834, 15, 50658, 57507
925, 6879, 16, 50612, 57507
931, 6892, 15, 50600, 57507
937, 6891, 14, 50602, 57507
943, 6879, 16, 50612, 57507
949, 6911, 14, 50582, 57507
955, 6959, 15, 50533, 57507
961, 6930, 14, 50563, 57507
967, 6885, 14, 50608, 57507
973, 6915, 12, 50580, 57507
979, 6894, 14, 50599, 57507
985, 6897, 14, 50596, 57507
991, 6879, 14, 50614, 57507
997, 6923, 14, 50570, 57507
1003, 6920, 14, 50573, 57507
1009, 6916, 14, 50577, 57507
1015, 6878, 13, 50616, 57507
1021, 6896, 13, 50598, 57507
1027, 6887, 16, 50604, 57507
1033, 6908, 18, 50581, 57507
1039, 6879, 18, 50610, 57507
1045, 6907, 17, 50583, 57507
1051, 6864, 17, 50626, 57507
1057, 6893, 17, 50597, 57507
1063, 6929, 16, 50562, 57507
1069, 6927, 16, 50564, 57507
1075, 6883, 15, 50609, 57507
1081, 6843, 15, 50649, 57507
1087, 6861, 15, 50631, 57507
1093, 6896, 16, 50595, 57507
1099, 6942, 15, 50550, 57507
1105, 6859, 15, 50633, 57507
1111, 6868, 15, 50624, 57507
1117, 6480, 16, 51011, 57507
1123, 6510, 16, 50981, 57507
1129, 6552, 16, 50939, 57507
1135, 6760, 16, 50731, 57507
1141, 6795, 17, 50695, 57507
1147, 6821, 16, 50670, 57507
1153, 6822, 16, 50669, 57507
1159, 6879, 15, 50613, 57507
1165, 6914, 15, 50578, 57507
1171, 6858, 14, 50635, 57507
1177, 6823, 15, 50669, 57507
1183, 6802, 16, 50689, 57507
1189, 6708, 16, 50783, 57507
1195, 6743, 16, 50748, 57507
1201, 6829, 16, 50662, 57507
1207, 6920, 15, 50572, 57507
1213, 6693, 15, 50799, 57507
1219, 6557, 15, 50935, 57507
1225, 6676, 16, 50815, 57507
1231, 6782, 16, 50709, 57507
1237, 6861, 16, 50630, 57507
1243, 6899, 16, 50592, 57507
1249, 6872, 15, 50620, 57507
1255, 6885, 16, 50606, 57507
1261, 6882, 17, 50608, 57507
1267, 6847, 16, 50644, 57507
1273, 6835, 16, 50656, 57507
1279, 6763, 15, 50729, 57507
1285, 6781, 16, 50710, 57507
1291, 6856, 17, 50634, 57507
1297, 6940, 16, 50551, 57507
1303, 6855, 16, 50636, 57507
1309, 6846, 16, 50645, 57507
1315, 6783, 17, 50707, 57507
1321, 6861, 18, 50628, 57507
1327, 6847, 16, 50644, 57507
1333, 6815, 15, 50677, 57507
1339, 6765, 16, 50726, 57507
1345, 6828, 15, 50664, 57507
1351, 6831, 13, 50663, 57507
1357, 6856, 15, 50636, 57507
1363, 6822, 17, 50668, 57507
1369, 6846, 18, 50643, 57507
1375, 6892, 17, 50598, 57507
1381, 6951, 18, 50538, 57507
1387, 6982, 18, 50507, 57507
1393, 7018, 18, 50471, 57507
1399, 6939, 16, 50552, 57507
1405, 6919, 15, 50573, 57507
1411, 6861, 15, 50631, 57507
1417, 6875, 15, 50617, 57507
1423, 6899, 15, 50593, 57507
1429, 6899, 15, 50593, 57507
1435, 6872, 15, 50620, 57507
1441, 6942, 15, 50550, 57507
1447, 6904, 16, 50587, 57507
1453, 6920, 16, 50571, 57507
1459, 6931, 16, 50560, 57507
1465, 6900, 16, 50591, 57507
1471, 6887, 16, 50604, 57507
1477, 6771, 15, 50721, 57507
1483, 6853, 16, 50638, 57507
1489, 6886, 16, 50605, 57507
1495, 6821, 17, 50669, 57507
1501, 6868, 17, 50622, 57507
1507, 6877, 16, 50614, 57507
1513, 6940, 16, 50551, 57507
1519, 6891, 15, 50601, 57507
1525, 6947, 15, 50545, 57507
1531, 6971, 15, 50521, 57507
1537, 6981, 17, 50509, 57507
1543, 7000, 18, 50489, 57507
1549, 7002, 18, 50487, 57507
1555, 6951, 15, 50541, 57507
1561, 6985, 13, 50509, 57507
1567, 6998, 13, 50496, 57507
1573, 6976, 13, 50518, 57507
1579, 6957, 14, 50536, 57507
1585, 6955, 15, 50537, 57507
1591, 6972, 16, 50519, 57507
1597, 6992, 17, 50498, 57507
1603, 6960, 17, 50530, 57507
1609, 6963, 16, 50528, 57507
1615, 6976, 14, 50517, 57507
1621, 7027, 16, 50464, 57507
1627, 7032, 16, 50459, 57507
1633, 7048, 16, 50443, 57507
1639, 7016, 15, 50476, 57507
1645, 6993, 15, 50499, 57507
1651, 6906, 15, 50586, 57507
1657, 6829, 13, 50665, 57507
1663, 6841, 14, 50652, 57507
1669, 6463, 13, 51031, 57507
1675, 6605, 15, 50887, 57507
1681, 6702, 15, 50790, 57507
1687, 6805, 15, 50687, 57507
1693, 6898, 16, 50593, 57507
1699, 6909, 16, 50582, 57507
1705, 6947, 16, 50544, 57507
1711, 6954, 16, 50537, 57507
1717, 6982, 15, 50510, 57507
1723, 7005, 14, 50488, 57507
1729, 6986, 16, 50505, 57507
1735, 6993, 17, 50497, 57507
1741, 7120, 50387, 0, 57507
1747, 7120, 50387, 0, 57507
1753, 7150, 50357, 0, 57507
1759, 7151, 50356, 0, 57507
1765, 7121, 50386, 0, 57507
1771, 7120, 50387, 0, 57507
1777, 7120, 50387, 0, 57507
1783, 7121, 50386, 0, 57507
1789, 7121, 50386, 0, 57507
1795, 7122, 50385, 0, 57507
1801, 7121, 50386, 0, 57507
1807, 7122, 50385, 0, 57507
1813, 7122, 50385, 0, 57507
1819, 7122, 50385, 0, 57507
1825, 7122, 50385, 0, 57507
1831, 7124, 50383, 0, 57507
1837, 7122, 50385, 0, 57507
1843, 7121, 50386, 0, 57507
1849, 7122, 50385, 0, 57507
1855, 7123, 50384, 0, 57507
1861, 7123, 50384, 0, 57507
1867, 7121, 50386, 0, 57507
1873, 7119, 50388, 0, 57507
1879, 7120, 50387, 0, 57507
1885, 7120, 50387, 0, 57507
1891, 7122, 50385, 0, 57507
1897, 7122, 50385, 0, 57507
1903, 7120, 50387, 0, 57507
1909, 7122, 50385, 0, 57507
1915, 7122, 50385, 0, 57507
1921, 7151, 50356, 0, 57507
1927, 7150, 50357, 0, 57507
1933, 7119, 50388, 0, 57507
1939, 7119, 50388, 0, 57507
1945, 7118, 50389, 0, 57507
1951, 7119, 50388, 0, 57507
1957, 7120, 50387, 0, 57507
1963, 7121, 50386, 0, 57507
1969, 7120, 50387, 0, 57507
1975, 7121, 50386, 0, 57507
1981, 7120, 50387, 0, 57507
1987, 7120, 50387, 0, 57507
1993, 7120, 50387, 0, 57507
1999, 7149, 50358, 0, 57507
2005, 7119, 50388, 0, 57507
2011, 7119, 50388, 0, 57507
2017, 7117, 50390, 0, 57507
2023, 7119, 50388, 0, 57507
2029, 7119, 50388, 0, 57507
2035, 7121, 50386, 0, 57507
2041, 7121, 50386, 0, 57507
2047, 7122, 50385, 0, 57507
2053, 7121, 50386, 0, 57507
2059, 7122, 50385, 0, 57507
2065, 7123, 50384, 0, 57507
2071, 7123, 50384, 0, 57507
2077, 7122, 50385, 0, 57507
2083, 7122, 50385, 0, 57507
2089, 7121, 50386, 0, 57507
2095, 7121, 50386, 0, 57507
2101, 7183, 50324, 0, 57507
2107, 7123, 50384, 0, 57507
