ts, default broker, COLDPower18, Bunnie, total
359, 57518, 0, 0, 57518
360, 57518, 0, 0, 57518
361, 7046, 0, 50472, 57518
367, 7015, 0, 50503, 57518
373, 6901, 0, 50617, 57518
379, 6927, 0, 50591, 57518
385, 6856, 0, 50662, 57518
391, 6901, 0, 50617, 57518
397, 6921, 0, 50597, 57518
403, 6963, 0, 50555, 57518
409, 6963, 0, 50555, 57518
415, 6950, 0, 50568, 57518
421, 6839, 0, 50679, 57518
427, 6910, 0, 50608, 57518
433, 6947, 0, 50571, 57518
439, 6928, 0, 50590, 57518
445, 6939, 0, 50579, 57518
451, 6945, 0, 50573, 57518
457, 6951, 0, 50567, 57518
463, 6887, 0, 50631, 57518
469, 6980, 0, 50538, 57518
475, 6925, 0, 50593, 57518
481, 6955, 0, 50563, 57518
487, 6981, 0, 50537, 57518
493, 6941, 0, 50577, 57518
499, 6875, 0, 50643, 57518
505, 6862, 0, 50656, 57518
511, 6930, 0, 50588, 57518
517, 6960, 0, 50558, 57518
523, 7001, 0, 50517, 57518
529, 6978, 0, 50540, 57518
535, 6999, 0, 50519, 57518
541, 7020, 0, 50498, 57518
547, 7006, 0, 50512, 57518
553, 6974, 0, 50544, 57518
559, 6997, 0, 50521, 57518
565, 7020, 0, 50498, 57518
571, 6989, 0, 50529, 57518
577, 6971, 0, 50547, 57518
583, 6965, 0, 50553, 57518
589, 6835, 0, 50683, 57518
595, 6789, 0, 50729, 57518
601, 6822, 0, 50696, 57518
607, 6816, 0, 50702, 57518
613, 6730, 0, 50788, 57518
619, 6678, 0, 50840, 57518
625, 6678, 0, 50840, 57518
631, 6766, 0, 50752, 57518
637, 6809, 0, 50709, 57518
643, 6834, 0, 50684, 57518
649, 6879, 0, 50639, 57518
655, 6866, 0, 50652, 57518
661, 6967, 0, 50551, 57518
667, 6948, 0, 50570, 57518
673, 6970, 0, 50548, 57518
679, 6936, 0, 50582, 57518
685, 6598, 0, 50920, 57518
