ts, default broker, AgentUDE, Bunnie, total
359, 57514, 0, 0, 57514
360, 57514, 0, 0, 57514
361, 6926, 20046, 30542, 57514
367, 6937, 20045, 30532, 57514
373, 6895, 23429, 27190, 57514
379, 6966, 24807, 25741, 57514
385, 6901, 26969, 23644, 57514
391, 6919, 28483, 22112, 57514
397, 6808, 29845, 20861, 57514
403, 6639, 35314, 15561, 57514
409, 6622, 39724, 11168, 57514
415, 6654, 41277, 9583, 57514
421, 6665, 43709, 7140, 57514
427, 6723, 45556, 5235, 57514
433, 6762, 46563, 4189, 57514
439, 6827, 47393, 3294, 57514
445, 6878, 46974, 3662, 57514
451, 6920, 47740, 2854, 57514
457, 6902, 48179, 2433, 57514
463, 6868, 48704, 1942, 57514
469, 6889, 48916, 1709, 57514
475, 6860, 49218, 1436, 57514
481, 6900, 49490, 1124, 57514
487, 6884, 46568, 4062, 57514
493, 6816, 46680, 4018, 57514
499, 6819, 48028, 2667, 57514
505, 6833, 48770, 1911, 57514
511, 6885, 48893, 1736, 57514
517, 6462, 49242, 1810, 57514
523, 6443, 49441, 1630, 57514
529, 6506, 48113, 2895, 57514
535, 6732, 48109, 2673, 57514
541, 6740, 48655, 2119, 57514
547, 6676, 48874, 1964, 57514
553, 6702, 49000, 1812, 57514
559, 6836, 49292, 1386, 57514
565, 6906, 49425, 1183, 57514
571, 6886, 49477, 1151, 57514
577, 6845, 49649, 1020, 57514
583, 6801, 49820, 893, 57514
589, 6827, 49942, 745, 57514
595, 6863, 49949, 702, 57514
601, 6891, 49867, 756, 57514
607, 6880, 49484, 1150, 57514
613, 6477, 45798, 5239, 57514
619, 6535, 45264, 5715, 57514
625, 6759, 45623, 5132, 57514
631, 6789, 45641, 5084, 57514
637, 6832, 45955, 4727, 57514
643, 6852, 46615, 4047, 57514
649, 6840, 47265, 3409, 57514
655, 6906, 46131, 4477, 57514
661, 6934, 45906, 4674, 57514
667, 6929, 46531, 4054, 57514
673, 6879, 47194, 3441, 57514
679, 6803, 47760, 2951, 57514
685, 6854, 48361, 2299, 57514
691, 6871, 48735, 1908, 57514
697, 6934, 41647, 8933, 57514
703, 6950, 41635, 8929, 57514
709, 6962, 43341, 7211, 57514
715, 6945, 44511, 6058, 57514
721, 6974, 45059, 5481, 57514
727, 6903, 45705, 4906, 57514
733, 6759, 46735, 4020, 57514
739, 6893, 45376, 5245, 57514
745, 6809, 46355, 4350, 57514
751, 6929, 47107, 3478, 57514
757, 6941, 47580, 2993, 57514
763, 6880, 48106, 2528, 57514
769, 6912, 48466, 2136, 57514
775, 6960, 48716, 1838, 57514
781, 7007, 41365, 9142, 57514
787, 7034, 41613, 8867, 57514
793, 6972, 42962, 7580, 57514
799, 6981, 43774, 6759, 57514
805, 6978, 44769, 5767, 57514
811, 6942, 46006, 4566, 57514
817, 6928, 46579, 4007, 57514
823, 6939, 46054, 4521, 57514
829, 6954, 47134, 3426, 57514
835, 6914, 47400, 3200, 57514
841, 6791, 47911, 2812, 57514
847, 6804, 47859, 2851, 57514
853, 6801, 47648, 3065, 57514
859, 6749, 48300, 2465, 57514
865, 6730, 40351, 10433, 57514
871, 6870, 37302, 13342, 57514
877, 6720, 36940, 13854, 57514
883, 6806, 38225, 12483, 57514
889, 6877, 39292, 11345, 57514
895, 6907, 38233, 12374, 57514
901, 6892, 38187, 12435, 57514
907, 6846, 38399, 12269, 57514
913, 6809, 38564, 12141, 57514
919, 6806, 37926, 12782, 57514
925, 6825, 37071, 13618, 57514
931, 6905, 36927, 13682, 57514
937, 6940, 37180, 13394, 57514
943, 6931, 37060, 13523, 57514
949, 6962, 28552, 22000, 57514
955, 6965, 26984, 23565, 57514
961, 6944, 26542, 24028, 57514
967, 6921, 25828, 24765, 57514
973, 6973, 26842, 23699, 57514
979, 6951, 26334, 24229, 57514
985, 6843, 26034, 24637, 57514
991, 6922, 14633, 35959, 57514
997, 6889, 16478, 34147, 57514
1003, 6885, 19310, 31319, 57514
1009, 6793, 20280, 30441, 57514
1015, 6814, 19453, 31247, 57514
1021, 6850, 20791, 29873, 57514
1027, 6836, 20344, 30334, 57514
1033, 6860, 18117, 32537, 57514
1039, 6890, 19220, 31404, 57514
1045, 6840, 21925, 28749, 57514
1051, 6751, 24801, 25962, 57514
1057, 6772, 28087, 22655, 57514
1063, 6806, 28230, 22478, 57514
1069, 6612, 29952, 20950, 57514
1075, 6697, 15130, 35687, 57514
1081, 6839, 15129, 35546, 57514
1087, 6854, 14613, 36047, 57514
1093, 6907, 16305, 34302, 57514
1099, 6879, 16578, 34057, 57514
1105, 6946, 17657, 32911, 57514
1111, 6924, 16865, 33725, 57514
1117, 6973, 16230, 34311, 57514
1123, 6908, 19221, 31385, 57514
1129, 6892, 22219, 28403, 57514
1135, 6915, 22111, 28488, 57514
1141, 6806, 21693, 29015, 57514
1147, 6771, 23813, 26930, 57514
1153, 6775, 23901, 26838, 57514
1159, 6808, 26730, 23976, 57514
1165, 6853, 29224, 21437, 57514
1171, 6910, 31571, 19033, 57514
1177, 6989, 34639, 15886, 57514
1183, 6895, 35111, 15508, 57514
1189, 6928, 36427, 14159, 57514
1195, 6888, 36559, 14067, 57514
1201, 6903, 35422, 15189, 57514
1207, 6964, 36678, 13872, 57514
1213, 6834, 40380, 10300, 57514
1219, 6899, 41806, 8809, 57514
1225, 6933, 43500, 7081, 57514
1231, 6797, 44821, 5896, 57514
1237, 6894, 45993, 4627, 57514
1243, 6914, 43700, 6900, 57514
1249, 6928, 44295, 6291, 57514
1255, 6855, 45660, 4999, 57514
1261, 6766, 47273, 3475, 57514
1267, 6681, 47523, 3310, 57514
1273, 6780, 47765, 2969, 57514
1279, 6870, 47976, 2668, 57514
1285, 6939, 44448, 6127, 57514
1291, 6962, 44917, 5635, 57514
1297, 6895, 46245, 4374, 57514
1303, 6917, 47492, 3105, 57514
1309, 6955, 47939, 2620, 57514
1315, 6995, 48068, 2451, 57514
1321, 6946, 48337, 2231, 57514
1327, 6877, 47312, 3325, 57514
1333, 6822, 47989, 2703, 57514
1339, 6820, 48602, 2092, 57514
1345, 6765, 48928, 1821, 57514
1351, 6834, 49320, 1360, 57514
1357, 6837, 49460, 1217, 57514
1363, 6886, 49681, 947, 57514
1369, 6846, 44758, 5910, 57514
1375, 6845, 43562, 7107, 57514
1381, 6878, 43507, 7129, 57514
1387, 6871, 42145, 8498, 57514
1393, 6851, 42250, 8413, 57514
1399, 6799, 42093, 8622, 57514
1405, 6781, 41534, 9199, 57514
1411, 6863, 38378, 12273, 57514
1417, 6868, 39756, 10890, 57514
1423, 6828, 41194, 9492, 57514
1429, 6855, 42609, 8050, 57514
1435, 6734, 44229, 6551, 57514
1441, 6821, 45056, 5637, 57514
1447, 6925, 45710, 4879, 57514
1453, 6954, 42782, 7778, 57514
1459, 6931, 43570, 7013, 57514
1465, 6905, 44913, 5696, 57514
1471, 6918, 46011, 4585, 57514
1477, 6934, 47152, 3428, 57514
1483, 6894, 47572, 3048, 57514
1489, 6917, 48258, 2339, 57514
1495, 6933, 38486, 12095, 57514
1501, 6970, 38845, 11699, 57514
1507, 7003, 40591, 9920, 57514
1513, 7003, 42022, 8489, 57514
1519, 6945, 42403, 8166, 57514
1525, 6957, 43362, 7195, 57514
1531, 6949, 44185, 6380, 57514
1537, 6943, 35300, 15271, 57514
1543, 6940, 36112, 14462, 57514
1549, 6967, 37489, 13058, 57514
1555, 6984, 40162, 10368, 57514
1561, 6925, 42188, 8401, 57514
1567, 6954, 43530, 7030, 57514
1573, 6960, 44299, 6255, 57514
1579, 6917, 31746, 18851, 57514
1585, 6952, 32335, 18227, 57514
1591, 6902, 32947, 17665, 57514
1597, 6799, 34629, 16086, 57514
1603, 6630, 35858, 15026, 57514
1609, 6672, 38050, 12792, 57514
1615, 6813, 39672, 11029, 57514
1621, 6809, 39955, 10750, 57514
1627, 6840, 42436, 8238, 57514
1633, 6828, 43876, 6810, 57514
1639, 6887, 44964, 5663, 57514
1645, 6911, 46496, 4107, 57514
1651, 6878, 46734, 3902, 57514
1657, 6874, 47682, 2958, 57514
1663, 6938, 41053, 9523, 57514
1669, 6903, 41592, 9019, 57514
1675, 6913, 42218, 8383, 57514
1681, 6899, 43952, 6663, 57514
1687, 6758, 45250, 5506, 57514
1693, 6800, 46359, 4355, 57514
1699, 6807, 47099, 3608, 57514
1705, 6852, 44810, 5852, 57514
1711, 6895, 45839, 4780, 57514
1717, 6934, 46723, 3857, 57514
1723, 6998, 47197, 3319, 57514
1729, 6983, 47661, 2870, 57514
1735, 6963, 48640, 1911, 57514
1741, 6949, 49127, 1438, 57514
1747, 6951, 38904, 11659, 57514
1753, 6975, 39104, 11435, 57514
1759, 6994, 41135, 9385, 57514
1765, 7015, 43063, 7436, 57514
1771, 7015, 44295, 6204, 57514
1777, 7023, 44463, 6028, 57514
1783, 7000, 45066, 5448, 57514
1789, 7023, 43338, 7153, 57514
1795, 6900, 44773, 5841, 57514
1801, 6908, 45283, 5323, 57514
1807, 6881, 46459, 4174, 57514
1813, 6896, 47231, 3387, 57514
1819, 6896, 47876, 2742, 57514
1825, 6883, 48231, 2400, 57514
1831, 6903, 38852, 11759, 57514
1837, 6896, 39195, 11423, 57514
1843, 6792, 41049, 9673, 57514
