ts, default broker, CrocodileAgent, AgentUDE, total
359, 57517, 0, 0, 57517
360, 57517, 0, 0, 57517
361, 6793, 16010, 34714, 57517
367, 6904, 15893, 34720, 57517
373, 6591, 16204, 34722, 57517
379, 6552, 16239, 34726, 57517
385, 6681, 16112, 34724, 57517
391, 6739, 16053, 34725, 57517
397, 6927, 15866, 34724, 57517
403, 6970, 16266, 34281, 57517
409, 7004, 16290, 34223, 57517
415, 6997, 16295, 34225, 57517
421, 7031, 16258, 34228, 57517
427, 6956, 16331, 34230, 57517
433, 6928, 11571, 39018, 57517
439, 6968, 9141, 41408, 57517
445, 6919, 14370, 36228, 57517
451, 6860, 15520, 35137, 57517
457, 6853, 15541, 35123, 57517
463, 6943, 15816, 34758, 57517
469, 6970, 17179, 33368, 57517
475, 6951, 22213, 28353, 57517
481, 6878, 27996, 22643, 57517
487, 6907, 48438, 2172, 57517
493, 6902, 50160, 455, 57517
499, 6840, 50287, 390, 57517
505, 6867, 50258, 392, 57517
511, 6923, 50179, 415, 57517
517, 6959, 49909, 649, 57517
523, 6967, 49512, 1038, 57517
529, 6980, 48778, 1759, 57517
535, 6941, 47243, 3333, 57517
541, 6977, 43846, 6694, 57517
547, 6950, 38374, 12193, 57517
553, 6958, 33821, 16738, 57517
559, 6916, 25797, 24804, 57517
565, 6797, 20377, 30343, 57517
571, 6864, 16023, 34630, 57517
577, 6776, 11672, 39069, 57517
583, 6842, 10115, 40560, 57517
589, 6868, 8246, 42403, 57517
595, 6879, 7026, 43612, 57517
601, 6832, 6093, 44592, 57517
607, 6884, 5391, 45242, 57517
613, 6964, 18000, 32553, 57517
619, 6958, 19385, 31174, 57517
625, 6979, 20649, 29889, 57517
631, 6955, 23014, 27548, 57517
637, 7004, 28769, 21744, 57517
643, 6902, 33124, 17491, 57517
649, 6881, 36386, 14250, 57517
655, 6836, 50355, 326, 57517
661, 6876, 50312, 329, 57517
667, 6844, 50344, 329, 57517
673, 6862, 50325, 330, 57517
679, 6779, 50378, 360, 57517
685, 6753, 50369, 395, 57517
691, 6759, 48877, 1881, 57517
697, 6869, 48492, 2156, 57517
703, 6913, 46677, 3927, 57517
709, 6817, 45119, 5581, 57517
715, 6786, 39332, 11399, 57517
721, 6823, 33408, 17286, 57517
727, 6848, 26505, 24164, 57517
733, 6802, 24368, 26347, 57517
739, 6893, 26808, 23816, 57517
745, 6962, 25506, 25049, 57517
751, 6969, 23890, 26658, 57517
757, 7013, 20253, 30251, 57517
763, 6959, 18255, 32303, 57517
769, 6939, 16638, 33940, 57517
775, 6938, 16349, 34230, 57517
781, 6833, 35942, 14742, 57517
787, 6772, 40477, 10268, 57517
793, 6764, 42524, 8229, 57517
799, 6774, 44403, 6340, 57517
805, 6807, 45574, 5136, 57517
811, 6796, 46838, 3883, 57517
817, 6827, 47382, 3308, 57517
823, 6747, 50426, 344, 57517
829, 6746, 50575, 196, 57517
835, 6706, 50613, 198, 57517
841, 6774, 50553, 190, 57517
847, 6717, 50609, 191, 57517
853, 6742, 50582, 193, 57517
859, 6704, 50492, 321, 57517
865, 6727, 47403, 3387, 57517
871, 6729, 44670, 6118, 57517
877, 6843, 35909, 14765, 57517
883, 6852, 30216, 20449, 57517
889, 6886, 25183, 25448, 57517
895, 6908, 18343, 32266, 57517
901, 6629, 13911, 36977, 57517
907, 6717, 10847, 39953, 57517
913, 6723, 8109, 42685, 57517
919, 6819, 6762, 43936, 57517
925, 6880, 5701, 44936, 57517
931, 6847, 4196, 46474, 57517
937, 6891, 2790, 47836, 57517
943, 6899, 3107, 47511, 57517
949, 6932, 8170, 42415, 57517
955, 6954, 10281, 40282, 57517
961, 6931, 10425, 40161, 57517
967, 6951, 10409, 40157, 57517
973, 6890, 10849, 39778, 57517
979, 6892, 13883, 36742, 57517
985, 6933, 18196, 32388, 57517
991, 6887, 47377, 3253, 57517
997, 6892, 50132, 493, 57517
1003, 6939, 50292, 286, 57517
1009, 6849, 50406, 262, 57517
1015, 6867, 50376, 274, 57517
1021, 6930, 50292, 295, 57517
1027, 6962, 49771, 784, 57517
1033, 6940, 49010, 1567, 57517
1039, 6913, 47196, 3408, 57517
1045, 6938, 44964, 5615, 57517
1051, 6857, 43016, 7644, 57517
1057, 6891, 39611, 11015, 57517
1063, 6925, 33332, 17260, 57517
1069, 6817, 27383, 23317, 57517
1075, 6840, 23725, 26952, 57517
1081, 6870, 18143, 32504, 57517
1087, 6864, 13079, 37574, 57517
1093, 6884, 9538, 41095, 57517
1099, 6919, 6230, 44368, 57517
1105, 6827, 4315, 46375, 57517
1111, 6801, 3791, 46925, 57517
1117, 6806, 3863, 46848, 57517
1123, 6860, 3633, 47024, 57517
1129, 6843, 3556, 47118, 57517
1135, 6753, 3681, 47083, 57517
1141, 6790, 3652, 47075, 57517
1147, 6806, 3734, 46977, 57517
1153, 6811, 3880, 46826, 57517
1159, 6827, 47429, 3261, 57517
1165, 6847, 50154, 516, 57517
1171, 6837, 50303, 377, 57517
1177, 6886, 50251, 380, 57517
1183, 6919, 50223, 375, 57517
1189, 6938, 50152, 427, 57517
1195, 6984, 49959, 574, 57517
1201, 7002, 49207, 1308, 57517
1207, 6860, 48957, 1700, 57517
1213, 6811, 48536, 2170, 57517
1219, 6898, 48244, 2375, 57517
1225, 6895, 47828, 2794, 57517
1231, 6863, 37722, 12932, 57517
1237, 6925, 27058, 23534, 57517
1243, 6885, 17510, 33122, 57517
1249, 6919, 13604, 36994, 57517
1255, 6936, 9545, 41036, 57517
1261, 6810, 8163, 42544, 57517
1267, 6780, 6105, 44632, 57517
1273, 6838, 5134, 45545, 57517
1279, 6722, 5401, 45394, 57517
1285, 6719, 3984, 46814, 57517
1291, 6806, 3100, 47611, 57517
1297, 6837, 2704, 47976, 57517
1303, 6934, 2248, 48335, 57517
1309, 6982, 2182, 48353, 57517
1315, 6881, 2291, 48345, 57517
1321, 6925, 2779, 47813, 57517
1327, 6858, 46574, 4085, 57517
1333, 6793, 48854, 1870, 57517
1339, 6725, 49312, 1480, 57517
1345, 6793, 49414, 1310, 57517
1351, 6768, 49659, 1090, 57517
1357, 6801, 49617, 1099, 57517
1363, 6825, 49404, 1288, 57517
1369, 6920, 48840, 1757, 57517
1375, 6954, 48204, 2359, 57517
1381, 6975, 47925, 2617, 57517
1387, 6903, 47842, 2772, 57517
1393, 6858, 47605, 3054, 57517
1399, 6839, 35073, 15605, 57517
1405, 6809, 25881, 24827, 57517
1411, 6836, 24259, 26422, 57517
1417, 6879, 16899, 33739, 57517
1423, 6907, 14018, 36592, 57517
1429, 6915, 12455, 38147, 57517
1435, 6962, 9532, 41023, 57517
1441, 6859, 8854, 41804, 57517
1447, 6845, 8242, 42430, 57517
1453, 6655, 6197, 44665, 57517
1459, 6694, 7262, 43561, 57517
1465, 6694, 11342, 39481, 57517
1471, 6790, 19283, 31444, 57517
1477, 6887, 24246, 26384, 57517
1483, 6885, 26871, 23761, 57517
1489, 6911, 32803, 17803, 57517
1495, 6889, 47878, 2750, 57517
1501, 6721, 49654, 1142, 57517
1507, 6710, 50176, 631, 57517
1513, 6702, 50273, 542, 57517
1519, 6755, 50168, 594, 57517
1525, 6660, 49610, 1247, 57517
1531, 6659, 49150, 1708, 57517
1537, 6612, 45958, 4947, 57517
1543, 6701, 40563, 10253, 57517
1549, 6910, 37867, 12740, 57517
1555, 6961, 32411, 18145, 57517
1561, 6923, 28725, 21869, 57517
1567, 6951, 17895, 32671, 57517
