ts, default broker, VidyutVanika, EWIIS3, total
359, 57513, 0, 0, 57513
360, 57513, 0, 0, 57513
361, 11, 56927, 575, 57513
367, 11, 57135, 367, 57513
373, 10, 57189, 314, 57513
379, 11, 57190, 312, 57513
385, 9, 57220, 284, 57513
391, 9, 57247, 257, 57513
397, 8, 57283, 222, 57513
403, 8, 57284, 221, 57513
409, 8, 57279, 226, 57513
415, 8, 57274, 231, 57513
421, 8, 57284, 221, 57513
427, 7, 57283, 223, 57513
433, 8, 52670, 4835, 57513
439, 9, 49121, 8383, 57513
445, 9, 46400, 11104, 57513
451, 9, 45534, 11970, 57513
457, 7, 43584, 13922, 57513
463, 7, 45594, 11912, 57513
469, 8, 47935, 9570, 57513
475, 9, 48474, 9030, 57513
481, 9, 50186, 7318, 57513
487, 11, 51201, 6301, 57513
493, 11, 52108, 5394, 57513
499, 11, 52639, 4863, 57513
505, 10, 53372, 4131, 57513
511, 10, 53978, 3525, 57513
517, 9, 54812, 2692, 57513
523, 9, 55301, 2203, 57513
529, 8, 55578, 1927, 57513
535, 8, 55790, 1715, 57513
541, 7, 55909, 1597, 57513
547, 8, 56178, 1327, 57513
553, 8, 56279, 1226, 57513
559, 9, 56397, 1107, 57513
565, 8, 56594, 911, 57513
571, 9, 56614, 890, 57513
577, 9, 56613, 891, 57513
583, 12, 56638, 863, 57513
589, 11, 56633, 869, 57513
595, 12, 56637, 864, 57513
601, 11, 56658, 844, 57513
607, 10, 56691, 812, 57513
613, 11, 56751, 751, 57513
619, 10, 56832, 671, 57513
625, 9, 56933, 571, 57513
631, 9, 57076, 428, 57513
637, 9, 57136, 368, 57513
643, 9, 57167, 337, 57513
649, 9, 57167, 337, 57513
655, 10, 57167, 336, 57513
661, 9, 57167, 337, 57513
667, 9, 57165, 339, 57513
673, 8, 57224, 281, 57513
679, 8, 57223, 282, 57513
685, 9, 57264, 240, 57513
691, 10, 57287, 216, 57513
697, 9, 57287, 217, 57513
703, 23, 57274, 216, 57513
709, 44, 57291, 178, 57513
715, 49, 57287, 177, 57513
721, 21, 57338, 154, 57513
727, 13, 57346, 154, 57513
733, 11, 57348, 154, 57513
739, 7, 57369, 137, 57513
745, 7, 57369, 137, 57513
751, 7, 57367, 139, 57513
757, 7, 57361, 145, 57513
763, 7, 57367, 139, 57513
769, 8, 57369, 136, 57513
775, 8, 57372, 133, 57513
781, 8, 57368, 137, 57513
787, 9, 57372, 132, 57513
793, 9, 57375, 129, 57513
799, 9, 57375, 129, 57513
805, 9, 57376, 128, 57513
811, 9, 57376, 128, 57513
817, 10, 57375, 128, 57513
823, 10, 57372, 131, 57513
829, 8, 57374, 131, 57513
835, 9, 57376, 128, 57513
841, 9, 57377, 127, 57513
847, 8, 57377, 128, 57513
853, 8, 57377, 128, 57513
859, 9, 57378, 126, 57513
865, 1, 57406, 106, 57513
871, 1, 57416, 96, 57513
877, 0, 57418, 95, 57513
883, 0, 57438, 75, 57513
889, 0, 57439, 74, 57513
895, 1, 57459, 53, 57513
901, 1, 57462, 50, 57513
907, 0, 57463, 50, 57513
913, 2159, 55303, 51, 57513
919, 2556, 54904, 53, 57513
925, 2843, 54613, 57, 57513
931, 3576, 53881, 56, 57513
937, 3632, 53827, 54, 57513
943, 3457, 54006, 50, 57513
949, 3441, 54023, 49, 57513
955, 3474, 53993, 46, 57513
961, 3503, 53962, 48, 57513
967, 3436, 54030, 47, 57513
973, 3147, 54320, 46, 57513
979, 3126, 54339, 48, 57513
985, 3120, 54344, 49, 57513
991, 3296, 54168, 49, 57513
997, 3585, 53879, 49, 57513
1003, 3763, 53701, 49, 57513
1009, 3719, 53745, 49, 57513
1015, 3593, 53871, 49, 57513
1021, 3605, 53857, 51, 57513
1027, 3604, 53858, 51, 57513
1033, 3777, 53686, 50, 57513
1039, 3769, 53695, 49, 57513
1045, 3618, 53846, 49, 57513
1051, 3564, 53901, 48, 57513
1057, 3450, 54015, 48, 57513
1063, 3559, 53906, 48, 57513
1069, 3628, 53838, 47, 57513
1075, 3589, 53879, 45, 57513
1081, 3585, 53879, 49, 57513
1087, 3603, 53786, 124, 57513
1093, 3485, 53907, 121, 57513
1099, 3368, 54028, 117, 57513
1105, 3500, 53928, 85, 57513
1111, 3589, 53840, 84, 57513
1117, 3632, 53799, 82, 57513
1123, 3583, 53849, 81, 57513
1129, 3382, 54047, 84, 57513
1135, 3230, 54201, 82, 57513
1141, 3124, 54341, 48, 57513
1147, 3297, 54168, 48, 57513
1153, 3361, 54102, 50, 57513
1159, 3402, 54060, 51, 57513
1165, 3382, 54078, 53, 57513
1171, 3465, 53996, 52, 57513
1177, 3502, 53957, 54, 57513
1183, 3397, 54061, 55, 57513
1189, 3473, 53986, 54, 57513
1195, 3490, 53972, 51, 57513
1201, 3424, 54038, 51, 57513
1207, 3647, 53815, 51, 57513
1213, 3659, 53797, 57, 57513
1219, 3539, 53917, 57, 57513
1225, 3421, 54036, 56, 57513
1231, 3414, 54043, 56, 57513
1237, 3475, 53980, 58, 57513
1243, 3705, 53751, 57, 57513
1249, 3615, 53842, 56, 57513
1255, 3517, 53934, 62, 57513
1261, 3603, 53846, 64, 57513
1267, 3596, 53856, 61, 57513
1273, 3608, 53850, 55, 57513
1279, 3574, 53883, 56, 57513
1285, 3633, 53823, 57, 57513
