ts, default broker, CrocodileAgent, SPOT, COLDPower18, EWIIS3, VidyutVanika, AgentUDE, Bunnie, total
359, 57508, 0, 0, 0, 0, 0, 0, 0, 57508
360, 57508, 0, 0, 0, 0, 0, 0, 0, 57508
361, 3, 486, 3, 0, 22, 8063, 12845, 36086, 57508
367, 0, 483, 4, 0, 16, 8075, 12847, 36083, 57508
373, 2, 597, 4, 0, 18, 13354, 16854, 26679, 57508
379, 4, 1274, 5, 0, 13, 18025, 20048, 18139, 57508
385, 4, 1630, 4, 0, 16, 20027, 20757, 15070, 57508
391, 14, 2127, 3, 0, 17, 20531, 20946, 13870, 57508
397, 15, 2272, 15, 0, 16, 21185, 21690, 12315, 57508
403, 15, 2566, 23, 0, 48, 21597, 22026, 11233, 57508
409, 13, 2736, 28, 0, 47, 22078, 22220, 10386, 57508
415, 11, 2860, 28, 0, 41, 22289, 22588, 9691, 57508
421, 15, 2864, 21, 0, 39, 22277, 22784, 9508, 57508
427, 14, 2867, 24, 0, 41, 22303, 21675, 10584, 57508
433, 6, 2765, 29, 0, 18, 21536, 18636, 14518, 57508
439, 2, 2632, 31, 0, 22, 21415, 14310, 19096, 57508
445, 3, 2451, 27, 0, 17, 16473, 10466, 28071, 57508
451, 0, 1944, 25, 0, 23, 11791, 14397, 29328, 57508
457, 1, 1745, 23, 0, 24, 9794, 20157, 25764, 57508
463, 3, 1556, 19, 0, 7, 9048, 23435, 23440, 57508
469, 1, 1223, 17, 0, 11, 8561, 27883, 19812, 57508
475, 2, 970, 11, 0, 11, 7973, 32086, 16455, 57508
481, 3, 747, 10, 0, 11, 7504, 35495, 13738, 57508
487, 0, 520, 5, 0, 14, 7535, 14872, 34562, 57508
493, 16, 430, 1, 0, 14, 7226, 14719, 35102, 57508
499, 13, 299, 23, 0, 8, 7271, 18071, 31823, 57508
505, 13, 268, 17, 0, 11, 7202, 21699, 28298, 57508
511, 14, 191, 20, 0, 12, 7243, 22255, 27773, 57508
517, 10, 162, 23, 0, 11, 7325, 23533, 26444, 57508
523, 6, 138, 24, 0, 12, 7423, 24524, 25381, 57508
529, 1, 103, 25, 0, 14, 7758, 4552, 45055, 57508
535, 4, 168, 26, 0, 9, 8084, 4729, 44488, 57508
541, 2, 397, 24, 0, 9, 10687, 5084, 41305, 57508
547, 1, 400, 21, 0, 10, 13016, 5291, 38769, 57508
553, 1, 707, 16, 0, 11, 14570, 5597, 36606, 57508
559, 0, 1047, 18, 0, 8, 16768, 5890, 33777, 57508
565, 1, 1530, 13, 0, 10, 18100, 6054, 31800, 57508
571, 2, 2714, 10, 0, 10, 20393, 4198, 30181, 57508
577, 2, 3181, 9, 0, 9, 21649, 6443, 26215, 57508
583, 1, 3437, 6, 0, 9, 22263, 6097, 25695, 57508
589, 1, 3422, 5, 0, 8, 22497, 7096, 24479, 57508
595, 1, 3422, 3, 0, 13, 22395, 7974, 23700, 57508
601, 3, 3407, 3, 0, 9, 22305, 8421, 23360, 57508
607, 0, 3335, 3, 0, 11, 21924, 8018, 24217, 57508
613, 0, 3183, 3, 0, 7, 21296, 1406, 31613, 57508
619, 1, 3061, 3, 0, 12, 19877, 1490, 33064, 57508
625, 2, 2890, 3, 0, 12, 19134, 1630, 33837, 57508
631, 0, 2370, 1, 0, 12, 17505, 1941, 35679, 57508
637, 2, 2221, 1, 0, 8, 16623, 2022, 36631, 57508
643, 0, 1535, 3, 0, 12, 14539, 2244, 39175, 57508
649, 1, 1217, 1, 0, 10, 13245, 2273, 40761, 57508
655, 1, 1080, 1, 0, 10, 11984, 1112, 43320, 57508
661, 2, 720, 1, 0, 9, 10885, 2198, 43693, 57508
667, 1, 575, 0, 0, 9, 10122, 2261, 44540, 57508
673, 0, 398, 2, 0, 12, 9474, 3142, 44480, 57508
679, 1, 329, 0, 0, 10, 8953, 3391, 44824, 57508
685, 0, 285, 0, 0, 16, 8470, 3937, 44800, 57508
691, 2, 213, 2, 0, 12, 8204, 3550, 45525, 57508
697, 2, 223, 1, 0, 10, 7980, 59, 49233, 57508
703, 1, 204, 0, 0, 11, 7833, 70, 49389, 57508
709, 2, 146, 1, 0, 8, 8939, 71, 48341, 57508
715, 2, 403, 1, 0, 8, 12923, 216, 43955, 57508
721, 2, 1418, 3, 0, 10, 16356, 212, 39507, 57508
727, 1, 2366, 3, 0, 8, 19166, 222, 35742, 57508
733, 2, 3326, 1, 0, 10, 21572, 218, 32379, 57508
739, 0, 4004, 0, 0, 11, 23956, 269, 29268, 57508
745, 0, 4520, 0, 0, 12, 25801, 581, 26594, 57508
751, 0, 5008, 1, 0, 8, 27082, 331, 25078, 57508
757, 1, 5165, 1, 0, 5, 27202, 1659, 23475, 57508
763, 1, 5162, 0, 0, 10, 26829, 1322, 24184, 57508
769, 2, 5097, 1, 0, 11, 26832, 1514, 24051, 57508
775, 2, 5077, 0, 0, 12, 26797, 902, 24718, 57508
781, 3, 5060, 1, 0, 9, 25845, 1211, 25379, 57508
787, 2, 4588, 0, 0, 12, 22313, 1828, 28765, 57508
793, 1, 4277, 2, 0, 10, 18988, 3589, 30641, 57508
799, 0, 3418, 0, 0, 12, 15818, 3050, 35210, 57508
805, 1, 2956, 0, 0, 13, 13424, 4351, 36763, 57508
811, 1, 2110, 0, 0, 11, 11474, 3998, 39914, 57508
817, 0, 1841, 1, 0, 10, 9403, 5505, 40748, 57508
823, 2, 1393, 1, 0, 9, 8507, 1330, 46266, 57508
829, 1, 1084, 3, 0, 6, 7895, 2597, 45922, 57508
835, 1, 674, 1, 0, 5, 7481, 793, 48553, 57508
841, 1, 556, 3, 0, 10, 7699, 2361, 46878, 57508
847, 2, 506, 1, 0, 8, 7738, 1205, 48048, 57508
853, 0, 460, 0, 0, 8, 7979, 1353, 47708, 57508
859, 1, 398, 0, 0, 11, 7963, 649, 48486, 57508
865, 2, 378, 1, 0, 10, 9926, 4004, 43187, 57508
871, 1, 263, 0, 0, 10, 10231, 5029, 41974, 57508
877, 2, 1698, 3, 0, 7, 16409, 6500, 32889, 57508
883, 0, 2788, 1, 0, 11, 20397, 7132, 27179, 57508
889, 0, 6291, 1, 0, 7, 26542, 7938, 16729, 57508
895, 0, 7640, 0, 0, 6, 29114, 8021, 12727, 57508
901, 2, 8625, 1, 0, 6, 32908, 8296, 7670, 57508
907, 0, 9867, 1, 0, 13, 37052, 1770, 8805, 57508
913, 0, 10478, 1, 0, 5, 37674, 1798, 7552, 57508
919, 1, 10655, 0, 0, 11, 37698, 1930, 7213, 57508
925, 2, 10680, 1, 0, 8, 37452, 2956, 6409, 57508
931, 4, 10666, 3, 0, 6, 37038, 3573, 6218, 57508
937, 2, 10596, 1, 0, 10, 36774, 4424, 5701, 57508
943, 1, 10235, 0, 0, 12, 35958, 4795, 6507, 57508
949, 1, 7930, 1, 0, 10, 31988, 1006, 16572, 57508
955, 2, 4821, 0, 0, 8, 28179, 1073, 23425, 57508
961, 2, 3129, 0, 0, 9, 21393, 1802, 31173, 57508
967, 1, 2768, 0, 0, 10, 16996, 2167, 35566, 57508
973, 1, 1515, 1, 0, 11, 16372, 2884, 36724, 57508
979, 0, 417, 1, 0, 11, 11907, 3501, 41671, 57508
985, 0, 316, 1, 0, 12, 11097, 4596, 41486, 57508
991, 1, 301, 1, 0, 13, 8110, 1455, 47627, 57508
997, 1, 235, 1, 0, 13, 11070, 1796, 44392, 57508
1003, 1, 114, 0, 0, 14, 9306, 2545, 45528, 57508
1009, 1, 121, 1, 0, 10, 11291, 3169, 42915, 57508
1015, 1, 114, 0, 0, 10, 8886, 3622, 44875, 57508
1021, 0, 116, 0, 0, 12, 10564, 3986, 42830, 57508
1027, 2, 238, 1, 0, 8, 10256, 4676, 42327, 57508
1033, 1, 232, 3, 0, 12, 11366, 3620, 42274, 57508
1039, 1, 233, 0, 0, 13, 11484, 3727, 42050, 57508
1045, 2, 350, 1, 0, 10, 13534, 3477, 40134, 57508
1051, 2, 533, 0, 0, 12, 15388, 3351, 38222, 57508
1057, 4, 2001, 3, 0, 11, 16046, 3149, 36294, 57508
1063, 1, 3034, 0, 0, 15, 18916, 2900, 32642, 57508
1069, 1, 3676, 1, 0, 13, 21470, 2776, 29571, 57508
1075, 0, 4285, 2, 0, 12, 24301, 775, 28133, 57508
1081, 3, 4834, 0, 0, 13, 25507, 1394, 25757, 57508
1087, 13, 5013, 1, 0, 12, 25528, 1417, 25524, 57508
1093, 13, 5003, 21, 0, 12, 25649, 1990, 24820, 57508
1099, 11, 4968, 29, 0, 16, 25246, 2258, 24980, 57508
1105, 11, 4940, 21, 0, 15, 24086, 2935, 25500, 57508
1111, 16, 4808, 22, 0, 14, 23814, 2750, 26084, 57508
1117, 13, 4615, 22, 0, 14, 23354, 580, 28910, 57508
1123, 16, 4278, 18, 0, 12, 22713, 563, 29908, 57508
1129, 8, 3730, 21, 0, 13, 20982, 1093, 31661, 57508
1135, 4, 3024, 23, 0, 8, 18718, 732, 34999, 57508
1141, 2, 2243, 19, 0, 13, 18143, 919, 36169, 57508
1147, 1, 1713, 18, 0, 14, 16317, 1090, 38355, 57508
1153, 2, 1122, 17, 0, 15, 13722, 1093, 41537, 57508
1159, 3, 701, 14, 0, 11, 8156, 3310, 45313, 57508
1165, 2, 472, 11, 0, 11, 10436, 5352, 41224, 57508
1171, 0, 367, 8, 0, 9, 9591, 4342, 43191, 57508
1177, 1, 309, 4, 0, 11, 9521, 4457, 43205, 57508
1183, 3, 134, 3, 0, 10, 7716, 3689, 45953, 57508
1189, 0, 110, 1, 0, 9, 10308, 4493, 42587, 57508
1195, 3, 121, 0, 0, 7, 10084, 3992, 43301, 57508
1201, 1, 93, 1, 0, 9, 11530, 703, 45171, 57508
1207, 0, 104, 0, 0, 12, 12353, 1458, 43581, 57508
1213, 1, 223, 1, 0, 12, 21114, 1914, 34243, 57508
1219, 2, 1476, 0, 0, 7, 26510, 2339, 27174, 57508
1225, 1, 4051, 0, 0, 12, 32399, 2649, 18396, 57508
1231, 1, 5394, 0, 0, 9, 35530, 2805, 13769, 57508
1237, 2, 6328, 1, 0, 12, 39263, 3037, 8865, 57508
1243, 4, 7359, 1, 0, 7, 42260, 718, 7159, 57508
1249, 2, 7855, 1, 0, 10, 43176, 223, 6241, 57508
1255, 1, 8149, 2, 0, 9, 43750, 122, 5475, 57508
1261, 1, 8168, 2, 0, 10, 43431, 236, 5660, 57508
1267, 1, 8074, 1, 0, 13, 42778, 323, 6318, 57508
1273, 2, 7995, 1, 0, 14, 42277, 422, 6797, 57508
1279, 3, 7698, 1, 0, 12, 40553, 388, 8853, 57508
1285, 5, 7593, 0, 0, 11, 33691, 1178, 15030, 57508
1291, 3, 6478, 0, 0, 12, 27574, 1645, 21796, 57508
1297, 5, 5463, 0, 0, 9, 21393, 1886, 28752, 57508
1303, 3, 4893, 0, 0, 14, 16187, 2318, 34093, 57508
1309, 5, 3919, 0, 0, 12, 14751, 2809, 36012, 57508
1315, 3, 2829, 0, 0, 11, 13073, 3058, 38534, 57508
1321, 2, 2108, 0, 0, 7, 11317, 3322, 40752, 57508
1327, 1, 1677, 2, 0, 6, 7774, 1675, 46373, 57508
1333, 1, 1498, 1, 0, 7, 9610, 1311, 45080, 57508
1339, 0, 1286, 0, 0, 8, 10876, 1108, 44230, 57508
1345, 0, 1019, 0, 0, 5, 13022, 1439, 42023, 57508
1351, 2, 623, 0, 0, 5, 10077, 1425, 45376, 57508
1357, 1, 575, 0, 0, 9, 13124, 1628, 42171, 57508
1363, 2, 464, 1, 0, 7, 11689, 1356, 43989, 57508
1369, 1, 452, 2, 0, 9, 13021, 548, 43475, 57508
1375, 1, 186, 2, 0, 9, 11071, 645, 45594, 57508
1381, 1, 1143, 2, 0, 11, 17134, 1137, 38080, 57508
1387, 1, 2277, 2, 0, 10, 23937, 1434, 29847, 57508
1393, 1, 5027, 2, 0, 10, 30610, 1433, 20425, 57508
1399, 0, 5871, 1, 0, 10, 33847, 1484, 16295, 57508
1405, 1, 7607, 0, 0, 14, 37260, 1596, 11030, 57508
1411, 1, 8441, 0, 0, 7, 39465, 147, 9447, 57508
1417, 1, 9020, 0, 0, 8, 41176, 86, 7217, 57508
1423, 1, 9395, 1, 0, 8, 40948, 16, 7139, 57508
1429, 2, 9381, 0, 0, 12, 40296, 58, 7759, 57508
1435, 0, 9391, 1, 0, 11, 39666, 59, 8380, 57508
1441, 0, 9320, 1, 0, 10, 39204, 193, 8780, 57508
1447, 1, 9263, 1, 0, 9, 37405, 191, 10638, 57508
1453, 2, 8812, 1, 0, 13, 33032, 1031, 14617, 57508
1459, 1, 8050, 0, 0, 15, 27247, 1086, 21109, 57508
1465, 1, 7481, 0, 0, 11, 22200, 2012, 25803, 57508
1471, 2, 5847, 1, 0, 9, 17770, 2029, 31850, 57508
1477, 4, 4608, 0, 0, 10, 16818, 1634, 34434, 57508
1483, 1, 3143, 1, 0, 12, 13686, 1551, 39114, 57508
1489, 0, 2535, 2, 0, 11, 10978, 2637, 41345, 57508
1495, 2, 1975, 1, 0, 8, 9679, 1911, 43932, 57508
1501, 2, 1384, 0, 0, 8, 11255, 2848, 42011, 57508
1507, 1, 1096, 0, 0, 10, 11463, 3273, 41665, 57508
1513, 1, 775, 0, 0, 11, 11155, 2579, 42987, 57508
1519, 0, 685, 2, 0, 9, 8825, 2154, 45833, 57508
1525, 1, 636, 1, 0, 10, 10429, 3391, 43040, 57508
1531, 1, 553, 0, 0, 12, 11101, 2679, 43162, 57508
1537, 2, 496, 1, 0, 12, 10629, 2007, 44361, 57508
1543, 1, 309, 0, 0, 9, 8959, 2649, 45581, 57508
1549, 1, 784, 0, 0, 10, 16938, 4736, 35039, 57508
1555, 2, 2294, 1, 0, 14, 24203, 5696, 25298, 57508
1561, 2, 4843, 2, 0, 13, 30307, 6221, 16120, 57508
1567, 1, 6053, 2, 0, 10, 32721, 6479, 12242, 57508
1573, 2, 7090, 2, 0, 13, 35417, 6993, 7991, 57508
1579, 2, 8837, 2, 0, 10, 39599, 422, 8636, 57508
1585, 2, 9705, 3, 0, 9, 40872, 224, 6693, 57508
1591, 1, 9786, 3, 0, 9, 40871, 269, 6569, 57508
1597, 1, 9775, 4, 0, 10, 40747, 327, 6644, 57508
1603, 2, 9773, 2, 0, 10, 40401, 425, 6895, 57508
1609, 1, 9743, 2, 0, 11, 39894, 510, 7347, 57508
1615, 3, 9418, 1, 0, 8, 39458, 538, 8082, 57508
1621, 1, 8986, 0, 0, 8, 33518, 1022, 13973, 57508
1627, 1, 7582, 0, 0, 11, 27079, 2458, 20377, 57508
1633, 0, 6662, 1, 0, 8, 20665, 3636, 26536, 57508
1639, 1, 5245, 2, 0, 9, 16977, 4415, 30859, 57508
1645, 2, 4684, 1, 0, 10, 14307, 5249, 33255, 57508
1651, 0, 3811, 1, 0, 12, 12538, 7636, 33510, 57508
1657, 2, 2984, 1, 0, 13, 9209, 8651, 36648, 57508
1663, 2, 2126, 0, 0, 12, 7918, 1760, 45690, 57508
