ts, default broker, CrocodileAgent, SPOT, total
359, 57507, 0, 0, 57507
360, 57507, 0, 0, 57507
361, 57410, 97, 0, 57507
367, 8753, 48671, 83, 57507
373, 6972, 48831, 1704, 57507
379, 6928, 48762, 1817, 57507
385, 6890, 48788, 1829, 57507
391, 6864, 48794, 1849, 57507
397, 6823, 48828, 1856, 57507
403, 6807, 48830, 1870, 57507
409, 6870, 48763, 1874, 57507
415, 6808, 49087, 1612, 57507
421, 6717, 49441, 1349, 57507
427, 6602, 50214, 691, 57507
433, 6607, 50502, 398, 57507
439, 6715, 50122, 670, 57507
445, 6839, 50137, 531, 57507
451, 6876, 50111, 520, 57507
457, 6929, 50561, 17, 57507
463, 6829, 50677, 1, 57507
469, 6825, 50682, 0, 57507
475, 6832, 50675, 0, 57507
481, 6786, 50721, 0, 57507
487, 6807, 50700, 0, 57507
493, 6803, 50704, 0, 57507
499, 6750, 50757, 0, 57507
505, 6824, 50683, 0, 57507
511, 6887, 50620, 0, 57507
517, 6767, 50740, 0, 57507
523, 6754, 50753, 0, 57507
529, 6788, 50719, 0, 57507
535, 6829, 50678, 0, 57507
541, 6871, 50636, 0, 57507
547, 6874, 50633, 0, 57507
553, 6902, 50605, 0, 57507
559, 6924, 50583, 0, 57507
565, 6939, 50568, 0, 57507
571, 6897, 50610, 0, 57507
577, 6889, 50618, 0, 57507
583, 6921, 50586, 0, 57507
589, 6871, 50636, 0, 57507
595, 6935, 50572, 0, 57507
601, 6905, 50602, 0, 57507
607, 6892, 50615, 0, 57507
613, 6814, 50693, 0, 57507
619, 6843, 50664, 0, 57507
625, 6906, 50601, 0, 57507
631, 6961, 50546, 0, 57507
637, 7029, 50478, 0, 57507
643, 7012, 50495, 0, 57507
649, 6983, 50524, 0, 57507
655, 6949, 50558, 0, 57507
661, 6877, 50630, 0, 57507
667, 6661, 50846, 0, 57507
673, 6698, 50809, 0, 57507
679, 6768, 50739, 0, 57507
685, 6787, 50720, 0, 57507
691, 6818, 50689, 0, 57507
697, 6821, 50686, 0, 57507
703, 6940, 50567, 0, 57507
709, 6966, 50541, 0, 57507
715, 6987, 50520, 0, 57507
721, 6976, 50531, 0, 57507
727, 6913, 50594, 0, 57507
733, 6902, 50605, 0, 57507
739, 6907, 50600, 0, 57507
745, 6877, 50630, 0, 57507
751, 6940, 50567, 0, 57507
757, 6932, 50575, 0, 57507
763, 6920, 50587, 0, 57507
769, 6882, 50625, 0, 57507
775, 6838, 50669, 0, 57507
781, 6474, 51033, 0, 57507
787, 6272, 51235, 0, 57507
793, 6360, 51147, 0, 57507
799, 6675, 50832, 0, 57507
805, 6784, 50723, 0, 57507
811, 6883, 50624, 0, 57507
817, 6839, 50668, 0, 57507
823, 6845, 50662, 0, 57507
829, 6847, 50660, 0, 57507
835, 6865, 50642, 0, 57507
841, 6922, 50585, 0, 57507
847, 6889, 50618, 0, 57507
853, 6876, 50631, 0, 57507
859, 6959, 50548, 0, 57507
865, 6902, 50605, 0, 57507
871, 6954, 50553, 0, 57507
877, 6969, 50538, 0, 57507
883, 6817, 50690, 0, 57507
889, 6848, 50659, 0, 57507
895, 6929, 50578, 0, 57507
901, 6762, 50745, 0, 57507
907, 6793, 50714, 0, 57507
913, 6771, 50736, 0, 57507
919, 6874, 50633, 0, 57507
925, 6974, 50533, 0, 57507
931, 6991, 50516, 0, 57507
937, 6962, 50545, 0, 57507
943, 6971, 50536, 0, 57507
949, 7015, 50492, 0, 57507
955, 7066, 50441, 0, 57507
961, 7009, 50498, 0, 57507
967, 7006, 50501, 0, 57507
973, 7051, 50456, 0, 57507
979, 6927, 50580, 0, 57507
985, 6959, 50548, 0, 57507
991, 6914, 50593, 0, 57507
997, 6902, 50605, 0, 57507
1003, 6948, 50559, 0, 57507
1009, 6949, 50558, 0, 57507
1015, 6929, 50578, 0, 57507
1021, 6774, 50733, 0, 57507
1027, 6574, 50933, 0, 57507
1033, 6585, 50922, 0, 57507
1039, 6660, 50847, 0, 57507
1045, 6792, 50715, 0, 57507
1051, 6798, 50709, 0, 57507
1057, 6883, 50624, 0, 57507
1063, 6884, 50623, 0, 57507
1069, 6825, 50682, 0, 57507
1075, 6853, 50654, 0, 57507
1081, 6840, 50667, 0, 57507
1087, 6880, 50627, 0, 57507
1093, 6917, 50590, 0, 57507
1099, 6873, 50634, 0, 57507
1105, 6885, 50622, 0, 57507
1111, 6874, 50633, 0, 57507
1117, 6565, 50942, 0, 57507
1123, 6585, 50922, 0, 57507
1129, 6622, 50885, 0, 57507
1135, 6739, 50768, 0, 57507
1141, 6899, 50608, 0, 57507
1147, 6926, 50581, 0, 57507
1153, 6844, 50663, 0, 57507
1159, 6940, 50567, 0, 57507
1165, 6972, 50535, 0, 57507
1171, 6994, 50513, 0, 57507
1177, 6930, 50577, 0, 57507
1183, 6982, 50525, 0, 57507
1189, 7020, 50487, 0, 57507
1195, 6956, 50551, 0, 57507
1201, 6950, 50557, 0, 57507
1207, 6945, 50562, 0, 57507
1213, 6922, 50585, 0, 57507
1219, 6876, 50631, 0, 57507
1225, 6878, 50629, 0, 57507
1231, 6846, 50661, 0, 57507
1237, 6866, 50641, 0, 57507
1243, 6856, 50651, 0, 57507
1249, 6930, 50577, 0, 57507
1255, 6873, 50634, 0, 57507
1261, 6974, 50533, 0, 57507
1267, 6891, 50616, 0, 57507
1273, 6897, 50610, 0, 57507
1279, 6910, 50597, 0, 57507
1285, 6754, 50753, 0, 57507
1291, 6757, 50750, 0, 57507
1297, 6756, 50751, 0, 57507
1303, 6707, 50800, 0, 57507
1309, 6399, 51108, 0, 57507
1315, 6442, 51065, 0, 57507
1321, 6606, 50901, 0, 57507
1327, 6695, 50812, 0, 57507
1333, 6807, 50700, 0, 57507
1339, 6886, 50621, 0, 57507
1345, 6867, 50640, 0, 57507
1351, 6935, 50572, 0, 57507
1357, 6567, 50940, 0, 57507
1363, 6609, 50898, 0, 57507
1369, 6759, 50748, 0, 57507
1375, 6852, 50655, 0, 57507
1381, 6807, 50700, 0, 57507
1387, 6771, 50736, 0, 57507
1393, 6766, 50741, 0, 57507
1399, 6851, 50656, 0, 57507
1405, 6559, 50948, 0, 57507
1411, 6709, 50798, 0, 57507
1417, 6796, 50711, 0, 57507
1423, 6855, 50652, 0, 57507
1429, 6949, 50558, 0, 57507
1435, 6880, 50627, 0, 57507
1441, 6940, 50567, 0, 57507
1447, 6951, 50556, 0, 57507
1453, 6886, 50621, 0, 57507
1459, 6925, 50582, 0, 57507
1465, 6920, 50587, 0, 57507
1471, 6946, 50561, 0, 57507
1477, 6956, 50551, 0, 57507
1483, 6943, 50564, 0, 57507
1489, 6935, 50572, 0, 57507
1495, 6932, 50575, 0, 57507
1501, 6900, 50607, 0, 57507
1507, 6942, 50565, 0, 57507
1513, 6926, 50581, 0, 57507
1519, 6761, 50746, 0, 57507
1525, 6849, 50658, 0, 57507
1531, 6844, 50663, 0, 57507
1537, 6886, 50621, 0, 57507
1543, 6885, 50622, 0, 57507
1549, 6901, 50606, 0, 57507
1555, 6873, 50634, 0, 57507
1561, 6807, 50700, 0, 57507
1567, 6803, 50704, 0, 57507
1573, 6960, 50547, 0, 57507
1579, 7005, 50502, 0, 57507
1585, 7033, 50474, 0, 57507
1591, 7051, 50456, 0, 57507
1597, 6851, 50656, 0, 57507
1603, 6802, 50705, 0, 57507
1609, 6864, 50643, 0, 57507
1615, 6881, 50626, 0, 57507
1621, 6799, 50708, 0, 57507
1627, 6791, 50716, 0, 57507
1633, 6777, 50730, 0, 57507
1639, 6780, 50727, 0, 57507
1645, 6646, 50861, 0, 57507
1651, 6579, 50928, 0, 57507
1657, 6630, 50877, 0, 57507
1663, 6709, 50798, 0, 57507
1669, 6781, 50726, 0, 57507
1675, 6813, 50694, 0, 57507
1681, 6896, 50611, 0, 57507
1687, 6859, 50648, 0, 57507
1693, 6875, 50632, 0, 57507
1699, 6770, 50737, 0, 57507
1705, 6585, 50922, 0, 57507
1711, 6612, 50895, 0, 57507
1717, 6785, 50722, 0, 57507
1723, 6865, 50642, 0, 57507
1729, 6863, 50644, 0, 57507
1735, 6874, 50633, 0, 57507
1741, 7005, 50502, 0, 57507
1747, 7043, 50464, 0, 57507
1753, 6844, 50663, 0, 57507
1759, 6819, 50688, 0, 57507
1765, 6652, 50855, 0, 57507
1771, 6621, 50886, 0, 57507
1777, 6723, 50784, 0, 57507
1783, 6805, 50702, 0, 57507
1789, 6829, 50678, 0, 57507
1795, 6822, 50685, 0, 57507
1801, 6841, 50666, 0, 57507
1807, 6816, 50691, 0, 57507
1813, 6911, 50596, 0, 57507
1819, 6929, 50578, 0, 57507
1825, 6954, 50553, 0, 57507
1831, 6887, 50620, 0, 57507
1837, 6840, 50667, 0, 57507
1843, 6901, 50606, 0, 57507
1849, 6890, 50617, 0, 57507
1855, 6897, 50610, 0, 57507
1861, 6961, 50546, 0, 57507
1867, 6887, 50620, 0, 57507
1873, 6876, 50631, 0, 57507
1879, 6934, 50573, 0, 57507
1885, 6699, 50808, 0, 57507
1891, 6597, 50910, 0, 57507
1897, 6672, 50835, 0, 57507
1903, 6723, 50784, 0, 57507
1909, 6728, 50779, 0, 57507
1915, 6822, 50685, 0, 57507
1921, 6844, 50663, 0, 57507
1927, 6879, 50628, 0, 57507
1933, 6892, 50615, 0, 57507
1939, 6926, 50581, 0, 57507
1945, 6936, 50571, 0, 57507
1951, 6915, 50592, 0, 57507
1957, 6817, 50690, 0, 57507
1963, 6966, 50541, 0, 57507
1969, 6917, 50590, 0, 57507
1975, 6909, 50598, 0, 57507
1981, 6424, 51083, 0, 57507
1987, 6240, 51267, 0, 57507
1993, 6323, 51184, 0, 57507
1999, 6404, 51103, 0, 57507
2005, 6662, 50845, 0, 57507
2011, 6872, 50635, 0, 57507
2017, 6870, 50637, 0, 57507
