ts, default broker, SPOT, AgentUDE, total
359, 57515, 0, 0, 57515
360, 57515, 0, 0, 57515
361, 7033, 5503, 44979, 57515
367, 7030, 5502, 44983, 57515
373, 7028, 5497, 44990, 57515
379, 7027, 5502, 44986, 57515
385, 7026, 5499, 44990, 57515
391, 7025, 5501, 44989, 57515
397, 7027, 5500, 44988, 57515
403, 7028, 5819, 44668, 57515
409, 7024, 5755, 44736, 57515
415, 7021, 4056, 46438, 57515
421, 7020, 2876, 47619, 57515
427, 7016, 2428, 48071, 57515
433, 7019, 826, 49670, 57515
439, 7017, 825, 49673, 57515
445, 7029, 1383, 49103, 57515
451, 7026, 1381, 49108, 57515
457, 7023, 356, 50136, 57515
463, 7023, 359, 50133, 57515
469, 7021, 367, 50127, 57515
475, 7021, 366, 50128, 57515
481, 7023, 237, 50255, 57515
487, 7012, 236, 50267, 57515
493, 7010, 237, 50268, 57515
499, 7008, 239, 50268, 57515
505, 7006, 157, 50352, 57515
511, 7008, 157, 50350, 57515
517, 7007, 147, 50361, 57515
523, 7007, 148, 50360, 57515
529, 7013, 146, 50356, 57515
535, 7012, 146, 50357, 57515
541, 7010, 147, 50358, 57515
547, 7012, 147, 50356, 57515
553, 7011, 139, 50365, 57515
559, 7011, 129, 50375, 57515
565, 7012, 130, 50373, 57515
571, 7016, 133, 50366, 57515
577, 7015, 137, 50363, 57515
583, 7014, 137, 50364, 57515
589, 7014, 137, 50364, 57515
595, 7013, 127, 50375, 57515
601, 7013, 115, 50387, 57515
607, 7014, 126, 50375, 57515
613, 7013, 398, 50104, 57515
619, 7014, 389, 50112, 57515
625, 7014, 389, 50112, 57515
631, 7014, 394, 50107, 57515
637, 7013, 393, 50109, 57515
643, 7012, 395, 50108, 57515
649, 7013, 130, 50372, 57515
655, 7014, 151, 50350, 57515
661, 7010, 184, 50321, 57515
667, 7001, 194, 50320, 57515
673, 7006, 151, 50358, 57515
679, 7005, 155, 50355, 57515
685, 7008, 302, 50205, 57515
691, 7007, 315, 50193, 57515
697, 7030, 182, 50303, 57515
703, 7030, 185, 50300, 57515
709, 7029, 184, 50302, 57515
715, 7026, 187, 50302, 57515
721, 7028, 129, 50358, 57515
727, 7028, 131, 50356, 57515
733, 7029, 135, 50351, 57515
739, 7027, 1336, 49152, 57515
745, 7027, 293, 50195, 57515
751, 7026, 292, 50197, 57515
757, 7024, 294, 50197, 57515
763, 7025, 293, 50197, 57515
769, 7024, 183, 50308, 57515
775, 7023, 171, 50321, 57515
781, 7019, 328, 50168, 57515
787, 7019, 330, 50166, 57515
793, 7017, 289, 50209, 57515
799, 7015, 296, 50204, 57515
805, 7015, 295, 50205, 57515
811, 7012, 304, 50199, 57515
817, 7012, 147, 50356, 57515
823, 7020, 441, 50054, 57515
829, 7018, 439, 50058, 57515
835, 7017, 448, 50050, 57515
841, 7017, 127, 50371, 57515
847, 7017, 131, 50367, 57515
853, 7017, 125, 50373, 57515
859, 7017, 126, 50372, 57515
865, 7030, 447, 50038, 57515
871, 7029, 447, 50039, 57515
877, 7024, 452, 50039, 57515
883, 7023, 442, 50050, 57515
889, 7024, 125, 50366, 57515
895, 7025, 128, 50362, 57515
901, 7024, 129, 50362, 57515
907, 7025, 1231, 49259, 57515
913, 7023, 311, 50181, 57515
919, 7022, 314, 50179, 57515
925, 7021, 308, 50186, 57515
931, 7021, 310, 50184, 57515
937, 7021, 216, 50278, 57515
943, 7020, 238, 50257, 57515
949, 7033, 376, 50106, 57515
955, 7032, 374, 50109, 57515
961, 7033, 148, 50334, 57515
967, 7033, 150, 50332, 57515
973, 7031, 152, 50332, 57515
979, 7027, 153, 50335, 57515
985, 7026, 138, 50351, 57515
991, 7025, 288, 50202, 57515
997, 7024, 279, 50212, 57515
1003, 7022, 427, 50066, 57515
1009, 7020, 122, 50373, 57515
1015, 7019, 123, 50373, 57515
1021, 7019, 125, 50371, 57515
1027, 7018, 283, 50214, 57515
1033, 7025, 1030, 49460, 57515
1039, 7024, 1028, 49463, 57515
1045, 7022, 1038, 49455, 57515
1051, 7021, 1022, 49472, 57515
1057, 7023, 304, 50188, 57515
1063, 7022, 311, 50182, 57515
1069, 7022, 318, 50175, 57515
1075, 7019, 1971, 48525, 57515
1081, 7019, 1085, 49411, 57515
1087, 7018, 1479, 49018, 57515
1093, 7018, 1640, 48857, 57515
1099, 7019, 1930, 48566, 57515
1105, 7017, 902, 49596, 57515
1111, 7015, 1615, 48885, 57515
1117, 7027, 3907, 46581, 57515
1123, 7027, 3901, 46587, 57515
1129, 7025, 2396, 48094, 57515
1135, 7026, 2402, 48087, 57515
1141, 7028, 2403, 48084, 57515
1147, 7029, 2690, 47796, 57515
