ts, default broker, SPOT, VidyutVanika, total
359, 57508, 0, 0, 57508
360, 57508, 0, 0, 57508
361, 47, 0, 57461, 57508
367, 46, 1, 57461, 57508
373, 44, 3, 57461, 57508
379, 44, 5, 57459, 57508
385, 44, 7, 57457, 57508
391, 44, 7, 57457, 57508
397, 43, 5, 57460, 57508
403, 44, 7, 57457, 57508
409, 44, 11, 57453, 57508
415, 45, 11, 57452, 57508
421, 47, 5, 57456, 57508
427, 47, 2, 57459, 57508
433, 46, 4, 57458, 57508
439, 46, 4, 57458, 57508
445, 46, 5, 57457, 57508
451, 45, 6, 57457, 57508
457, 44, 10, 57454, 57508
463, 45, 11, 57452, 57508
469, 45, 12, 57451, 57508
475, 45, 12, 57451, 57508
481, 44, 13, 57451, 57508
487, 44, 169, 57295, 57508
493, 44, 170, 57294, 57508
499, 44, 469, 56995, 57508
505, 44, 464, 57000, 57508
511, 44, 460, 57004, 57508
517, 43, 459, 57006, 57508
523, 46, 60, 57402, 57508
529, 47, 0, 57461, 57508
535, 44, 0, 57464, 57508
541, 46, 0, 57462, 57508
547, 44, 0, 57464, 57508
553, 42, 0, 57466, 57508
559, 41, 0, 57467, 57508
565, 40, 0, 57468, 57508
571, 41, 0, 57467, 57508
577, 41, 0, 57467, 57508
583, 42, 0, 57466, 57508
589, 43, 0, 57465, 57508
595, 44, 0, 57464, 57508
601, 43, 0, 57465, 57508
607, 42, 0, 57466, 57508
613, 41, 0, 57467, 57508
625, 42, 0, 57466, 57508
631, 42, 0, 57466, 57508
637, 43, 0, 57465, 57508
643, 44, 0, 57464, 57508
655, 44, 0, 57464, 57508
661, 44, 0, 57464, 57508
667, 46, 0, 57462, 57508
673, 43, 0, 57465, 57508
685, 43, 0, 57465, 57508
691, 45, 0, 57463, 57508
697, 43, 0, 57465, 57508
703, 44, 0, 57464, 57508
709, 47, 0, 57461, 57508
715, 44, 0, 57464, 57508
721, 45, 0, 57463, 57508
727, 44, 0, 57464, 57508
733, 44, 0, 57464, 57508
739, 43, 0, 57465, 57508
745, 45, 0, 57463, 57508
751, 46, 0, 57462, 57508
757, 47, 0, 57461, 57508
763, 46, 0, 57462, 57508
769, 47, 0, 57461, 57508
775, 46, 0, 57462, 57508
781, 45, 0, 57463, 57508
787, 43, 0, 57465, 57508
793, 44, 0, 57464, 57508
799, 46, 0, 57462, 57508
805, 43, 0, 57465, 57508
823, 42, 0, 57466, 57508
829, 42, 0, 57466, 57508
835, 43, 0, 57465, 57508
841, 43, 0, 57465, 57508
847, 44, 0, 57464, 57508
859, 46, 0, 57462, 57508
865, 37, 0, 57471, 57508
871, 35, 0, 57473, 57508
877, 48, 0, 57460, 57508
883, 39, 0, 57469, 57508
889, 2364, 0, 55144, 57508
895, 2471, 0, 55037, 57508
901, 2628, 0, 54880, 57508
907, 3697, 0, 53811, 57508
913, 3757, 0, 53751, 57508
919, 3576, 0, 53932, 57508
925, 3779, 0, 53729, 57508
931, 3855, 0, 53653, 57508
937, 3761, 0, 53747, 57508
943, 3672, 0, 53836, 57508
949, 3718, 0, 53790, 57508
955, 3768, 0, 53740, 57508
961, 3642, 0, 53866, 57508
967, 3691, 0, 53817, 57508
973, 3579, 0, 53929, 57508
979, 3581, 0, 53927, 57508
985, 3598, 0, 53910, 57508
991, 3629, 0, 53879, 57508
997, 3650, 0, 53858, 57508
1003, 3632, 0, 53876, 57508
1009, 3549, 0, 53959, 57508
1015, 3293, 0, 54215, 57508
1021, 3396, 0, 54112, 57508
1027, 3298, 0, 54210, 57508
1033, 3675, 0, 53833, 57508
1039, 3841, 0, 53667, 57508
1045, 3617, 0, 53891, 57508
1051, 3657, 0, 53851, 57508
1057, 3562, 0, 53946, 57508
1063, 3677, 0, 53831, 57508
1069, 3889, 0, 53619, 57508
1075, 3852, 0, 53656, 57508
1081, 3897, 0, 53611, 57508
1087, 3854, 0, 53654, 57508
1093, 3845, 0, 53663, 57508
1099, 3701, 0, 53807, 57508
1105, 3662, 0, 53846, 57508
1111, 3668, 0, 53840, 57508
1117, 3628, 0, 53880, 57508
1123, 3762, 0, 53746, 57508
1129, 3791, 0, 53717, 57508
1135, 3788, 0, 53720, 57508
1141, 3872, 0, 53636, 57508
1147, 3772, 0, 53736, 57508
1153, 3724, 0, 53784, 57508
1159, 3649, 0, 53859, 57508
1165, 3493, 0, 54015, 57508
1171, 3452, 0, 54056, 57508
1177, 3606, 0, 53902, 57508
1183, 3693, 0, 53815, 57508
1189, 3729, 0, 53779, 57508
1195, 3783, 0, 53725, 57508
1201, 3858, 0, 53650, 57508
1207, 3573, 0, 53935, 57508
1213, 3601, 0, 53907, 57508
1219, 3633, 0, 53875, 57508
1225, 3745, 0, 53763, 57508
1231, 3703, 0, 53805, 57508
1237, 3607, 0, 53901, 57508
1243, 3533, 0, 53975, 57508
1249, 3494, 0, 54014, 57508
1255, 3466, 0, 54042, 57508
1261, 3527, 0, 53981, 57508
1267, 3661, 0, 53847, 57508
1273, 3659, 0, 53849, 57508
1279, 3890, 0, 53618, 57508
1285, 3783, 0, 53725, 57508
1291, 3611, 0, 53897, 57508
1297, 3595, 0, 53913, 57508
1303, 3658, 0, 53850, 57508
1309, 3585, 0, 53923, 57508
1315, 3683, 0, 53825, 57508
1321, 3636, 0, 53872, 57508
1327, 3580, 0, 53928, 57508
1333, 3511, 0, 53997, 57508
1339, 3597, 0, 53911, 57508
1345, 3713, 0, 53795, 57508
1351, 3732, 0, 53776, 57508
1357, 3747, 0, 53761, 57508
1363, 3969, 0, 53539, 57508
1369, 3868, 0, 53640, 57508
1375, 3864, 0, 53644, 57508
1381, 3950, 0, 53558, 57508
1387, 3843, 0, 53665, 57508
1393, 3887, 0, 53621, 57508
1399, 3818, 0, 53690, 57508
1405, 3785, 0, 53723, 57508
1411, 3760, 0, 53748, 57508
1417, 3766, 0, 53742, 57508
1423, 3629, 0, 53879, 57508
1429, 3626, 0, 53882, 57508
1435, 3749, 0, 53759, 57508
1441, 3662, 0, 53846, 57508
1447, 3734, 0, 53774, 57508
1453, 3550, 0, 53958, 57508
1459, 3421, 0, 54087, 57508
1465, 3374, 0, 54134, 57508
1471, 3335, 0, 54173, 57508
1477, 3244, 0, 54264, 57508
1483, 3338, 0, 54170, 57508
1489, 3373, 0, 54135, 57508
1495, 3487, 0, 54021, 57508
1501, 3593, 0, 53915, 57508
1507, 3567, 0, 53941, 57508
1513, 3619, 0, 53889, 57508
1519, 3475, 0, 54033, 57508
1525, 3451, 0, 54057, 57508
1531, 3641, 0, 53867, 57508
1537, 3702, 0, 53806, 57508
1543, 3719, 0, 53789, 57508
1549, 3686, 0, 53822, 57508
1555, 3741, 0, 53767, 57508
1561, 3693, 0, 53815, 57508
1567, 3655, 0, 53853, 57508
1573, 3896, 0, 53612, 57508
1579, 3862, 0, 53646, 57508
1585, 3784, 0, 53724, 57508
1591, 3653, 0, 53855, 57508
1597, 3606, 0, 53902, 57508
1603, 3595, 0, 53913, 57508
1609, 3385, 0, 54123, 57508
1615, 3537, 0, 53971, 57508
1621, 3595, 0, 53913, 57508
1627, 3463, 0, 54045, 57508
1633, 3544, 0, 53964, 57508
1639, 3499, 0, 54009, 57508
1645, 3558, 0, 53950, 57508
1651, 3510, 0, 53998, 57508
1657, 3594, 0, 53914, 57508
1663, 3771, 0, 53737, 57508
1669, 3706, 0, 53802, 57508
1675, 3801, 0, 53707, 57508
1681, 3705, 0, 53803, 57508
1687, 3616, 0, 53892, 57508
1693, 3474, 0, 54034, 57508
1699, 3359, 0, 54149, 57508
1705, 3320, 0, 54188, 57508
1711, 3435, 0, 54073, 57508
1717, 3426, 0, 54082, 57508
1723, 3278, 0, 54230, 57508
1729, 3292, 0, 54216, 57508
1735, 3228, 0, 54280, 57508
1741, 3358, 0, 54150, 57508
1747, 3475, 0, 54033, 57508
1753, 3582, 0, 53926, 57508
1759, 3651, 0, 53857, 57508
1765, 3595, 0, 53913, 57508
1771, 3376, 0, 54132, 57508
1777, 3436, 0, 54072, 57508
