ts, default broker, COLDPower18, EWIIS3, total
359, 57521, 0, 0, 57521
360, 57521, 0, 0, 57521
361, 7126, 0, 50395, 57521
367, 7122, 0, 50399, 57521
373, 7122, 0, 50399, 57521
379, 7123, 0, 50398, 57521
385, 7122, 0, 50399, 57521
391, 7124, 0, 50397, 57521
397, 7122, 0, 50399, 57521
403, 7122, 0, 50399, 57521
409, 7122, 0, 50399, 57521
415, 7121, 0, 50400, 57521
421, 7121, 0, 50400, 57521
427, 7121, 0, 50400, 57521
433, 7121, 0, 50400, 57521
439, 7122, 0, 50399, 57521
445, 7122, 0, 50399, 57521
451, 7122, 0, 50399, 57521
457, 7124, 0, 50397, 57521
463, 7123, 0, 50398, 57521
469, 7123, 0, 50398, 57521
475, 7124, 0, 50397, 57521
481, 7125, 0, 50396, 57521
487, 7123, 0, 50398, 57521
493, 7122, 0, 50399, 57521
499, 7122, 0, 50399, 57521
505, 7122, 0, 50399, 57521
511, 7122, 0, 50399, 57521
517, 7122, 0, 50399, 57521
523, 7123, 0, 50398, 57521
529, 7124, 0, 50397, 57521
535, 7124, 0, 50397, 57521
541, 7124, 0, 50397, 57521
547, 7125, 0, 50396, 57521
553, 7124, 0, 50397, 57521
559, 7123, 0, 50398, 57521
565, 7124, 0, 50397, 57521
571, 7124, 0, 50397, 57521
577, 7125, 0, 50396, 57521
583, 7126, 0, 50395, 57521
589, 7126, 0, 50395, 57521
595, 7125, 0, 50396, 57521
601, 7126, 0, 50395, 57521
607, 7126, 0, 50395, 57521
613, 7126, 0, 50395, 57521
619, 7126, 0, 50395, 57521
625, 7158, 0, 50363, 57521
631, 7158, 0, 50363, 57521
637, 7158, 0, 50363, 57521
643, 7128, 0, 50393, 57521
649, 7129, 0, 50392, 57521
655, 7128, 0, 50393, 57521
661, 7127, 0, 50394, 57521
667, 7128, 0, 50393, 57521
673, 7126, 0, 50395, 57521
679, 7126, 0, 50395, 57521
685, 7126, 0, 50395, 57521
691, 7126, 0, 50395, 57521
697, 7126, 0, 50395, 57521
703, 7126, 0, 50395, 57521
709, 7124, 0, 50397, 57521
715, 7124, 0, 50397, 57521
721, 7124, 0, 50397, 57521
727, 7124, 0, 50397, 57521
733, 7126, 0, 50395, 57521
739, 7126, 0, 50395, 57521
745, 7127, 0, 50394, 57521
751, 7127, 0, 50394, 57521
757, 7126, 0, 50395, 57521
763, 7125, 0, 50396, 57521
769, 7125, 0, 50396, 57521
775, 7125, 0, 50396, 57521
781, 7124, 0, 50397, 57521
787, 7124, 0, 50397, 57521
793, 7125, 0, 50396, 57521
799, 7127, 0, 50394, 57521
805, 7127, 0, 50394, 57521
811, 7126, 0, 50395, 57521
817, 7126, 0, 50395, 57521
823, 7126, 0, 50395, 57521
829, 7126, 0, 50395, 57521
835, 7126, 0, 50395, 57521
841, 7127, 0, 50394, 57521
847, 7125, 0, 50396, 57521
853, 7124, 0, 50397, 57521
859, 7124, 0, 50397, 57521
865, 7124, 0, 50397, 57521
871, 7124, 0, 50397, 57521
877, 7126, 0, 50395, 57521
883, 7127, 0, 50394, 57521
889, 7126, 0, 50395, 57521
895, 7126, 0, 50395, 57521
901, 7126, 0, 50395, 57521
907, 7127, 0, 50394, 57521
913, 7125, 0, 50396, 57521
919, 7126, 0, 50395, 57521
925, 7127, 0, 50394, 57521
931, 7127, 0, 50394, 57521
937, 7126, 0, 50395, 57521
943, 7127, 0, 50394, 57521
949, 7127, 0, 50394, 57521
955, 7128, 0, 50393, 57521
961, 7128, 0, 50393, 57521
967, 7129, 0, 50392, 57521
973, 7129, 0, 50392, 57521
979, 7130, 0, 50391, 57521
985, 7130, 0, 50391, 57521
991, 7127, 0, 50394, 57521
997, 7126, 0, 50395, 57521
1003, 7125, 0, 50396, 57521
1009, 7125, 0, 50396, 57521
1015, 7125, 0, 50396, 57521
1021, 7125, 0, 50396, 57521
1027, 7125, 0, 50396, 57521
1033, 7125, 0, 50396, 57521
1039, 7125, 0, 50396, 57521
1045, 7126, 0, 50395, 57521
1051, 7125, 0, 50396, 57521
1057, 7124, 0, 50397, 57521
1063, 7125, 0, 50396, 57521
1069, 7125, 0, 50396, 57521
1075, 7125, 0, 50396, 57521
1081, 7124, 0, 50397, 57521
1087, 7124, 0, 50397, 57521
1093, 7125, 0, 50396, 57521
1099, 7125, 0, 50396, 57521
1105, 7126, 0, 50395, 57521
1111, 7128, 0, 50393, 57521
1117, 7127, 0, 50394, 57521
1123, 7127, 0, 50394, 57521
1129, 7129, 0, 50392, 57521
1135, 7128, 0, 50393, 57521
1141, 7126, 0, 50395, 57521
1147, 7126, 0, 50395, 57521
1153, 7127, 0, 50394, 57521
1159, 7127, 0, 50394, 57521
1165, 7127, 0, 50394, 57521
1171, 7127, 0, 50394, 57521
1177, 7127, 0, 50394, 57521
1183, 7126, 0, 50395, 57521
1189, 7125, 0, 50396, 57521
1195, 7125, 0, 50396, 57521
1201, 7125, 0, 50396, 57521
1207, 7126, 0, 50395, 57521
1213, 7125, 0, 50396, 57521
1219, 7126, 0, 50395, 57521
1225, 7127, 0, 50394, 57521
1231, 7126, 0, 50395, 57521
1237, 7127, 0, 50394, 57521
1243, 7127, 0, 50394, 57521
1249, 7126, 0, 50395, 57521
1255, 7125, 0, 50396, 57521
1261, 7125, 0, 50396, 57521
1267, 7126, 0, 50395, 57521
1273, 7126, 0, 50395, 57521
1279, 7125, 0, 50396, 57521
1285, 7125, 0, 50396, 57521
1291, 7125, 0, 50396, 57521
1297, 7124, 0, 50397, 57521
1303, 7125, 0, 50396, 57521
1309, 7125, 0, 50396, 57521
1315, 7125, 0, 50396, 57521
1321, 7125, 0, 50396, 57521
1327, 7125, 0, 50396, 57521
1333, 7125, 0, 50396, 57521
1339, 7125, 0, 50396, 57521
1345, 7125, 0, 50396, 57521
1351, 7125, 0, 50396, 57521
1357, 7125, 0, 50396, 57521
1363, 7126, 0, 50395, 57521
1369, 7127, 0, 50394, 57521
1375, 7127, 0, 50394, 57521
1381, 7128, 0, 50393, 57521
1387, 7128, 0, 50393, 57521
1393, 7129, 0, 50392, 57521
1399, 7129, 0, 50392, 57521
1405, 7128, 0, 50393, 57521
1411, 7130, 0, 50391, 57521
1417, 7129, 0, 50392, 57521
1423, 7128, 0, 50393, 57521
1429, 7128, 0, 50393, 57521
1435, 7129, 0, 50392, 57521
1441, 7130, 0, 50391, 57521
1447, 7130, 0, 50391, 57521
1453, 7128, 0, 50393, 57521
1459, 7127, 0, 50394, 57521
1465, 7128, 0, 50393, 57521
1471, 7128, 0, 50393, 57521
1477, 7126, 0, 50395, 57521
1483, 7126, 0, 50395, 57521
1489, 7126, 0, 50395, 57521
1495, 7126, 0, 50395, 57521
1501, 7126, 0, 50395, 57521
1507, 7125, 0, 50396, 57521
1513, 7125, 0, 50396, 57521
1519, 7125, 0, 50396, 57521
1525, 7126, 0, 50395, 57521
1531, 7129, 0, 50392, 57521
1537, 7127, 0, 50394, 57521
1543, 7128, 0, 50393, 57521
1549, 7129, 0, 50392, 57521
1555, 7128, 0, 50393, 57521
1561, 7129, 0, 50392, 57521
1567, 7129, 0, 50392, 57521
1573, 7129, 0, 50392, 57521
1579, 7129, 0, 50392, 57521
1585, 7128, 0, 50393, 57521
1591, 7129, 0, 50392, 57521
1597, 7128, 0, 50393, 57521
1603, 7128, 0, 50393, 57521
1609, 7127, 0, 50394, 57521
1615, 7126, 0, 50395, 57521
1621, 7126, 0, 50395, 57521
1627, 7125, 0, 50396, 57521
1633, 7126, 0, 50395, 57521
1639, 7125, 0, 50396, 57521
1645, 7124, 0, 50397, 57521
1651, 7125, 0, 50396, 57521
1657, 7125, 0, 50396, 57521
1663, 7125, 0, 50396, 57521
1669, 7125, 0, 50396, 57521
1675, 7125, 0, 50396, 57521
1681, 7125, 0, 50396, 57521
1687, 7126, 0, 50395, 57521
1693, 7126, 0, 50395, 57521
1699, 7126, 0, 50395, 57521
1705, 7127, 0, 50394, 57521
1711, 7157, 0, 50364, 57521
