ts, default broker, VidyutVanika, Bunnie, total
359, 57514, 0, 0, 57514
360, 57514, 0, 0, 57514
361, 11, 8105, 49398, 57514
367, 10, 8107, 49397, 57514
373, 8, 8251, 49255, 57514
379, 8, 8396, 49110, 57514
385, 7, 8539, 48968, 57514
391, 9, 8541, 48964, 57514
397, 6, 8685, 48823, 57514
403, 6, 8684, 48824, 57514
409, 7, 8830, 48677, 57514
415, 8, 8929, 48577, 57514
421, 8, 10954, 46552, 57514
427, 7, 13176, 44331, 57514
433, 8, 15629, 41877, 57514
439, 6, 18029, 39479, 57514
445, 8, 20619, 36887, 57514
451, 7, 22189, 35318, 57514
457, 9, 24787, 32718, 57514
463, 9, 24991, 32514, 57514
469, 8, 24937, 32569, 57514
475, 8, 24732, 32774, 57514
481, 9, 24641, 32864, 57514
487, 6, 24588, 32920, 57514
493, 8, 23758, 33748, 57514
499, 8, 22460, 35046, 57514
505, 8, 20386, 37120, 57514
511, 7, 19375, 38132, 57514
517, 9, 17642, 39863, 57514
523, 6, 15797, 41711, 57514
529, 9, 13050, 44455, 57514
535, 5, 10990, 46519, 57514
541, 2, 10600, 46912, 57514
547, 2, 9723, 47789, 57514
553, 2, 9379, 48133, 57514
559, 2, 8689, 48823, 57514
565, 3, 8639, 48872, 57514
571, 4, 8515, 48995, 57514
577, 4, 8234, 49276, 57514
583, 4, 8365, 49145, 57514
589, 5, 10049, 47460, 57514
595, 5, 14360, 43149, 57514
601, 5, 17752, 39757, 57514
607, 6, 19399, 38109, 57514
613, 7, 21502, 36005, 57514
619, 6, 23235, 34273, 57514
625, 8, 23820, 33686, 57514
631, 7, 23903, 33604, 57514
637, 7, 23815, 33692, 57514
643, 6, 23696, 33812, 57514
649, 5, 23627, 33882, 57514
655, 5, 23363, 34146, 57514
661, 7, 22367, 35140, 57514
667, 6, 20203, 37305, 57514
673, 6, 18331, 39177, 57514
679, 3, 16992, 40519, 57514
685, 4, 15560, 41950, 57514
691, 6, 14130, 43378, 57514
697, 7, 12397, 45110, 57514
703, 8, 11271, 46235, 57514
709, 7, 9969, 47538, 57514
715, 9, 9250, 48255, 57514
721, 9, 8811, 48694, 57514
727, 9, 8185, 49320, 57514
733, 7, 8055, 49452, 57514
739, 6, 7781, 49727, 57514
745, 8, 7663, 49843, 57514
751, 6, 7983, 49525, 57514
757, 7, 11231, 46276, 57514
763, 9, 12138, 45367, 57514
769, 9, 16611, 40894, 57514
775, 10, 20831, 36673, 57514
781, 11, 24636, 32867, 57514
787, 9, 26259, 31246, 57514
793, 9, 27305, 30200, 57514
799, 8, 27627, 29879, 57514
805, 8, 27625, 29881, 57514
811, 10, 27527, 29977, 57514
817, 10, 27351, 30153, 57514
823, 9, 27320, 30185, 57514
829, 9, 26083, 31422, 57514
835, 10, 25413, 32091, 57514
841, 7, 23768, 33739, 57514
847, 5, 20811, 36698, 57514
853, 2, 18571, 38941, 57514
859, 3, 16381, 41130, 57514
865, 4, 26081, 31429, 57514
871, 4, 31988, 25522, 57514
877, 4, 35972, 21538, 57514
883, 8, 41619, 15887, 57514
889, 6, 44273, 13235, 57514
895, 6, 11869, 45639, 57514
901, 7, 14699, 42808, 57514
907, 5, 22192, 35317, 57514
913, 5, 30010, 27499, 57514
919, 5, 35349, 22160, 57514
925, 5, 40406, 17103, 57514
931, 6, 42478, 15030, 57514
937, 9, 44769, 12736, 57514
943, 9, 46440, 11065, 57514
949, 9, 48043, 9462, 57514
955, 7, 49636, 7871, 57514
961, 9, 49357, 8148, 57514
967, 8, 50832, 6674, 57514
973, 7, 52108, 5399, 57514
979, 4, 52707, 4803, 57514
985, 5, 53427, 4082, 57514
991, 5, 12247, 45262, 57514
997, 7, 12886, 44621, 57514
1003, 7, 23714, 33793, 57514
1009, 6, 31054, 26454, 57514
1015, 8, 11317, 46189, 57514
1021, 6, 17086, 40422, 57514
1027, 5, 30526, 26983, 57514
1033, 9, 36289, 21216, 57514
1039, 8, 39400, 18106, 57514
1045, 7, 41866, 15641, 57514
1051, 8, 44790, 12716, 57514
1057, 9, 46489, 11016, 57514
1063, 10, 11301, 46203, 57514
1069, 7, 14058, 43449, 57514
1075, 6, 24988, 32520, 57514
1081, 4, 33354, 24156, 57514
1087, 7, 37620, 19887, 57514
1093, 6, 40393, 17115, 57514
1099, 6, 44352, 13156, 57514
1105, 7, 46762, 10745, 57514
1111, 17, 48161, 9336, 57514
1117, 32, 49402, 8080, 57514
1123, 31, 51001, 6482, 57514
1129, 13, 51927, 5574, 57514
1135, 7, 52408, 5099, 57514
1141, 7, 53108, 4399, 57514
1147, 8, 53769, 3737, 57514
1153, 7, 53022, 4485, 57514
1159, 7, 14835, 42672, 57514
1165, 4, 15335, 42175, 57514
1171, 7, 24866, 32641, 57514
1177, 7, 26631, 30876, 57514
1183, 9, 12211, 45294, 57514
1189, 9, 18672, 38833, 57514
1195, 9, 28551, 28954, 57514
1201, 8, 11493, 46013, 57514
1207, 9, 9891, 47614, 57514
1213, 9, 9501, 48004, 57514
1219, 10, 9215, 48289, 57514
1225, 10, 8747, 48757, 57514
1231, 10, 8575, 48929, 57514
1237, 6, 8205, 49303, 57514
1243, 7, 8042, 49465, 57514
1249, 6, 8252, 49256, 57514
1255, 8, 8417, 49089, 57514
1261, 7, 10507, 47000, 57514
1267, 5, 13124, 44385, 57514
1273, 6, 14316, 43192, 57514
1279, 6, 16266, 41242, 57514
1285, 5, 19954, 37555, 57514
1291, 4, 22289, 35221, 57514
1297, 4, 23616, 33894, 57514
1303, 5, 23896, 33613, 57514
1309, 4, 23653, 33857, 57514
1315, 6, 23487, 34021, 57514
1321, 4, 23307, 34203, 57514
1327, 6, 23233, 34275, 57514
1333, 8, 22355, 35151, 57514
1339, 10, 20692, 36812, 57514
1345, 10, 19472, 38032, 57514
1351, 10, 18530, 38974, 57514
1357, 9, 16331, 41174, 57514
1363, 10, 14310, 43194, 57514
1369, 11, 13229, 44274, 57514
1375, 9, 11752, 45753, 57514
1381, 8, 10687, 46819, 57514
1387, 8, 10096, 47410, 57514
1393, 9, 9288, 48217, 57514
1399, 9, 8914, 48591, 57514
1405, 9, 8297, 49208, 57514
1411, 12, 8202, 49300, 57514
1417, 11, 8073, 49430, 57514
1423, 12, 7790, 49712, 57514
1429, 12, 9745, 47757, 57514
1435, 10, 15053, 42451, 57514
1441, 7, 16994, 40513, 57514
1447, 6, 18934, 38574, 57514
1453, 5, 20910, 36599, 57514
1459, 5, 23793, 33716, 57514
1465, 8, 25465, 32041, 57514
1471, 7, 26227, 31280, 57514
1477, 30, 26260, 31224, 57514
1483, 36, 26179, 31299, 57514
1489, 34, 26043, 31437, 57514
1495, 10, 26021, 31483, 57514
1501, 9, 25317, 32188, 57514
1507, 10, 24566, 32938, 57514
1513, 9, 23745, 33760, 57514
1519, 9, 20834, 36671, 57514
1525, 11, 19158, 38345, 57514
1531, 10, 16180, 41324, 57514
1537, 9, 13263, 44242, 57514
1543, 8, 12019, 45487, 57514
1549, 9, 11004, 46501, 57514
1555, 10, 9598, 47906, 57514
1561, 9, 8832, 48673, 57514
1567, 10, 8510, 48994, 57514
1573, 11, 8376, 49127, 57514
1579, 11, 8230, 49273, 57514
1585, 11, 8529, 48974, 57514
1591, 9, 8234, 49271, 57514
1597, 11, 9386, 48117, 57514
1603, 9, 11575, 45930, 57514
1609, 6, 14699, 42809, 57514
1615, 6, 16661, 40847, 57514
1621, 6, 21847, 35661, 57514
1627, 7, 24013, 33494, 57514
1633, 7, 27001, 30506, 57514
1639, 7, 27194, 30313, 57514
1645, 5, 27219, 30290, 57514
1651, 8, 27007, 30499, 57514
1657, 5, 26896, 30613, 57514
1663, 7, 26595, 30912, 57514
1669, 31, 26238, 31245, 57514
1675, 30, 25151, 32333, 57514
1681, 12, 23885, 33617, 57514
1687, 5, 21945, 35564, 57514
1693, 8, 20153, 37353, 57514
1699, 6, 17378, 40130, 57514
1705, 6, 15606, 41902, 57514
1711, 5, 13528, 43981, 57514
1717, 5, 12608, 44901, 57514
1723, 6, 11667, 45841, 57514
1729, 7, 10336, 47171, 57514
1735, 5, 9819, 47690, 57514
1741, 5, 9031, 48478, 57514
1747, 5, 8983, 48526, 57514
1753, 7, 8600, 48907, 57514
