ts, default broker, SPOT, Bunnie, total
359, 57509, 0, 0, 57509
360, 57509, 0, 0, 57509
361, 6871, 38, 50600, 57509
367, 6809, 51, 50649, 57509
373, 6890, 50, 50569, 57509
379, 6946, 54, 50509, 57509
385, 6933, 52, 50524, 57509
391, 6755, 66, 50688, 57509
397, 6697, 66, 50746, 57509
403, 6738, 69, 50702, 57509
409, 6771, 56, 50682, 57509
415, 6782, 47, 50680, 57509
421, 6741, 52, 50716, 57509
427, 6757, 43, 50709, 57509
433, 6821, 41, 50647, 57509
439, 6804, 49, 50656, 57509
445, 6800, 45, 50664, 57509
451, 6812, 50, 50647, 57509
457, 6837, 66, 50606, 57509
463, 6860, 69, 50580, 57509
469, 6892, 70, 50547, 57509
475, 6894, 71, 50544, 57509
481, 6951, 54, 50504, 57509
487, 6958, 50, 50501, 57509
493, 6932, 43, 50534, 57509
499, 6950, 47, 50512, 57509
505, 6927, 61, 50521, 57509
511, 6873, 80, 50556, 57509
517, 6850, 89, 50570, 57509
523, 6866, 95, 50548, 57509
529, 6840, 93, 50576, 57509
535, 6848, 93, 50568, 57509
541, 6883, 93, 50533, 57509
547, 6877, 93, 50539, 57509
553, 6924, 92, 50493, 57509
559, 6917, 94, 50498, 57509
565, 6823, 94, 50592, 57509
571, 6873, 94, 50542, 57509
577, 6887, 93, 50529, 57509
583, 6858, 94, 50557, 57509
589, 6765, 95, 50649, 57509
595, 6701, 96, 50712, 57509
601, 6708, 95, 50706, 57509
607, 6750, 96, 50663, 57509
613, 6769, 97, 50643, 57509
619, 6827, 96, 50586, 57509
625, 6803, 94, 50612, 57509
631, 6801, 93, 50615, 57509
637, 6810, 95, 50604, 57509
643, 6727, 95, 50687, 57509
649, 6756, 97, 50656, 57509
655, 6786, 97, 50626, 57509
661, 6839, 97, 50573, 57509
667, 6875, 96, 50538, 57509
673, 6888, 95, 50526, 57509
679, 6943, 95, 50471, 57509
685, 6870, 96, 50543, 57509
691, 6883, 96, 50530, 57509
697, 6892, 95, 50522, 57509
703, 6928, 63, 50518, 57509
709, 6950, 61, 50498, 57509
715, 6965, 74, 50470, 57509
721, 6943, 76, 50490, 57509
727, 6895, 96, 50518, 57509
733, 6841, 96, 50572, 57509
739, 6683, 95, 50731, 57509
745, 6733, 94, 50682, 57509
751, 6825, 94, 50590, 57509
757, 6784, 96, 50629, 57509
763, 6819, 95, 50595, 57509
769, 6800, 94, 50615, 57509
775, 6828, 94, 50587, 57509
781, 6842, 94, 50573, 57509
787, 6828, 95, 50586, 57509
793, 6887, 94, 50528, 57509
799, 6876, 94, 50539, 57509
805, 6841, 96, 50572, 57509
811, 6659, 56, 50794, 57509
817, 6719, 55, 50735, 57509
823, 6789, 47, 50673, 57509
829, 6704, 50, 50755, 57509
835, 6749, 67, 50693, 57509
841, 6744, 85, 50680, 57509
847, 6763, 92, 50654, 57509
853, 6807, 93, 50609, 57509
859, 6809, 94, 50606, 57509
865, 6774, 96, 50639, 57509
871, 6849, 95, 50565, 57509
877, 6849, 95, 50565, 57509
883, 6912, 95, 50502, 57509
889, 6961, 94, 50454, 57509
895, 6941, 94, 50474, 57509
901, 6974, 94, 50441, 57509
907, 6980, 94, 50435, 57509
913, 6953, 94, 50462, 57509
919, 6932, 94, 50483, 57509
925, 6421, 97, 50991, 57509
931, 6369, 96, 51044, 57509
937, 6520, 93, 50896, 57509
943, 6602, 94, 50813, 57509
949, 6264, 94, 51151, 57509
955, 6459, 94, 50956, 57509
961, 6525, 94, 50890, 57509
967, 6627, 93, 50789, 57509
973, 6738, 94, 50677, 57509
979, 6793, 95, 50621, 57509
985, 6855, 95, 50559, 57509
991, 6837, 94, 50578, 57509
997, 6885, 95, 50529, 57509
1003, 6781, 95, 50633, 57509
1009, 6851, 95, 50563, 57509
1015, 6807, 95, 50607, 57509
1021, 6840, 95, 50574, 57509
1027, 6847, 95, 50567, 57509
1033, 6853, 96, 50560, 57509
1039, 6908, 96, 50505, 57509
1045, 6765, 96, 50648, 57509
1051, 6801, 97, 50611, 57509
1057, 6823, 94, 50592, 57509
1063, 6844, 94, 50571, 57509
1069, 6797, 96, 50616, 57509
1075, 6778, 96, 50635, 57509
1081, 6774, 94, 50641, 57509
1087, 6837, 94, 50578, 57509
1093, 6881, 93, 50535, 57509
1099, 6893, 93, 50523, 57509
1105, 6900, 93, 50516, 57509
1111, 6914, 93, 50502, 57509
1117, 6961, 94, 50454, 57509
1123, 6971, 95, 50443, 57509
1129, 6938, 95, 50476, 57509
1135, 6917, 95, 50497, 57509
1141, 6924, 97, 50488, 57509
1147, 6890, 95, 50524, 57509
1153, 6824, 94, 50591, 57509
1159, 6812, 94, 50603, 57509
1165, 6765, 53, 50691, 57509
1171, 6695, 42, 50772, 57509
1177, 6745, 48, 50716, 57509
1183, 6694, 67, 50748, 57509
1189, 6766, 68, 50675, 57509
1195, 6788, 68, 50653, 57509
1201, 6804, 68, 50637, 57509
1207, 6794, 69, 50646, 57509
1213, 6850, 69, 50590, 57509
1219, 6793, 69, 50647, 57509
1225, 6806, 85, 50618, 57509
1231, 6817, 94, 50598, 57509
1237, 6822, 94, 50593, 57509
1243, 6867, 94, 50548, 57509
1249, 6885, 93, 50531, 57509
1255, 6918, 94, 50497, 57509
