ts, default broker, SPOT, COLDPower18, total
359, 57506, 0, 0, 57506
360, 57506, 0, 0, 57506
361, 7063, 50443, 0, 57506
367, 7061, 50445, 0, 57506
373, 7061, 50445, 0, 57506
379, 7060, 50446, 0, 57506
385, 7060, 50446, 0, 57506
391, 7060, 50446, 0, 57506
397, 7061, 50445, 0, 57506
403, 7061, 50445, 0, 57506
409, 7061, 50445, 0, 57506
415, 7061, 50445, 0, 57506
421, 7061, 50445, 0, 57506
427, 7060, 50446, 0, 57506
433, 7060, 50446, 0, 57506
439, 7058, 50448, 0, 57506
451, 7059, 50447, 0, 57506
457, 7059, 50447, 0, 57506
463, 7059, 50447, 0, 57506
469, 7059, 50447, 0, 57506
475, 7060, 50446, 0, 57506
481, 7058, 50448, 0, 57506
487, 7085, 50421, 0, 57506
493, 7091, 50415, 0, 57506
499, 7094, 50412, 0, 57506
505, 7081, 50425, 0, 57506
511, 7076, 50430, 0, 57506
517, 7076, 50430, 0, 57506
523, 7075, 50431, 0, 57506
529, 7075, 50431, 0, 57506
535, 7063, 50443, 0, 57506
541, 7059, 50447, 0, 57506
547, 7059, 50447, 0, 57506
553, 7060, 50446, 0, 57506
559, 7058, 50448, 0, 57506
565, 7059, 50447, 0, 57506
571, 7059, 50447, 0, 57506
577, 7061, 50445, 0, 57506
583, 7061, 50445, 0, 57506
589, 7061, 50445, 0, 57506
595, 7060, 50446, 0, 57506
601, 7059, 50447, 0, 57506
607, 7061, 50445, 0, 57506
613, 7061, 50445, 0, 57506
619, 7061, 50445, 0, 57506
625, 7060, 50446, 0, 57506
631, 7060, 50446, 0, 57506
637, 7059, 50447, 0, 57506
643, 7060, 50446, 0, 57506
649, 7061, 50445, 0, 57506
655, 7061, 50445, 0, 57506
661, 7058, 50448, 0, 57506
667, 7058, 50448, 0, 57506
673, 7058, 50448, 0, 57506
679, 7059, 50447, 0, 57506
691, 7058, 50448, 0, 57506
697, 7058, 50448, 0, 57506
703, 7058, 50448, 0, 57506
709, 7059, 50447, 0, 57506
715, 7060, 50446, 0, 57506
721, 7060, 50446, 0, 57506
727, 7059, 50447, 0, 57506
733, 7058, 50448, 0, 57506
739, 7059, 50447, 0, 57506
745, 7059, 50447, 0, 57506
757, 7058, 50448, 0, 57506
763, 7060, 50446, 0, 57506
775, 7058, 50448, 0, 57506
781, 7059, 50447, 0, 57506
787, 7059, 50447, 0, 57506
793, 7060, 50446, 0, 57506
799, 7061, 50445, 0, 57506
805, 7060, 50446, 0, 57506
811, 7061, 50445, 0, 57506
817, 7061, 50445, 0, 57506
823, 7058, 50448, 0, 57506
829, 7059, 50447, 0, 57506
835, 7059, 50447, 0, 57506
841, 7059, 50447, 0, 57506
853, 7057, 50449, 0, 57506
859, 7058, 50448, 0, 57506
865, 7059, 50447, 0, 57506
871, 7060, 50446, 0, 57506
877, 7057, 50449, 0, 57506
883, 7058, 50448, 0, 57506
889, 7055, 50451, 0, 57506
895, 7055, 50451, 0, 57506
901, 7061, 50445, 0, 57506
907, 7061, 50445, 0, 57506
913, 7060, 50446, 0, 57506
919, 7058, 50448, 0, 57506
925, 57506, 0, 0, 57506
931, 57506, 0, 0, 57506
937, 57506, 0, 0, 57506
943, 57506, 0, 0, 57506
949, 57506, 0, 0, 57506
955, 57506, 0, 0, 57506
961, 57506, 0, 0, 57506
967, 57506, 0, 0, 57506
973, 57506, 0, 0, 57506
979, 57506, 0, 0, 57506
985, 57506, 0, 0, 57506
997, 57506, 0, 0, 57506
1009, 57506, 0, 0, 57506
1021, 57506, 0, 0, 57506
1027, 57506, 0, 0, 57506
1033, 57506, 0, 0, 57506
1039, 57506, 0, 0, 57506
1045, 57506, 0, 0, 57506
1051, 57506, 0, 0, 57506
1057, 57506, 0, 0, 57506
1063, 57506, 0, 0, 57506
1075, 57506, 0, 0, 57506
1081, 57506, 0, 0, 57506
1087, 57506, 0, 0, 57506
1093, 57506, 0, 0, 57506
1099, 57506, 0, 0, 57506
1105, 57506, 0, 0, 57506
1111, 57506, 0, 0, 57506
1117, 57506, 0, 0, 57506
1123, 57506, 0, 0, 57506
1129, 57506, 0, 0, 57506
1135, 57506, 0, 0, 57506
1147, 57506, 0, 0, 57506
1159, 57506, 0, 0, 57506
1165, 57506, 0, 0, 57506
1171, 57506, 0, 0, 57506
1177, 57506, 0, 0, 57506
1189, 57506, 0, 0, 57506
1201, 57506, 0, 0, 57506
1207, 57506, 0, 0, 57506
1213, 57506, 0, 0, 57506
1219, 57506, 0, 0, 57506
1225, 57506, 0, 0, 57506
1231, 57506, 0, 0, 57506
1237, 57506, 0, 0, 57506
1243, 57506, 0, 0, 57506
1249, 57506, 0, 0, 57506
1255, 57506, 0, 0, 57506
1261, 57506, 0, 0, 57506
1267, 57506, 0, 0, 57506
1273, 57506, 0, 0, 57506
1279, 57506, 0, 0, 57506
1285, 57506, 0, 0, 57506
1291, 57506, 0, 0, 57506
1297, 57506, 0, 0, 57506
1303, 57506, 0, 0, 57506
1309, 57506, 0, 0, 57506
1315, 57506, 0, 0, 57506
1321, 57506, 0, 0, 57506
1333, 57506, 0, 0, 57506
1339, 57506, 0, 0, 57506
1345, 57506, 0, 0, 57506
1351, 57506, 0, 0, 57506
1363, 57506, 0, 0, 57506
1375, 57506, 0, 0, 57506
1381, 57506, 0, 0, 57506
1387, 57506, 0, 0, 57506
1393, 57506, 0, 0, 57506
1399, 57506, 0, 0, 57506
1405, 57506, 0, 0, 57506
1411, 57506, 0, 0, 57506
1417, 57506, 0, 0, 57506
1423, 57506, 0, 0, 57506
1429, 57506, 0, 0, 57506
1435, 57506, 0, 0, 57506
1441, 57506, 0, 0, 57506
1447, 57506, 0, 0, 57506
1453, 57506, 0, 0, 57506
1459, 57506, 0, 0, 57506
1471, 57506, 0, 0, 57506
1477, 57506, 0, 0, 57506
1489, 57506, 0, 0, 57506
1495, 57506, 0, 0, 57506
1501, 57506, 0, 0, 57506
1507, 57506, 0, 0, 57506
1513, 57506, 0, 0, 57506
1519, 57506, 0, 0, 57506
1525, 57506, 0, 0, 57506
1531, 57506, 0, 0, 57506
1543, 57506, 0, 0, 57506
1561, 57506, 0, 0, 57506
1573, 57506, 0, 0, 57506
1585, 57506, 0, 0, 57506
1591, 57506, 0, 0, 57506
1603, 57506, 0, 0, 57506
1615, 57506, 0, 0, 57506
1621, 57506, 0, 0, 57506
1639, 57506, 0, 0, 57506
1645, 57506, 0, 0, 57506
1651, 57506, 0, 0, 57506
1663, 57506, 0, 0, 57506
1669, 57506, 0, 0, 57506
1681, 57506, 0, 0, 57506
1687, 57506, 0, 0, 57506
1693, 57506, 0, 0, 57506
1723, 57506, 0, 0, 57506
1729, 57506, 0, 0, 57506
1735, 57506, 0, 0, 57506
1741, 57506, 0, 0, 57506
